Date,Open,High,Low,Close,Adj Close,Volume
1987-07-27,5.437500,5.562500,5.437500,5.562500,5.562500,343600
1987-08-03,5.562500,5.562500,5.500000,5.562500,5.562500,128800
1987-08-10,5.500000,6.250000,5.500000,6.187500,6.187500,143400
1987-08-17,6.187500,7.625000,5.875000,6.937500,6.937500,187000
1987-08-24,6.937500,7.125000,6.312500,6.437500,6.437500,118200
1987-08-31,6.437500,6.500000,5.875000,5.875000,5.875000,34600
1987-09-07,5.875000,5.937500,5.375000,5.812500,5.812500,37800
1987-09-14,5.875000,5.937500,5.500000,5.500000,5.500000,15200
1987-09-21,5.500000,5.687500,5.500000,5.625000,5.625000,18000
1987-09-28,5.687500,6.062500,5.375000,6.000000,6.000000,34600
1987-10-05,6.000000,6.062500,5.687500,5.687500,5.687500,27000
1987-10-12,5.625000,5.625000,4.500000,4.500000,4.500000,65800
1987-10-19,4.312500,4.312500,2.875000,3.625000,3.625000,156800
1987-10-26,3.562500,3.687500,3.062500,3.687500,3.687500,32000
1987-11-02,3.812500,3.937500,3.812500,3.812500,3.812500,14600
1987-11-09,3.750000,3.750000,3.375000,3.625000,3.625000,14400
1987-11-16,3.625000,3.750000,3.500000,3.500000,3.500000,35600
1987-11-23,3.500000,3.625000,3.375000,3.375000,3.375000,19400
1987-11-30,3.312500,3.312500,2.875000,2.875000,2.875000,43000
1987-12-07,2.812500,2.937500,2.500000,2.687500,2.687500,60400
1987-12-14,2.687500,2.750000,2.500000,2.625000,2.625000,87800
1987-12-21,2.625000,2.750000,2.375000,2.625000,2.625000,85400
1987-12-28,2.625000,3.437500,2.437500,3.375000,3.375000,166400
1988-01-04,3.375000,4.750000,3.312500,4.562500,4.562500,150000
1988-01-11,4.375000,4.375000,3.937500,4.312500,4.312500,37600
1988-01-18,4.312500,4.437500,3.937500,4.062500,4.062500,29000
1988-01-25,4.062500,4.312500,4.000000,4.000000,4.000000,26400
1988-02-01,4.187500,4.375000,4.187500,4.250000,4.250000,18600
1988-02-08,4.250000,4.312500,3.937500,4.062500,4.062500,14000
1988-02-15,4.187500,4.250000,4.000000,4.062500,4.062500,27200
1988-02-22,4.062500,4.062500,4.000000,4.000000,4.000000,11000
1988-02-29,4.000000,4.062500,3.937500,4.000000,4.000000,46000
1988-03-07,4.062500,4.312500,4.062500,4.250000,4.250000,61000
1988-03-14,4.312500,5.625000,4.312500,5.437500,5.437500,72200
1988-03-21,5.437500,5.437500,4.937500,5.062500,5.062500,51000
1988-03-28,5.062500,5.250000,5.062500,5.250000,5.250000,8600
1988-04-04,5.375000,5.500000,5.250000,5.375000,5.375000,79200
1988-04-11,5.375000,5.375000,5.062500,5.187500,5.187500,10800
1988-04-18,5.187500,5.437500,5.125000,5.312500,5.312500,63200
1988-04-25,5.250000,5.375000,5.125000,5.250000,5.250000,26200
1988-05-02,5.125000,5.125000,4.250000,4.500000,4.500000,40800
1988-05-09,4.500000,4.812500,4.437500,4.625000,4.625000,30600
1988-05-16,4.562500,4.687500,4.375000,4.687500,4.687500,18000
1988-05-23,4.687500,4.750000,4.375000,4.437500,4.437500,7600
1988-05-30,4.437500,4.437500,4.375000,4.375000,4.375000,7200
1988-06-06,4.375000,4.500000,4.125000,4.312500,4.312500,13800
1988-06-13,4.187500,4.187500,4.062500,4.187500,4.187500,10200
1988-06-20,4.250000,4.250000,4.125000,4.250000,4.250000,11000
1988-06-27,4.250000,4.312500,4.125000,4.312500,4.312500,6600
1988-07-04,4.437500,5.000000,4.437500,5.000000,5.000000,28800
1988-07-11,4.937500,4.937500,4.687500,4.687500,4.687500,8600
1988-07-18,4.687500,4.937500,4.687500,4.875000,4.875000,41400
