Date,Open,High,Low,Close,Adj Close,Volume
1995-09-11,2.277778,2.388889,2.277778,2.361111,2.361111,16718400
1995-09-18,2.333333,2.416667,2.333333,2.333333,2.333333,4984200
1995-09-25,2.333333,2.416667,2.333333,2.416667,2.416667,2702700
1995-10-02,2.361111,2.500000,2.361111,2.500000,2.500000,2017800
1995-10-09,2.416667,2.500000,2.388889,2.458333,2.458333,2791800
1995-10-16,2.416667,2.500000,2.375000,2.375000,2.375000,1041300
1995-10-23,2.416667,2.472222,2.375000,2.458333,2.458333,2882700
1995-10-30,2.430556,2.472222,2.416667,2.430556,2.430556,737100
1995-11-06,2.416667,2.444444,2.305556,2.305556,2.305556,858600
1995-11-13,2.305556,2.361111,2.208333,2.236111,2.236111,1104300
1995-11-20,2.222222,2.305556,2.222222,2.250000,2.250000,207000
1995-11-27,2.250000,2.472222,2.208333,2.236111,2.236111,3169800
1995-12-04,2.250000,2.277778,2.222222,2.250000,2.250000,498600
1995-12-11,2.305556,2.388889,2.277778,2.375000,2.375000,953100
1995-12-18,2.333333,2.347222,2.208333,2.222222,2.222222,882000
1995-12-25,2.222222,2.597222,2.222222,2.597222,2.597222,2326500
1996-01-01,2.555556,2.583333,2.500000,2.500000,2.500000,4327200
1996-01-08,2.500000,2.541667,2.458333,2.458333,2.458333,288900
1996-01-15,2.527778,2.527778,2.361111,2.375000,2.375000,219600
1996-01-22,2.361111,2.416667,2.222222,2.263889,2.263889,496800
1996-01-29,2.250000,2.305556,2.222222,2.277778,2.277778,604800
1996-02-05,2.222222,2.277778,2.222222,2.277778,2.277778,192600
1996-02-12,2.222222,2.277778,2.194444,2.201389,2.201389,1434600
1996-02-19,2.250000,2.250000,2.208333,2.222222,2.222222,2583000
1996-02-26,2.263889,2.277778,2.208333,2.236111,2.236111,2793600
1996-03-04,2.222222,2.250000,2.208333,2.222222,2.222222,1729800
1996-03-11,2.291667,2.291667,2.208333,2.208333,2.208333,431100
1996-03-18,2.222222,2.277778,2.208333,2.236111,2.236111,1962900
1996-03-25,2.236111,2.277778,2.208333,2.277778,2.277778,707400
1996-04-01,2.222222,2.277778,2.222222,2.222222,2.222222,1013400
1996-04-08,2.222222,2.250000,2.180556,2.194444,2.194444,400500
1996-04-15,2.180556,2.208333,2.180556,2.180556,2.180556,410400
1996-04-22,2.180556,2.236111,2.180556,2.194444,2.194444,589500
1996-04-29,2.208333,2.236111,2.194444,2.194444,2.194444,363600
1996-05-06,2.194444,2.236111,2.194444,2.194444,2.194444,442800
1996-05-13,2.236111,2.236111,2.194444,2.208333,2.208333,432900
1996-05-20,2.222222,2.222222,2.194444,2.194444,2.194444,2412900
1996-05-27,2.222222,2.222222,2.166667,2.194444,2.194444,8605800
1996-06-03,2.180556,2.194444,2.166667,2.166667,2.166667,54000
1996-06-10,2.180556,2.180556,2.125000,2.125000,2.125000,1053000
1996-06-17,2.152778,2.180556,2.125000,2.166667,2.166667,5522400
1996-06-24,2.166667,2.180556,2.138889,2.180556,2.180556,823500
1996-07-01,2.180556,2.180556,2.111111,2.138889,2.138889,2970000
1996-07-08,2.111111,2.138889,1.861111,2.013889,2.013889,3555900
1996-07-15,2.013889,2.027778,1.958333,1.958333,1.958333,435600
1996-07-22,1.944444,1.972222,1.930556,1.930556,1.930556,93600
1996-07-29,1.958333,1.972222,1.930556,1.972222,1.972222,604800
1996-08-05,1.944444,1.972222,1.944444,1.958333,1.958333,59400
1996-08-12,1.944444,1.972222,1.916667,1.944444,1.944444,575100
1996-08-19,1.944444,1.944444,1.833333,1.833333,1.833333,4102200
1996-08-26,1.888889,1.888889,1.847222,1.875000,1.875000,74700
1996-09-02,1.847222,1.888889,1.847222,1.861111,1.861111,303300
1996-09-09,1.888889,1.916667,1.833333,1.916667,1.916667,10002600
1996-09-16,1.888889,2.305556,1.888889,2.222222,2.222222,2253600
1996-09-23,2.138889,2.138889,2.111111,2.111111,2.111111,405900
1996-09-30,2.111111,2.111111,1.930556,1.930556,1.930556,250200
1996-10-07,1.944444,2.000000,1.944444,2.000000,2.000000,1013400
1996-10-14,2.006944,2.055556,1.986111,2.041667,2.041667,483300
1996-10-21,2.041667,2.055556,2.027778,2.027778,2.027778,617400
1996-10-28,2.055556,2.055556,1.888889,2.027778,2.027778,3272400
1996-11-04,1.986111,2.027778,1.944444,2.000000,2.000000,2101500
1996-11-11,2.000000,2.069444,1.944444,1.944444,1.944444,936900
1996-11-18,1.958333,1.958333,1.930556,1.944444,1.944444,437400
1996-11-25,1.944444,1.958333,1.916667,1.958333,1.958333,402300
1996-12-02,1.958333,1.986111,1.875000,1.895833,1.895833,939600
1996-12-09,1.888889,1.944444,1.819444,1.902778,1.902778,4286700
1996-12-16,1.902778,1.958333,1.763889,1.951389,1.951389,9759600
1996-12-23,1.916667,2.069444,1.916667,2.055556,2.055556,925200
1996-12-30,2.055556,2.208333,2.055556,2.083333,2.083333,1409400
1997-01-06,2.097222,2.097222,1.986111,1.986111,1.986111,99900
1997-01-13,2.000000,2.000000,1.791667,1.819444,1.819444,3709800
1997-01-20,1.847222,1.861111,1.791667,1.805556,1.805556,765000
1997-01-27,1.805556,1.875000,1.805556,1.847222,1.847222,576900
1997-02-03,1.847222,1.930556,1.847222,1.875000,1.875000,250200
1997-02-10,1.930556,1.944444,1.861111,1.888889,1.888889,225900
1997-02-17,1.861111,1.888889,1.861111,1.888889,1.888889,110700
1997-02-24,1.888889,1.888889,1.826389,1.826389,1.826389,1910700
1997-03-03,1.861111,1.916667,1.819444,1.895833,1.895833,9284400
1997-03-10,1.895833,1.972222,1.875000,1.958333,1.958333,665100
1997-03-17,1.944444,1.944444,1.888889,1.916667,1.916667,688500
1997-03-24,1.888889,1.902778,1.861111,1.861111,1.861111,141300
1997-03-31,1.861111,1.916667,1.833333,1.875000,1.875000,689400
1997-04-07,1.875000,1.881944,1.777778,1.881944,1.881944,7760700
1997-04-14,1.888889,1.916667,1.847222,1.916667,1.916667,100800
1997-04-21,1.916667,2.000000,1.888889,2.000000,2.000000,284400
1997-04-28,2.013889,2.111111,1.986111,2.013889,2.013889,558000
1997-05-05,2.013889,2.027778,1.944444,1.972222,1.972222,260100
1997-05-12,1.944444,2.166667,1.944444,2.152778,2.152778,2731500
1997-05-19,2.131944,2.138889,2.111111,2.125000,2.125000,1123200
1997-05-26,2.125000,2.138889,2.111111,2.111111,2.111111,2356200
1997-06-02,2.125000,2.125000,2.027778,2.027778,2.027778,119700
1997-06-09,2.055556,2.166667,2.041667,2.166667,2.166667,1385100
1997-06-16,2.166667,2.277778,2.138889,2.222222,2.222222,2763900
1997-06-23,2.222222,2.333333,2.166667,2.305556,2.305556,1037700
1997-06-30,2.333333,2.416667,2.277778,2.416667,2.416667,2494800
1997-07-07,2.430556,2.458333,2.305556,2.402778,2.402778,959400
1997-07-14,2.388889,2.444444,2.388889,2.402778,2.402778,791100
1997-07-21,2.402778,2.444444,2.347222,2.416667,2.416667,783900
1997-07-28,2.347222,2.388889,2.291667,2.305556,2.305556,859500
1997-08-04,2.361111,2.375000,2.305556,2.305556,2.305556,963900
1997-08-11,2.305556,2.416667,2.277778,2.388889,2.388889,6202800
1997-08-18,2.388889,2.430556,2.388889,2.416667,2.416667,633600
1997-08-25,2.416667,2.486111,2.388889,2.486111,2.486111,84600
1997-09-01,2.486111,2.597222,2.416667,2.513889,2.513889,156600
1997-09-08,2.569444,2.583333,2.555556,2.569444,2.569444,819900
1997-09-15,2.555556,2.583333,2.520833,2.555556,2.555556,333900
1997-09-22,2.527778,2.583333,2.527778,2.527778,2.527778,226800
1997-09-29,2.527778,2.597222,2.527778,2.583333,2.583333,195300
1997-10-06,2.541667,2.597222,2.541667,2.597222,2.597222,237600
1997-10-13,2.597222,2.597222,2.486111,2.597222,2.597222,262800
1997-10-20,2.555556,2.597222,2.513889,2.597222,2.597222,128700
1997-10-27,2.597222,2.597222,2.388889,2.527778,2.527778,135900
1997-11-03,2.472222,2.583333,2.458333,2.472222,2.472222,248400
1997-11-10,2.472222,2.555556,2.472222,2.472222,2.472222,207000
1997-11-17,2.472222,2.569444,2.472222,2.555556,2.555556,179100
1997-11-24,2.569444,2.569444,2.472222,2.555556,2.555556,124200
1997-12-01,2.555556,2.597222,2.555556,2.583333,2.583333,269100
1997-12-08,2.583333,2.597222,2.472222,2.472222,2.472222,693900
1997-12-15,2.444444,2.486111,2.319444,2.451389,2.451389,612900
1997-12-22,2.458333,2.496522,2.402778,2.458333,2.458333,361800
1997-12-29,2.597222,2.611111,2.472222,2.611111,2.611111,240300
1998-01-05,2.569444,2.666667,2.194444,2.305556,2.305556,6791400
1998-01-12,2.277778,2.548611,2.263889,2.520833,2.520833,15450300
1998-01-19,2.541667,2.555556,2.486111,2.503467,2.503467,319500
1998-01-26,2.555556,2.611111,2.472222,2.472222,2.472222,481500
1998-02-02,2.472222,2.611111,2.444444,2.583333,2.583333,666900
1998-02-09,2.555556,2.625000,2.416667,2.472222,2.472222,449100
1998-02-16,2.472222,2.652778,2.444444,2.527778,2.527778,320400
1998-02-23,2.638889,2.638889,2.472222,2.597222,2.597222,725400
1998-03-02,2.583333,2.652778,2.472222,2.652778,2.652778,673200
1998-03-09,2.555556,2.666667,2.555556,2.611111,2.611111,5371200
1998-03-16,2.597222,2.611111,2.527778,2.569444,2.569444,2239200
1998-03-23,2.555556,2.666667,2.555556,2.652778,2.652778,2494800
1998-03-30,2.638889,2.833333,2.611111,2.638889,2.638889,903600
1998-04-06,2.722222,2.777778,2.611111,2.652778,2.652778,1580400
1998-04-13,2.722222,2.819444,2.708333,2.708333,2.708333,826200
1998-04-20,2.708333,2.791667,2.625000,2.791667,2.791667,1512000
1998-04-27,2.763889,2.791667,2.722222,2.791667,2.791667,2235600
1998-05-04,2.788189,2.791667,2.638889,2.680556,2.680556,969300
1998-05-11,2.694444,2.694444,2.527778,2.638889,2.638889,1473300
1998-05-18,2.638889,2.791667,2.638889,2.666667,2.666667,707400
1998-05-25,2.666667,2.777778,2.611111,2.763889,2.763889,770400
1998-06-01,2.750000,2.750000,2.597222,2.694444,2.694444,567000
1998-06-08,2.694444,2.722222,2.583333,2.597222,2.597222,1474200
1998-06-15,2.583333,2.652778,2.555556,2.652778,2.652778,765900
1998-06-22,2.694444,2.791667,2.694444,2.777778,2.777778,1558800
1998-06-29,2.770833,2.777778,2.625000,2.680556,2.680556,641700
1998-07-06,2.680556,2.777778,2.680556,2.777778,2.777778,1058400
1998-07-13,2.750000,2.777778,2.736111,2.750000,2.750000,961200
1998-07-20,2.777778,2.833333,2.722222,2.763889,2.763889,5105700
