Date,Open,High,Low,Close,Adj Close,Volume
2011-04-18,27.250000,29.049999,26.750000,29.049999,28.145893,23635600
2011-04-25,28.959999,29.049999,27.170000,27.600000,26.741024,2283200
2011-05-02,27.500000,27.750000,26.400000,26.760000,25.927168,2217400
2011-05-09,26.930000,28.969999,26.750000,28.950001,28.049009,1294700
2011-05-16,28.799999,29.940001,28.480000,29.700001,28.775665,2183200
2011-05-23,29.650000,29.650000,27.900000,28.430000,27.545193,450000
2011-05-30,28.450001,28.830000,26.370001,26.370001,25.549301,1219600
2011-06-06,26.430000,26.559999,24.290001,24.910000,24.134741,3842100
2011-06-13,25.080000,26.450001,24.889999,25.900000,25.093929,2914100
2011-06-20,25.840000,26.219999,23.540001,23.549999,22.817068,5574000
2011-06-27,23.549999,25.120001,23.020000,25.059999,24.280071,2228900
2011-07-04,24.920000,25.360001,24.750000,25.020000,24.241318,1377900
2011-07-11,24.730000,25.000000,24.350000,24.719999,23.950653,1472600
2011-07-18,24.660000,25.030001,24.400000,24.950001,24.173498,1315000
2011-07-25,24.730000,25.150000,24.209999,24.430000,23.669676,615800
2011-08-01,24.660000,24.670000,22.000000,22.520000,21.819122,1389800
2011-08-08,21.920000,24.790001,19.870001,22.559999,21.857878,1909800
2011-08-15,22.799999,23.240000,20.959999,21.150000,20.491764,716800
2011-08-22,21.639999,22.110001,21.030001,21.879999,21.199043,1291100
2011-08-29,22.200001,22.969999,21.900000,21.959999,21.276550,588000
2011-09-05,21.389999,22.070000,21.090000,21.110001,20.453007,817600
2011-09-12,20.879999,21.459999,20.219999,20.240000,19.610081,762300
2011-09-19,20.010000,20.590000,18.320000,19.879999,19.261284,1187700
2011-09-26,19.959999,21.930000,19.139999,19.200001,18.602451,2717100
2011-10-03,19.040001,19.180000,17.240000,18.480000,17.904858,1832000
2011-10-10,18.879999,19.900000,18.629999,19.410000,18.805914,962400
2011-10-17,19.180000,22.280001,19.129999,22.240000,21.547838,2043200
2011-10-24,22.250000,23.290001,21.840000,22.590000,21.886942,1364600
2011-10-31,22.180000,23.400000,21.530001,22.820000,22.109787,1160000
2011-11-07,22.700001,23.370001,21.450001,23.160000,22.439205,1579500
2011-11-14,23.040001,23.309999,20.879999,22.680000,21.974146,4908800
2011-11-21,22.299999,22.900000,21.059999,22.230000,21.538145,1677300
2011-11-28,22.629999,23.250000,21.430000,23.150000,22.429518,5836900
2011-12-05,23.500000,23.570000,22.990000,23.000000,22.284185,1118500
2011-12-12,22.959999,23.600000,21.730000,22.500000,21.799751,2045500
2011-12-19,22.590000,23.950001,22.510000,23.549999,22.817068,2075900
2011-12-26,23.500000,23.940001,23.379999,23.709999,22.972090,811100
2012-01-02,23.920000,24.000000,23.100000,23.280001,22.555471,839700
2012-01-09,23.389999,25.049999,23.320000,24.990000,24.212255,1923000
2012-01-16,25.110001,25.209999,24.389999,24.900000,24.125053,768400
2012-01-23,24.900000,25.830000,24.100000,25.360001,24.570734,1824300
2012-01-30,25.260000,26.040001,24.639999,25.379999,24.590113,2903200
2012-02-06,25.370001,25.980000,24.959999,25.270000,24.483540,1818300
2012-02-13,25.309999,26.469999,24.750000,25.860001,25.055180,1938100
2012-02-20,25.920000,26.240000,24.920000,24.990000,24.212255,1307700
2012-02-27,24.760000,25.280001,24.209999,24.650000,23.882833,2342100
2012-03-05,24.620001,25.070000,23.629999,24.400000,23.640614,1344700
2012-03-12,24.580000,24.670000,23.690001,24.309999,23.553417,2909400
2012-03-19,24.320000,25.340000,23.930000,24.370001,23.611551,2059400
2012-03-26,24.459999,25.190001,23.740000,24.070000,23.320885,2077100
2012-04-02,24.010000,24.330000,23.070000,23.520000,22.788004,1148900
2012-04-09,23.230000,23.590000,22.600000,23.290001,22.565159,1051400
2012-04-16,23.370001,25.000000,23.170000,24.900000,24.125053,1779500
2012-04-23,24.770000,24.930000,23.650000,23.770000,23.030224,2208600
2012-04-30,23.879999,24.049999,22.540001,23.200001,22.477964,3023500
2012-05-07,23.139999,24.240000,22.940001,23.900000,23.156178,1905300
2012-05-14,23.790001,23.920000,20.230000,20.610001,19.968565,4453200
2012-05-21,20.590000,21.200001,20.240000,20.780001,20.133274,1458100
2012-05-28,21.030001,21.400000,20.170000,20.410000,19.774792,1220600
2012-06-04,20.440001,21.049999,19.860001,20.400000,19.765099,2495900
2012-06-11,20.520000,20.650000,19.889999,19.900000,19.280666,3702500
2012-06-18,19.860001,20.889999,19.350000,19.379999,18.776848,5692400
2012-06-25,19.299999,19.820000,18.660000,19.389999,18.786535,1804400
2012-07-02,19.389999,20.280001,18.990000,19.219999,18.621828,1079300
2012-07-09,19.209999,19.570000,18.920000,19.070000,18.476500,1330900
2012-07-16,19.070000,19.410000,18.450001,19.389999,18.786535,2657700
2012-07-23,19.139999,19.690001,18.820000,19.490000,18.883427,1785900
2012-07-30,19.500000,20.650000,19.230000,20.500000,19.861984,1257200
2012-08-06,20.559999,21.809999,20.490000,21.010000,20.356121,1707100
2012-08-13,21.000000,21.510000,19.879999,21.290001,20.627407,1298600
2012-08-20,21.330000,21.790001,20.740000,21.030001,20.375500,1383700
2012-08-27,21.090000,21.320000,20.480000,20.620001,19.978260,1006100
2012-09-03,20.719999,22.629999,20.700001,22.459999,21.760992,2104500
2012-09-10,22.549999,22.790001,22.170000,22.290001,21.596285,1375400
2012-09-17,22.280001,22.340000,20.000000,21.200001,20.540205,4142900
2012-09-24,21.080000,21.200001,20.120001,20.400000,19.765099,1608700
2012-10-01,20.480000,20.790001,20.160000,20.719999,20.075142,1744400
2012-10-08,20.780001,21.010000,20.480000,20.570000,19.929811,1052700
2012-10-15,20.559999,20.940001,20.129999,20.469999,19.832924,1105200
2012-10-22,20.480000,20.850000,20.180000,20.850000,20.201099,1499700
2012-10-29,21.040001,21.510000,20.690001,21.070000,20.414249,1074100
2012-11-05,21.070000,22.580000,20.940001,22.090000,21.402506,2683400
2012-11-12,22.510000,23.170000,21.990000,22.530001,21.828817,3171300
2012-11-19,22.700001,23.110001,22.100000,22.420000,21.722235,1506900
2012-11-26,22.459999,22.750000,22.120001,22.250000,21.557529,2126300
2012-12-03,22.450001,22.719999,22.020000,22.709999,22.003214,2495400
2012-12-10,22.590000,22.950001,21.580000,21.700001,21.024649,1981800
2012-12-17,21.709999,22.400000,21.490000,21.719999,21.044024,2107600
2012-12-24,21.670000,21.799999,21.080000,21.270000,20.608021,1264100
2012-12-31,21.260000,22.330000,21.190001,22.139999,21.450951,1385800
2013-01-07,22.190001,22.620001,21.730000,22.430000,21.731922,1932000
2013-01-14,22.500000,23.459999,22.070000,23.440001,22.710491,2531500
2013-01-21,23.549999,23.990000,22.650000,23.620001,22.884886,1631600
2013-01-28,23.680000,24.469999,23.280001,24.410000,23.650305,1746000
2013-02-04,24.950001,26.330000,24.459999,25.920000,25.113306,1861300
2013-02-11,26.080000,26.500000,25.700001,26.430000,25.607431,2274700
2013-02-18,26.500000,27.350000,26.209999,26.690001,25.859339,2332700
2013-02-25,26.900000,28.600000,25.770000,28.510000,27.622704,3112300
2013-03-04,28.709999,29.719999,28.059999,28.809999,27.913364,2984900
2013-03-11,28.870001,29.870001,28.070000,29.360001,28.446245,2833100
2013-03-18,29.340000,29.540001,28.430000,28.930000,28.029627,2124500
2013-03-25,29.129999,29.360001,28.780001,29.320000,28.432001,1218200
2013-04-01,29.250000,29.270000,26.500000,27.090000,26.269548,2447000
2013-04-08,27.230000,29.379999,27.230000,28.910000,28.034416,1689100
2013-04-15,28.750000,28.940001,26.330000,26.700001,25.891356,1820000
2013-04-22,26.709999,26.840000,25.469999,26.469999,25.668320,1701300
2013-04-29,26.600000,28.540001,26.469999,28.240000,27.384710,1676000
2013-05-06,28.030001,31.000000,28.010000,30.000000,29.091404,3876400
2013-05-13,30.280001,30.400000,28.100000,29.879999,28.975042,3065000
2013-05-20,29.920000,30.520000,28.209999,28.889999,28.015026,1934800
2013-05-27,28.930000,29.660000,27.090000,28.000000,27.151979,6033800
2013-06-03,28.110001,28.799999,26.740000,27.059999,26.240448,3970400
2013-06-10,27.110001,28.129999,26.910000,27.740000,26.899855,2019100
2013-06-17,27.889999,28.459999,25.969999,26.450001,25.672485,1751300
2013-06-24,26.129999,27.799999,25.129999,27.590000,26.778975,3146400
2013-07-01,27.420000,27.719999,27.120001,27.450001,26.643093,1253600
2013-07-08,27.549999,28.440001,27.500000,28.440001,27.603989,2068800
2013-07-15,28.490000,28.850000,28.139999,28.510000,27.671930,3035900
2013-07-22,28.469999,28.879999,27.270000,27.950001,27.128395,2591800
2013-07-29,27.840000,28.240000,27.440001,27.860001,27.041039,1606000
2013-08-05,27.860001,28.100000,26.870001,26.959999,26.167494,2904600
2013-08-12,26.879999,27.340000,26.260000,26.440001,25.662779,3379200
2013-08-19,26.270000,26.730000,25.770000,26.610001,25.827785,1882900
2013-08-26,26.469999,26.860001,25.740000,25.799999,25.041594,1848200
2013-09-02,26.100000,27.070000,25.860001,26.549999,25.769545,1639300
2013-09-09,26.530001,27.450001,26.330000,27.100000,26.303377,1929900
2013-09-16,27.370001,28.500000,27.000000,28.110001,27.308844,2891300
2013-09-23,28.000000,28.100000,27.510000,27.629999,26.842522,2436700
2013-09-30,27.500000,28.650000,27.410000,28.170000,27.367134,2342600
2013-10-07,28.030001,28.780001,27.379999,28.639999,27.823738,2503000
2013-10-14,28.400000,29.000000,28.330000,28.799999,27.979179,2635900
2013-10-21,28.809999,30.250000,28.809999,30.230000,29.368425,2970500
2013-10-28,30.450001,30.820000,29.389999,29.959999,29.106115,2592200
2013-11-04,30.200001,31.860001,29.980000,31.830000,30.922819,2504400
2013-11-11,31.790001,33.450001,31.520000,33.290001,32.341213,2656700
2013-11-18,33.320000,33.570000,30.760000,31.320000,30.427359,9720700
2013-11-25,31.480000,31.889999,31.340000,31.670000,30.767384,3300300
2013-12-02,31.820000,32.000000,30.430000,31.209999,30.320486,3072000
2013-12-09,31.260000,31.730000,30.860001,30.910000,30.029036,2844800
2013-12-16,31.410000,31.520000,30.320000,31.200001,30.339811,4810000
2013-12-23,31.350000,31.620001,30.860001,30.990000,30.135601,2238600
2013-12-30,31.000000,31.240000,30.379999,30.680000,29.834150,1705600
2014-01-06,30.809999,32.040001,30.010000,31.969999,31.088583,3649000
2014-01-13,31.879999,32.160000,30.840000,31.799999,30.923273,3570300
2014-01-20,32.169998,32.950001,31.680000,31.709999,30.835747,3139900
2014-01-27,31.700001,32.520000,31.110001,31.480000,30.612087,3154200
2014-02-03,31.400000,31.930000,30.350000,31.490000,30.621815,2684100
2014-02-10,31.530001,33.310001,30.860001,33.290001,32.372189,4532000
2014-02-17,33.310001,35.900002,33.270000,35.369999,34.394833,4780400
2014-02-24,35.320000,38.009998,34.500000,36.950001,35.931282,5116000
2014-03-03,36.549999,37.209999,35.900002,36.759998,35.746521,3865700
2014-03-10,36.750000,37.480000,36.139999,36.520000,35.513138,2585700
2014-03-17,36.779999,38.150002,36.779999,37.290001,36.261917,3634800
2014-03-24,37.419998,37.820000,35.660000,36.560001,35.580585,2580200
2014-03-31,36.910000,38.070000,36.799999,37.380001,36.378616,2696300
2014-04-07,37.209999,37.970001,35.779999,36.000000,35.035580,3941700
2014-04-14,36.349998,36.599998,35.450001,36.320000,35.347012,2904000
2014-04-21,36.529999,37.009998,35.950001,35.990002,35.025856,3602100
2014-04-28,36.119999,36.750000,34.099998,36.610001,35.629238,3409100
2014-05-05,36.509998,40.360001,36.150002,38.740002,37.702183,4898900
2014-05-12,39.000000,40.070000,37.830002,38.369999,37.342091,3832200
2014-05-19,38.459999,38.980000,38.040001,38.709999,37.672981,4026900
2014-05-26,39.150002,41.349998,39.099998,41.259998,40.154675,5677800
2014-06-02,41.630001,42.889999,41.080002,42.439999,41.303055,5672200
2014-06-09,42.439999,42.840000,36.750000,37.950001,36.933342,10772600
2014-06-16,37.900002,39.410000,37.529999,39.200001,38.177799,6119900
2014-06-23,39.139999,39.430000,38.009998,38.180000,37.184399,5079700
2014-06-30,38.310001,39.020000,38.250000,38.480000,37.476574,2132800
2014-07-07,38.480000,38.509998,35.830002,36.709999,35.752731,4750100
2014-07-14,36.720001,37.939999,36.610001,37.509998,36.531860,3564800
2014-07-21,37.450001,37.500000,36.220001,36.360001,35.411861,2835900
2014-07-28,36.290001,36.480000,33.919998,34.529999,33.629578,3462000
2014-08-04,36.049999,37.279999,34.689999,37.160000,36.190990,4883400
2014-08-11,37.389999,37.849998,35.650002,36.070000,35.129421,3215500
2014-08-18,36.259998,37.990002,36.259998,37.669998,36.687702,2143200
2014-08-25,37.840000,38.770000,37.509998,37.900002,36.911697,2015700
2014-09-01,38.009998,39.000000,37.369999,37.709999,36.726654,2861900
2014-09-08,37.590000,38.040001,36.509998,36.860001,35.898819,2549500
2014-09-15,36.700001,36.770000,34.830002,34.889999,34.007492,4524300
2014-09-22,34.709999,34.759998,32.880001,33.279999,32.438210,4739200
2014-09-29,32.959999,33.380001,31.670000,33.250000,32.408978,4956600
2014-10-06,33.450001,34.000000,31.500000,31.840000,31.034636,5029600
2014-10-13,31.840000,32.990002,30.549999,32.490002,31.668196,4095100
2014-10-20,32.389999,35.160000,32.060001,35.119999,34.231670,3593200
2014-10-27,34.869999,36.930000,34.509998,36.590000,35.664494,3101300
2014-11-03,36.779999,38.080002,36.139999,37.599998,36.648937,3307500
2014-11-10,37.619999,38.020000,36.669998,36.970001,36.034878,2410700
2014-11-17,36.930000,38.200001,36.490002,37.459999,36.512486,2422600
2014-11-24,37.520000,38.959999,37.520000,38.029999,37.068066,1950100
2014-12-01,37.900002,37.980000,36.689999,37.430000,36.483234,2772500
2014-12-08,37.340000,37.650002,32.580002,32.590000,31.765667,3858800
2014-12-15,32.990002,34.520000,31.049999,34.380001,33.547722,4327500
2014-12-22,34.340000,34.950001,33.919998,34.709999,33.869740,2038200
2014-12-29,34.750000,35.119999,34.020000,34.400002,33.567245,1347700
2015-01-05,34.150002,34.490002,32.509998,33.220001,32.415810,3654200
2015-01-12,33.180000,34.029999,32.220001,33.180000,32.376778,3444200
2015-01-19,33.299999,34.770000,33.009998,34.549999,33.713604,1728300
2015-01-26,34.549999,35.709999,34.259998,34.939999,34.094170,4409100
2015-02-02,35.139999,38.139999,34.459999,37.630001,36.719051,4389200
2015-02-09,37.310001,38.779999,37.099998,38.650002,37.714352,3242700
2015-02-16,38.610001,39.290001,38.009998,39.290001,38.338863,2339000
2015-02-23,39.400002,40.400002,38.220001,38.240002,37.314285,5703500
2015-03-02,38.240002,39.000000,37.430000,37.990002,37.070335,4485800
2015-03-09,38.099998,38.369999,36.619999,37.070000,36.172607,3544300
2015-03-16,37.169998,39.000000,37.099998,38.880001,37.938797,1810800
2015-03-23,38.820000,39.000000,37.500000,37.919998,37.041298,1778100
2015-03-30,38.099998,38.770000,37.509998,37.990002,37.109680,2147100
2015-04-06,37.830002,39.220001,37.750000,39.189999,38.281868,2347200
2015-04-13,39.029999,39.430000,38.369999,38.910000,38.008358,1872100
2015-04-20,39.099998,39.430000,38.320000,38.750000,37.852066,1692900
2015-04-27,38.799999,40.080002,38.310001,39.930000,39.004723,2323400
2015-05-04,39.919998,40.150002,38.520000,39.020000,38.115810,3485800
2015-05-11,39.130001,40.490002,38.630001,40.060001,39.131718,4055300
2015-05-18,39.700001,39.840000,38.080002,38.320000,37.432034,4117800
2015-05-25,38.250000,38.310001,37.450001,37.630001,36.758022,1960600
2015-06-01,37.709999,39.080002,36.529999,36.759998,35.908176,3685800
2015-06-08,36.700001,37.049999,35.560001,35.619999,34.794598,2720200
2015-06-15,35.490002,36.160000,35.299999,35.740002,34.950569,2612400
2015-06-22,35.910000,36.619999,34.930000,35.150002,34.373589,2481400
2015-06-29,34.869999,34.959999,33.689999,33.900002,33.151203,2836300
2015-07-06,33.700001,34.009998,32.660000,33.860001,33.112099,3438300
2015-07-13,34.150002,34.820000,33.869999,34.669998,33.904202,1921300
2015-07-20,34.669998,35.009998,33.580002,33.810001,33.063190,2518200
2015-07-27,33.490002,35.759998,32.910000,35.349998,34.569183,5669300
2015-08-03,35.290001,36.580002,34.630001,36.349998,35.547089,4409400
2015-08-10,36.509998,37.139999,34.880001,35.290001,34.510506,3782900
2015-08-17,35.200001,35.810001,31.770000,31.959999,31.254059,4068200
2015-08-24,30.000000,32.470001,28.120001,31.950001,31.244280,5551600
2015-08-31,31.709999,32.450001,30.730000,30.959999,30.276144,2278400
2015-09-07,31.500000,32.330002,31.100000,31.719999,31.019354,1725000
2015-09-14,31.700001,33.259998,31.250000,32.270000,31.598030,3077500
2015-09-21,32.849998,33.910000,32.040001,32.930000,32.244297,4506200
2015-09-28,32.590000,32.599998,29.740000,31.530001,30.873444,4477900
2015-10-05,31.820000,34.919998,31.440001,34.480000,33.762012,4097400
2015-10-12,34.500000,34.950001,31.260000,32.570000,31.891788,7816800
2015-10-19,32.419998,34.849998,32.349998,34.470001,33.752220,3807900
2015-10-26,34.459999,34.619999,32.950001,33.709999,33.008049,3775700
