Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.850340,0.935374,0.850340,0.850340,0.579939,52400
1980-03-24,0.850340,0.878685,0.793651,0.850340,0.579939,157200
1980-03-31,0.850340,0.907029,0.850340,0.878685,0.599271,40000
1980-04-07,0.878685,0.907029,0.793651,0.850340,0.579939,163200
1980-04-14,0.850340,0.850340,0.765306,0.793651,0.541277,487600
1980-04-21,0.793651,0.850340,0.793651,0.850340,0.579939,136800
1980-04-28,0.850340,0.878685,0.793651,0.878685,0.599271,107200
1980-05-05,0.878685,0.878685,0.821995,0.821995,0.560608,86400
1980-05-12,0.821995,0.878685,0.821995,0.850340,0.579939,38400
1980-05-19,0.850340,0.878685,0.821995,0.821995,0.560608,43600
1980-05-26,0.821995,0.850340,0.821995,0.850340,0.579939,30800
1980-06-02,0.850340,0.850340,0.821995,0.850340,0.579939,71600
1980-06-09,0.850340,0.878685,0.821995,0.850340,0.579939,86800
1980-06-16,0.850340,0.850340,0.821995,0.850340,0.579939,86800
1980-06-23,0.850340,0.878685,0.821995,0.878685,0.599271,62800
1980-06-30,0.878685,0.907029,0.850340,0.907029,0.618602,181200
1980-07-07,0.907029,0.935374,0.878685,0.907029,0.618602,91200
1980-07-14,0.907029,0.907029,0.878685,0.878685,0.599271,61200
1980-07-21,0.878685,0.907029,0.878685,0.878685,0.599271,116400
1980-07-28,0.878685,0.907029,0.878685,0.907029,0.618602,88400
1980-08-04,0.907029,0.935374,0.878685,0.907029,0.618602,126000
1980-08-11,0.907029,0.935374,0.907029,0.907029,0.618602,89200
1980-08-18,0.907029,0.963719,0.878685,0.878685,0.599271,108800
1980-08-25,0.878685,0.935374,0.878685,0.907029,0.618602,122800
1980-09-01,0.907029,0.963719,0.878685,0.963719,0.657264,210000
1980-09-08,0.963719,0.992063,0.878685,0.935374,0.637933,296800
1980-09-15,0.935374,0.963719,0.907029,0.907029,0.618602,202800
1980-09-22,0.907029,0.935374,0.850340,0.878685,0.599271,235200
1980-09-29,0.878685,0.907029,0.850340,0.878685,0.599271,76000
1980-10-06,0.878685,0.907029,0.878685,0.907029,0.618602,54000
1980-10-13,0.907029,0.935374,0.878685,0.878685,0.599271,70800
1980-10-20,0.878685,1.105442,0.878685,1.105442,0.753920,534800
