Date,Open,High,Low,Close,Adj Close,Volume
1996-02-26,2.250000,2.375000,2.125000,2.312500,2.312500,4064000
1996-03-04,2.281250,2.312500,2.093750,2.093750,2.093750,2690800
1996-03-11,2.093750,2.187500,2.093750,2.187500,2.187500,732000
1996-03-18,2.187500,2.187500,2.093750,2.093750,2.093750,422000
1996-03-25,2.093750,2.187500,2.093750,2.093750,2.093750,310800
1996-04-01,2.187500,2.250000,2.093750,2.218750,2.218750,954400
1996-04-08,2.218750,2.234375,2.187500,2.187500,2.187500,993200
1996-04-15,2.234375,2.234375,2.156250,2.156250,2.156250,689600
1996-04-22,2.218750,2.218750,2.156250,2.156250,2.156250,549200
1996-04-29,2.156250,2.312500,2.156250,2.312500,2.312500,748000
1996-05-06,2.312500,2.937500,2.250000,2.687500,2.687500,1693600
1996-05-13,2.718750,2.781250,2.375000,2.531250,2.531250,877200
1996-05-20,2.500000,2.718750,2.375000,2.500000,2.500000,927600
1996-05-27,2.593750,2.593750,2.468750,2.593750,2.593750,350400
1996-06-03,2.468750,2.593750,2.468750,2.468750,2.468750,479600
1996-06-10,2.531250,2.531250,2.468750,2.500000,2.500000,247600
1996-06-17,2.468750,2.531250,2.281250,2.281250,2.281250,1612000
1996-06-24,2.281250,2.343750,2.156250,2.187500,2.187500,823200
1996-07-01,2.187500,2.250000,2.062500,2.062500,2.062500,1566400
1996-07-08,2.062500,2.125000,1.531250,1.593750,1.593750,1371600
1996-07-15,1.625000,1.656250,1.500000,1.593750,1.593750,501200
1996-07-22,1.593750,1.656250,1.500000,1.593750,1.593750,421200
1996-07-29,1.593750,1.593750,1.500000,1.500000,1.500000,421200
1996-08-05,1.500000,1.750000,1.500000,1.750000,1.750000,586400
1996-08-12,1.750000,1.812500,1.656250,1.750000,1.750000,411200
1996-08-19,1.750000,1.781250,1.718750,1.781250,1.781250,68400
1996-08-26,1.781250,2.156250,1.750000,2.125000,2.125000,228000
1996-09-02,2.093750,2.093750,1.875000,1.875000,1.875000,432000
1996-09-09,1.875000,1.875000,1.812500,1.812500,1.812500,134800
1996-09-16,1.875000,1.875000,1.750000,1.781250,1.781250,146400
1996-09-23,1.843750,2.593750,1.781250,2.468750,2.468750,1200000
1996-09-30,2.468750,2.625000,2.468750,2.500000,2.500000,1126000
1996-10-07,2.531250,2.562500,2.468750,2.468750,2.468750,614400
