Date,Open,High,Low,Close,Adj Close,Volume
2018-04-23,39.000000,40.000000,38.000000,38.000000,38.000000,1229800
2018-04-30,37.500000,38.990002,33.345001,34.500000,34.500000,2836300
2018-05-07,34.529999,43.110001,34.529999,38.049999,38.049999,33813000
2018-05-14,37.740002,45.939999,37.570000,44.889999,44.889999,20161100
2018-05-21,45.250000,46.110001,43.810001,43.990002,43.990002,5283200
2018-05-28,43.380001,44.730000,40.779999,41.250000,41.250000,3523500
2018-06-04,41.320000,43.060001,38.900002,41.509998,41.509998,4072500
2018-06-11,41.500000,43.639999,37.139999,37.549999,37.549999,6556000
2018-06-18,37.700001,39.160000,36.220001,38.689999,38.689999,3881400
2018-06-25,37.810001,42.490002,36.799999,41.750000,41.750000,3675200
2018-07-02,41.169998,42.169998,38.720001,38.750000,38.750000,966500
2018-07-09,40.000000,41.744999,39.360001,40.549999,40.549999,2994600
2018-07-16,40.200001,40.258999,37.439999,37.549999,37.549999,2338500
2018-07-23,37.709999,39.549999,35.020000,38.889999,38.889999,3312100
2018-07-30,39.400002,41.669998,38.770000,40.470001,40.470001,2434300
2018-08-06,40.540001,43.669998,40.060001,43.230000,43.230000,1968100
