Date,Open,High,Low,Close,Adj Close,Volume
2006-01-23,23.600000,29.879999,23.400000,29.150000,23.459387,5961900
2006-01-30,30.049999,31.990000,25.620001,28.020000,22.549984,2687800
2006-02-06,28.500000,29.799999,27.250000,29.500000,23.741064,823800
2006-02-13,29.730000,33.950001,28.549999,33.320000,26.815331,1742400
2006-02-20,33.650002,34.380001,31.379999,33.540001,26.992382,541300
2006-02-27,34.000000,34.650002,31.799999,34.509998,27.773014,890500
2006-03-06,34.799999,36.220001,28.440001,29.219999,23.515720,1831500
2006-03-13,30.400000,34.950001,29.879999,33.459999,26.927998,1433300
2006-03-20,33.209999,36.139999,31.790001,35.500000,28.569750,1052800
2006-03-27,35.320000,36.939999,34.099998,35.070000,28.249025,1168500
2006-04-03,35.000000,36.720001,34.509998,35.389999,28.506792,791000
2006-04-10,35.220001,35.490002,32.500000,34.950001,28.152372,678500
2006-04-17,34.950001,39.700001,34.410000,39.029999,31.438829,1135500
2006-04-24,37.880001,37.919998,34.119999,35.700001,28.756491,1044300
2006-05-01,35.799999,39.830002,35.799999,39.700001,31.978506,1007300
2006-05-08,40.750000,40.959999,37.259998,37.700001,30.367498,937700
2006-05-15,37.400002,37.910000,31.400000,33.000000,26.581631,796300
2006-05-22,32.410000,36.130001,30.570000,35.980000,28.982035,943100
2006-05-29,35.689999,35.889999,32.990002,33.580002,27.048819,581700
2006-06-05,33.340000,33.700001,28.990000,30.000000,24.165123,1040000
2006-06-12,30.190001,30.350000,26.760000,27.740000,22.344683,1305700
2006-06-19,27.760000,31.309999,25.820000,30.430000,24.511488,924900
2006-06-26,30.680000,33.180000,28.520000,33.110001,26.670235,1159400
2006-07-03,32.709999,33.470001,31.400000,32.040001,25.834230,470900
2006-07-10,32.169998,32.410000,26.879999,27.270000,21.988117,439300
2006-07-17,27.299999,30.190001,26.320000,27.790001,22.407400,595000
2006-07-24,27.660000,29.850000,26.719999,27.879999,22.479967,661500
2006-07-31,27.760000,28.990000,27.080000,28.110001,22.665424,505000
2006-08-07,27.840000,28.700001,26.350000,27.549999,22.213884,1233500
2006-08-14,27.770000,30.889999,27.250000,30.809999,24.842459,540000
2006-08-21,30.990000,30.990000,28.000000,28.570000,23.036322,442200
2006-08-28,28.520000,30.549999,28.100000,29.879999,24.092590,304400
2006-09-04,29.879999,30.139999,26.990000,27.129999,21.875237,574400
2006-09-11,27.049999,29.200001,26.959999,28.020000,22.592852,502600
2006-09-18,28.090000,29.420000,27.070000,27.650000,22.294519,369000
2006-09-25,27.809999,29.650000,27.299999,29.110001,23.471733,347200
2006-10-02,29.160000,29.459999,27.559999,27.700001,22.334833,471600
2006-10-09,27.709999,29.200001,27.400000,28.969999,23.383858,327200
2006-10-16,29.000000,31.059999,28.920000,29.299999,23.650223,492700
2006-10-23,29.299999,32.619999,29.030001,32.299999,26.071753,436500
2006-10-30,32.200001,32.200001,29.350000,29.790001,24.045744,250500
2006-11-06,29.980000,33.349998,29.870001,32.619999,26.330051,671400
2006-11-13,32.459999,33.810001,31.910000,32.490002,26.225115,613500
2006-11-20,32.380001,32.480000,31.740000,32.200001,25.991034,151700
2006-11-27,32.139999,33.250000,31.400000,32.259998,26.039465,349300
2006-12-04,32.459999,33.799999,32.290001,32.919998,26.572203,175600
2006-12-11,33.000000,34.000000,32.360001,32.820000,26.491482,342700
2006-12-18,33.369999,34.439999,32.090000,32.810001,26.483418,305500
2006-12-25,32.700001,34.480000,32.700001,34.040001,27.476233,161700
2007-01-01,34.360001,34.360001,31.030001,31.350000,25.304937,302200
2007-01-08,31.480000,32.070000,30.080000,31.719999,25.626617,301500
2007-01-15,31.780001,32.139999,28.520000,28.600000,23.105970,312600
2007-01-22,28.600000,30.209999,27.799999,29.740000,24.026976,527600
2007-01-29,29.830000,29.959999,28.950001,29.309999,23.679577,593200
