Date,Open,High,Low,Close,Adj Close,Volume
2003-07-21,0.300000,1.400000,0.300000,1.350000,1.350000,34337900
2003-07-28,1.300000,1.850000,1.100000,1.780000,1.780000,17122600
2003-08-04,1.780000,1.780000,1.450000,1.510000,1.510000,4383200
2003-08-11,1.510000,1.900000,1.510000,1.510000,1.510000,5419800
2003-08-18,1.560000,1.860000,1.470000,1.840000,1.840000,13184600
2003-08-25,1.850000,2.520000,1.840000,2.350000,2.350000,12099800
2003-09-01,2.390000,2.550000,2.270000,2.480000,2.480000,8097000
2003-09-08,2.510000,2.530000,2.180000,2.430000,2.430000,5077400
2003-09-15,2.470000,2.750000,2.300000,2.720000,2.720000,7004100
2003-09-22,2.680000,2.700000,2.580000,2.590000,2.590000,2217200
2003-09-29,2.590000,2.600000,2.400000,2.560000,2.560000,4429000
2003-10-06,2.550000,3.180000,2.550000,3.160000,3.160000,3997200
2003-10-13,3.190000,3.750000,3.000000,3.480000,3.480000,3944200
2003-10-20,3.560000,3.560000,2.890000,3.100000,3.100000,3047100
2003-10-27,3.110000,3.520000,3.110000,3.500000,3.500000,1556900
2003-11-03,3.490000,3.700000,3.100000,3.310000,3.310000,3131900
2003-11-10,3.350000,3.600000,3.050000,3.600000,3.600000,4353800
2003-11-17,3.590000,4.200000,3.350000,3.950000,3.950000,3577500
2003-11-24,3.930000,3.950000,3.800000,3.950000,3.950000,1049700
2003-12-01,3.950000,4.020000,3.760000,3.800000,3.800000,935800
2003-12-08,3.790000,3.800000,3.300000,3.500000,3.500000,1643300
2003-12-15,3.480000,4.100000,3.330000,4.090000,4.090000,3260800
2003-12-22,4.100000,4.240000,3.800000,4.140000,4.140000,1211200
2003-12-29,4.130000,4.500000,4.130000,4.280000,4.280000,1602700
2004-01-05,4.260000,4.760000,4.250000,4.750000,4.750000,2220000
2004-01-12,4.750000,5.130000,4.640000,5.110000,5.110000,2235600
2004-01-19,5.100000,5.140000,4.700000,5.070000,5.070000,1704800
2004-01-26,5.100000,6.000000,5.050000,5.550000,5.550000,3702400
2004-02-02,5.450000,6.000000,5.430000,5.550000,5.550000,2470300
2004-02-09,5.610000,5.660000,5.150000,5.380000,5.380000,2044600
2004-02-16,7.040000,7.440000,6.210000,7.390000,7.390000,15813300
