Date,Open,High,Low,Close,Adj Close,Volume
1993-03-08,25.000000,27.500000,25.000000,26.250000,26.250000,2873800
1993-03-15,26.750000,27.250000,24.250000,24.750000,24.750000,1588500
1993-03-22,25.000000,25.375000,23.750000,25.250000,25.250000,686700
1993-03-29,25.500000,25.500000,24.250000,24.500000,24.500000,313900
1993-04-05,25.250000,25.250000,22.000000,22.000000,22.000000,821000
1993-04-12,22.500000,22.500000,19.000000,20.750000,20.750000,989900
1993-04-19,20.750000,24.500000,20.000000,24.500000,24.500000,387800
1993-04-26,23.750000,24.500000,23.250000,24.000000,24.000000,281900
1993-05-03,23.750000,24.500000,23.500000,23.500000,23.500000,96400
1993-05-10,23.500000,24.500000,22.750000,23.250000,23.250000,132500
1993-05-17,24.000000,24.000000,22.750000,23.125000,23.125000,129200
1993-05-24,23.000000,23.750000,21.750000,22.750000,22.750000,161700
1993-05-31,22.750000,22.750000,21.500000,22.250000,22.250000,229700
1993-06-07,21.500000,22.250000,19.250000,20.500000,20.500000,579100
1993-06-14,21.250000,21.250000,20.000000,20.000000,20.000000,203700
1993-06-21,20.000000,20.750000,19.500000,20.000000,20.000000,155100
1993-06-28,20.000000,20.250000,19.250000,20.000000,20.000000,253700
1993-07-05,20.000000,22.750000,19.250000,22.000000,22.000000,247400
1993-07-12,22.500000,25.250000,21.750000,25.000000,25.000000,501800
1993-07-19,25.000000,25.000000,22.500000,22.750000,22.750000,539800
1993-07-26,22.750000,24.500000,20.500000,21.000000,21.000000,1342000
1993-08-02,21.000000,22.500000,21.000000,22.250000,22.250000,302800
1993-08-09,21.750000,22.500000,17.750000,20.750000,20.750000,1774700
1993-08-16,20.750000,21.000000,19.500000,20.250000,20.250000,399400
1993-08-23,19.500000,20.250000,18.250000,18.750000,18.750000,802200
1993-08-30,19.250000,19.250000,16.500000,18.000000,18.000000,755800
1993-09-06,17.500000,18.250000,17.250000,17.500000,17.500000,304000
1993-09-13,17.750000,18.250000,16.250000,18.250000,18.250000,939700
1993-09-20,18.250000,18.250000,16.000000,17.750000,17.750000,461600
1993-09-27,17.750000,20.500000,17.500000,20.000000,20.000000,740300
1993-10-04,20.250000,21.250000,19.750000,20.750000,20.750000,315100
1993-10-11,21.250000,22.750000,20.250000,22.750000,22.750000,648100
1993-10-18,23.000000,25.250000,21.250000,21.250000,21.250000,778000
1993-10-25,22.000000,23.750000,19.750000,23.000000,23.000000,569200
1993-11-01,23.000000,24.750000,21.250000,22.250000,22.250000,855900
1993-11-08,21.500000,23.250000,20.750000,22.875000,22.875000,407800
1993-11-15,23.250000,23.250000,21.250000,21.250000,21.250000,351400
1993-11-22,21.000000,21.500000,19.750000,20.000000,20.000000,355300
1993-11-29,20.500000,20.750000,19.750000,20.000000,20.000000,564300
1993-12-06,19.750000,20.250000,19.750000,20.125000,20.125000,288300
1993-12-13,19.750000,20.250000,17.625000,18.125000,18.125000,630300
1993-12-20,17.500000,18.250000,17.000000,17.750000,17.750000,501600
1993-12-27,17.000000,23.000000,17.000000,21.375000,21.375000,1063400
1994-01-03,21.000000,21.750000,20.500000,21.500000,21.500000,359200
1994-01-10,21.625000,22.000000,20.750000,20.750000,20.750000,512000
