Date,Open,High,Low,Close,Adj Close,Volume
1993-11-22,5.925926,6.518518,5.777778,5.777778,5.343534,2910000
1993-11-29,5.851852,6.074074,5.777778,5.925926,5.480546,815200
1993-12-06,6.074074,6.074074,5.777778,5.925926,5.480546,866900
1993-12-13,5.925926,6.074074,5.925926,6.074074,5.617559,754100
1993-12-20,6.222222,6.666667,5.925926,6.074074,5.617559,412300
1993-12-27,6.074074,6.666667,6.074074,6.222222,5.754574,342400
1994-01-03,6.518518,7.407407,6.222222,7.407407,6.850684,696300
1994-01-10,7.259259,7.703704,6.962963,7.481482,6.919189,806600
1994-01-17,7.703704,8.592592,7.407407,8.296296,7.672760,1062100
1994-01-24,8.592592,8.592592,8.000000,8.296296,7.672760,341100
1994-01-31,8.444445,8.444445,7.703704,7.703704,7.124710,273400
1994-02-07,7.703704,8.148149,7.407407,7.629630,7.056203,230800
1994-02-14,8.000000,8.296296,7.407407,7.703704,7.124710,265100
1994-02-21,7.407407,8.296296,7.407407,8.148149,7.535750,375600
1994-02-28,8.296296,8.296296,7.703704,8.000000,7.398738,415100
1994-03-07,8.000000,8.296296,8.000000,8.074074,7.467243,107200
1994-03-14,8.296296,8.296296,7.851852,8.000000,7.398738,285900
1994-03-21,7.851852,8.592592,7.703704,8.148149,7.535750,329500
1994-03-28,8.148149,8.592592,7.555555,7.703704,7.124710,557800
1994-04-04,7.407407,7.851852,6.962963,7.111111,6.576657,164100
1994-04-11,6.962963,7.407407,6.962963,6.962963,6.439644,53700
1994-04-18,6.962963,7.259259,5.777778,5.925926,5.480546,109900
1994-04-25,5.925926,7.111111,5.925926,6.962963,6.439644,67800
1994-05-02,6.666667,7.555555,6.666667,7.555555,6.987699,264300
1994-05-09,7.259259,7.555555,7.111111,7.259259,6.713670,172600
1994-05-16,7.111111,7.407407,7.111111,7.185185,6.645162,56700
1994-05-23,7.185185,7.259259,6.962963,6.962963,6.439644,32000
1994-05-30,7.259259,7.259259,6.962963,6.962963,6.439644,9900
1994-06-06,6.962963,7.259259,6.962963,6.962963,6.439644,79000
1994-06-13,6.962963,7.259259,6.962963,7.259259,6.713670,30100
1994-06-20,6.962963,7.259259,6.814815,6.814815,6.302629,48600
1994-06-27,6.814815,8.296296,6.814815,7.703704,7.124710,188300
1994-07-04,7.703704,8.000000,7.407407,7.407407,6.850684,45800
1994-07-11,7.851852,8.148149,7.407407,8.148149,7.535750,97700
1994-07-18,7.703704,8.148149,7.703704,8.148149,7.535750,121600
1994-07-25,7.851852,8.296296,7.851852,7.851852,7.261724,44200
1994-08-01,8.296296,8.296296,7.851852,7.851852,7.261724,5100
1994-08-08,7.851852,8.296296,7.703704,7.703704,7.124710,27900
1994-08-15,7.703704,8.296296,7.407407,8.296296,7.672760,95800
