Date,Open,High,Low,Close,Adj Close,Volume
2008-03-17,18.000000,18.650000,17.680000,18.020000,18.020000,1726200
2008-03-24,18.100000,18.250000,17.219999,18.049999,18.049999,327500
2008-03-31,18.660000,18.680000,17.650000,18.400000,18.400000,245600
2008-04-07,18.500000,20.000000,18.309999,19.809999,19.809999,278800
2008-04-14,20.000000,20.620001,19.250000,20.000000,20.000000,351400
2008-04-21,19.799999,21.500000,17.010000,21.500000,21.500000,251300
2008-04-28,21.620001,24.450001,21.250000,23.000000,23.000000,505300
2008-05-05,23.160000,24.889999,22.559999,23.660000,23.660000,424400
2008-05-12,25.740000,25.740000,23.860001,24.120001,24.120001,629400
2008-05-19,24.280001,24.500000,22.559999,23.180000,23.180000,307000
2008-05-26,23.100000,25.740000,22.920000,25.709999,25.709999,127600
2008-06-02,25.700001,28.990000,25.230000,27.750000,27.750000,296800
2008-06-09,28.389999,28.389999,25.500000,28.139999,28.139999,163100
2008-06-16,28.840000,30.400000,28.559999,30.110001,30.110001,210600
2008-06-23,29.750000,30.110001,26.389999,26.700001,26.700001,561700
2008-06-30,26.379999,28.820000,25.230000,27.360001,27.360001,111400
2008-07-07,27.580000,29.500000,27.250000,28.660000,28.660000,249700
2008-07-14,28.920000,31.049999,28.170000,29.969999,29.969999,170100
2008-07-21,29.799999,30.980000,24.360001,28.950001,28.950001,183400
2008-07-28,29.010000,29.049999,25.440001,28.540001,28.540001,2164500
2008-08-04,28.500000,34.680000,28.299999,34.500000,34.500000,1225400
2008-08-11,34.779999,35.889999,31.160000,33.680000,33.680000,733400
2008-08-18,30.340000,32.320000,30.000000,31.180000,31.180000,549100
2008-08-25,30.930000,32.130001,30.200001,30.500000,30.500000,513900
2008-09-01,30.700001,31.139999,28.110001,30.030001,30.030001,921200
2008-09-08,30.100000,30.980000,28.330000,29.580000,29.580000,283600
2008-09-15,28.309999,28.570000,25.790001,27.740000,27.740000,2366800
2008-09-22,27.750000,27.750000,26.260000,26.830000,26.830000,884500
2008-09-29,26.459999,26.690001,22.000000,23.750000,23.750000,966300
2008-10-06,23.450001,24.389999,21.469999,23.290001,23.290001,1747100
2008-10-13,23.990000,24.990000,22.430000,23.309999,23.309999,627200
2008-10-20,23.660000,24.000000,21.190001,21.600000,21.600000,1028800
2008-10-27,21.340000,26.879999,19.510000,25.590000,25.590000,1587600
2008-11-03,25.799999,26.090000,22.799999,23.330000,23.330000,1185700
2008-11-10,23.680000,23.940001,21.670000,22.600000,22.600000,624900
2008-11-17,22.240000,22.240000,17.420000,18.510000,18.510000,809600
2008-11-24,18.790001,20.370001,18.420000,19.879999,19.879999,633200
2008-12-01,19.530001,19.750000,17.260000,17.600000,17.600000,453200
2008-12-08,17.900000,19.500000,16.850000,19.010000,19.010000,816900
2008-12-15,19.190001,22.570000,18.530001,22.260000,22.260000,917600
2008-12-22,22.309999,22.660000,21.309999,22.360001,22.360001,508500
2008-12-29,22.360001,24.990000,22.030001,23.950001,23.950001,802600
2009-01-05,24.139999,25.000000,23.250000,23.320000,23.320000,739100
2009-01-12,23.469999,23.490000,19.950001,20.500000,20.500000,1856100
2009-01-19,20.559999,22.150000,17.670000,20.540001,20.540001,1068700
2009-01-26,20.389999,23.170000,20.270000,22.680000,22.680000,1330800
2009-02-02,22.450001,23.549999,21.660000,23.510000,23.510000,692900
2009-02-09,23.420000,23.500000,21.330000,23.059999,23.059999,450600
2009-02-16,22.780001,27.770000,22.160000,27.100000,27.100000,3049700
2009-02-23,27.190001,27.650000,23.400000,25.000000,25.000000,1952500
2009-03-02,24.709999,25.170000,22.959999,24.709999,24.709999,1655500
2009-03-09,24.590000,28.889999,24.200001,28.629999,28.629999,2650100
2009-03-16,28.860001,29.500000,24.950001,25.000000,25.000000,2234300
2009-03-23,25.680000,29.389999,25.320000,28.320000,28.320000,2260400
2009-03-30,28.000000,28.760000,25.770000,26.240000,26.240000,2263000
2009-04-06,26.170000,26.389999,24.639999,26.240000,26.240000,1328300
2009-04-13,26.000000,26.040001,22.830000,22.990000,22.990000,3860900
2009-04-20,22.760000,23.180000,18.160000,19.940001,19.940001,8580700
2009-04-27,19.950001,21.980000,17.280001,18.059999,18.059999,6283100
2009-05-04,18.250000,19.120001,16.379999,17.670000,17.670000,5259300
2009-05-11,17.410000,18.580000,16.790001,17.889999,17.889999,3294400
2009-05-18,17.850000,20.879999,16.719999,18.350000,18.350000,6140000
2009-05-25,18.120001,19.469999,16.549999,17.709999,17.709999,6549700
2009-06-01,18.500000,19.270000,17.820000,18.030001,18.030001,4092500
2009-06-08,18.000000,18.420000,17.030001,18.240000,18.240000,2564600
2009-06-15,18.240000,18.389999,16.510000,16.730000,16.730000,3280600
2009-06-22,16.690001,17.139999,14.280000,16.990000,16.990000,7119300
2009-06-29,16.980000,16.990000,9.000000,9.400000,9.400000,28028400
2009-07-06,9.190000,9.650000,8.310000,8.830000,8.830000,10521100
2009-07-13,5.810000,6.680000,5.600000,6.250000,6.250000,20750500
2009-07-20,6.470000,6.720000,5.700000,6.140000,6.140000,7046700
2009-07-27,6.200000,7.420000,6.150000,7.110000,7.110000,9722400
2009-08-03,7.150000,7.890000,6.510000,7.070000,7.070000,8263500
2009-08-10,7.070000,7.540000,6.750000,6.790000,6.790000,3685800
2009-08-17,6.590000,6.940000,6.400000,6.890000,6.890000,3615200
2009-08-24,6.970000,8.500000,6.660000,7.460000,7.460000,12612500
2009-08-31,7.400000,7.560000,6.420000,7.280000,7.280000,9760800
2009-09-07,7.350000,7.800000,7.110000,7.620000,7.620000,2831200
2009-09-14,7.630000,7.850000,7.300000,7.520000,7.520000,3874100
2009-09-21,7.450000,7.490000,6.800000,6.970000,6.970000,2907400
2009-09-28,6.970000,7.100000,6.230000,6.330000,6.330000,2966200
2009-10-05,6.360000,7.440000,6.200000,7.220000,7.220000,5076600
2009-10-12,7.260000,7.280000,6.900000,7.170000,7.170000,2549700
2009-10-19,7.250000,7.340000,6.670000,6.800000,6.800000,2276400
2009-10-26,6.850000,6.960000,5.850000,5.910000,5.910000,3250800
2009-11-02,5.690000,5.800000,5.070000,5.550000,5.550000,4638400
2009-11-09,5.260000,5.360000,4.900000,5.100000,5.100000,2839400
2009-11-16,5.130000,5.330000,4.950000,5.030000,5.030000,2016000
2009-11-23,5.120000,5.170000,4.740000,4.780000,4.780000,1370200
2009-11-30,4.790000,4.960000,4.220000,4.420000,4.420000,3255800
2009-12-07,4.430000,4.950000,4.300000,4.920000,4.920000,4206000
2009-12-14,4.990000,6.400000,4.900000,5.910000,5.910000,7592400
2009-12-21,5.860000,5.960000,5.670000,5.860000,5.860000,1494800
2009-12-28,5.870000,6.010000,5.670000,5.940000,5.940000,1751200
2010-01-04,5.950000,6.330000,5.840000,6.260000,6.260000,2724600
2010-01-11,6.240000,6.410000,5.920000,6.300000,6.300000,1959400
2010-01-18,6.350000,6.650000,6.220000,6.430000,6.430000,1826700
2010-01-25,6.230000,6.550000,6.010000,6.060000,6.060000,1634700
2010-02-01,6.070000,6.110000,5.340000,5.690000,5.690000,2033400
2010-02-08,5.670000,5.820000,5.400000,5.480000,5.480000,1223200
2010-02-15,5.490000,6.400000,5.470000,6.030000,6.030000,4755600
2010-02-22,6.160000,6.200000,5.710000,5.990000,5.990000,1855100
2010-03-01,6.020000,6.700000,5.920000,6.630000,6.630000,2145300
2010-03-08,6.600000,7.130000,6.470000,6.880000,6.880000,1743600
2010-03-15,6.910000,7.550000,6.820000,7.480000,7.480000,1703100
2010-03-22,7.370000,7.850000,7.220000,7.540000,7.540000,1655200
2010-03-29,7.570000,7.770000,7.450000,7.760000,7.760000,1055600
2010-04-05,7.760000,8.770000,7.670000,8.490000,8.490000,2967500
2010-04-12,8.600000,9.800000,8.550000,9.360000,9.360000,3400500
2010-04-19,9.250000,9.560000,8.930000,9.430000,9.430000,1253400
2010-04-26,9.400000,9.940000,8.990000,9.620000,9.620000,2085000
2010-05-03,9.700000,10.160000,8.210000,8.400000,8.400000,2666300
2010-05-10,8.990000,8.990000,8.140000,8.250000,8.250000,2280800
2010-05-17,8.300000,8.350000,7.440000,7.510000,7.510000,2161800
2010-05-24,7.510000,8.010000,7.220000,7.720000,7.720000,1523700
