Date,Open,High,Low,Close,Adj Close,Volume
2002-08-05,1.700000,1.700000,1.700000,1.700000,1.700000,44000
2002-08-12,1.700000,1.700000,1.700000,1.700000,1.700000,100000
2002-08-19,1.700000,1.700000,1.700000,1.700000,1.700000,2000
2002-08-26,1.700000,1.700000,1.700000,1.700000,1.700000,58000
2002-09-02,1.700000,1.700000,1.700000,1.700000,1.700000,20880
2002-09-09,null,null,null,null,null,null
2002-09-16,null,null,null,null,null,null
2002-09-23,1.650000,1.675000,1.650000,1.675000,1.675000,36000
2002-09-30,1.675000,1.675000,1.675000,1.675000,1.675000,20000
2002-10-07,1.662500,1.675000,1.662500,1.675000,1.675000,565000
2002-10-14,1.687500,1.712500,1.687500,1.712500,1.712500,41000
2002-10-21,1.700000,1.712500,1.700000,1.712500,1.712500,10000
2002-10-28,null,null,null,null,null,null
2002-11-04,null,null,null,null,null,null
2002-11-11,1.712500,1.712500,1.712500,1.712500,1.712500,98000
2002-11-18,1.750000,1.800000,1.750000,1.800000,1.800000,155000
2002-11-25,1.875000,1.875000,1.875000,1.875000,1.875000,33000
2002-12-02,1.875000,1.875000,1.812500,1.812500,1.812500,105000
2002-12-09,1.825000,1.850000,1.825000,1.850000,1.850000,16000
2002-12-16,1.950000,1.950000,1.937500,1.937500,1.937500,45100
2002-12-23,1.962500,1.962500,1.962500,1.962500,1.962500,7000
2002-12-30,null,null,null,null,null,null
2003-01-06,1.987500,1.987500,1.987500,1.987500,1.987500,40000
2003-01-13,1.987500,1.987500,1.962500,1.962500,1.962500,114000
2003-01-20,null,null,null,null,null,null
2003-01-27,null,null,null,null,null,null
2003-02-03,null,null,null,null,null,null
2003-02-10,1.975000,1.975000,1.975000,1.975000,1.975000,10000
2003-02-17,1.975000,1.975000,1.975000,1.975000,1.975000,56000
2003-02-24,1.937500,1.937500,1.937500,1.937500,1.937500,10060
2003-03-03,null,null,null,null,null,null
2003-03-10,null,null,null,null,null,null
2003-03-17,1.937500,2.012500,1.937500,2.012500,2.012500,189000
2003-03-24,2.000000,2.012500,2.000000,2.012500,2.012500,53000
2003-03-31,2.000000,2.000000,2.000000,2.000000,2.000000,81000
2003-04-07,2.000000,2.000000,2.000000,2.000000,2.000000,320000
2003-04-14,2.000000,2.000000,2.000000,2.000000,2.000000,3000
2003-04-21,1.950000,1.950000,1.850000,1.850000,1.850000,7000
2003-04-28,1.850000,1.850000,1.850000,1.850000,1.850000,360
2003-05-05,1.900000,1.937500,1.900000,1.900000,1.900000,23000
2003-05-12,1.925000,1.925000,1.925000,1.925000,1.925000,3000
2003-05-19,1.937500,1.950000,1.900000,1.900000,1.900000,106000
2003-05-26,1.950000,1.950000,1.900000,1.900000,1.900000,103000
2003-06-02,1.950000,1.950000,1.950000,1.950000,1.950000,60000
2003-06-09,1.987500,1.987500,1.987500,1.987500,1.987500,14000
2003-06-16,2.050000,2.100000,2.050000,2.100000,2.100000,49000
2003-06-23,null,null,null,null,null,null
2003-06-30,2.212500,2.212500,2.212500,2.212500,2.212500,5000
2003-07-07,2.213000,2.335000,2.213000,2.335000,2.335000,24000
2003-07-14,2.423000,2.423000,2.400000,2.400000,2.400000,25000
2003-07-21,2.400000,2.400000,2.400000,2.400000,2.400000,20000
2003-07-28,2.400000,2.400000,2.325000,2.325000,2.325000,133000
2003-08-04,2.375000,2.375000,2.375000,2.375000,2.375000,1000
2003-08-11,null,null,null,null,null,null
2003-08-18,null,null,null,null,null,null
2003-08-25,2.300000,2.300000,2.300000,2.300000,2.300000,22000
2003-09-01,2.300000,2.300000,2.300000,2.300000,2.300000,60000
2003-09-08,2.300000,2.300000,2.300000,2.300000,2.300000,5000
2003-09-15,2.300000,2.300000,2.300000,2.300000,2.300000,0
2003-09-22,2.300000,2.300000,2.300000,2.300000,2.300000,1000
2003-09-29,2.300000,2.300000,2.256000,2.300000,2.300000,171000
2003-10-06,2.256000,2.300000,2.256000,2.300000,2.300000,61000
2003-10-13,2.250000,2.300000,2.250000,2.285000,2.285000,10000
2003-10-20,2.285000,2.300000,2.285000,2.300000,2.300000,6000
2003-10-27,2.300000,2.300000,2.300000,2.300000,2.300000,100000
2003-11-03,2.300000,2.300000,2.300000,2.300000,2.300000,617000
2003-11-10,2.300000,2.300000,2.300000,2.300000,2.300000,509000
2003-11-17,2.300000,2.300000,2.300000,2.300000,2.300000,682000
2003-11-24,2.300000,2.300000,2.300000,2.300000,2.300000,70000
2003-12-01,2.300000,2.300000,2.300000,2.300000,2.300000,255000
2003-12-08,2.300000,2.300000,2.300000,2.300000,2.300000,246000
2003-12-15,2.300000,2.300000,2.300000,2.300000,2.300000,116000
2003-12-22,2.300000,2.300000,2.300000,2.300000,2.300000,410000
2003-12-29,2.325000,2.350000,2.325000,2.350000,2.350000,70000
2004-01-05,2.350000,2.350000,2.350000,2.350000,2.350000,290000
2004-01-12,2.350000,2.400000,2.350000,2.375000,2.375000,175000
2004-01-19,2.375000,2.379000,2.375000,2.379000,2.379000,360000
2004-01-26,2.379000,2.379000,2.375000,2.375000,2.375000,110000
2004-02-02,2.375000,2.377000,2.375000,2.377000,2.377000,55000
2004-02-09,2.377000,2.400000,2.377000,2.400000,2.400000,250000
2004-02-16,2.400000,2.400000,2.400000,2.400000,2.400000,205000
2004-02-23,2.400000,2.400000,2.400000,2.400000,2.400000,230000
2004-03-01,2.400000,2.425000,2.400000,2.425000,2.425000,35000
2004-03-08,2.425000,2.447000,2.425000,2.447000,2.447000,300000
2004-03-15,2.447000,2.534000,2.447000,2.534000,2.534000,295000
2004-03-22,2.534000,2.575000,2.534000,2.575000,2.575000,427000
2004-03-29,2.575000,2.622000,2.575000,2.622000,2.622000,419000
2004-04-05,2.625000,2.625000,2.622000,2.622000,2.622000,39000
2004-04-12,2.622000,2.650000,2.575000,2.622000,2.622000,344000
2004-04-19,2.550000,2.550000,2.500000,2.504000,2.504000,290000
2004-04-26,2.504000,2.525000,2.450000,2.500000,2.500000,119000
2004-05-03,2.500000,2.500000,2.500000,2.500000,2.500000,49000
2004-05-10,2.500000,2.525000,2.500000,2.502000,2.502000,171000
2004-05-17,2.502000,2.550000,2.475000,2.489000,2.489000,288000
2004-05-24,2.500000,2.500000,2.500000,2.500000,2.500000,80000
2004-05-31,2.500000,2.500000,2.500000,2.500000,2.500000,100000
2004-06-07,2.500000,2.540000,2.500000,2.540000,2.540000,133000
2004-06-14,2.540000,2.540000,2.475000,2.475000,2.475000,114000
2004-06-21,2.475000,2.475000,2.450000,2.454000,2.454000,129000
2004-06-28,2.475000,2.500000,2.475000,2.500000,2.500000,196000
2004-07-05,2.500000,2.500000,2.500000,2.500000,2.500000,10000
2004-07-12,2.500000,2.545000,2.500000,2.544000,2.544000,11000
2004-07-19,2.544000,2.544000,2.544000,2.544000,2.544000,0
2004-07-26,2.544000,2.544000,2.500000,2.500000,2.500000,20000
2004-08-02,2.500000,2.500000,2.450000,2.500000,2.500000,207000
2004-08-09,2.500000,2.500000,2.500000,2.500000,2.500000,16000
2004-08-16,2.500000,2.500000,2.500000,2.500000,2.500000,0
2004-08-23,2.500000,2.500000,2.500000,2.500000,2.500000,0
2004-08-30,2.500000,2.500000,2.480000,2.484000,2.484000,81000
2004-09-06,2.484000,2.500000,2.484000,2.496000,2.496000,143000
2004-09-13,2.500000,2.550000,2.500000,2.550000,2.550000,492000
2004-09-20,2.550000,2.575000,2.550000,2.575000,2.575000,140000
2004-09-27,2.575000,2.575000,2.550000,2.567000,2.567000,299000
2004-10-04,2.567000,2.575000,2.550000,2.550000,2.550000,150000
2004-10-11,2.575000,2.575000,2.560000,2.575000,2.575000,43000
2004-10-18,2.575000,2.590000,2.500000,2.501000,2.501000,130000
2004-10-25,2.500000,2.525000,2.500000,2.525000,2.525000,110000
2004-11-01,2.525000,2.525000,2.525000,2.525000,2.525000,0
2004-11-08,2.525000,2.525000,2.525000,2.525000,2.525000,0
2004-11-15,2.525000,2.525000,2.525000,2.525000,2.525000,0
2004-11-22,2.525000,2.600000,2.525000,2.595000,2.595000,131000
2004-11-29,2.600000,2.650000,2.585000,2.650000,2.650000,387000
2004-12-06,2.650000,2.650000,2.650000,2.650000,2.650000,0
2004-12-13,2.650000,2.653000,2.650000,2.652000,2.652000,52000
2004-12-20,2.652000,2.675000,2.652000,2.652000,2.652000,33000
2004-12-27,2.652000,2.652000,2.652000,2.652000,2.652000,0
2005-01-03,2.652000,2.751000,2.652000,2.751000,2.751000,41000
2005-01-10,2.751000,2.751000,2.751000,2.751000,2.751000,0
2005-01-17,2.751000,2.900000,2.751000,2.900000,2.900000,44000
2005-01-24,2.900000,3.050000,2.900000,3.050000,3.050000,11000
2005-01-31,3.050000,3.050000,2.900000,3.050000,3.050000,63000
2005-02-07,3.050000,3.050000,3.005000,3.018000,3.018000,3000
2005-02-14,3.001000,3.001000,2.850000,2.850000,2.850000,56000
2005-02-21,2.850000,2.950000,2.830000,2.900000,2.900000,423000
2005-02-28,2.900000,2.930000,2.850000,2.930000,2.930000,344000
2005-03-07,2.950000,2.952000,2.950000,2.952000,2.952000,86000
2005-03-14,2.950000,3.000000,2.950000,3.000000,3.000000,121000
2005-03-21,3.000000,3.000000,3.000000,3.000000,3.000000,0
2005-03-28,3.000000,3.000000,3.000000,3.000000,3.000000,0
2005-04-04,3.000000,3.100000,3.000000,3.100000,3.100000,36200
2005-04-11,3.100000,3.150000,2.975000,3.024000,3.024000,57000
2005-04-18,2.925000,3.100000,2.925000,3.100000,3.100000,317000
2005-04-25,3.110000,3.250000,3.110000,3.250000,3.250000,128000
2005-05-02,3.250000,3.300000,3.250000,3.265000,3.265000,22000
2005-05-09,3.350000,3.510000,3.350000,3.510000,3.510000,230000
2005-05-16,3.505000,3.800000,3.505000,3.769000,3.769000,521000
2005-05-23,3.800000,3.800000,3.730000,3.761000,3.761000,163000
2005-05-30,3.765000,3.850000,3.715000,3.780000,3.780000,414000
2005-06-06,3.800000,3.980000,3.800000,3.851000,3.851000,632000
2005-06-13,3.925000,4.055000,3.850000,4.005000,4.005000,897000
2005-06-20,4.050000,4.100000,4.005000,4.028000,4.028000,421000
