Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.865668,0.911837,0.865668,0.865668,0.067483,102300
1980-03-24,0.865668,0.923379,0.842584,0.877210,0.068383,115300
1980-03-31,0.877210,0.934922,0.877210,0.888753,0.069283,42400
1980-04-07,0.888753,0.934922,0.877210,0.877210,0.068383,523700
1980-04-14,0.877210,0.946464,0.865668,0.900295,0.070183,77800
1980-04-21,0.900295,0.958006,0.900295,0.911837,0.071082,39100
1980-04-28,0.923379,1.015717,0.923379,0.969548,0.075581,201600
1980-05-05,0.969548,1.119597,0.969548,1.050344,0.081880,189300
1980-05-12,1.050344,1.096513,1.038802,1.038802,0.080980,94900
1980-05-19,1.038802,1.084971,1.038802,1.038802,0.080980,151900
1980-05-26,1.038802,1.108055,1.038802,1.050344,0.081880,60800
1980-06-02,1.050344,1.096513,1.050344,1.050344,0.081880,40900
1980-06-09,1.050344,1.084971,1.027259,1.027259,0.080080,142600
1980-06-16,1.027259,1.061886,1.004175,1.004175,0.078281,63400
1980-06-23,1.004175,1.061886,1.004175,1.015717,0.079180,87000
1980-06-30,1.015717,1.050344,0.992633,0.992633,0.077381,28900
1980-07-07,1.004175,1.038802,1.004175,1.015717,0.079180,281400
1980-07-14,1.015717,1.038802,1.015717,1.015717,0.079180,110900
1980-07-21,1.015717,1.038802,1.015717,1.015717,0.079180,70200
1980-07-28,1.015717,1.038802,0.992633,0.992633,0.077381,145200
1980-08-04,0.992633,1.027259,0.981090,0.981090,0.076481,156200
1980-08-11,0.981090,1.015717,0.969548,0.969548,0.075581,171900
1980-08-18,0.969548,0.992633,0.958006,0.969548,0.075581,135400
1980-08-25,0.981090,1.027259,0.981090,0.992633,0.077381,150800
1980-09-01,1.004175,1.027259,0.992633,0.992633,0.077381,11900
1980-09-08,0.992633,1.027259,0.981090,0.981090,0.076481,6400
1980-09-15,0.981090,1.004175,0.969548,0.981090,0.076481,131200
1980-09-22,0.981090,1.004175,0.969548,0.969548,0.075581,57800
1980-09-29,0.969548,0.992633,0.958006,0.969548,0.075581,323500
1980-10-06,0.981090,1.015717,0.981090,0.992633,0.077381,73700
1980-10-13,0.992633,1.015717,0.992633,0.992633,0.077381,17700
1980-10-20,0.992633,1.015717,0.981090,0.981090,0.076481,123000
1980-10-27,0.992633,1.027259,0.992633,1.004175,0.078281,135300
1980-11-03,1.004175,1.027259,0.992633,0.992633,0.077381,112800
1980-11-10,0.992633,1.027259,0.992633,1.004175,0.078281,112000
1980-11-17,1.004175,1.038802,1.004175,1.015717,0.079180,99200
1980-11-24,1.015717,1.038802,1.015717,1.015717,0.079180,74500
1980-12-01,1.015717,1.038802,1.004175,1.004175,0.078281,97600
1980-12-08,1.015717,1.050344,1.015717,1.015717,0.079180,259400
1980-12-15,1.027259,1.073428,1.027259,1.050344,0.081880,125500
1980-12-22,1.050344,1.073428,1.038802,1.038802,0.080980,265100
1980-12-29,1.038802,1.061886,1.027259,1.038802,0.080980,125700
