Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.234375,3.480469,3.234375,3.269531,0.906306,52800
1980-03-24,3.269531,3.339844,3.093750,3.093750,0.857580,90000
1980-03-31,3.093750,3.234375,3.093750,3.093750,0.857580,34400
1980-04-07,3.093750,3.375000,3.093750,3.234375,0.896561,48800
1980-04-14,3.234375,3.375000,3.234375,3.234375,0.896561,45200
1980-04-21,3.234375,3.375000,3.199219,3.234375,0.896561,63200
1980-04-28,3.234375,3.445313,3.234375,3.304688,0.916051,125600
1980-05-05,3.339844,3.691406,3.339844,3.515625,0.974523,215600
1980-05-12,3.515625,3.621094,3.480469,3.480469,0.964778,41200
1980-05-19,3.480469,3.585938,3.445313,3.445313,0.955032,32000
1980-05-26,3.445313,3.585938,3.304688,3.304688,0.916051,35200
1980-06-02,3.304688,3.480469,3.304688,3.304688,0.916051,33600
1980-06-09,3.304688,3.550781,3.304688,3.410156,0.945287,40400
1980-06-16,3.410156,3.585938,3.410156,3.445313,0.955032,29200
1980-06-23,3.445313,3.656250,3.445313,3.515625,0.974523,192400
1980-06-30,3.550781,3.691406,3.515625,3.515625,0.974523,59600
1980-07-07,3.585938,3.726563,3.585938,3.621094,1.003759,27600
1980-07-14,3.621094,3.726563,3.621094,3.621094,1.003759,144000
1980-07-21,3.656250,3.796875,3.656250,3.691406,1.023249,108800
1980-07-28,3.691406,4.183594,3.691406,3.867188,1.071975,125200
1980-08-04,3.867188,3.937500,3.796875,3.832031,1.062229,34000
1980-08-11,3.832031,4.078125,3.832031,3.972656,1.101211,86000
1980-08-18,3.972656,4.148438,3.972656,4.078125,1.130446,58000
1980-08-25,4.113281,4.218750,4.113281,4.148438,1.149937,138400
1980-09-01,4.148438,4.253906,4.148438,4.148438,1.149937,72800
1980-09-08,4.148438,4.183594,4.113281,4.113281,1.140191,133600
1980-09-15,4.113281,4.183594,4.113281,4.113281,1.140191,25600
1980-09-22,4.113281,4.183594,4.078125,4.078125,1.130446,74400
1980-09-29,4.078125,4.183594,4.042969,4.113281,1.140191,35200
1980-10-06,4.113281,4.289063,4.113281,4.183594,1.159681,73600
1980-10-13,4.289063,4.675781,4.289063,4.605469,1.276625,330000
1980-10-20,4.710938,5.062500,4.640625,4.992188,1.383821,160400
1980-10-27,4.992188,4.992188,4.781250,4.781250,1.325351,208000
1980-11-03,4.781250,4.886719,4.781250,4.781250,1.325351,64800
1980-11-10,4.781250,4.886719,4.710938,4.710938,1.305859,72000
1980-11-17,4.746094,4.816406,4.746094,4.746094,1.315605,139200
1980-11-24,4.746094,4.816406,4.710938,4.710938,1.305859,180000
1980-12-01,4.746094,4.781250,4.675781,4.675781,1.296115,14400
1980-12-08,4.675781,4.710938,4.218750,4.218750,1.169427,48400
1980-12-15,4.218750,4.535156,4.218750,4.500000,1.247389,34000
1980-12-22,4.535156,4.640625,4.535156,4.605469,1.276625,4800
1980-12-29,4.605469,4.781250,4.605469,4.675781,1.296115,12000
1981-01-05,4.746094,4.851563,4.640625,4.640625,1.286370,114400
1981-01-12,4.675781,4.851563,4.675781,4.781250,1.325351,170400
1981-01-19,4.781250,4.886719,4.746094,4.781250,1.325351,38400
1981-01-26,4.781250,4.957031,4.781250,4.851563,1.344841,52000
1981-02-02,4.851563,4.957031,4.851563,4.851563,1.344841,65600
1981-02-09,4.851563,4.992188,4.851563,4.851563,1.344841,33200
1981-02-16,4.851563,4.921875,4.851563,4.851563,1.344841,11600
1981-02-23,4.851563,5.015625,4.851563,4.921875,1.364331,100400
1981-03-02,4.921875,5.015625,4.921875,4.921875,1.364331,72400
1981-03-09,4.921875,5.015625,4.921875,4.968750,1.377326,281600
1981-03-16,5.015625,5.062500,5.015625,5.015625,1.390319,76000
1981-03-23,5.015625,5.062500,5.015625,5.015625,1.390319,10000
1981-03-30,5.015625,5.062500,5.015625,5.015625,1.390319,105200
1981-04-06,5.015625,5.625000,5.015625,5.531250,1.533249,231600
1981-04-13,5.578125,5.671875,5.578125,5.625000,1.559236,75200
1981-04-20,5.625000,5.718750,5.625000,5.625000,1.559236,302400
1981-04-27,5.625000,5.765625,5.625000,5.671875,1.572230,27200
1981-05-04,5.671875,5.765625,5.578125,5.625000,1.559236,238400
1981-05-11,5.671875,5.765625,5.625000,5.625000,1.559236,59600
1981-05-18,5.625000,5.765625,5.625000,5.671875,1.572230,175600
1981-05-25,5.671875,5.812500,5.671875,5.718750,1.585224,56800
1981-06-01,5.906250,6.046875,5.906250,6.000000,1.663187,184800
1981-06-08,6.000000,6.187500,6.000000,6.093750,1.689172,59600
1981-06-15,6.328125,6.421875,6.328125,6.328125,1.754140,88000
1981-06-22,6.375000,6.703125,6.375000,6.609375,1.832102,48400
1981-06-29,6.609375,6.703125,6.328125,6.328125,1.754140,33200
1981-07-06,6.375000,6.421875,6.234375,6.234375,1.728154,64400
1981-07-13,6.234375,6.468750,6.234375,6.421875,1.780127,18000
1981-07-20,6.421875,6.515625,6.375000,6.421875,1.780127,186000
1981-07-27,6.515625,6.609375,6.515625,6.562500,1.819109,37600
1981-08-03,6.562500,6.937500,6.562500,6.890625,1.910064,72000
1981-08-10,6.890625,7.031250,6.843750,6.843750,1.897071,28800
1981-08-17,6.796875,6.890625,6.703125,6.750000,1.871083,26000
1981-08-24,6.750000,6.843750,6.656250,6.703125,1.858090,64000
1981-08-31,6.703125,6.796875,6.421875,6.421875,1.780127,70000
1981-09-07,6.421875,6.468750,6.046875,6.093750,1.689172,45200
1981-09-14,6.093750,6.234375,6.046875,6.046875,1.676179,38800
1981-09-21,6.046875,6.093750,5.765625,5.765625,1.598216,26400
1981-09-28,5.765625,5.859375,5.718750,5.765625,1.598216,14800
1981-10-05,5.859375,6.281250,5.859375,6.234375,1.728154,72000
1981-10-12,6.234375,6.375000,6.234375,6.281250,1.741147,10400
1981-10-19,6.281250,6.421875,6.281250,6.375000,1.767133,18000
1981-10-26,6.375000,6.796875,6.375000,6.750000,1.871083,70800
1981-11-02,6.843750,7.031250,6.843750,6.937500,1.923059,73200
1981-11-09,6.937500,6.937500,6.843750,6.843750,1.897071,50000
1981-11-16,6.703125,6.843750,6.656250,6.750000,1.871083,27600
1981-11-23,6.984375,7.312500,6.984375,7.218750,2.001019,65600
1981-11-30,7.500000,7.750000,7.375000,7.375000,2.044332,123600
1981-12-07,7.375000,7.375000,7.125000,7.187500,1.992357,49200
1981-12-14,7.000000,7.062500,6.875000,6.875000,1.905732,22400
1981-12-21,6.875000,7.062500,6.875000,6.875000,1.905732,18800
1981-12-28,6.937500,7.062500,6.750000,6.812500,1.888408,14800
1982-01-04,6.812500,7.000000,6.750000,6.750000,1.871083,1103600
1982-01-11,6.750000,6.875000,6.687500,6.750000,1.871083,34000
1982-01-18,6.750000,6.875000,6.312500,6.312500,1.749810,65200
1982-01-25,6.312500,6.562500,6.312500,6.437500,1.784460,33200
1982-02-01,6.437500,6.562500,6.437500,6.437500,1.784460,14400
1982-02-08,6.437500,6.500000,6.437500,6.437500,1.784460,28000
1982-02-15,6.437500,6.500000,6.312500,6.312500,1.749810,18000
1982-02-22,6.312500,6.375000,6.187500,6.187500,1.715160,56000
1982-03-01,6.187500,6.312500,5.687500,5.687500,1.576561,42000
1982-03-08,5.687500,5.812500,5.437500,5.437500,1.507262,55600
1982-03-15,5.437500,5.812500,5.437500,5.687500,1.576561,44000
1982-03-22,5.750000,6.000000,5.750000,5.875000,1.628535,15600
1982-03-29,5.875000,5.937500,5.812500,5.812500,1.611211,12400
1982-04-05,5.812500,6.000000,5.812500,5.875000,1.628535,30400
1982-04-12,6.000000,6.062500,5.687500,5.687500,1.576561,73200
1982-04-19,5.937500,6.062500,5.937500,5.937500,1.645860,92800
1982-04-26,5.937500,6.000000,5.812500,5.812500,1.611211,156000
1982-05-03,5.812500,6.187500,5.812500,6.000000,1.663187,66800
1982-05-10,6.000000,6.125000,6.000000,6.000000,1.663187,92000
1982-05-17,6.000000,6.062500,5.937500,6.000000,1.663187,61200
1982-05-24,6.000000,6.062500,5.937500,5.937500,1.645860,54800
1982-05-31,5.937500,6.062500,5.937500,5.937500,1.645860,250000
1982-06-07,5.937500,6.000000,5.875000,5.875000,1.628535,63600
1982-06-14,5.875000,5.937500,5.625000,5.625000,1.559236,52400
1982-06-21,5.625000,5.625000,5.312500,5.437500,1.507262,100400
1982-06-28,5.437500,5.562500,5.375000,5.375000,1.489937,46000
1982-07-05,5.437500,5.500000,5.187500,5.250000,1.455287,172000
1982-07-12,5.250000,5.312500,5.125000,5.125000,1.420637,170400
1982-07-19,5.125000,5.375000,5.125000,5.250000,1.455287,61600
1982-07-26,5.312500,5.500000,5.312500,5.375000,1.489937,74000
1982-08-02,5.375000,5.562500,5.312500,5.312500,1.472611,33600
1982-08-09,5.312500,5.375000,5.125000,5.125000,1.420637,24000
1982-08-16,5.125000,5.375000,5.125000,5.187500,1.437962,289600
