Date,Open,High,Low,Close,Adj Close,Volume
2008-12-01,11.250000,11.500000,11.115000,11.250000,11.250000,9600
2008-12-08,11.175000,11.175000,10.475000,10.750000,10.750000,98400
2008-12-15,10.750000,10.750000,5.005000,5.675000,5.675000,5109000
2008-12-22,5.600000,5.750000,3.475000,3.800000,3.800000,1607200
2008-12-29,4.140000,5.000000,3.700000,4.875000,4.875000,1584200
2009-01-05,4.875000,6.500000,4.780000,5.290000,5.290000,2703000
2009-01-12,5.005000,5.580000,4.300000,5.250000,5.250000,1429000
2009-01-19,5.185000,5.585000,4.420000,5.255000,5.255000,1201800
2009-01-26,4.835000,5.975000,4.835000,5.655000,5.655000,1276800
2009-02-02,5.205000,6.355000,5.205000,5.540000,5.540000,1082800
2009-02-09,5.300000,5.805000,4.835000,5.690000,5.690000,900200
2009-02-16,5.500000,5.600000,4.975000,5.315000,5.315000,495000
2009-02-23,5.315000,5.775000,4.925000,4.935000,4.935000,748600
2009-03-02,4.695000,4.900000,3.000000,3.250000,3.250000,2041400
2009-03-09,3.195000,3.780000,2.965000,3.710000,3.710000,2025800
2009-03-16,3.770000,4.695000,3.290000,3.410000,3.410000,1097200
2009-03-23,3.525000,4.150000,3.355000,3.610000,3.610000,870600
2009-03-30,3.475000,4.655000,3.475000,4.040000,4.040000,780200
2009-04-06,4.060000,4.625000,3.635000,4.230000,4.230000,694000
2009-04-13,4.180000,5.115000,3.925000,5.065000,5.065000,1235400
2009-04-20,5.000000,6.245000,4.830000,5.980000,5.980000,1076200
2009-04-27,5.735000,7.800000,5.425000,7.230000,7.230000,1735000
2009-05-04,7.460000,11.360000,7.310000,11.155000,11.155000,4065200
2009-05-11,11.155000,11.945000,9.510000,10.090000,10.090000,1601400
2009-05-18,10.450000,13.075000,10.300000,10.540000,10.540000,2148200
2009-05-25,11.265000,12.040000,10.430000,11.835000,11.835000,1021800
2009-06-01,12.000000,13.625000,11.260000,12.790000,12.790000,1438200
2009-06-08,12.910000,13.570000,12.065000,13.510000,13.510000,898800
2009-06-15,13.325000,13.560000,12.305000,12.950000,12.950000,1250800
2009-06-22,12.850000,13.325000,12.240000,13.000000,13.000000,1396000
2009-06-29,13.000000,13.615000,12.265000,13.000000,13.000000,969600
2009-07-06,12.880000,13.255000,12.500000,13.205000,13.205000,1166000
2009-07-13,13.145000,15.515000,13.075000,15.295000,15.295000,1176000
2009-07-20,15.290000,17.495001,15.125000,16.725000,16.725000,1210200
2009-07-27,16.795000,21.434999,16.770000,20.035000,20.035000,2513600
2009-08-03,20.570000,22.500000,20.375000,22.170000,22.170000,2305400
2009-08-10,22.430000,24.309999,22.285000,23.070000,23.070000,2578000
2009-08-17,22.299999,23.815001,20.705000,23.465000,23.465000,2425600
2009-08-24,23.875000,25.600000,22.750000,23.160000,23.160000,1821200
2009-08-31,22.834999,23.790001,21.555000,22.959999,22.959999,1595400
2009-09-07,22.764999,22.764999,20.115000,21.245001,21.245001,1454000
2009-09-14,20.995001,22.695000,20.639999,22.490000,22.490000,1249400
2009-09-21,22.400000,22.580000,20.190001,21.084999,21.084999,872800
2009-09-28,21.305000,22.250000,18.674999,20.120001,20.120001,1051400
2009-10-05,20.150000,23.250000,20.150000,22.410000,22.410000,1361400
2009-10-12,21.840000,23.235001,20.480000,23.020000,23.020000,999600
2009-10-19,23.155001,25.910000,21.070000,24.200001,24.200001,1763600
2009-10-26,24.230000,25.809999,22.295000,22.635000,22.635000,2695600
2009-11-02,23.000000,24.745001,21.900000,24.340000,24.340000,1090400
2009-11-09,24.434999,25.700001,23.559999,24.090000,24.090000,1024200
2009-11-16,24.200001,25.504999,23.639999,24.365000,24.365000,847800
2009-11-23,24.780001,24.855000,23.555000,23.555000,23.555000,458600
2009-11-30,23.555000,25.120001,23.500000,24.709999,24.709999,870600
2009-12-07,25.184999,28.655001,24.764999,26.580000,26.580000,1674000
2009-12-14,26.825001,29.950001,26.600000,29.655001,29.655001,1382000
2009-12-21,29.629999,29.860001,28.254999,29.600000,29.600000,642600
2009-12-28,29.635000,29.650000,27.424999,27.485001,27.485001,578800
2010-01-04,27.924999,29.094999,26.370001,28.235001,28.235001,1288600
2010-01-11,28.290001,28.290001,26.575001,27.610001,27.610001,688400
2010-01-18,27.139999,28.045000,23.775000,24.049999,24.049999,993800
2010-01-25,24.094999,25.070000,22.565001,24.465000,24.465000,1139000
2010-02-01,24.520000,26.605000,23.035000,25.395000,25.395000,1311600
2010-02-08,25.375000,27.315001,24.660000,25.660000,25.660000,1063800
2010-02-15,25.799999,27.965000,21.355000,24.235001,24.235001,4469000
2010-02-22,23.975000,24.629999,23.125000,24.129999,24.129999,1752400
2010-03-01,24.100000,24.959999,23.495001,24.600000,24.600000,832200
2010-03-08,24.660000,26.245001,24.455000,25.549999,25.549999,1071800
2010-03-15,25.575001,26.815001,25.135000,25.500000,25.500000,1291000
2010-03-22,25.315001,26.434999,24.750000,24.900000,24.900000,1043600
2010-03-29,24.905001,25.565001,24.200001,24.275000,24.275000,553400
2010-04-05,24.379999,26.209999,24.379999,25.799999,25.799999,1139000
2010-04-12,25.775000,27.709999,25.635000,27.155001,27.155001,1391600
2010-04-19,27.139999,28.320000,26.934999,28.129999,28.129999,1219200
2010-04-26,28.219999,32.720001,26.770000,31.840000,31.840000,2139800
2010-05-03,31.980000,33.009998,28.195000,30.004999,30.004999,1605800
2010-05-10,30.795000,32.825001,29.900000,32.540001,32.540001,1124800
2010-05-17,32.945000,33.000000,27.995001,28.719999,28.719999,1605200
2010-05-24,28.575001,31.510000,27.740000,30.615000,30.615000,1194800
2010-05-31,30.285000,31.155001,29.004999,29.250000,29.250000,744200
2010-06-07,29.405001,30.615000,26.315001,30.200001,30.200001,1153800
2010-06-14,30.500000,31.660000,30.400000,31.240000,31.240000,979000
2010-06-21,31.555000,32.049999,28.250000,29.530001,29.530001,1135400
2010-06-28,29.700001,29.725000,24.955000,26.730000,26.730000,1912400
2010-07-05,26.915001,27.225000,25.445000,26.530001,26.530001,887800
2010-07-12,26.075001,27.709999,25.375000,26.995001,26.995001,1528600
2010-07-19,27.155001,28.420000,26.025000,28.389999,28.389999,1256600
2010-07-26,28.684999,31.715000,27.510000,30.815001,30.815001,2254400
2010-08-02,31.510000,33.200001,30.969999,33.115002,33.115002,1644400
2010-08-09,33.115002,33.735001,31.540001,32.075001,32.075001,920600
2010-08-16,31.815001,32.830002,31.270000,31.834999,31.834999,735000
2010-08-23,32.029999,34.480000,31.245001,33.735001,33.735001,932400
