Date,Open,High,Low,Close,Adj Close,Volume
2005-04-11,6.312500,6.750000,6.312500,6.750000,5.418310,3200
2005-04-18,6.750000,8.312500,6.750000,7.812500,6.271194,103600
2005-04-25,7.812500,9.375000,7.812500,8.500000,6.823058,176000
2005-05-02,8.500000,8.500000,7.500000,7.612500,6.110651,1230000
2005-05-09,7.500000,7.500000,6.750000,7.212500,5.789565,1708400
2005-05-16,7.250000,7.262500,6.987500,7.000000,5.618989,253600
2005-05-23,7.000000,7.000000,6.225000,6.375000,5.117293,46400
2005-05-30,7.000000,7.000000,6.875000,7.000000,5.618989,8800
2005-06-06,7.000000,7.562500,7.000000,7.562500,6.070514,200000
2005-06-13,7.562500,7.562500,7.562500,7.562500,6.070514,0
2005-06-20,7.562500,7.562500,6.500000,7.250000,5.819667,3200
2005-06-27,6.750000,7.062500,6.500000,6.775000,5.438378,488000
2005-07-04,6.750000,6.750000,6.750000,6.750000,5.418310,190800
2005-07-11,6.750000,6.812500,6.750000,6.812500,5.468481,502000
2005-07-18,6.812500,6.812500,6.687500,6.762500,5.428344,613200
2005-07-25,6.750000,6.760000,6.750000,6.760000,5.426338,1200
2005-08-01,6.760000,6.775000,6.700000,6.750000,5.418310,39600
2005-08-08,6.750000,6.750000,6.750000,6.750000,5.418310,1200
2005-08-15,6.750000,6.762500,6.750000,6.762500,5.428344,400
2005-08-22,6.750000,6.812500,6.625000,6.625000,5.317973,17600
2005-08-29,6.562500,8.500000,6.375000,8.250000,6.622380,38400
2005-09-05,8.250000,8.250000,6.750000,6.755000,5.422323,2433200
2005-09-12,7.500000,8.625000,7.500000,8.500000,6.823058,680400
2005-09-19,7.875000,8.525000,7.875000,8.500000,6.823058,876400
2005-09-26,8.250000,8.500000,8.000000,8.475000,6.802990,181600
2005-10-03,8.475000,8.500000,8.462500,8.462500,6.792955,16400
2005-10-10,7.500000,7.500000,7.500000,7.500000,6.020345,18000
2005-10-17,7.500000,8.000000,7.437500,7.500000,6.020345,41600
2005-10-24,7.500000,7.500000,7.000000,7.500000,6.020345,142800
2005-10-31,7.500000,7.900000,7.250000,7.500000,6.020345,285200
2005-11-07,7.750000,7.912500,7.737500,7.737500,6.210989,1125200
2005-11-14,7.725000,7.750000,7.725000,7.737500,6.210989,324000
2005-11-21,7.737500,7.737500,7.737500,7.737500,6.210989,4000
2005-11-28,7.725000,8.487500,7.725000,8.250000,6.622380,260400
2005-12-05,8.250000,8.432500,7.655000,7.737500,6.210989,57200
2005-12-12,7.810000,8.372500,7.745000,7.987500,6.411667,294400
2005-12-19,8.000000,8.250000,7.977500,8.102500,6.503979,260400
2005-12-26,8.000000,8.025000,7.937500,7.975000,6.401634,102800
2006-01-02,8.100000,8.745000,7.940000,8.500000,6.823058,968400
2006-01-09,8.500000,8.875000,8.437500,8.542500,6.857172,850000
2006-01-16,8.500000,8.800000,8.500000,8.685000,6.971561,573600
2006-01-23,8.625000,8.625000,8.375000,8.537500,6.853160,1952000
2006-01-30,8.625000,9.062500,8.375000,8.955000,7.188292,849200
2006-02-06,8.920000,9.062500,8.527500,8.972500,7.202339,369600
2006-02-13,8.932500,9.697500,8.757500,9.250000,7.425091,928000
2006-02-20,9.375000,9.837500,9.082500,9.837500,7.896685,851200
2006-02-27,9.875000,10.000000,9.680000,9.860000,7.914747,974400
2006-03-06,9.785000,10.180000,9.522500,9.942500,7.980970,494400
2006-03-13,9.890000,9.937500,9.762500,9.800000,7.866584,305200
2006-03-20,9.875000,10.062500,9.687500,9.997500,8.025121,237200
2006-03-27,9.662500,10.000000,9.450000,9.565000,7.677946,391600
2006-04-03,9.700000,9.720000,9.290000,9.312500,7.475261,247200
2006-04-10,9.452500,10.182500,9.302500,10.065000,8.079302,271200
2006-04-17,9.875000,10.142500,9.590000,9.952500,7.989001,344000
2006-04-24,9.635000,10.525000,9.635000,10.525000,8.448549,1350000
2006-05-01,10.330000,10.897500,10.150000,10.737500,8.619127,198000
2006-05-08,10.750000,11.375000,10.530000,10.952500,8.791712,326800
2006-05-15,10.950000,10.975000,10.387500,10.617500,8.522801,406400
2006-05-22,10.557500,10.615000,9.302500,9.660000,7.754205,2056400
2006-05-29,9.560000,9.900000,9.375000,9.597500,7.704036,518400
2006-06-05,9.572500,9.967500,8.970000,9.367500,7.519413,832800
2006-06-12,9.477500,9.725000,9.245000,9.547500,7.663898,250400
2006-06-19,9.637500,9.722500,9.250000,9.540000,7.657877,568400
2006-06-26,9.635000,9.635000,8.800000,8.950000,7.184279,5025600
2006-07-03,8.887500,9.725000,8.395000,8.542500,6.857172,469600
2006-07-10,8.507500,8.872500,8.345000,8.747500,7.021730,800800
2006-07-17,8.750000,8.762500,8.195000,8.332500,6.688604,1071200
2006-07-24,8.287500,9.475000,8.190000,9.040000,7.256523,1048000
2006-07-31,8.805000,9.372500,8.170000,8.502500,6.825064,333600
2006-08-07,8.415000,8.900000,7.750000,7.860000,6.309321,805200
2006-08-14,7.787500,8.445000,7.670000,8.175000,6.562176,507200
2006-08-21,8.140000,8.252500,7.637500,7.902500,6.343436,533600
2006-08-28,7.922500,8.302500,7.575000,7.632500,6.126705,330000
2006-09-04,7.652500,7.695000,7.510000,7.582500,6.086568,244400
2006-09-11,7.552500,7.647500,7.217500,7.475000,6.000278,1141200
2006-09-18,7.450000,7.562500,7.377500,7.452500,5.982216,1422400
2006-09-25,7.387500,7.915000,7.365000,7.835000,6.289254,870400
2006-10-02,7.810000,8.182500,7.640000,7.905000,6.345443,306400
2006-10-09,7.872500,8.370000,7.812500,8.232500,6.608332,482000
2006-10-16,8.255000,8.500000,7.847500,8.112500,6.512007,332800
2006-10-23,8.080000,8.362500,7.820000,8.115000,6.514013,878800
2006-10-30,8.080000,8.312500,7.322500,7.715000,6.192929,492800
2006-11-06,7.780000,8.062500,7.625000,7.750000,6.221023,2090000
2006-11-13,7.872500,8.017500,7.625000,7.875000,6.321361,1255200
2006-11-20,7.955000,7.975000,7.625000,7.700000,6.180887,427200
2006-11-27,7.667500,8.245000,7.622500,8.150000,6.542108,1077600
2006-12-04,8.202500,8.497500,8.150000,8.400000,6.742786,1518800
2006-12-11,8.612500,8.667500,8.217500,8.325000,6.682582,842400
2006-12-18,8.335000,8.605000,8.075000,8.165000,6.554148,491600
2006-12-25,8.145000,8.700000,8.145000,8.362500,6.712685,338400
2007-01-01,8.390000,8.390000,7.822500,7.947500,6.379559,624400
2007-01-08,7.880000,8.250000,7.740000,8.130000,6.526055,530400
2007-01-15,8.177500,8.360000,7.765000,8.000000,6.421702,314400
2007-01-22,7.907500,8.267500,7.770000,7.827500,6.283233,510400
2007-01-29,7.842500,8.185000,7.720000,7.880000,6.325376,557600
2007-02-05,7.857500,7.902500,7.500000,7.835000,6.289254,974000
2007-02-12,7.692500,7.860000,7.500000,7.747500,6.219017,597200
2007-02-19,7.722500,7.990000,7.610000,7.870000,6.317348,366800
2007-02-26,7.847500,7.977500,7.425000,7.745000,6.217010,923200
2007-03-05,7.642500,8.127500,7.505000,7.785000,6.249118,484800
2007-03-12,7.870000,8.682500,7.482500,8.380000,6.726731,1132400
2007-03-19,8.422500,9.230000,8.210000,9.202500,7.386963,2784400
2007-03-26,9.222500,9.302500,8.715000,8.920000,7.160196,1104800
2007-04-02,8.945000,9.275000,8.800000,8.880000,7.128087,709600
2007-04-09,8.872500,9.332500,8.790000,9.327500,7.487304,1183600
2007-04-16,9.340000,9.542500,9.107500,9.230000,7.409036,823600
2007-04-23,9.177500,9.250000,8.912500,8.967500,7.198326,773200
2007-04-30,8.975000,9.195000,8.640000,9.150000,7.344820,1026800
2007-05-07,9.177500,9.177500,8.652500,8.872500,7.122069,818000
2007-05-14,8.830000,8.937500,8.545000,8.755000,7.027750,905600
2007-05-21,8.760000,8.847500,8.305000,8.572500,6.881254,1597200
2007-05-28,8.585000,8.900000,8.402500,8.837500,7.093971,1447200
2007-06-04,8.760000,9.027500,8.550000,8.977500,7.206352,1204800
2007-06-11,8.935000,9.130000,8.612500,8.947500,7.182271,1108400
2007-06-18,8.952500,9.405000,8.930000,9.232500,7.411044,1329600
2007-06-25,9.192500,9.492500,8.892500,8.995000,7.220399,981600
2007-07-02,9.055000,9.425000,8.887500,9.187500,7.374924,904000
2007-07-09,9.225000,9.387500,8.907500,9.095000,7.300673,804800
2007-07-16,9.050000,9.247500,8.487500,8.545000,6.859179,679200
2007-07-23,8.595000,8.687500,7.780000,7.900000,6.341428,1464400
2007-07-30,7.912500,8.237500,7.702500,7.782500,6.247110,1630000
2007-08-06,7.865000,8.132500,7.415000,7.982500,6.407653,2476800
2007-08-13,8.157500,8.710000,7.870000,8.295000,6.658502,2566800
2007-08-20,8.347500,8.825000,8.275000,8.492500,6.817037,1210800
2007-08-27,8.437500,8.677500,8.052500,8.435000,6.770882,1297200
2007-09-03,8.392500,8.500000,7.967500,8.130000,6.526055,820800
2007-09-10,8.197500,8.527500,8.055000,8.495000,6.819043,1475200
2007-09-17,8.487500,8.770000,8.420000,8.695000,6.979587,1908800
2007-09-24,8.622500,9.140000,8.532500,8.807500,7.069892,1599600
2007-10-01,8.750000,9.087500,8.740000,8.940000,7.176253,1058000
2007-10-08,8.937500,8.987500,8.750000,8.937500,7.174244,1309200
2007-10-15,8.960000,8.987500,8.665000,8.687500,6.973567,892400
2007-10-22,8.612500,8.930000,8.465000,8.915000,7.156185,785200
2007-10-29,8.925000,8.985000,8.400000,8.660000,6.951491,758400
2007-11-05,8.590000,8.647500,7.125000,7.935000,6.369524,1232400
2007-11-12,7.935000,8.010000,7.280000,7.535000,6.048440,1416000
2007-11-19,7.485000,7.532500,7.085000,7.310000,5.867829,612000
2007-11-26,7.292500,7.292500,6.445000,6.707500,5.384194,3359200
2007-12-03,6.710000,7.017500,6.525000,6.882500,5.524670,2880800
2007-12-10,6.882500,7.145000,6.312500,6.447500,5.175490,1829600
2007-12-17,6.415000,7.052500,6.185000,7.032500,5.645077,2354000
2007-12-24,7.032500,7.277500,6.700000,7.027500,5.641064,656400
2007-12-31,6.990000,7.222500,6.475000,6.585000,5.285862,1689200
2008-01-07,6.617500,6.820000,5.940000,6.045000,4.852396,2457600
2008-01-14,6.095000,6.282500,5.982500,6.032500,4.842364,2451200
2008-01-21,5.957500,6.635000,5.647500,6.412500,5.147394,1056000
2008-01-28,6.412500,6.585000,6.090000,6.555000,5.261781,1454000
2008-02-04,6.550000,7.020000,6.467500,6.777500,5.440384,1357200
2008-02-11,6.765000,7.455000,6.740000,7.190000,5.771504,1413200
2008-02-18,7.257500,7.402500,6.770000,7.227500,5.801606,920000
2008-02-25,7.182500,7.342500,6.535000,6.642500,5.332019,1714800
2008-03-03,6.500000,6.785000,6.015000,6.212500,4.986853,1441600
2008-03-10,6.210000,6.267500,5.887500,6.157500,4.942703,1221200
2008-03-17,6.040000,7.150000,5.667500,7.037500,5.649091,1458400
2008-03-24,7.080000,7.487500,7.015000,7.237500,5.809633,1387200
2008-03-31,7.220000,7.492500,7.045000,7.275000,5.839734,1083200
2008-04-07,7.300000,7.375000,6.662500,6.667500,5.352086,651200
2008-04-14,6.662500,7.490000,6.627500,7.347500,5.897931,556400
2008-04-21,7.300000,7.500000,6.775000,7.430000,5.964155,479600
2008-04-28,7.405000,7.507500,7.072500,7.077500,5.681200,1156000
2008-05-05,7.100000,7.167500,6.507500,6.982500,5.604941,862400
2008-05-12,7.085000,7.312500,6.752500,6.802500,5.460454,788800
2008-05-19,6.775000,7.087500,6.607500,7.055000,5.663137,1434000
2008-05-26,7.090000,7.500000,7.067500,7.260000,5.827694,828800
2008-06-02,7.260000,7.475000,7.022500,7.022500,5.637051,775200
2008-06-09,7.025000,7.175000,6.880000,7.080000,5.683205,852800
2008-06-16,7.075000,7.127500,6.552500,6.900000,5.538717,2479200
2008-06-23,6.927500,6.927500,6.382500,6.522500,5.235693,1195600
2008-06-30,6.505000,6.620000,6.187500,6.227500,4.998893,1560000
2008-07-07,6.307500,6.907500,6.187500,6.480000,5.201578,1616400
2008-07-14,6.510000,6.762500,6.285000,6.482500,5.203586,1588400
2008-07-21,6.420000,6.675000,6.262500,6.507500,5.223652,1650000
2008-07-28,6.477500,6.997500,6.417500,6.755000,5.422323,1010400
2008-08-04,6.737500,7.622500,6.627500,7.272500,5.837727,1084400
2008-08-11,7.317500,7.685000,6.752500,7.587500,6.090581,1268400
2008-08-18,7.480000,7.680000,7.052500,7.515000,6.032385,804800
2008-08-25,7.532500,7.597500,6.902500,7.375000,5.920005,617600
2008-09-01,7.520000,7.520000,6.750000,6.887500,5.528683,676800
2008-09-08,6.955000,7.380000,6.650000,6.717500,5.392222,966400
2008-09-15,6.622500,7.152500,6.230000,6.980000,5.602935,2031600
2008-09-22,6.887500,7.250000,6.480000,6.660000,5.346067,858000
2008-09-29,6.570000,6.702500,5.642500,5.720000,4.591516,855600
2008-10-06,5.605000,5.812500,4.300000,5.132500,4.119924,1734000
2008-10-13,5.375000,6.185000,4.877500,5.467500,4.388832,1301200
2008-10-20,5.525000,5.747500,4.665000,4.915000,3.945332,877200
2008-10-27,4.850000,5.025000,4.547500,4.942500,3.967408,1309200
2008-11-03,4.917500,5.122500,4.357500,4.562500,3.662375,1107200
2008-11-10,4.795000,4.950000,4.327500,4.552500,3.654350,833600
2008-11-17,4.502500,4.790000,3.702500,4.192500,3.365373,1448400
2008-11-24,4.217500,5.030000,3.915000,5.030000,4.037644,641600
2008-12-01,4.892500,5.555000,4.102500,5.547500,4.453049,1201600
2008-12-08,5.697500,5.947500,5.292500,5.545000,4.451041,1124000
2008-12-15,5.685000,5.690000,5.150000,5.460000,4.382811,1580400
2008-12-22,5.535000,5.550000,5.117500,5.240000,4.206213,532800
2008-12-29,5.240000,5.455000,5.050000,5.402500,4.336656,833200
2009-01-05,5.420000,5.502500,5.057500,5.097500,4.091827,945200
2009-01-12,5.097500,5.287500,4.807500,5.002500,4.015570,938800
2009-01-19,4.942500,4.942500,4.505000,4.675000,3.752681,446800
2009-01-26,4.645000,4.920000,4.525000,4.585000,3.680437,461200
2009-02-02,4.540000,5.030000,4.400000,5.010000,4.021591,569200
2009-02-09,4.965000,4.972500,4.470000,4.712500,3.782783,301200
