Date,Open,High,Low,Close,Adj Close,Volume
2016-05-23,19.000000,19.500000,17.000000,17.840000,17.840000,13796200
2016-05-30,18.190001,19.930000,17.950001,19.650000,19.650000,4084400
2016-06-06,19.610001,20.000000,18.500000,18.750000,18.750000,1188500
2016-06-13,18.639999,19.170000,18.400000,19.030001,19.030001,1212600
2016-06-20,19.510000,19.750000,18.559999,18.950001,18.950001,2750300
2016-06-27,18.799999,21.730000,17.500000,21.320000,21.320000,2542600
2016-07-04,21.200001,22.799999,20.650000,22.790001,22.790001,1288400
2016-07-11,22.889999,22.950001,22.240000,22.910000,22.910000,1580700
2016-07-18,22.990000,24.275000,22.990000,23.969999,23.969999,912200
2016-07-25,23.990000,24.809999,23.385000,24.139999,24.139999,557100
2016-08-01,24.059999,24.639999,23.639999,24.070000,24.070000,438700
2016-08-08,24.070000,30.690001,23.725000,30.299999,30.299999,2565000
2016-08-15,30.299999,32.450001,30.110001,32.090000,32.090000,1061600
2016-08-22,32.119999,33.029999,27.680000,31.230000,31.230000,2988400
2016-08-29,31.180000,33.720001,30.900000,32.830002,32.830002,802700
2016-09-05,33.320000,34.360001,32.119999,32.639999,32.639999,913000
2016-09-12,32.650002,33.990002,30.000000,31.549999,31.549999,2334800
2016-09-19,31.340000,32.090000,29.090000,31.500000,31.500000,940900
2016-09-26,31.250000,34.240002,31.090000,33.529999,33.529999,1273300
2016-10-03,33.759998,35.540001,31.750000,33.250000,33.250000,1661900
2016-10-10,33.209999,34.724998,33.099998,33.650002,33.650002,1023300
2016-10-17,33.650002,34.080002,31.799999,32.279999,32.279999,655100
2016-10-24,32.619999,33.650002,30.620001,31.129999,31.129999,1005800
2016-10-31,31.180000,32.860001,30.290001,32.279999,32.279999,977600
2016-11-07,32.849998,36.439999,30.750000,32.520000,32.520000,2163400
2016-11-14,32.759998,34.404999,32.259998,33.060001,33.060001,1078400
2016-11-21,33.220001,33.220001,29.190001,31.879999,31.879999,1134000
2016-11-28,31.690001,33.439999,29.740000,32.790001,32.790001,3335600
2016-12-05,32.889999,36.290001,32.470001,35.930000,35.930000,1568100
2016-12-12,35.910000,35.970001,32.860001,33.130001,33.130001,1452700
2016-12-19,33.299999,34.599998,33.130001,34.340000,34.340000,929100
2016-12-26,34.520000,35.750000,34.169998,34.400002,34.400002,788600
2017-01-02,34.830002,35.049999,33.000000,33.520000,33.520000,715000
2017-01-09,33.500000,34.970001,32.970001,34.669998,34.669998,557700
2017-01-16,34.720001,35.200001,33.119999,33.759998,33.759998,1251900
2017-01-23,33.470001,34.770000,33.000000,34.080002,34.080002,850700
2017-01-30,34.029999,35.500000,33.130001,35.029999,35.029999,897100
2017-02-06,34.770000,37.779999,34.099998,36.570000,36.570000,1649700
2017-02-13,36.709999,37.000000,34.560001,36.700001,36.700001,1031300
2017-02-20,36.610001,41.380001,36.110001,38.740002,38.740002,2188700
2017-02-27,37.709999,38.779999,36.674999,38.000000,38.000000,1684800
2017-03-06,37.080002,39.299999,36.000000,36.730000,36.730000,9271700
2017-03-13,36.730000,39.009998,36.450001,38.950001,38.950001,2454200
2017-03-20,38.950001,40.189999,38.439999,39.950001,39.950001,2351400
2017-03-27,39.599998,42.500000,39.150002,41.630001,41.630001,1721900
2017-04-03,41.560001,42.799999,40.584999,41.750000,41.750000,1665400
2017-04-10,41.660000,42.994999,40.709999,41.070000,41.070000,925700
2017-04-17,41.000000,42.279999,40.849998,41.720001,41.720001,768700
2017-04-24,42.250000,42.700001,41.459999,41.790001,41.790001,747100
2017-05-01,41.889999,42.459999,36.799999,38.340000,38.340000,2093700
2017-05-08,38.209999,38.910000,37.220001,38.169998,38.169998,1115100
2017-05-15,37.970001,39.470001,37.520000,38.990002,38.990002,1111600
2017-05-22,39.070000,39.830002,38.330002,38.430000,38.430000,579500
2017-05-29,38.200001,38.959999,37.150002,38.439999,38.439999,1169500
2017-06-05,38.290001,38.430000,36.779999,37.200001,37.200001,1288800
2017-06-12,36.880001,38.410000,36.099998,38.070000,38.070000,1638500
2017-06-19,38.040001,38.240002,36.709999,38.060001,38.060001,2753400
2017-06-26,38.099998,38.939999,36.810001,37.139999,37.139999,1518800
2017-07-03,37.200001,39.799999,36.730000,39.619999,39.619999,1000500
2017-07-10,39.580002,43.660000,38.180000,43.270000,43.270000,2158200
2017-07-17,44.419998,45.970001,41.669998,42.099998,42.099998,2940100
2017-07-24,42.200001,43.049999,40.939999,42.250000,42.250000,990300
2017-07-31,42.500000,43.359001,35.349998,38.009998,38.009998,3400800
2017-08-07,37.880001,38.169998,34.889999,35.970001,35.970001,7874600
2017-08-14,36.389999,36.849998,35.020000,35.669998,35.669998,3315000
2017-08-21,35.599998,36.220001,34.770000,35.090000,35.090000,1498000
2017-08-28,35.240002,35.990002,34.630001,35.779999,35.779999,1610900
2017-09-04,35.770000,36.320000,35.390999,35.810001,35.810001,2168500
2017-09-11,35.980000,36.099998,34.400002,34.529999,34.529999,1985200
2017-09-18,34.540001,35.650002,34.500000,35.639999,35.639999,3336900
2017-09-25,35.630001,36.169998,34.230000,35.980000,35.980000,1735500
2017-10-02,36.070000,36.150002,35.150002,35.639999,35.639999,1699100
2017-10-09,35.560001,35.660000,34.431000,34.779999,34.779999,1079000
2017-10-16,34.689999,35.525002,34.500000,35.290001,35.290001,985400
2017-10-23,35.270000,35.650002,34.130001,35.610001,35.610001,1279200
2017-10-30,35.529999,35.950001,31.299999,31.540001,31.540001,3481900
2017-11-06,31.410000,32.130001,30.840000,31.719999,31.719999,2545100
2017-11-13,31.700001,32.205002,30.840000,31.770000,31.770000,1484500
2017-11-20,31.809999,32.230000,30.920000,31.770000,31.770000,992700
2017-11-27,31.799999,32.720001,31.480000,32.430000,32.430000,1587600
2017-12-04,32.700001,32.900002,31.620001,31.850000,31.850000,2277900
2017-12-11,31.799999,33.360001,31.700001,33.279999,33.279999,1924900
2017-12-18,33.410000,33.830002,32.049999,33.160000,33.160000,2677200
2017-12-25,33.240002,33.459000,32.099998,32.209999,32.209999,1378300
2018-01-01,32.500000,33.450001,31.760000,33.360001,33.360001,1985900
2018-01-08,33.250000,34.480000,32.810001,33.849998,33.849998,1748500
2018-01-15,34.060001,35.279999,33.049999,35.070000,35.070000,1707800
2018-01-22,34.950001,35.590000,34.360001,35.000000,35.000000,2590200
2018-01-29,34.959999,35.485001,34.209999,34.230000,34.230000,2588700
2018-02-05,33.970001,34.349998,31.440001,32.330002,32.330002,1493200
2018-02-12,32.459999,34.169998,31.680000,33.930000,33.930000,1320500
2018-02-19,33.759998,37.000000,33.310001,33.689999,33.689999,2797300
2018-02-26,33.720001,34.459999,32.959999,33.680000,33.680000,4620800
2018-03-05,33.660000,36.330002,33.450001,36.200001,36.200001,2815900
2018-03-12,36.130001,36.919998,35.740002,36.240002,36.240002,2660400
2018-03-19,36.130001,36.130001,34.200001,34.290001,34.290001,1513700
2018-03-26,34.750000,34.910000,33.689999,34.439999,34.439999,1035300
2018-04-02,34.400002,34.790001,32.810001,33.720001,33.720001,1542000
2018-04-09,33.820000,34.599998,33.470001,34.000000,34.000000,1421700
2018-04-16,34.060001,35.180000,33.880001,34.650002,34.650002,1178500
2018-04-23,34.650002,34.990002,33.919998,34.770000,34.770000,878900
2018-04-30,34.650002,35.590000,31.000000,33.500000,33.500000,3103800
2018-05-07,33.639999,34.619999,33.169998,34.200001,34.200001,1980800
2018-05-14,34.279999,35.200001,33.840000,34.360001,34.360001,1489600
2018-05-21,34.419998,34.560001,33.000000,33.529999,33.529999,1379500
2018-05-28,33.340000,34.680000,33.070000,33.980000,33.980000,927500
2018-06-04,33.930000,40.250000,33.785000,38.990002,38.990002,6780900
2018-06-11,38.840000,40.139999,38.840000,39.860001,39.860001,2121700
2018-06-18,39.650002,44.459999,39.570000,44.189999,44.189999,17972700
2018-06-25,44.150002,44.230000,44.090000,44.130001,44.130001,3936800
2018-07-02,44.130001,44.439999,44.049999,44.349998,44.349998,2659100
2018-07-09,44.349998,44.389999,44.180000,44.270000,44.270000,1700800
2018-07-16,44.320000,44.470001,44.279999,44.410000,44.410000,1985000
2018-07-23,44.450001,44.755001,44.439999,44.480000,44.480000,1674200
2018-07-30,44.509998,44.700001,44.509998,44.639999,44.639999,1808500
2018-08-06,44.639999,44.680000,44.584999,44.660000,44.660000,2439500
2018-08-13,44.610001,44.680000,44.599998,44.660000,44.660000,179700
