Date,Open,High,Low,Close,Adj Close,Volume
2005-12-12,22.530001,25.000000,21.950001,24.400000,18.259613,13419000
2005-12-19,24.309999,26.150000,22.900000,25.910000,19.389612,2950200
2005-12-26,26.000000,27.400000,25.500000,27.299999,20.429810,1148600
2006-01-02,27.000000,27.100000,24.799999,25.180000,18.843321,1142500
2006-01-09,25.100000,25.100000,23.200001,24.459999,18.304510,1852500
2006-01-16,23.600000,24.200001,22.600000,23.320000,17.451399,1372600
2006-01-23,23.170000,23.950001,21.799999,23.940001,17.915371,1578200
2006-01-30,23.809999,24.200001,22.000000,22.010000,16.471067,970600
2006-02-06,22.700001,22.700001,20.700001,21.250000,15.902328,913200
2006-02-13,21.320000,22.000000,20.400000,21.830000,16.336369,706000
2006-02-20,21.750000,24.139999,21.719999,23.410000,17.518753,407300
2006-02-27,23.219999,23.889999,22.150000,22.299999,16.688086,573400
2006-03-06,22.200001,22.450001,21.680000,22.150000,16.575832,1086100
2006-03-13,22.090000,22.260000,21.549999,22.000000,16.463581,502600
2006-03-20,22.000000,23.790001,21.950001,22.150000,16.575832,635800
2006-03-27,22.100000,23.389999,20.309999,22.850000,17.099676,1432800
2006-04-03,22.920000,23.340000,22.420000,22.650000,16.950005,436200
2006-04-10,22.549999,22.600000,21.200001,21.850000,16.351332,582200
2006-04-17,21.900000,22.400000,21.600000,22.160000,16.583321,397900
2006-04-24,22.200001,23.100000,22.059999,22.350000,16.725504,502500
2006-05-01,22.150000,22.450001,22.020000,22.200001,16.613255,614800
2006-05-08,22.200001,22.450001,21.080000,21.350000,15.977160,261600
2006-05-15,21.350000,23.500000,20.950001,22.920000,17.152060,1453900
2006-05-22,23.150000,24.040001,22.370001,23.650000,17.698353,1457800
2006-05-29,23.799999,24.250000,22.990000,23.900000,18.031036,430900
2006-06-05,24.150000,24.209999,22.809999,23.389999,17.646271,486200
2006-06-12,23.459999,23.559999,21.559999,22.450001,16.937099,608500
2006-06-19,22.500000,23.100000,21.799999,22.600000,17.050268,291000
2006-06-26,22.580000,22.790001,21.570000,22.650000,17.087988,2560400
2006-07-03,22.549999,23.500000,22.549999,23.190001,17.495392,440800
2006-07-10,23.049999,23.850000,22.400000,22.500000,16.974823,714100
2006-07-17,22.350000,23.049999,21.530001,22.700001,17.125721,589800
2006-07-24,22.750000,23.000000,22.430000,22.900000,17.276602,226900
2006-07-31,22.799999,23.650000,22.700001,23.389999,17.646271,375700
2006-08-07,23.350000,23.350000,22.000000,22.590000,17.042725,218100
2006-08-14,22.610001,26.700001,22.590000,26.389999,19.909584,1570600
2006-08-21,26.750000,27.950001,26.389999,27.780001,20.958254,1132200
2006-08-28,28.000000,30.200001,27.950001,30.100000,22.708542,921200
2006-09-04,30.450001,31.549999,28.299999,29.990000,22.625559,946500
2006-09-11,30.100000,30.969999,29.469999,30.969999,23.364902,1224900
2006-09-18,31.049999,34.939999,30.600000,33.470001,25.250999,1722400
2006-09-25,33.549999,35.220001,32.869999,34.330002,25.899815,726800
