Date,Open,High,Low,Close,Adj Close,Volume
1997-08-04,12.250000,12.875000,11.125000,11.625000,11.625000,2448400
1997-08-11,11.500000,11.875000,10.937500,11.250000,11.250000,598500
1997-08-18,11.375000,11.375000,11.000000,11.000000,11.000000,108000
1997-08-25,11.250000,11.250000,11.000000,11.125000,11.125000,182600
1997-09-01,11.000000,11.750000,11.000000,11.750000,11.750000,307700
1997-09-08,11.687500,13.875000,11.625000,13.750000,13.750000,556800
1997-09-15,13.875000,14.250000,12.250000,12.750000,12.750000,280500
1997-09-22,13.000000,14.000000,13.000000,13.500000,13.500000,307600
1997-09-29,13.687500,15.875000,13.500000,15.875000,15.875000,223100
1997-10-06,15.875000,17.000000,15.250000,16.500000,16.500000,153600
1997-10-13,17.000000,17.250000,15.000000,15.000000,15.000000,113500
1997-10-20,15.500000,15.750000,14.250000,14.500000,14.500000,168500
1997-10-27,14.625000,14.750000,13.500000,13.500000,13.500000,151400
1997-11-03,14.375000,14.375000,13.000000,13.750000,13.750000,61800
1997-11-10,14.250000,14.250000,10.500000,10.750000,10.750000,100200
1997-11-17,10.500000,10.750000,8.000000,9.062500,9.062500,774300
1997-11-24,9.125000,9.125000,8.750000,8.937500,8.937500,96400
1997-12-01,8.750000,9.625000,8.250000,9.250000,9.250000,114800
1997-12-08,9.625000,9.625000,8.500000,8.500000,8.500000,89800
1997-12-15,8.500000,8.750000,7.500000,7.750000,7.750000,58700
1997-12-22,8.000000,8.000000,7.625000,7.625000,7.625000,23800
1997-12-29,8.062500,8.750000,7.000000,8.750000,8.750000,119900
1998-01-05,8.750000,8.750000,6.000000,8.000000,8.000000,115900
1998-01-12,7.625000,8.750000,7.625000,7.750000,7.750000,73000
1998-01-19,8.000000,8.250000,7.375000,7.375000,7.375000,182800
1998-01-26,7.375000,8.500000,7.375000,8.125000,8.125000,66100
1998-02-02,8.625000,8.625000,8.125000,8.375000,8.375000,55000
1998-02-09,8.250000,8.375000,8.000000,8.375000,8.375000,42600
1998-02-16,8.125000,8.375000,8.125000,8.125000,8.125000,11000
1998-02-23,8.125000,8.125000,7.625000,7.625000,7.625000,16100
1998-03-02,7.625000,8.000000,6.375000,6.750000,6.750000,43400
1998-03-09,7.000000,7.000000,6.000000,6.375000,6.375000,414500
1998-03-16,6.750000,7.000000,6.000000,6.875000,6.875000,390300
1998-03-23,7.500000,7.500000,6.000000,6.250000,6.250000,189700
1998-03-30,6.625000,7.500000,6.375000,7.500000,7.500000,83500
1998-04-06,7.375000,7.375000,6.750000,7.000000,7.000000,112400
1998-04-13,7.000000,7.500000,6.500000,7.312500,7.312500,77200
1998-04-20,7.375000,7.375000,6.625000,7.000000,7.000000,328600
1998-04-27,7.062500,7.125000,6.687500,6.750000,6.750000,81400
1998-05-04,6.812500,7.125000,6.750000,6.937500,6.937500,105800
1998-05-11,7.000000,7.000000,6.875000,6.875000,6.875000,18500
1998-05-18,6.875000,7.000000,6.875000,7.000000,7.000000,19600
1998-05-25,6.875000,6.875000,6.500000,6.562500,6.562500,27600
1998-06-01,6.750000,6.750000,5.875000,6.125000,6.125000,27200
1998-06-08,6.125000,6.375000,5.875000,5.875000,5.875000,10000
1998-06-15,6.000000,6.000000,5.625000,5.750000,5.750000,136500
1998-06-22,5.875000,5.875000,5.500000,5.750000,5.750000,42200
1998-06-29,5.625000,5.750000,5.500000,5.500000,5.500000,11500
1998-07-06,5.500000,5.750000,5.375000,5.375000,5.375000,17200
1998-07-13,5.375000,5.500000,4.625000,4.625000,4.625000,73100
1998-07-20,4.625000,4.875000,3.625000,3.750000,3.750000,207900
1998-07-27,3.625000,3.687500,2.875000,3.500000,3.500000,229500
1998-08-03,3.562500,3.562500,2.812500,2.875000,2.875000,127200
1998-08-10,3.000000,3.375000,2.750000,3.125000,3.125000,42100
1998-08-17,3.250000,3.500000,3.250000,3.250000,3.250000,30500
1998-08-24,3.250000,3.500000,2.687500,2.750000,2.750000,70300
1998-08-31,2.750000,3.125000,2.250000,3.000000,3.000000,101300
1998-09-07,3.375000,3.375000,3.000000,3.000000,3.000000,47400
1998-09-14,3.250000,3.250000,2.937500,2.937500,2.937500,46200
1998-09-21,2.937500,3.125000,2.500000,2.625000,2.625000,19800
1998-09-28,2.750000,2.875000,2.500000,2.875000,2.875000,40700
1998-10-05,2.750000,2.875000,2.500000,2.750000,2.750000,120600
1998-10-12,2.812500,3.062500,2.750000,3.000000,3.000000,274900
1998-10-19,3.000000,3.062500,2.875000,3.062500,3.062500,145100
1998-10-26,3.062500,3.187500,2.750000,2.750000,2.750000,99100
1998-11-02,2.812500,3.125000,2.750000,3.062500,3.062500,152800
1998-11-09,3.062500,3.187500,2.812500,2.875000,2.875000,132900
1998-11-16,3.000000,3.125000,2.625000,2.625000,2.625000,185200
1998-11-23,2.687500,2.687500,2.500000,2.500000,2.500000,62200
1998-11-30,2.562500,2.562500,2.125000,2.250000,2.250000,106500
1998-12-07,2.062500,2.250000,1.062500,1.750000,1.750000,251400
1998-12-14,1.750000,1.937500,1.500000,1.625000,1.625000,139500
1998-12-21,1.562500,1.562500,1.125000,1.375000,1.375000,169000
1998-12-28,1.500000,1.625000,1.125000,1.375000,1.375000,184000
1999-01-04,1.250000,1.500000,1.250000,1.375000,1.375000,82600
1999-01-11,1.375000,1.437500,1.187500,1.250000,1.250000,57100
1999-01-18,1.250000,1.250000,1.062500,1.187500,1.187500,77300
1999-01-25,1.250000,1.312500,1.125000,1.281200,1.281200,27100
1999-02-01,1.250000,1.375000,1.125000,1.218700,1.218700,34100
1999-02-08,1.218700,1.312500,1.062500,1.312500,1.312500,45400
1999-02-15,1.250000,1.250000,1.125000,1.218700,1.218700,26900
1999-02-22,1.187500,1.250000,1.156200,1.218700,1.218700,40300
1999-03-01,1.187500,1.250000,1.187500,1.187500,1.187500,16600
1999-03-08,1.218700,1.250000,1.125000,1.218700,1.218700,96900
1999-03-15,1.250000,1.375000,1.250000,1.312500,1.312500,66500
1999-03-22,1.343700,1.375000,1.187500,1.343700,1.343700,38600
1999-03-29,1.343700,1.687500,1.000000,1.250000,1.250000,107000
1999-04-05,1.312500,1.312500,1.000000,1.187500,1.187500,145000
1999-04-12,1.187500,1.437500,1.125000,1.375000,1.375000,63200
1999-04-19,1.375000,1.500000,1.312500,1.437500,1.437500,178500
1999-04-26,1.468700,1.500000,1.312500,1.437500,1.437500,50200
1999-05-03,1.500000,1.500000,1.375000,1.406200,1.406200,65300
1999-05-10,1.406200,1.437500,1.312500,1.375000,1.375000,331800
1999-05-17,1.312500,1.625000,1.312500,1.562500,1.562500,32300
1999-05-24,1.750000,2.000000,1.750000,1.750000,1.750000,106000
1999-05-31,1.812500,1.875000,1.625000,1.875000,1.875000,34400
1999-06-07,1.781200,1.875000,1.625000,1.750000,1.750000,56600
1999-06-14,1.750000,2.000000,1.687500,2.000000,2.000000,38600
1999-06-21,1.937500,2.000000,1.812500,1.875000,1.875000,30300
1999-06-28,2.000000,2.000000,1.750000,1.875000,1.875000,60300
1999-07-05,1.875000,1.875000,1.687500,1.687500,1.687500,17500
1999-07-12,1.687500,1.875000,1.687500,1.687500,1.687500,33900
1999-07-19,1.750000,2.000000,1.625000,1.750000,1.750000,74300
1999-07-26,1.750000,1.875000,1.625000,1.875000,1.875000,54800
1999-08-02,1.875000,2.250000,1.875000,2.062500,2.062500,99200
1999-08-09,1.875000,2.218700,1.875000,2.062500,2.062500,52500
1999-08-16,2.187500,2.187500,2.000000,2.125000,2.125000,63400
1999-08-23,2.109300,2.125000,2.000000,2.031200,2.031200,83200
1999-08-30,2.031200,2.093700,2.000000,2.000000,2.000000,77900
1999-09-06,2.000000,2.187500,2.000000,2.062500,2.062500,131800
1999-09-13,2.125000,2.125000,2.062500,2.125000,2.125000,38200
1999-09-20,2.125000,2.125000,1.750000,2.000000,2.000000,77100
1999-09-27,2.000000,2.000000,1.500000,2.000000,2.000000,175500
1999-10-04,2.000000,2.062500,1.937500,1.937500,1.937500,97200
1999-10-11,1.937500,2.000000,1.687500,2.000000,2.000000,21100
1999-10-18,1.937500,2.000000,1.375000,1.687500,1.687500,96900
1999-10-25,1.687500,2.125000,1.625000,1.750000,1.750000,70000
1999-11-01,2.000000,2.125000,1.437500,1.875000,1.875000,64800
1999-11-08,1.875000,1.937500,1.500000,1.625000,1.625000,73300
1999-11-15,1.625000,1.875000,1.625000,1.812500,1.812500,59200
1999-11-22,1.781200,1.875000,1.687500,1.750000,1.750000,23000
1999-11-29,1.687500,2.093700,1.625000,1.937500,1.937500,100400
1999-12-06,1.968700,2.000000,1.562500,1.625000,1.625000,109700
1999-12-13,1.656200,2.000000,1.468700,1.812500,1.812500,137300
1999-12-20,1.875000,2.031200,1.875000,2.000000,2.000000,200000
1999-12-27,2.000000,2.125000,1.968700,2.000000,2.000000,149700
2000-01-03,2.000000,2.250000,1.984300,2.062500,2.062500,42600
2000-01-10,2.062500,2.843700,1.875000,2.125000,2.125000,139100
2000-01-17,2.125000,2.375000,1.906200,2.312500,2.312500,24100
2000-01-24,2.281200,2.500000,1.687500,2.500000,2.500000,201800
2000-01-31,2.437500,2.562500,2.000000,2.312500,2.312500,108100
2000-02-07,2.250000,2.500000,2.125000,2.437500,2.437500,58000
2000-02-14,2.375000,2.437500,2.000000,2.187500,2.187500,108300
2000-02-21,2.187500,2.562500,2.000000,2.437500,2.437500,55800
2000-02-28,2.500000,4.625000,2.187500,3.500000,3.500000,460000
2000-03-06,3.343700,4.000000,3.125000,3.875000,3.875000,191300
2000-03-13,3.625000,4.250000,3.500000,4.031200,4.031200,182300
2000-03-20,4.187500,4.500000,3.250000,4.125000,4.125000,112500
2000-03-27,3.250000,4.000000,3.125000,3.875000,3.875000,83000
2000-04-03,3.750000,4.000000,2.718700,3.500000,3.500000,78200
2000-04-10,3.250000,3.531200,2.625000,2.875000,2.875000,82300
2000-04-17,2.968700,3.500000,2.687500,3.250000,3.250000,48500
2000-04-24,3.250000,3.375000,2.812500,3.125000,3.125000,53500
2000-05-01,3.187500,4.000000,3.125000,3.687500,3.687500,95400
2000-05-08,3.625000,4.000000,3.000000,3.875000,3.875000,181500
2000-05-15,3.812500,5.500000,3.625000,5.468700,5.468700,473200
2000-05-22,5.500000,6.375000,4.500000,5.625000,5.625000,480400
2000-05-29,5.843700,6.625000,5.406200,6.312500,6.312500,307400
2000-06-05,6.125000,6.437500,4.875000,6.062500,6.062500,373100
2000-06-12,6.125000,7.468700,6.000000,7.125000,7.125000,465300
