Date,Open,High,Low,Close,Adj Close,Volume
1995-12-04,1.725328,2.023942,1.692148,1.990763,1.990763,55885600
1995-12-11,2.065417,2.322557,1.775097,1.874635,1.874635,24650600
1995-12-18,1.858045,1.874635,1.642379,1.808276,1.808276,8275900
1995-12-25,1.824866,2.189839,1.775097,2.156660,2.156660,3826000
1996-01-01,2.173249,2.189839,1.675559,1.708738,1.708738,6253800
1996-01-08,1.758507,1.891225,1.559431,1.808276,1.808276,5646300
1996-01-15,1.808276,1.940994,1.642379,1.858045,1.858045,3185500
1996-01-22,1.824866,2.173249,1.824866,2.106891,2.106891,5819700
1996-01-29,2.106891,2.305967,2.040532,2.305967,2.305967,2495300
1996-02-05,2.289377,2.521633,2.289377,2.471864,2.471864,3107100
1996-02-12,2.438684,3.019324,2.438684,2.919785,2.919785,7103500
1996-02-19,2.870017,3.467245,2.870017,3.409181,3.409181,3170400
1996-02-26,3.400887,3.699501,2.621171,2.820247,2.820247,15055900
1996-03-04,2.870017,3.218400,2.322557,2.422095,2.422095,8833500
1996-03-11,2.488454,3.409181,2.422095,2.936375,2.936375,38021800
1996-03-18,3.002734,3.019324,2.770478,2.886606,2.886606,9092700
1996-03-25,2.853427,2.986144,2.820247,2.936375,2.936375,5396200
1996-04-01,2.903196,3.284759,2.903196,3.268169,3.268169,6402900
1996-04-08,3.218400,3.384297,3.118862,3.367707,3.367707,8862300
1996-04-15,3.384297,4.197192,3.334528,4.097653,4.097653,8708500
1996-04-22,4.147423,5.209163,4.130833,5.093035,5.093035,39069200
1996-04-29,5.126215,5.640495,5.010087,5.267227,5.267227,11868500
1996-05-06,5.275522,5.640495,5.010087,5.640495,5.640495,19481700
1996-05-13,5.706853,5.939109,4.976907,5.059855,5.059855,31908100
1996-05-20,5.192573,5.341880,5.076445,5.242342,5.242342,10394800
1996-05-27,5.142804,5.209163,4.562165,5.026676,5.026676,8640800
1996-06-03,5.026676,5.043266,4.081064,4.313320,4.313320,8676800
1996-06-10,4.446037,4.943728,3.948346,4.777831,4.777831,29524100
1996-06-17,4.910548,4.943728,3.284759,3.765860,3.765860,25190600
1996-06-24,3.881988,5.076445,3.716091,5.043266,5.043266,17906400
1996-07-01,5.043266,5.408239,4.711472,4.877369,4.877369,10373200
1996-07-08,4.910548,5.308701,3.815629,4.213781,4.213781,11798300
1996-07-15,4.047884,5.308701,3.185220,5.175983,5.175983,17040500
1996-07-22,5.209163,5.408239,3.948346,4.811010,4.811010,25138400
1996-07-29,4.877369,5.507777,4.645113,5.458008,5.458008,13704500
1996-08-05,5.574136,6.038647,5.076445,5.756623,5.756623,16088500
1996-08-12,5.839571,6.718825,5.507777,6.246018,6.246018,11058300
1996-08-19,6.304082,6.436800,5.540956,5.756623,5.756623,13391000
1996-08-26,5.574136,5.773212,4.777831,5.574136,5.574136,10372000
1996-09-02,5.408239,5.905930,5.142804,5.325291,5.325291,7602900
1996-09-09,5.408239,5.905930,5.109625,5.640495,5.640495,14016400
1996-09-16,5.740033,6.436800,5.607316,6.403621,6.403621,10174300
1996-09-23,6.337262,6.834952,6.171365,6.619287,6.619287,9267000
1996-09-30,6.536338,6.801773,6.038647,6.469979,6.469979,7215000
1996-10-07,6.370441,6.503159,5.706853,6.105006,6.105006,5887300
1996-10-14,5.972289,6.934491,5.972289,6.602697,6.602697,7517000
1996-10-21,6.602697,6.834952,5.972289,6.669055,6.669055,10697600
1996-10-28,6.702235,7.531720,6.503159,7.116977,7.116977,11954400
1996-11-04,7.100388,7.365823,6.635876,7.067208,7.067208,6726900
1996-11-11,7.067208,7.199926,6.768594,7.017439,7.017439,4488500
1996-11-18,7.100388,7.100388,5.375060,5.872750,5.872750,21249400
1996-11-25,5.806392,6.237724,5.706853,6.055237,6.055237,5219900
1996-12-02,6.105006,6.536338,5.806392,6.071827,6.071827,8366900
1996-12-09,6.138186,6.569518,5.441419,5.507777,5.507777,8642200
1996-12-16,5.540956,5.806392,5.242342,5.308701,5.308701,12534200
1996-12-23,5.375060,5.574136,5.010087,5.175983,5.175983,5842900
1996-12-30,5.142804,5.574136,5.043266,5.441419,5.441419,4692400
1997-01-06,5.574136,6.304082,5.574136,6.005468,6.005468,7197400
1997-01-13,5.905930,6.038647,5.109625,5.159394,5.159394,8397600
1997-01-20,5.175983,6.834952,5.076445,6.105006,6.105006,24071000
1997-01-27,6.105006,6.370441,5.839571,6.138186,6.138186,6505900
1997-02-03,6.171365,6.171365,5.574136,5.872750,5.872750,9652300
1997-02-10,5.872750,5.872750,5.043266,5.275522,5.275522,11699900
1997-02-17,5.341880,5.341880,3.583373,4.081064,4.081064,26510200
1997-02-24,4.280140,4.412858,1.293996,1.675559,1.675559,194230300
1997-03-03,1.758507,2.173249,1.708738,1.940994,1.940994,81475400
1997-03-10,2.023942,2.156660,1.559431,2.123480,2.123480,59418700
1997-03-17,2.088217,2.106891,1.675559,1.924404,1.924404,21500100
1997-03-24,1.924404,1.924404,1.725328,1.858045,1.858045,14891500
1997-03-31,1.874635,1.940994,1.509662,1.932699,1.932699,31229500
1997-04-07,1.974173,2.007353,1.609200,1.644450,1.644450,23462600
1997-04-14,1.642379,1.675559,1.410124,1.509662,1.509662,39236900
1997-04-21,1.559431,1.741917,1.476483,1.609200,1.609200,29616000
1997-04-28,1.625790,2.521633,1.576021,2.422095,2.422095,67564300
1997-05-05,2.405505,2.654351,2.272788,2.554812,2.554812,34378100
1997-05-12,3.666322,4.844190,3.550194,4.230371,4.230371,170420400
1997-05-19,4.180602,5.109625,4.164012,5.076445,5.076445,60223400
1997-05-26,5.026676,5.341880,4.728062,4.993497,4.993497,24220700
1997-06-02,4.976907,5.441419,4.611934,5.209163,5.209163,36461700
1997-06-09,5.275522,5.308701,4.645113,4.728062,4.728062,27981000
1997-06-16,4.678293,5.607316,4.678293,5.358470,5.358470,43277100
1997-06-23,5.142804,5.640495,5.126215,5.557546,5.557546,19993200
1997-06-30,5.540956,6.254313,5.540956,6.204544,6.204544,18713200
1997-07-07,6.237724,7.571110,6.204544,7.399002,7.399002,26641900
1997-07-14,7.498540,7.647847,7.199926,7.233105,7.233105,27309300
1997-07-21,7.199926,7.399002,6.055237,6.237724,6.237724,58815400
1997-07-28,6.337262,6.486569,5.474598,6.105006,6.105006,61781100
1997-08-04,6.105006,7.299464,5.789802,7.249695,7.249695,37186600
1997-08-11,7.216516,7.365823,6.486569,6.503159,6.503159,21145400
1997-08-18,6.503159,7.017439,6.262608,6.834952,6.834952,21378500
1997-08-25,6.901311,6.901311,6.320672,6.702235,6.702235,18051700
1997-09-01,6.801773,7.465361,6.685645,7.448771,7.448771,18248500
1997-09-08,7.498540,7.564899,6.320672,6.702235,6.702235,22062700
1997-09-15,6.702235,6.909606,6.270903,6.735415,6.735415,17463400
1997-09-22,6.752004,7.034029,6.685645,6.818363,6.818363,13473900
1997-09-29,6.801773,6.851542,6.552928,6.652466,6.652466,13435800
1997-10-06,6.669055,7.780565,6.519748,7.457066,7.457066,24898200
1997-10-13,7.730796,8.361204,7.548309,7.963051,7.963051,32223100
1997-10-20,8.029410,10.351967,7.830334,9.605431,9.605431,68840100
1997-10-27,9.489303,9.904045,8.228486,9.746443,9.746443,42879800
1997-11-03,9.887456,10.584223,9.555662,9.754738,9.754738,23671400
1997-11-10,9.738149,10.484684,9.041381,9.721559,9.721559,40275800
1997-11-17,9.986994,10.476390,8.493921,9.837687,9.837687,24194000
1997-11-24,9.787917,9.854276,9.422944,9.505893,9.505893,6738900
1997-12-01,9.588841,11.115092,9.439534,11.040439,11.040439,27634400
1997-12-08,11.115092,11.214631,9.339995,9.406355,9.406355,24350200
1997-12-15,9.588841,9.622021,7.896693,8.485626,8.485626,56291200
1997-12-22,8.527101,9.406355,8.261666,9.178240,9.178240,14645500
1997-12-29,9.439534,10.269018,8.925254,9.937224,9.937224,19188900
1998-01-05,10.086532,10.086532,8.676408,8.900369,8.900369,28401500
1998-01-12,8.377793,9.986994,8.361204,9.754738,9.754738,34250000
1998-01-19,10.003583,10.401736,8.858894,8.941843,8.941843,59363000
1998-01-26,9.157509,9.522482,8.427563,9.124330,9.124330,42123400
1998-02-02,9.422944,9.986994,9.157509,9.539072,9.539072,46833900
1998-02-09,9.572251,9.671789,8.958433,9.132625,9.132625,20716400
1998-02-16,9.165804,9.207278,8.361204,8.618344,8.618344,43467500
1998-02-23,8.983317,9.033087,7.938167,8.373647,8.373647,44820800
1998-03-02,8.585165,8.610049,7.241400,7.938167,7.938167,50306600
1998-03-09,7.913282,9.505893,7.763975,9.207278,9.207278,53459500
1998-03-16,9.257048,10.103122,8.983317,9.568104,9.568104,32466700
1998-03-23,9.617873,10.650581,9.592989,10.501274,10.501274,29568800
1998-03-30,10.451505,11.409559,10.202660,10.687908,10.687908,25183100
1998-04-06,10.700351,10.725235,9.456123,10.376851,10.376851,32412400
1998-04-13,10.401736,11.322464,10.376851,10.849658,10.849658,24179000
1998-04-20,11.123387,12.417383,10.501274,11.546425,11.546425,42747200
1998-04-27,11.272695,12.865305,10.663024,12.740882,12.740882,25295100
1998-05-04,12.765767,12.964843,11.720616,12.006788,12.006788,16231800
1998-05-11,12.168538,12.317845,11.247810,11.372232,11.372232,14299300
1998-05-18,11.247810,11.247810,10.451505,10.625697,10.625697,15009600
1998-05-25,10.725235,10.911869,9.754738,10.389294,10.389294,22827200
1998-06-01,10.252429,11.048734,9.779622,10.824773,10.824773,21412600
1998-06-08,10.824773,11.533982,10.351967,11.048734,11.048734,18982400
1998-06-15,10.700351,12.641344,10.700351,12.292961,12.292961,39273600
1998-06-22,12.342730,13.761148,12.268076,13.139035,13.139035,33403700
1998-06-29,13.362996,13.873129,13.064382,13.238573,13.238573,19841900
1998-07-06,13.176362,14.793857,13.176362,14.084647,14.084647,20506500
1998-07-13,14.009994,15.030259,13.761148,14.731646,14.731646,24493900
