Date,Open,High,Low,Close,Adj Close,Volume
2007-04-30,21.750000,21.950001,20.549999,20.980000,19.395792,13490100
2007-05-07,21.200001,21.290001,19.110001,19.299999,17.842649,21063500
2007-05-14,19.150000,19.750000,18.020000,19.309999,17.851892,23512300
2007-05-21,19.200001,19.700001,18.690001,18.760000,17.343428,11736500
2007-05-28,18.910000,19.799999,18.809999,19.549999,18.073776,11482700
2007-06-04,18.700001,19.049999,18.150000,18.830000,17.408142,17984200
2007-06-11,18.549999,19.139999,18.020000,18.879999,17.454365,25105000
2007-06-18,18.650000,19.850000,18.500000,19.750000,18.258675,24292100
2007-06-25,19.690001,19.889999,19.110001,19.700001,18.212446,10996800
2007-07-02,19.570000,20.900000,19.530001,20.830000,19.257122,9399500
2007-07-09,20.940001,21.389999,20.000000,20.500000,18.952042,12834700
2007-07-16,20.450001,21.799999,20.309999,21.400000,19.784081,29171000
2007-07-23,21.400000,21.600000,18.370001,18.590000,17.186262,27596400
2007-07-30,18.500000,19.500000,17.180000,18.700001,17.287958,30432600
2007-08-06,18.940001,19.000000,16.950001,17.559999,16.234041,18326200
2007-08-13,17.650000,18.049999,14.940000,16.000000,14.791837,21791000
2007-08-20,16.100000,18.650000,15.860000,18.240000,16.862694,15431600
2007-08-27,17.610001,18.230000,16.820000,16.879999,15.605391,6104700
2007-09-03,17.040001,18.299999,16.969999,17.620001,16.289513,7580000
2007-09-10,17.730000,17.990000,17.059999,17.650000,16.317244,9007400
2007-09-17,17.570000,18.340000,16.870001,17.559999,16.234041,9622900
2007-09-24,17.520000,18.040001,15.900000,17.950001,16.594587,16571500
2007-10-01,18.000000,19.700001,17.809999,19.190001,17.740961,16671400
2007-10-08,19.120001,19.980000,19.080000,19.959999,18.452814,11082000
2007-10-15,19.780001,20.559999,19.170000,19.500000,18.027550,22042900
2007-10-22,19.209999,21.049999,19.200001,19.740000,18.249430,17670400
2007-10-29,19.590000,20.940001,19.500000,19.930000,18.425079,14459000
2007-11-05,19.799999,20.090000,16.200001,16.500000,15.254083,22822000
2007-11-12,16.879999,21.100000,16.770000,19.969999,18.462059,39920000
2007-11-19,19.500000,19.750000,16.270000,18.150000,16.779488,15436200
2007-11-26,18.350000,19.870001,17.250000,19.760000,18.267918,21044900
2007-12-03,19.750000,20.000000,17.860001,18.700001,17.287958,18676700
2007-12-10,18.860001,18.860001,14.450000,15.600000,14.422044,24828200
2007-12-17,15.610000,15.630000,14.040000,15.080000,13.941308,20136100
2007-12-24,15.100000,15.450000,14.200000,14.600000,13.497549,8899800
2007-12-31,14.640000,15.250000,12.660000,13.370000,12.360428,24638700
2008-01-07,13.430000,16.930000,11.500000,15.480000,14.311099,47093900
2008-01-14,15.700000,16.469999,14.680000,15.140000,13.996775,23383000
2008-01-21,13.700000,16.500000,13.700000,16.209999,14.985980,14132500
2008-01-28,16.209999,18.639999,15.830000,18.530001,17.130795,24307200
2008-02-04,18.440001,18.990000,16.500000,18.190001,16.816469,28255800
2008-02-11,18.590000,18.590000,16.809999,17.320000,16.012163,18810500
2008-02-18,17.629999,17.629999,15.620000,16.370001,15.133898,13204200
2008-02-25,16.400000,16.540001,13.240000,13.350000,12.341938,19771000
2008-03-03,13.270000,14.600000,12.500000,12.890000,11.916675,21787900
2008-03-10,12.920000,13.260000,9.380000,9.600000,8.875101,27394400
2008-03-17,9.410000,11.060000,8.610000,10.000000,9.244899,28943500
2008-03-24,10.140000,10.390000,7.940000,8.610000,7.959856,49205800
2008-03-31,8.670000,9.380000,8.150000,8.750000,8.089284,41560200
2008-04-07,9.100000,10.550000,8.430000,10.010000,9.254144,37864400
2008-04-14,10.690000,10.890000,8.400000,8.750000,8.089284,76432100
2008-04-21,8.610000,8.730000,6.500000,7.010000,6.480673,78835200
2008-04-28,6.950000,9.020000,6.820000,8.500000,7.858164,65744200
2008-05-05,8.380000,8.400000,7.270000,7.650000,7.072347,43850500
2008-05-12,7.980000,8.180000,7.250000,7.500000,6.933674,39862900
2008-05-19,7.480000,7.550000,5.370000,5.500000,5.084693,67888200
2008-05-26,5.710000,6.350000,5.530000,6.150000,5.685612,42162300
2008-06-02,6.250000,7.030000,5.750000,6.300000,5.824286,69745100
2008-06-09,6.400000,6.500000,4.800000,5.320000,4.918284,67931100
2008-06-16,5.190000,6.380000,5.060000,5.680000,5.251101,58206500
2008-06-23,5.890000,5.890000,4.840000,5.520000,5.103183,87588500
2008-06-30,5.420000,5.760000,4.710000,4.950000,4.576225,42298900
2008-07-07,5.340000,5.900000,4.590000,4.930000,4.557734,71477700
2008-07-14,5.280000,7.250000,4.000000,6.930000,6.406713,94854000
2008-07-21,6.770000,8.790000,6.450000,7.340000,6.785755,138970200
2008-07-28,7.190000,8.440000,6.700000,7.700000,7.118571,90281600
2008-08-04,7.800000,9.400000,7.410000,9.120000,8.431347,95487600
2008-08-11,9.140000,10.260000,8.210000,9.410000,8.699448,108652600
2008-08-18,9.250000,9.780000,7.420000,8.630000,7.978346,71552900
