Date,Open,High,Low,Close,Adj Close,Volume
2013-05-13,47.000000,52.070000,44.000000,50.750000,50.750000,8408700
2013-05-20,51.400002,59.599998,47.450001,52.490002,52.490002,4926600
2013-05-27,53.450001,53.910000,49.090000,51.099998,51.099998,945300
2013-06-03,51.490002,56.540001,48.270000,56.209999,56.209999,1409100
2013-06-10,56.680000,58.590000,52.099998,55.470001,55.470001,1784200
2013-06-17,55.750000,57.209999,52.590000,55.270000,55.270000,1077000
2013-06-24,55.410000,59.880001,52.599998,55.419998,55.419998,1257600
2013-07-01,57.360001,62.970001,55.750000,62.860001,62.860001,621900
2013-07-08,63.000000,63.000000,53.470001,53.500000,53.500000,1119300
2013-07-15,53.869999,57.250000,53.200001,53.810001,53.810001,763100
2013-07-22,54.110001,55.419998,51.990002,53.750000,53.750000,696400
2013-07-29,54.250000,59.970001,53.400002,59.849998,59.849998,683500
2013-08-05,59.849998,74.250000,58.189999,67.820000,67.820000,1883500
2013-08-12,68.230003,74.970001,64.279999,66.570000,66.570000,1940800
2013-08-19,66.730003,68.500000,63.000000,67.669998,67.669998,895900
2013-08-26,67.879997,74.330002,65.800003,72.309998,72.309998,1628000
2013-09-02,72.989998,77.739998,70.529999,70.690002,70.690002,1421300
2013-09-09,71.379997,75.330002,70.500000,72.699997,72.699997,1421800
2013-09-16,73.669998,75.900002,70.650002,73.040001,73.040001,1413200
2013-09-23,73.040001,73.629997,68.300003,69.230003,69.230003,1172900
2013-09-30,67.589996,73.449997,67.089996,70.410004,70.410004,814300
2013-10-07,69.699997,72.000000,64.760002,66.500000,66.500000,1347100
2013-10-14,66.000000,69.169998,64.110001,67.809998,67.809998,1192200
2013-10-21,68.220001,68.220001,59.500000,63.660000,63.660000,1901600
2013-10-28,64.000000,70.000000,59.020000,59.520000,59.520000,6291600
2013-11-04,59.250000,66.389999,58.959999,64.449997,64.449997,11828600
2013-11-11,64.279999,66.500000,62.770000,65.290001,65.290001,5316500
2013-11-18,65.110001,65.680000,60.049999,63.630001,63.630001,3714500
2013-11-25,63.500000,66.500000,61.700001,65.540001,65.540001,2298900
2013-12-02,64.629997,67.349998,63.619999,66.290001,66.290001,2627000
2013-12-09,66.239998,66.900002,64.459999,65.290001,65.290001,1571700
2013-12-16,64.660004,67.000000,62.849998,66.099998,66.099998,2575300
2013-12-23,66.099998,68.930000,65.800003,67.599998,67.599998,955900
2013-12-30,67.720001,69.800003,66.190002,68.610001,68.610001,1390700
2014-01-06,68.959999,71.779999,68.160004,70.720001,70.720001,2019200
