Date,Open,High,Low,Close,Adj Close,Volume
1981-12-28,5.312169,5.333333,5.291005,5.319224,1.387404,49500
1982-01-04,5.305115,5.319224,5.093474,5.164021,1.346923,624800
1982-01-11,5.192240,5.248677,4.881834,5.079365,1.324841,1345200
1982-01-18,5.164021,5.460318,5.079365,5.446208,1.420526,1151100
1982-01-25,5.403880,5.897707,5.361552,5.897707,1.538290,1102800
1982-02-01,5.954144,6.123457,5.714286,5.897707,1.538290,2299400
1982-02-08,5.897707,5.911817,5.643739,5.855379,1.527249,905400
1982-02-15,5.855379,5.911817,5.827160,5.869489,1.536810,842600
1982-02-22,5.869489,6.208113,5.700176,6.179894,1.618084,1181200
1982-03-01,6.208113,6.306878,6.038801,6.123457,1.603308,1933000
1982-03-08,5.982363,6.123457,5.051147,5.164021,1.352098,2798900
1982-03-15,5.178131,5.559083,5.121693,5.559083,1.455538,1777200
1982-03-22,5.798942,6.010582,5.615520,5.883598,1.540505,856600
1982-03-29,5.827160,6.081129,5.813051,5.982363,1.566365,893800
1982-04-05,5.996473,6.631393,5.940035,6.574956,1.721524,1152300
1982-04-12,6.589065,6.631393,6.320988,6.560846,1.717830,933900
1982-04-19,6.546737,7.209877,6.518518,7.139330,1.869294,1565800
1982-04-26,7.111111,7.167549,6.970017,7.026455,1.839738,1266500
1982-05-03,7.040565,7.463845,6.998236,7.463845,1.954262,1611600
1982-05-10,7.407407,7.463845,7.266314,7.421517,1.943178,567900
1982-05-17,7.435626,7.477954,7.082892,7.139330,1.875029,649200
1982-05-24,7.139330,7.280423,6.828924,6.927690,1.819445,1507200
1982-05-31,6.899471,6.941799,6.744268,6.744268,1.771272,1024200
1982-06-07,6.687831,6.800705,6.433862,6.744268,1.771272,1108500
1982-06-14,6.716049,6.828924,6.659612,6.744268,1.771272,741800
1982-06-21,6.772487,7.195767,6.716049,7.082892,1.860207,1175400
1982-06-28,7.181658,7.252204,6.857143,6.885362,1.808329,583000
1982-07-05,6.885362,6.913580,6.546737,6.772487,1.778683,3323300
1982-07-12,6.998236,7.336861,6.927690,7.336861,1.926907,1283700
1982-07-19,7.393298,7.435626,6.998236,7.054674,1.852796,1651200
1982-07-26,7.040565,7.068783,6.744268,6.857143,1.800917,1030000
1982-08-02,6.885362,6.970017,6.208113,6.264550,1.645282,1853700
1982-08-09,6.278660,6.419753,6.208113,6.236331,1.637871,1354100
1982-08-16,6.377425,6.490300,4.797178,5.234568,1.379700,8966300
1982-08-23,5.361552,6.038801,5.234568,5.968254,1.573082,5841300
1982-08-30,5.954144,6.885362,5.911817,6.828924,1.799932,5191900
1982-09-06,6.701940,6.843033,6.264550,6.405644,1.688366,1671100
1982-09-13,6.490300,6.913580,6.320988,6.377425,1.680929,2574200
1982-09-20,6.349206,6.377425,5.869489,6.095238,1.606552,3216700
1982-09-27,6.194004,6.405644,6.095238,6.194004,1.632584,2334500
1982-10-04,6.151676,6.885362,6.081129,6.744268,1.777619,3117800
1982-10-11,7.125220,7.449736,6.800705,6.941799,1.829684,3457500
1982-10-18,7.026455,7.322752,6.772487,7.026455,1.851997,3649700
1982-10-25,6.730159,7.209877,6.433862,7.167549,1.889186,2363200
1982-11-01,7.082892,8.183421,7.026455,8.183421,2.156944,4005200
