Date,Open,High,Low,Close,Adj Close,Volume
1995-06-19,2.250000,2.250000,1.937500,2.000000,1.425117,31002400
1995-06-26,2.031250,2.031250,1.781250,1.906250,1.358315,6454400
1995-07-03,1.906250,1.906250,1.812500,1.812500,1.291513,3838400
1995-07-10,1.812500,1.937500,1.812500,1.937500,1.380582,2647200
1995-07-17,1.921875,2.031250,1.812500,1.843750,1.313780,3486400
1995-07-24,1.906250,1.906250,1.812500,1.875000,1.336048,1820000
1995-07-31,1.812500,1.906250,1.812500,1.906250,1.358315,800000
1995-08-07,1.906250,1.906250,1.843750,1.906250,1.358315,1564800
1995-08-14,1.906250,1.937500,1.875000,1.875000,1.336048,1086400
1995-08-21,1.875000,2.062500,1.843750,1.937500,1.380582,4406400
1995-08-28,1.937500,2.031250,1.875000,1.968750,1.402850,3420800
1995-09-04,2.031250,2.062500,1.906250,2.015625,1.436251,1948800
1995-09-11,2.000000,2.062500,1.968750,1.968750,1.402850,1119200
1995-09-18,1.968750,2.125000,1.968750,2.062500,1.469652,4877600
1995-09-25,2.125000,2.125000,1.500000,1.812500,1.291513,4629600
1995-10-02,1.812500,1.843750,1.656250,1.703125,1.213576,1704800
1995-10-09,1.781250,1.781250,1.531250,1.593750,1.135640,1086400
1995-10-16,1.625000,1.968750,1.562500,1.812500,1.291513,5849600
1995-10-23,1.906250,1.906250,1.781250,1.781250,1.269245,1037600
1995-10-30,1.875000,1.937500,1.781250,1.843750,1.313780,1292800
1995-11-06,1.906250,1.968750,1.781250,1.906250,1.358315,580800
1995-11-13,1.906250,1.937500,1.781250,1.875000,1.336048,1103200
1995-11-20,1.875000,1.937500,1.750000,1.812500,1.291513,953600
1995-11-27,1.750000,2.031250,1.750000,1.937500,1.380582,2322400
1995-12-04,1.937500,1.968750,1.843750,1.906250,1.358315,3346400
1995-12-11,1.937500,1.968750,1.906250,1.968750,1.402850,2090400
1995-12-18,1.968750,2.625000,1.906250,2.531250,1.803664,4515200
1995-12-25,2.593750,3.218750,2.500000,3.031250,2.159944,7748800
1996-01-01,3.125000,3.125000,2.812500,2.921875,2.082007,2300800
1996-01-08,2.875000,2.906250,2.500000,2.843750,2.026339,5672000
1996-01-15,2.875000,3.031250,2.687500,3.031250,2.159944,2400000
1996-01-22,3.031250,3.312500,2.937500,3.187500,2.271281,12632000
1996-01-29,3.406250,5.062500,3.406250,4.750000,3.384654,22644000
1996-02-05,4.750000,4.843750,3.718750,4.234375,3.017241,5471200
1996-02-12,4.265625,4.406250,4.000000,4.140625,2.950438,3162400
1996-02-19,4.093750,4.250000,4.031250,4.156250,2.961572,6218400
1996-02-26,4.281250,4.625000,4.156250,4.218750,3.006107,4987200
1996-03-04,4.250000,4.343750,3.562500,3.656250,2.605293,6510400
1996-03-11,3.593750,4.375000,3.562500,4.250000,3.028374,4669600
1996-03-18,4.375000,4.625000,4.312500,4.375000,3.117444,3722400
1996-03-25,4.312500,4.437500,3.968750,4.218750,3.006107,4440800
1996-04-01,4.218750,4.531250,4.218750,4.437500,3.161979,3781600
1996-04-08,4.312500,4.500000,4.250000,4.375000,3.117444,2679200
1996-04-15,4.375000,4.437500,4.250000,4.281250,3.050642,946400
1996-04-22,4.281250,4.406250,4.093750,4.187500,2.983840,4165600
1996-04-29,4.187500,4.375000,4.062500,4.375000,3.117444,5139200
1996-05-06,4.375000,4.562500,4.281250,4.312500,3.072910,2544800
1996-05-13,4.437500,4.468750,4.187500,4.375000,3.117444,2617600
1996-05-20,4.406250,4.531250,4.343750,4.375000,3.117444,2209600
1996-05-27,4.343750,4.468750,4.250000,4.312500,3.072910,8979200
1996-06-03,4.250000,4.312500,4.125000,4.125000,2.939305,832000
1996-06-10,4.187500,4.187500,4.031250,4.031250,2.872502,1224800
1996-06-17,4.093750,4.156250,3.843750,3.875000,2.761165,4485600
1996-06-24,3.843750,3.906250,3.437500,3.531250,2.516223,4434400
1996-07-01,3.531250,3.531250,3.406250,3.437500,2.449420,4988800
1996-07-08,3.437500,3.500000,3.062500,3.156250,2.249013,4224800
1996-07-15,3.218750,3.468750,3.125000,3.406250,2.427153,3984800
1996-07-22,3.406250,3.437500,3.281250,3.335938,2.377051,1240800
1996-07-29,3.343750,3.406250,3.328125,3.359375,2.393752,764000
1996-08-05,3.406250,3.406250,3.328125,3.328125,2.371484,1417600
1996-08-12,3.343750,3.468750,3.250000,3.406250,2.427153,4388000
1996-08-19,3.468750,3.500000,3.406250,3.468750,2.471688,2335200
1996-08-26,3.437500,3.437500,3.093750,3.169913,2.258749,5452000
