Date,Open,High,Low,Close,Adj Close,Volume
1995-10-09,12.000000,12.250000,12.000000,12.125000,9.892100,8117600
1995-10-16,12.125000,12.187500,12.000000,12.000000,9.790119,2016200
1995-10-23,12.000000,13.000000,11.687500,12.187500,9.943087,3366400
1995-10-30,12.250000,13.000000,12.250000,12.875000,10.503977,764600
1995-11-06,13.000000,13.687500,13.000000,13.500000,11.013883,1067800
1995-11-13,13.437500,13.625000,12.562500,13.000000,10.605959,863800
1995-11-20,13.062500,13.375000,13.000000,13.375000,10.911899,290000
1995-11-27,13.437500,14.437500,13.375000,14.375000,11.727745,419400
1995-12-04,14.312500,15.375000,14.187500,15.250000,12.441608,2702000
1995-12-11,15.250000,17.250000,15.000000,17.000000,13.869335,3973600
1995-12-18,16.625000,16.937500,16.312500,16.437500,13.410422,1797800
1995-12-25,16.500000,16.875000,16.312500,16.875000,13.767350,1103000
1996-01-01,16.812500,16.937500,16.625000,16.875000,13.767350,1371200
1996-01-08,16.625000,17.500000,16.625000,17.437500,14.226265,2614600
1996-01-15,17.500000,17.625000,16.875000,17.125000,13.971318,830000
1996-01-22,17.062500,17.812500,16.875000,17.625000,14.379230,536400
1996-01-29,17.687500,20.187500,17.687500,20.000000,16.316862,1407600
1996-02-05,19.937500,20.062500,18.437500,18.562500,15.144084,1852000
1996-02-12,18.625000,19.250000,18.562500,19.062500,15.551995,387000
1996-02-19,19.000000,19.250000,18.937500,18.937500,15.450025,690400
1996-02-26,18.812500,19.062500,17.562500,19.000000,15.501020,981200
1996-03-04,19.062500,20.625000,19.062500,20.500000,16.724781,807400
1996-03-11,20.562500,21.375000,20.437500,20.687500,16.877741,1801600
1996-03-18,20.625000,21.687500,20.437500,21.687500,17.693596,823400
1996-03-25,21.812500,21.875000,21.375000,21.437500,17.489637,1167200
1996-04-01,21.375000,24.562500,21.312500,24.500000,19.988157,1349400
1996-04-08,24.375000,25.812500,23.812500,24.875000,20.294100,2056000
1996-04-15,24.875000,25.437500,24.687500,25.000000,20.396069,1033000
1996-04-22,25.375000,26.375000,25.250000,26.312500,21.466867,1430200
1996-04-29,26.250000,26.250000,22.625000,22.625000,18.458447,812600
1996-05-06,22.250000,24.312500,21.687500,24.250000,19.784201,2952800
1996-05-13,24.250000,24.750000,24.000000,24.187500,19.733212,1207400
1996-05-20,24.125000,24.937500,23.500000,24.500000,19.988157,10540600
1996-05-27,24.562500,24.687500,23.500000,23.937500,19.529238,2372600
1996-06-03,23.937500,25.000000,23.687500,24.500000,19.988157,2313800
1996-06-10,25.000000,25.062500,24.437500,24.562500,20.039145,2191000
1996-06-17,24.687500,25.437500,23.875000,25.312500,20.651037,2369400
1996-06-24,25.625000,28.625000,25.625000,28.500000,23.251532,2030400
1996-07-01,28.500000,28.562500,27.562500,27.750000,22.639645,750200
1996-07-08,27.812500,29.312500,27.500000,29.062500,23.710436,783800
1996-07-15,29.125000,29.500000,26.750000,27.062500,22.078747,1937800
1996-07-22,27.250000,28.125000,25.500000,25.625000,20.905985,1529000
1996-07-29,25.625000,25.625000,23.562500,23.562500,19.223303,2905200
1996-08-05,23.562500,24.625000,23.437500,24.500000,19.988157,1083000
1996-08-12,24.437500,24.500000,23.312500,24.125000,19.682211,1693200
1996-08-19,24.500000,26.125000,24.500000,25.187500,20.549049,1497600
1996-08-26,25.125000,25.750000,25.000000,25.500000,20.803999,390800
1996-09-02,25.750000,25.937500,25.437500,25.562500,20.854990,2094400
1996-09-09,25.375000,28.312500,25.375000,28.250000,23.047573,2860800
1996-09-16,28.062500,28.312500,26.812500,26.937500,21.976772,1358800
1996-09-23,26.625000,28.250000,25.500000,27.750000,22.639645,2558400
1996-09-30,27.812500,28.937500,27.250000,28.687500,23.404495,1168400
1996-10-07,28.625000,31.062500,28.500000,30.687500,25.036192,1337200
1996-10-14,30.750000,32.500000,30.250000,32.062500,26.157969,982200
