Date,Open,High,Low,Close,Adj Close,Volume
1991-03-11,2.000000,2.093750,1.843750,2.000000,1.913520,3596000
1991-03-18,2.062500,2.062500,1.906250,1.906250,1.823823,781600
1991-03-25,1.906250,2.031250,1.906250,2.000000,1.913520,950400
1991-04-01,2.218750,2.343750,2.062500,2.281250,2.182608,2169600
1991-04-08,2.281250,2.343750,2.218750,2.343750,2.242406,1591200
1991-04-15,2.343750,2.343750,2.281250,2.281250,2.182608,608400
1991-04-22,2.281250,2.343750,2.187500,2.187500,2.092912,400400
1991-04-29,2.218750,2.218750,2.062500,2.187500,2.092912,582000
1991-05-06,2.125000,2.187500,1.968750,2.093750,2.003216,307200
1991-05-13,2.093750,2.187500,1.968750,2.062500,1.973317,262000
1991-05-20,2.062500,2.125000,1.968750,1.968750,1.883621,202400
1991-05-27,1.968750,2.062500,1.968750,2.000000,1.913520,132400
1991-06-03,1.968750,2.062500,1.687500,1.968750,1.883621,753600
1991-06-10,1.906250,2.000000,1.875000,2.000000,1.913520,186000
1991-06-17,2.000000,2.031250,1.875000,2.031250,1.943419,167200
1991-06-24,2.031250,2.031250,1.875000,2.000000,1.913520,88400
1991-07-01,1.875000,2.031250,1.875000,2.031250,1.943419,193200
1991-07-08,2.000000,2.031250,1.875000,1.937500,1.853722,934800
1991-07-15,2.000000,2.062500,1.937500,2.000000,1.913520,520800
1991-07-22,2.000000,2.062500,1.906250,1.906250,1.823823,427200
1991-07-29,1.906250,2.031250,1.906250,1.937500,1.853722,638800
1991-08-05,1.906250,2.000000,1.875000,1.906250,1.823823,478800
1991-08-12,1.906250,1.937500,1.875000,1.875000,1.793925,117600
1991-08-19,1.812500,1.937500,1.812500,1.875000,1.793925,190000
1991-08-26,1.843750,1.906250,1.812500,1.812500,1.734127,143600
1991-09-02,1.875000,1.875000,1.750000,1.750000,1.674330,427600
1991-09-09,1.750000,1.843750,1.718750,1.843750,1.764026,287200
1991-09-16,1.843750,1.843750,1.625000,1.656250,1.584634,888400
1991-09-23,1.625000,1.781250,1.437500,1.750000,1.674330,2102800
1991-09-30,1.750000,1.812500,1.687500,1.687500,1.614532,167600
1991-10-07,1.687500,1.843750,1.656250,1.781250,1.704229,286000
1991-10-14,1.812500,1.812500,1.656250,1.656250,1.584634,406400
1991-10-21,1.656250,1.843750,1.656250,1.812500,1.734127,325600
1991-10-28,1.781250,1.812500,1.750000,1.750000,1.674330,248000
1991-11-04,1.750000,1.812500,1.656250,1.781250,1.704229,281600
1991-11-11,1.656250,1.843750,1.625000,1.718750,1.644431,810800
1991-11-18,1.656250,1.687500,1.562500,1.562500,1.494937,352800
1991-11-25,1.687500,1.687500,1.562500,1.625000,1.554735,36000
1991-12-02,1.531250,1.625000,1.500000,1.625000,1.554735,314000
1991-12-09,1.500000,1.562500,1.437500,1.437500,1.375342,265200
1991-12-16,1.437500,1.562500,1.437500,1.562500,1.494937,353200
1991-12-23,1.437500,1.562500,1.437500,1.562500,1.494937,344800
1991-12-30,1.500000,1.687500,1.437500,1.687500,1.614532,863200
1992-01-06,1.687500,1.906250,1.625000,1.875000,1.793925,888000
1992-01-13,1.750000,1.875000,1.750000,1.750000,1.674330,494800
1992-01-20,1.750000,1.968750,1.750000,1.968750,1.883621,1181200
1992-01-27,1.875000,2.000000,1.843750,1.937500,1.853722,737600
1992-02-03,1.937500,2.031250,1.812500,2.031250,1.943419,678000
1992-02-10,2.031250,2.031250,1.875000,2.000000,1.913520,646000
1992-02-17,2.000000,2.000000,1.875000,2.000000,1.913520,534000
1992-02-24,2.000000,2.062500,1.875000,2.062500,1.973317,601200
1992-03-02,2.062500,2.125000,1.937500,2.125000,2.033115,904000
1992-03-09,2.125000,2.125000,2.000000,2.125000,2.033115,430400
1992-03-16,2.000000,2.125000,2.000000,2.125000,2.033115,892800
1992-03-23,2.125000,2.125000,2.000000,2.062500,1.973317,234800
1992-03-30,2.000000,2.062500,1.875000,2.000000,1.913520,682800
1992-04-06,1.875000,2.156250,1.781250,1.968750,1.883621,1584400
1992-04-13,2.093750,2.187500,2.000000,2.187500,2.092912,931200
1992-04-20,2.062500,2.187500,2.000000,2.062500,1.973317,361200
1992-04-27,2.000000,2.187500,2.000000,2.125000,2.033115,644000
1992-05-04,2.125000,2.125000,2.000000,2.000000,1.913520,242800
1992-05-11,2.000000,2.093750,1.687500,1.718750,1.644431,370000
1992-05-18,1.687500,1.750000,1.562500,1.718750,1.644431,936800
1992-05-25,1.562500,1.656250,1.500000,1.500000,1.435140,292400
1992-06-01,1.500000,1.812500,1.437500,1.687500,1.614532,637200
1992-06-08,1.687500,1.812500,1.562500,1.562500,1.494937,157600
1992-06-15,1.562500,1.750000,1.562500,1.625000,1.554735,478000
1992-06-22,1.625000,1.812500,1.562500,1.593750,1.524836,126000
1992-06-29,1.562500,1.750000,1.468750,1.468750,1.405241,183600
1992-07-06,1.500000,1.562500,1.375000,1.375000,1.315545,289200
1992-07-13,1.375000,1.437500,1.125000,1.250000,1.195950,762800
1992-07-20,1.156250,1.312500,1.156250,1.312500,1.255747,623600
1992-07-27,1.281250,1.281250,1.218750,1.281250,1.225849,107200
1992-08-03,1.218750,1.281250,1.218750,1.218750,1.166051,102000
1992-08-10,1.218750,1.250000,1.062500,1.156250,1.106254,270000
1992-08-17,1.156250,1.218750,1.031250,1.062500,1.016557,1655200
1992-08-24,1.031250,1.187500,1.000000,1.093750,1.046456,704800
1992-08-31,1.125000,1.375000,1.093750,1.375000,1.315545,566800
1992-09-07,1.312500,1.437500,1.281250,1.375000,1.315545,756000
1992-09-14,1.375000,1.437500,1.312500,1.375000,1.315545,416400
1992-09-21,1.375000,1.468750,1.312500,1.375000,1.315545,1147600
1992-09-28,1.375000,1.468750,1.343750,1.343750,1.285646,1007200
1992-10-05,1.375000,1.437500,1.250000,1.406250,1.345444,401600
1992-10-12,1.406250,1.406250,1.281250,1.312500,1.255747,32400
1992-10-19,1.406250,1.437500,1.250000,1.375000,1.315545,569600
1992-10-26,1.375000,1.500000,1.281250,1.500000,1.435140,127600
1992-11-02,1.500000,1.500000,1.406250,1.437500,1.375342,150000
1992-11-09,1.500000,1.625000,1.406250,1.500000,1.435140,627600
1992-11-16,1.500000,1.687500,1.500000,1.562500,1.494937,633200
1992-11-23,1.562500,1.687500,1.437500,1.562500,1.494937,461200
1992-11-30,1.687500,1.812500,1.562500,1.687500,1.614532,337600
1992-12-07,1.625000,1.812500,1.625000,1.625000,1.554735,361600
1992-12-14,1.656250,1.750000,1.625000,1.750000,1.674330,203200
1992-12-21,1.625000,1.812500,1.625000,1.812500,1.734127,304800
1992-12-28,1.625000,1.750000,1.625000,1.687500,1.614532,60800
1993-01-04,1.625000,1.781250,1.625000,1.625000,1.554735,191600
1993-01-11,1.750000,1.812500,1.625000,1.625000,1.554735,257200
1993-01-18,1.812500,1.812500,1.562500,1.625000,1.554735,352800
1993-01-25,1.562500,1.687500,1.500000,1.593750,1.524836,267200
1993-02-01,1.500000,1.625000,1.500000,1.593750,1.524836,324000
1993-02-08,1.593750,1.625000,1.500000,1.500000,1.435140,179200
1993-02-15,1.500000,1.625000,1.500000,1.562500,1.494937,221600
1993-02-22,1.562500,1.625000,1.500000,1.625000,1.554735,242400
1993-03-01,1.500000,1.656250,1.500000,1.593750,1.524836,242000
1993-03-08,1.656250,1.843750,1.531250,1.781250,1.704229,575200
1993-03-15,1.781250,1.875000,1.687500,1.875000,1.793925,685600
1993-03-22,1.937500,2.093750,1.812500,2.093750,2.003216,744800
1993-03-29,2.093750,2.125000,1.843750,1.843750,1.764026,1081200
1993-04-05,2.000000,2.000000,1.812500,1.843750,1.764026,142000
1993-04-12,1.875000,2.000000,1.687500,1.812500,1.734127,175600
1993-04-19,1.781250,2.000000,1.718750,1.937500,1.853722,592400
1993-04-26,1.812500,2.000000,1.812500,2.000000,1.913520,176400
1993-05-03,1.875000,1.937500,1.750000,1.875000,1.793925,128400
1993-05-10,1.812500,1.937500,1.750000,1.875000,1.793925,226000
1993-05-17,1.937500,1.937500,1.750000,1.750000,1.674330,397600
1993-05-24,1.750000,1.875000,1.750000,1.875000,1.793925,88400
1993-05-31,1.937500,2.000000,1.812500,1.875000,1.793925,78400
1993-06-07,1.875000,2.125000,1.875000,2.000000,1.913520,266800
1993-06-14,2.000000,2.125000,2.000000,2.125000,2.033115,308800
1993-06-21,2.000000,2.125000,2.000000,2.031250,1.943419,112800
1993-06-28,2.000000,2.125000,2.000000,2.000000,1.913520,190800
1993-07-05,2.000000,2.125000,2.000000,2.125000,2.033115,62800
1993-07-12,2.000000,2.125000,2.000000,2.000000,1.913520,260400
1993-07-19,2.000000,2.125000,2.000000,2.000000,1.913520,111600
1993-07-26,2.000000,2.250000,2.000000,2.250000,2.152710,316000
1993-08-02,2.250000,2.437500,2.125000,2.312500,2.212507,1077200
1993-08-09,2.406250,2.562500,2.312500,2.500000,2.391900,939600
1993-08-16,2.500000,2.593750,2.375000,2.500000,2.391900,540400
1993-08-23,2.500000,2.750000,2.500000,2.625000,2.511495,348400
1993-08-30,2.656250,2.812500,2.625000,2.812500,2.690887,158800
1993-09-06,2.875000,3.000000,2.687500,2.781250,2.660988,551600
1993-09-13,2.750000,2.812500,2.562500,2.687500,2.571292,355600
1993-09-20,2.687500,2.687500,2.500000,2.593750,2.481596,500800
1993-09-27,2.687500,2.687500,2.593750,2.656250,2.541394,128400
1993-10-04,2.562500,2.687500,2.437500,2.562500,2.451697,140400
1993-10-11,2.625000,2.937500,2.500000,2.937500,2.810482,3750800
1993-10-18,2.937500,2.937500,2.687500,2.718750,2.601191,5229200
1993-10-25,2.687500,2.937500,2.562500,2.843750,2.720786,1871600
1993-11-01,2.875000,2.875000,2.750000,2.812500,2.690887,1498400
1993-11-08,2.812500,2.937500,2.781250,2.843750,2.720786,730000
1993-11-15,2.937500,2.937500,2.812500,2.906250,2.780583,465600
1993-11-22,2.812500,2.906250,2.687500,2.687500,2.571292,572400
1993-11-29,2.687500,2.750000,2.500000,2.625000,2.511495,730400
1993-12-06,2.500000,2.687500,2.125000,2.250000,2.152710,3750000
1993-12-13,2.187500,2.312500,2.187500,2.312500,2.212507,1768800
1993-12-20,2.312500,2.375000,2.187500,2.187500,2.092912,151200
1993-12-27,2.187500,2.437500,2.187500,2.312500,2.212507,650800
1994-01-03,2.375000,2.437500,2.312500,2.375000,2.272305,136000
