Date,Open,High,Low,Close,Adj Close,Volume
1992-02-24,4.500000,4.500000,3.500000,4.046875,2.879938,31921600
1992-03-02,4.031250,4.031250,3.500000,3.593750,2.557475,6929600
1992-03-09,3.625000,3.859375,3.562500,3.703125,2.635310,2214400
1992-03-16,3.718750,3.718750,3.421875,3.421875,2.435161,1904000
1992-03-23,3.359375,3.359375,3.046875,3.062500,2.179412,2869600
1992-03-30,3.031250,3.406250,2.937500,3.265625,2.323966,2989600
1992-04-06,3.328125,3.578125,3.250000,3.453125,2.457399,2759200
1992-04-13,3.437500,3.640625,3.390625,3.421875,2.435161,882400
1992-04-20,3.359375,3.375000,3.187500,3.281250,2.335085,1824800
1992-04-27,3.281250,3.437500,2.875000,3.000000,2.134934,4082400
1992-05-04,3.031250,3.171875,2.859375,3.062500,2.179412,1920000
1992-05-11,3.062500,3.140625,3.046875,3.046875,2.168295,520800
1992-05-18,3.031250,3.109375,2.984375,3.078125,2.190532,1202400
1992-05-25,3.078125,3.109375,2.953125,2.984375,2.123816,1136000
1992-06-01,3.000000,3.296875,3.000000,3.171875,2.257249,1210400
1992-06-08,3.156250,3.156250,2.734375,2.765625,1.968142,1244800
1992-06-15,2.734375,2.750000,2.218750,2.375000,1.690157,2700000
1992-06-22,2.375000,2.375000,2.250000,2.343750,1.667918,1338400
1992-06-29,2.375000,3.046875,2.359375,3.031250,2.157174,2354400
1992-07-06,3.000000,3.000000,2.546875,2.671875,1.901426,2608800
1992-07-13,2.812500,3.171875,2.812500,3.156250,2.246129,3711200
1992-07-20,3.156250,3.484375,3.062500,3.140625,2.235011,5192800
1992-07-27,3.140625,3.250000,3.078125,3.203125,2.279487,1173600
1992-08-03,3.203125,3.203125,3.046875,3.062500,2.179412,967200
1992-08-10,3.062500,3.078125,2.890625,3.000000,2.134934,791200
1992-08-17,3.000000,3.015625,2.843750,2.843750,2.023740,1191200
1992-08-24,2.828125,2.843750,2.765625,2.796875,1.990382,774400
1992-08-31,2.796875,3.109375,2.796875,2.953125,2.101577,1208000
