Date,Open,High,Low,Close,Adj Close,Volume
1999-01-25,30.000000,31.875000,29.250000,30.750000,23.738781,11336200
1999-02-01,32.000000,32.000000,28.312500,29.000000,22.387796,3157100
1999-02-08,29.000000,29.687500,28.875000,29.687500,22.918537,579600
1999-02-15,29.625000,30.312500,29.375000,30.125000,23.256281,477900
1999-02-22,30.000000,31.375000,29.937500,31.375000,24.221273,422000
1999-03-01,30.875000,32.437500,30.062500,30.187500,23.304533,825900
1999-03-08,30.187500,30.500000,29.750000,30.500000,23.545784,286900
1999-03-15,30.500000,34.000000,30.500000,32.562500,25.138021,567400
1999-03-22,32.562500,32.750000,31.625000,31.875000,24.607269,350700
1999-03-29,31.875000,35.375000,31.875000,34.500000,26.633751,274000
1999-04-05,34.250000,34.250000,32.687500,33.625000,25.958256,369400
1999-04-12,33.437500,36.125000,33.437500,35.875000,27.695246,242400
1999-04-19,35.750000,37.125000,35.750000,36.625000,28.274242,128000
1999-04-26,36.750000,37.250000,36.375000,37.125000,28.660238,226500
1999-05-03,37.125000,38.375000,36.625000,37.625000,29.046225,643600
1999-05-10,37.562500,37.750000,31.750000,33.750000,26.054758,1096500
1999-05-17,33.875000,33.875000,32.500000,32.875000,25.379265,474000
1999-05-24,32.812500,33.500000,32.500000,32.625000,25.186272,175400
1999-05-31,32.562500,34.000000,32.562500,34.000000,26.247759,434000
1999-06-07,33.812500,35.250000,33.250000,33.250000,25.668764,100500
1999-06-14,33.312500,34.000000,32.937500,33.750000,26.054758,170700
1999-06-21,33.687500,34.187500,33.500000,34.125000,26.344255,179200
1999-06-28,34.375000,42.750000,34.375000,38.437500,29.673470,531200
1999-07-05,38.437500,38.500000,37.875000,38.000000,29.335726,144400
1999-07-12,38.000000,40.625000,38.000000,39.250000,30.300720,267600
1999-07-19,39.000000,39.062500,38.437500,38.437500,29.673470,143000
1999-07-26,38.312500,42.750000,37.000000,40.500000,31.265711,684300
1999-08-02,40.562500,40.625000,36.500000,36.937500,28.515486,149900
1999-08-09,36.937500,36.937500,36.312500,36.625000,28.274242,97400
1999-08-16,36.687500,36.687500,35.000000,35.750000,27.598743,86500
1999-08-23,35.937500,36.000000,35.000000,35.062500,27.067999,367700
1999-08-30,35.250000,38.750000,34.937500,38.750000,29.914722,255600
1999-09-06,38.875000,39.500000,37.937500,39.375000,30.397221,91600
