Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,16.000000,16.430000,15.750000,16.000000,16.000000,2281200
2018-05-14,16.000000,16.400000,15.990000,16.000000,16.000000,272600
2018-05-21,16.049999,16.280001,15.500000,16.260000,16.260000,327000
2018-05-28,16.190001,16.200001,15.560000,15.970000,15.970000,333300
2018-06-04,16.500000,16.747999,14.500000,14.750000,14.750000,532100
2018-06-11,14.740000,15.740000,11.360000,11.390000,11.390000,670400
2018-06-18,11.320000,14.100000,11.300000,13.300000,13.300000,1199400
2018-06-25,13.230000,13.640000,11.320000,11.800000,11.800000,607100
2018-07-02,11.840000,13.910000,11.100000,13.150000,13.150000,322700
2018-07-09,12.580000,13.450000,12.110000,13.040000,13.040000,396700
2018-07-16,13.140000,14.980000,12.415000,14.490000,14.490000,507600
2018-07-23,14.350000,14.540000,12.850000,13.000000,13.000000,103900
2018-07-30,12.960000,14.000000,12.450000,12.690000,12.690000,483200
2018-08-06,12.630000,13.550000,12.200000,13.130000,13.130000,160700
