Date,Open,High,Low,Close,Adj Close,Volume
2001-01-29,14.375000,15.375000,14.250000,14.375000,14.375000,834500
2001-02-05,14.500000,14.500000,10.875000,11.312500,11.312500,1082900
2001-02-12,11.500000,12.125000,10.875000,11.000000,11.000000,177700
2001-02-19,11.062500,11.312500,10.250000,11.000000,11.000000,261600
2001-02-26,11.062500,11.500000,10.750000,11.000000,11.000000,495400
2001-03-05,11.125000,11.125000,8.750000,8.937500,8.937500,125300
2001-03-12,8.937500,9.187500,8.750000,9.000000,9.000000,68200
2001-03-19,9.125000,9.125000,7.781200,7.781200,7.781200,122300
2001-03-26,8.125000,8.250000,7.500000,7.625000,7.625000,143300
2001-04-02,7.500000,7.750000,5.500000,5.812500,5.812500,327200
2001-04-09,5.700000,5.860000,5.300000,5.550000,5.550000,401900
2001-04-16,5.650000,6.100000,5.450000,5.850000,5.850000,648700
2001-04-23,5.850000,6.650000,5.850000,6.000000,6.000000,368600
2001-04-30,6.150000,7.500000,6.150000,7.000000,7.000000,160300
2001-05-07,7.210000,7.400000,6.950000,7.150000,7.150000,16000
2001-05-14,7.150000,7.400000,7.050000,7.070000,7.070000,61700
2001-05-21,7.300000,10.000000,7.100000,9.850000,9.850000,333500
2001-05-28,9.850000,9.940000,8.950000,9.800000,9.800000,308900
2001-06-04,9.500000,13.320000,9.500000,13.320000,13.320000,207900
2001-06-11,13.230000,14.000000,12.400000,12.510000,12.510000,180400
2001-06-18,12.450000,12.600000,11.000000,12.080000,12.080000,134200
2001-06-25,12.980000,14.150000,11.700000,13.760000,13.760000,865500
2001-07-02,13.790000,15.570000,12.960000,15.170000,15.170000,546400
2001-07-09,15.190000,15.190000,12.740000,13.100000,13.100000,371000
2001-07-16,12.800000,12.960000,12.020000,12.400000,12.400000,39100
2001-07-23,11.950000,12.130000,8.950000,10.480000,10.480000,156100
2001-07-30,9.900000,10.230000,7.750000,9.100000,9.100000,2057800
2001-08-06,9.000000,9.280000,8.750000,9.190000,9.190000,698000
2001-08-13,9.320000,10.100000,9.100000,9.870000,9.870000,331600
2001-08-20,9.950000,11.040000,9.950000,10.500000,10.500000,308000
2001-08-27,10.350000,10.620000,9.540000,9.850000,9.850000,651900
2001-09-03,9.750000,10.100000,9.650000,9.950000,9.950000,154500
2001-09-10,9.750000,10.000000,9.750000,9.750000,9.750000,56900
2001-09-17,8.560000,9.600000,7.800000,8.200000,8.200000,282100
2001-09-24,7.860000,9.360000,7.850000,9.260000,9.260000,138700
2001-10-01,9.300000,9.300000,8.530000,9.180000,9.180000,309000
2001-10-08,9.100000,9.250000,8.750000,9.060000,9.060000,187700
2001-10-15,9.240000,9.290000,8.280000,8.500000,8.500000,315700
2001-10-22,9.000000,9.000000,7.450000,7.960000,7.960000,572400
2001-10-29,7.750000,8.350000,7.350000,8.000000,8.000000,391600
2001-11-05,7.750000,8.000000,6.800000,7.000000,7.000000,649300
2001-11-12,6.950000,7.800000,6.750000,7.550000,7.550000,783600
2001-11-19,7.550000,8.050000,7.350000,8.040000,8.040000,299400
2001-11-26,8.050000,9.200000,8.000000,9.060000,9.060000,383300
2001-12-03,9.000000,9.400000,8.550000,8.900000,8.900000,309900
2001-12-10,8.910000,9.250000,8.500000,9.020000,9.020000,210900
2001-12-17,9.190000,10.650000,8.700000,10.400000,10.400000,544400
2001-12-24,10.450000,11.750000,10.090000,10.190000,10.190000,579600
2001-12-31,10.320000,11.460000,10.000000,11.190000,11.190000,891800
2002-01-07,11.500000,12.080000,10.650000,11.850000,11.850000,429100
2002-01-14,12.150000,12.160000,10.430000,10.840000,10.840000,386200
2002-01-21,10.840000,10.840000,9.500000,9.950000,9.950000,436300
2002-01-28,10.040000,10.750000,9.710000,9.790000,9.790000,645900
2002-02-04,9.500000,9.550000,7.270000,7.930000,7.930000,1002700
2002-02-11,7.720000,9.890000,7.710000,8.630000,8.630000,533600
2002-02-18,8.450000,9.010000,8.150000,8.310000,8.310000,260400
2002-02-25,8.150000,8.240000,7.780000,8.150000,8.150000,212900
2002-03-04,8.100000,8.670000,7.960000,8.430000,8.430000,213200
2002-03-11,8.320000,10.620000,8.130000,10.450000,10.450000,311600
2002-03-18,10.550000,11.500000,9.960000,10.120000,10.120000,281300
2002-03-25,10.490000,10.500000,9.500000,9.730000,9.730000,365200
2002-04-01,9.580000,10.250000,9.400000,9.700000,9.700000,415200
2002-04-08,9.850000,10.050000,9.320000,9.900000,9.900000,317600
2002-04-15,9.990000,12.060000,9.850000,11.200000,11.200000,420500
2002-04-22,11.100000,11.500000,10.500000,11.050000,11.050000,328500
2002-04-29,11.000000,13.390000,11.000000,12.970000,12.970000,505900
2002-05-06,12.970000,13.970000,12.010000,13.870000,13.870000,603800
2002-05-13,13.960000,15.200000,12.780000,12.780000,12.780000,770100
2002-05-20,13.000000,13.910000,12.250000,13.890000,13.890000,419500
2002-05-27,13.930000,14.000000,12.000000,13.200000,13.200000,572700
2002-06-03,13.100000,13.460000,12.500000,12.530000,12.530000,252800
2002-06-10,12.630000,13.790000,12.560000,13.560000,13.560000,361900
2002-06-17,13.560000,15.450000,13.180000,14.830000,14.830000,1078700
2002-06-24,14.930000,17.400000,13.600000,15.970000,15.970000,2343200
2002-07-01,15.890000,15.900000,12.750000,13.520000,13.520000,598400
2002-07-08,13.490000,13.490000,12.020000,12.180000,12.180000,601300
2002-07-15,12.050000,12.490000,10.590000,11.500000,11.500000,478900
2002-07-22,11.550000,12.900000,10.550000,12.100000,12.100000,818500
2002-07-29,12.200000,12.530000,11.150000,11.350000,11.350000,388700
2002-08-05,11.110000,12.200000,10.860000,11.140000,11.140000,234700
2002-08-12,11.360000,11.530000,9.750000,11.480000,11.480000,338900
2002-08-19,11.530000,12.400000,11.250000,11.660000,11.660000,145400
2002-08-26,11.990000,12.300000,11.400000,12.160000,12.160000,397700
2002-09-02,12.000000,13.760000,11.680000,13.460000,13.460000,370000
2002-09-09,13.390000,13.530000,12.800000,13.030000,13.030000,201000
2002-09-16,13.180000,13.300000,12.180000,12.230000,12.230000,180000
2002-09-23,12.240000,13.750000,11.520000,13.160000,13.160000,539600
2002-09-30,13.390000,13.640000,12.570000,13.100000,13.100000,292600
2002-10-07,13.150000,14.080000,12.950000,13.910000,13.910000,314600
2002-10-14,14.050000,15.350000,13.590000,14.040000,14.040000,407800
2002-10-21,14.010000,14.200000,12.750000,13.420000,13.420000,422800
2002-10-28,13.250000,15.200000,13.250000,14.690000,14.690000,544700
2002-11-04,14.800000,15.400000,14.650000,15.000000,15.000000,616100
2002-11-11,14.810000,15.990000,14.660000,15.200000,15.200000,558800
2002-11-18,14.950000,14.950000,13.010000,14.400000,14.400000,739500
2002-11-25,14.390000,14.550000,12.150000,12.220000,12.220000,505000
2002-12-02,12.300000,12.850000,9.650000,10.500000,10.500000,1971000
2002-12-09,10.400000,11.370000,9.900000,10.150000,10.150000,1458100
2002-12-16,10.160000,11.790000,10.060000,11.200000,11.200000,968400
2002-12-23,11.200000,11.350000,10.450000,10.770000,10.770000,356300
2002-12-30,10.760000,12.170000,10.290000,11.340000,11.340000,605200
2003-01-06,11.470000,11.600000,10.470000,10.790000,10.790000,449400
2003-01-13,10.850000,11.120000,9.900000,10.000000,10.000000,414900
