Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,5.000000,5.050000,4.850000,4.900000,4.900000,1246700
2018-01-15,4.950000,4.950000,4.050000,4.600000,4.600000,2648500
2018-01-22,4.600000,4.650000,4.100000,4.150000,4.150000,1856300
2018-01-29,4.100000,4.250000,3.450000,3.650000,3.650000,3673600
2018-02-05,3.600000,3.780000,3.250000,3.450000,3.450000,2237200
2018-02-12,3.450000,3.650000,2.600000,3.200000,3.200000,6851100
2018-02-19,3.150000,3.250000,2.750000,3.050000,3.050000,2191400
2018-02-26,3.050000,3.050000,2.500000,2.650000,2.650000,1970200
2018-03-05,2.650000,3.150000,2.550000,3.100000,3.100000,2493500
2018-03-12,3.200000,3.700000,2.850000,3.550000,3.550000,2845800
2018-03-19,3.550000,3.600000,3.200000,3.250000,3.250000,1564500
2018-03-26,3.300000,3.500000,2.400000,2.500000,2.500000,2500000
2018-04-02,2.650000,2.750000,2.200000,2.350000,2.350000,2716200
2018-04-09,2.400000,2.850000,2.200000,2.750000,2.750000,2659900
2018-04-16,3.500000,3.500000,2.550000,2.600000,2.600000,858100
2018-04-23,2.600000,2.890000,2.550000,2.780000,2.780000,849300
2018-04-30,2.750000,2.850000,2.700000,2.750000,2.750000,606200
2018-05-07,2.750000,3.000000,2.050000,2.530000,2.530000,2878200
2018-05-14,2.500000,3.000000,2.350000,2.800000,2.800000,1593900
2018-05-21,2.800000,2.850000,2.550000,2.850000,2.850000,1336700
2018-05-28,2.750000,2.950000,2.700000,2.850000,2.850000,725800
2018-06-04,2.800000,3.200000,2.700000,2.900000,2.900000,1820900
2018-06-11,2.950000,3.050000,2.810000,2.900000,2.900000,2643200
2018-06-18,2.900000,3.050000,2.750000,3.000000,3.000000,2598700
2018-06-25,3.000000,3.000000,2.300000,2.450000,2.450000,3527000
2018-07-02,2.450000,2.650000,2.400000,2.500000,2.500000,579800
2018-07-09,2.550000,2.550000,2.300000,2.420000,2.420000,1892700
2018-07-16,2.450000,2.450000,2.250000,2.350000,2.350000,893800
2018-07-23,2.350000,2.400000,2.100000,2.350000,2.350000,1058700
2018-07-30,2.300000,2.500000,2.250000,2.350000,2.350000,931100
2018-08-06,2.350000,2.500000,2.200000,2.400000,2.400000,2243500
2018-08-13,2.350000,2.450000,2.350000,2.400000,2.400000,465100
