Date,Open,High,Low,Close,Adj Close,Volume
2000-11-27,10.500000,14.062500,10.500000,13.500000,9.775179,23200
2000-12-04,13.875000,15.500000,13.625000,15.000000,10.861310,61000
2000-12-11,14.937500,15.375000,14.750000,14.750000,10.680286,124400
2000-12-18,14.750000,16.562500,14.375000,16.312500,11.811677,897800
2000-12-25,16.281250,16.656250,15.875000,16.531250,11.970071,1555600
2001-01-01,16.500000,17.562500,16.500000,16.812500,12.173719,3277400
2001-01-08,17.000000,17.031250,16.593750,16.625000,12.037951,4006000
2001-01-15,16.375000,16.875000,16.375000,16.468750,11.924809,2261000
2001-01-22,16.218750,16.718750,16.000000,16.593750,12.015324,2484800
2001-01-29,16.510000,18.000000,15.600000,17.059999,12.352923,4255800
2001-02-05,16.959999,19.260000,16.594999,19.260000,13.945921,4174800
2001-02-12,19.260000,19.950001,18.620001,18.770000,13.591116,3257600
2001-02-19,18.754999,18.945000,17.834999,18.525000,13.413714,2314800
2001-02-26,18.750000,20.250000,18.684999,20.205000,14.630185,5638800
2001-03-05,20.500000,23.750000,20.100000,23.420000,16.958128,14192400
2001-03-12,23.125000,23.500000,21.250000,22.049999,15.966128,7231000
2001-03-19,22.100000,22.424999,19.700001,20.705000,15.096772,3640200
2001-03-26,20.600000,23.000000,20.549999,22.250000,16.223284,8776800
2001-04-02,21.850000,22.290001,20.305000,20.485001,14.936367,3477000
2001-04-09,20.500000,21.500000,20.500000,21.080000,15.370194,2179400
2001-04-16,21.325001,22.745001,21.325001,22.565001,16.452961,4343400
2001-04-23,21.875000,27.615000,21.875000,27.575001,20.105942,11647400
2001-04-30,27.450001,27.455000,24.500000,26.200001,19.103378,9665200
2001-05-07,26.200001,27.445000,25.605000,26.879999,19.599194,5667600
2001-05-14,26.754999,29.924999,26.690001,29.250000,21.327244,10378800
2001-05-21,29.100000,31.600000,28.855000,29.125000,21.236099,8205400
2001-05-28,29.125000,29.750000,28.250000,28.855000,21.039240,3777200
2001-06-04,28.980000,29.275000,26.000000,26.575001,19.376806,5689200
2001-06-11,26.650000,27.360001,25.725000,26.500000,19.322119,5928400
2001-06-18,26.325001,27.424999,21.639999,22.520000,16.420160,17471200
2001-06-25,22.645000,23.100000,21.250000,22.575001,16.560246,5886400
2001-07-02,22.700001,22.799999,19.850000,21.145000,15.511243,7514400
2001-07-09,21.115000,21.145000,19.559999,19.990000,14.663977,5739600
2001-07-16,20.049999,20.594999,17.575001,19.889999,14.590618,7913200
2001-07-23,19.875000,20.150000,18.100000,19.290001,14.150484,4452400
2001-07-30,19.285000,20.150000,18.725000,19.639999,14.407229,7349000
2001-08-06,19.400000,19.575001,18.139999,19.059999,13.981760,3380200
2001-08-13,19.025000,19.695000,18.424999,19.254999,14.124809,3282600
2001-08-20,19.309999,21.750000,19.250000,21.660000,15.889030,3684600
2001-08-27,21.660000,22.905001,21.424999,22.665001,16.626263,3782600
2001-09-03,22.715000,22.855000,20.865000,20.879999,15.316844,3033800
2001-09-10,20.775000,21.500000,20.629999,21.250000,15.588263,312800
2001-09-17,20.250000,21.450001,17.525000,18.030001,13.226188,3525400
2001-09-24,18.625000,19.525000,17.985001,19.250000,14.228265,3451400
2001-10-01,19.254999,22.900000,19.025000,21.080000,15.580878,4036200
2001-10-08,21.080000,23.900000,20.650000,22.750000,16.815229,3660400
2001-10-15,22.850000,23.625000,21.049999,21.490000,15.883922,1687200
2001-10-22,21.700001,23.174999,21.174999,22.825001,16.870659,1742000
2001-10-29,22.825001,22.825001,18.075001,19.315001,14.276310,7492000
2001-11-05,19.415001,21.075001,19.250000,19.510000,14.420442,3449800
2001-11-12,19.575001,21.715000,17.915001,18.405001,13.603703,4822600
2001-11-19,18.500000,19.379999,18.174999,18.955000,14.010229,1361800
2001-11-26,19.049999,20.055000,18.530001,18.924999,13.988049,3045200
