Date,Open,High,Low,Close,Adj Close,Volume
2014-02-10,16.000000,16.120001,14.050000,15.060000,15.060000,1867400
2014-02-17,15.150000,15.480000,14.550000,15.430000,15.430000,514900
2014-02-24,15.660000,19.750000,14.790000,18.400000,18.400000,325600
2014-03-03,18.400000,20.850000,16.360001,19.260000,19.260000,650700
2014-03-10,19.270000,20.500000,17.510000,18.510000,18.510000,509700
2014-03-17,18.650000,20.040001,17.700001,18.590000,18.590000,281900
2014-03-24,18.889999,19.500000,14.550000,15.810000,15.810000,762500
2014-03-31,15.910000,18.190001,15.010000,17.940001,17.940001,940500
2014-04-07,17.820000,18.230000,14.890000,15.150000,15.150000,294500
2014-04-14,15.250000,16.559999,14.140000,14.530000,14.530000,204700
2014-04-21,14.700000,15.140000,12.900000,13.100000,13.100000,142600
2014-04-28,13.090000,15.000000,11.060000,11.880000,11.880000,170000
2014-05-05,11.770000,13.430000,11.600000,12.240000,12.240000,274700
2014-05-12,12.270000,13.400000,12.270000,12.600000,12.600000,199700
2014-05-19,13.000000,13.000000,12.320000,12.660000,12.660000,162900
2014-05-26,12.750000,13.060000,12.420000,12.740000,12.740000,140500
2014-06-02,12.830000,12.830000,12.310000,12.450000,12.450000,153400
2014-06-09,12.450000,12.990000,12.340000,12.950000,12.950000,77500
2014-06-16,13.100000,16.549999,12.760000,13.880000,13.880000,509200
2014-06-23,13.970000,14.500000,12.790000,13.760000,13.760000,173300
2014-06-30,13.780000,14.580000,13.250000,14.370000,14.370000,78500
2014-07-07,14.380000,14.380000,13.000000,13.620000,13.620000,92900
2014-07-14,13.590000,13.960000,11.920000,12.300000,12.300000,132400
2014-07-21,12.180000,13.290000,12.070000,12.390000,12.390000,180500
2014-07-28,12.500000,13.230000,11.930000,12.100000,12.100000,206600
2014-08-04,12.020000,12.980000,11.710000,12.950000,12.950000,179400
2014-08-11,13.000000,15.480000,12.630000,13.540000,13.540000,127700
2014-08-18,13.750000,14.830000,12.710000,12.890000,12.890000,114800
2014-08-25,12.950000,13.970000,12.520000,13.720000,13.720000,115500
2014-09-01,13.760000,15.090000,12.410000,14.060000,14.060000,166200
2014-09-08,14.090000,21.230000,14.090000,19.990000,19.990000,524300
2014-09-15,20.129999,20.650000,15.400000,17.889999,17.889999,258300
2014-09-22,17.680000,17.850000,16.370001,17.340000,17.340000,172900
2014-09-29,17.209999,19.150000,16.700001,17.260000,17.260000,199700
2014-10-06,17.450001,17.450001,14.640000,14.930000,14.930000,117400
2014-10-13,15.050000,17.139999,14.500000,16.299999,16.299999,85100
2014-10-20,16.260000,18.900000,15.580000,18.610001,18.610001,142000
2014-10-27,18.139999,20.500000,18.059999,19.590000,19.590000,108200
2014-11-03,19.400000,20.250000,18.719999,18.940001,18.940001,78200
2014-11-10,19.410000,20.000000,17.990000,18.780001,18.780001,122100
2014-11-17,18.750000,19.110001,16.580000,16.680000,16.680000,181700
2014-11-24,17.700001,18.150000,16.760000,17.150000,17.150000,51600
2014-12-01,17.219999,17.719999,15.440000,17.280001,17.280001,361000
2014-12-08,17.120001,19.340000,14.950000,18.910000,18.910000,1825600
2014-12-15,18.900000,23.639999,18.420000,21.260000,21.260000,629100
2014-12-22,21.389999,21.770000,19.020000,20.620001,20.620001,150000
2014-12-29,20.500000,21.629999,18.870001,20.219999,20.219999,345400
2015-01-05,20.040001,24.030001,20.040001,23.000000,23.000000,738500
2015-01-12,23.230000,24.480000,21.709999,22.520000,22.520000,402600
2015-01-19,22.459999,23.790001,21.230000,21.780001,21.780001,290400
2015-01-26,22.219999,23.610001,20.510000,20.590000,20.590000,229200
2015-02-02,20.559999,22.180000,19.080000,21.150000,21.150000,430800
2015-02-09,20.690001,21.990000,20.180000,21.290001,21.290001,887200
2015-02-16,21.580000,23.299999,21.580000,22.500000,22.500000,168400
2015-02-23,22.389999,23.719999,22.030001,22.809999,22.809999,408100
2015-03-02,22.590000,26.430000,22.299999,24.110001,24.110001,221900
2015-03-09,24.070000,26.400000,23.840000,25.860001,25.860001,271900
2015-03-16,25.860001,30.370001,24.629999,28.320000,28.320000,712900
2015-03-23,28.000000,29.000000,21.889999,22.379999,22.379999,512800
2015-03-30,22.570000,23.860001,21.900000,23.059999,23.059999,357700
2015-04-06,22.860001,23.700001,22.110001,23.030001,23.030001,449800
2015-04-13,23.000000,23.000000,19.020000,19.230000,19.230000,481100
2015-04-20,19.299999,19.959999,17.809999,18.520000,18.520000,300700
2015-04-27,18.910000,18.910000,15.500000,16.610001,16.610001,482600
2015-05-04,16.719999,20.280001,16.709999,18.900000,18.900000,639500
2015-05-11,18.860001,19.280001,17.570000,18.450001,18.450001,659400
2015-05-18,18.430000,19.910000,18.000000,19.180000,19.180000,193400
2015-05-25,19.150000,20.030001,17.969999,19.910000,19.910000,218800
2015-06-01,20.030001,20.420000,17.780001,19.000000,19.000000,536100
2015-06-08,18.860001,23.629999,18.860001,22.059999,22.059999,688000
2015-06-15,22.549999,23.309999,19.700001,20.209999,20.209999,769500
2015-06-22,20.440001,22.480000,19.740000,21.600000,21.600000,1670400
2015-06-29,21.610001,22.900000,20.709999,21.190001,21.190001,424100
2015-07-06,21.080000,24.469999,20.670000,23.740000,23.740000,493200
2015-07-13,23.959999,26.990000,23.860001,25.549999,25.549999,1797500
2015-07-20,25.600000,26.120001,23.450001,23.500000,23.500000,699600
2015-07-27,23.270000,23.850000,20.650000,23.400000,23.400000,867900
2015-08-03,23.540001,24.620001,21.580000,23.110001,23.110001,682900
2015-08-10,23.530001,25.090000,21.450001,23.100000,23.100000,524600
2015-08-17,22.879999,25.190001,22.410000,24.389999,24.389999,631700
2015-08-24,23.299999,25.610001,22.379999,25.290001,25.290001,546500
2015-08-31,25.209999,28.160000,23.020000,27.290001,27.290001,792500
2015-09-07,27.639999,29.090000,19.680000,23.420000,23.420000,3614300
2015-09-14,23.290001,26.100000,22.129999,24.990000,24.990000,1608300
2015-09-21,25.480000,25.879999,18.469999,19.010000,19.010000,1963800
2015-09-28,18.820000,19.090000,13.080000,14.500000,14.500000,2084400
2015-10-05,14.500000,15.490000,13.370000,15.190000,15.190000,1261000
2015-10-12,15.330000,15.810000,13.430000,15.100000,15.100000,655100
2015-10-19,15.250000,16.430000,13.790000,15.510000,15.510000,1204900
2015-10-26,15.380000,18.000000,15.200000,16.480000,16.480000,777800
2015-11-02,16.680000,18.780001,16.549999,17.469999,17.469999,1122800
2015-11-09,17.660000,18.309999,16.200001,17.059999,17.059999,663200
2015-11-16,16.940001,17.900000,16.330000,16.969999,16.969999,508100
2015-11-23,16.920000,19.559999,16.490000,19.450001,19.450001,525000
2015-11-30,19.469999,20.030001,18.580000,19.240000,19.240000,693700
2015-12-07,19.150000,20.000000,18.200001,19.770000,19.770000,703000
2015-12-14,19.709999,21.709999,18.990000,19.030001,19.030001,1939400
2015-12-21,19.139999,20.290001,18.709999,19.430000,19.430000,555400
2015-12-28,19.280001,20.139999,18.639999,19.270000,19.270000,509500
2016-01-04,18.959999,19.420000,14.950000,15.410000,15.410000,633000
2016-01-11,15.540000,16.660000,14.530000,15.610000,15.610000,691900
2016-01-18,15.880000,16.549999,14.380000,15.700000,15.700000,491600
2016-01-25,15.610000,17.440001,14.400000,15.480000,15.480000,462400
2016-02-01,15.360000,16.430000,13.150000,13.200000,13.200000,629400
2016-02-08,13.030000,13.030000,10.460000,10.600000,10.600000,1462400
2016-02-15,10.780000,13.480000,10.520000,10.910000,10.910000,6794400
2016-02-22,10.930000,11.240000,9.540000,9.750000,9.750000,2042900
2016-02-29,9.840000,10.450000,9.250000,9.740000,9.740000,1475200
2016-03-07,9.720000,11.040000,8.230000,8.970000,8.970000,1681800
2016-03-14,8.920000,9.820000,7.560000,8.470000,8.470000,1270200
2016-03-21,8.440000,9.390000,8.280000,8.810000,8.810000,934800
2016-03-28,8.870000,9.560000,8.150000,9.420000,9.420000,751900
2016-04-04,9.650000,12.900000,9.580000,11.760000,11.760000,1886500
2016-04-11,11.870000,12.970000,11.490000,12.850000,12.850000,910000
2016-04-18,12.800000,13.640000,12.300000,12.760000,12.760000,714600
2016-04-25,12.820000,12.820000,10.180000,10.400000,10.400000,764900
2016-05-02,10.420000,11.390000,9.640000,9.750000,9.750000,812600
2016-05-09,9.820000,10.350000,8.160000,8.750000,8.750000,771700
2016-05-16,8.830000,10.910000,8.770000,10.490000,10.490000,859500
2016-05-23,10.490000,17.350000,10.240000,15.530000,15.530000,4003500
2016-05-30,15.660000,17.870001,15.390000,16.120001,16.120001,2194300
2016-06-06,16.070000,17.150000,13.800000,13.830000,13.830000,5171100
2016-06-13,14.100000,14.350000,13.100000,13.280000,13.280000,1818500
2016-06-20,13.650000,15.000000,13.280000,13.930000,13.930000,2491600
2016-06-27,13.820000,15.810000,13.200000,15.400000,15.400000,2357500
2016-07-04,15.240000,17.030001,15.050000,16.250000,16.250000,1528200
2016-07-11,16.360001,16.719999,15.000000,15.610000,15.610000,935800
2016-07-18,15.590000,17.240000,15.100000,16.850000,16.850000,1327300
2016-07-25,16.930000,17.180000,15.690000,16.559999,16.559999,1996700
2016-08-01,16.639999,19.049999,15.970000,17.549999,17.549999,1487700
2016-08-08,17.650000,18.139999,16.809999,17.500000,17.500000,1289000
2016-08-15,17.559999,18.260000,17.200001,17.799999,17.799999,828200
2016-08-22,17.920000,18.379999,16.250000,16.969999,16.969999,1228900
2016-08-29,17.049999,17.049999,16.459999,16.830000,16.830000,862800
2016-09-05,16.980000,17.330000,15.780000,15.820000,15.820000,963500
2016-09-12,15.720000,17.450001,15.440000,17.290001,17.290001,1358500
2016-09-19,17.309999,18.250000,16.600000,18.020000,18.020000,1063200
2016-09-26,17.799999,19.629999,17.309999,19.540001,19.540001,1389100
2016-10-03,19.430000,21.190001,19.070000,19.990000,19.990000,1029000
2016-10-10,20.160000,20.600000,18.070000,18.660000,18.660000,1341800
2016-10-17,18.620001,20.930000,18.400000,20.530001,20.530001,1504600
2016-10-24,20.840000,20.840000,18.760000,19.040001,19.040001,609000
2016-10-31,19.129999,20.650000,16.750000,17.400000,17.400000,1113200
2016-11-07,17.920000,23.570000,15.930000,21.629999,21.629999,2464900
2016-11-14,21.830000,22.299999,17.900000,18.209999,18.209999,5151600
2016-11-21,18.290001,18.889999,17.610001,18.330000,18.330000,1587600
2016-11-28,18.340000,18.450001,15.960000,17.520000,17.520000,2210300
2016-12-05,17.700001,20.250000,17.469999,19.549999,19.549999,2100200
2016-12-12,19.549999,20.240000,18.170000,19.420000,19.420000,2483600
2016-12-19,19.320000,20.940001,18.150000,20.709999,20.709999,2065200
2016-12-26,20.799999,21.160000,18.660000,19.020000,19.020000,1115100
2017-01-02,19.350000,19.889999,18.639999,19.610001,19.610001,1144400
2017-01-09,19.799999,20.120001,18.020000,19.190001,19.190001,1274600
2017-01-16,19.020000,19.110001,18.100000,18.440001,18.440001,794200
2017-01-23,18.360001,19.260000,17.910000,19.209999,19.209999,835100
2017-01-30,19.049999,20.049999,18.309999,20.010000,20.010000,800600
2017-02-06,19.950001,20.400000,18.180000,18.480000,18.480000,1257100
2017-02-13,18.650000,19.740000,18.100000,19.230000,19.230000,1156000
2017-02-20,19.480000,19.809999,18.740000,19.270000,19.270000,859200
2017-02-27,19.170000,21.500000,19.150000,21.219999,21.219999,1584800
2017-03-06,21.100000,21.260000,20.000000,20.730000,20.730000,1156900
2017-03-13,20.840000,21.049999,19.250000,20.260000,20.260000,2305300
2017-03-20,20.209999,28.200001,19.000000,27.270000,27.270000,11429000
2017-03-27,25.570000,29.410000,25.570000,26.910000,26.910000,3522300
2017-04-03,26.990000,27.750000,25.540001,26.420000,26.420000,2599800
2017-04-10,26.559999,28.030001,25.940001,27.969999,27.969999,1227800
2017-04-17,28.230000,29.000000,26.150000,26.370001,26.370001,1618000
2017-04-24,26.820000,26.900000,20.090000,20.410000,20.410000,8256000
2017-05-01,20.549999,21.200001,18.200001,18.570000,18.570000,5216600
2017-05-08,18.549999,19.670000,18.360001,19.309999,19.309999,2243200
2017-05-15,19.410000,19.530001,16.709999,17.620001,17.620001,3375200
2017-05-22,17.740000,19.990000,17.740000,18.280001,18.280001,3406500
2017-05-29,18.240000,18.240000,16.700001,17.480000,17.480000,1901300
2017-06-05,17.610001,17.770000,16.590000,17.070000,17.070000,2117700
2017-06-12,17.139999,17.639999,16.510000,17.200001,17.200001,3824700
2017-06-19,17.209999,20.850000,17.070000,20.590000,20.590000,4583700
2017-06-26,20.879999,22.330000,19.680000,20.219999,20.219999,4312600
2017-07-03,20.340000,22.750000,20.150000,21.799999,21.799999,2743100
2017-07-10,21.820000,24.350000,20.900000,23.799999,23.799999,3798900
2017-07-17,23.900000,24.320000,22.920000,23.820000,23.820000,2075300
2017-07-24,23.740000,24.860001,23.280001,24.100000,24.100000,1881200
2017-07-31,24.080000,24.250000,21.910000,22.200001,22.200001,2166100
2017-08-07,22.309999,23.110001,21.020000,22.830000,22.830000,1833700
2017-08-14,22.980000,23.020000,21.830000,22.120001,22.120001,1281000
2017-08-21,22.129999,25.780001,21.990000,24.480000,24.480000,2258400
