Date,Open,High,Low,Close,Adj Close,Volume
1996-11-25,10.875000,11.187500,10.500000,10.687500,8.677872,4661200
1996-12-02,10.625000,11.187500,9.812500,10.812500,8.779368,1614200
1996-12-09,10.875000,13.625000,10.812500,12.250000,9.946568,1262600
1996-12-16,12.187500,12.312500,10.562500,11.375000,9.236098,632600
1996-12-23,11.500000,11.625000,10.625000,11.500000,9.337595,278000
1996-12-30,11.500000,13.875000,11.437500,13.875000,11.266010,366000
1997-01-06,14.125000,14.562500,13.250000,14.000000,11.367504,621200
1997-01-13,13.750000,14.000000,12.812500,12.812500,10.403298,372600
1997-01-20,13.000000,13.750000,12.500000,13.062500,10.606289,242600
1997-01-27,13.187500,13.437500,13.000000,13.125000,10.657036,198600
1997-02-03,13.125000,13.125000,12.375000,12.375000,10.048063,163000
1997-02-10,12.500000,12.562500,10.875000,10.937500,8.880864,199400
1997-02-17,11.000000,11.000000,9.250000,9.250000,7.510674,579800
1997-02-24,9.812500,10.125000,9.125000,9.125000,7.409178,1200000
1997-03-03,9.375000,11.187500,9.000000,11.187500,9.083856,828200
1997-03-10,11.250000,11.250000,10.437500,10.625000,8.627123,79200
1997-03-17,10.687500,10.687500,9.250000,9.625000,7.815159,99200
1997-03-24,9.250000,9.625000,9.000000,9.250000,7.510674,128800
1997-03-31,9.250000,9.250000,8.625000,8.625000,7.003195,44600
1997-04-07,9.000000,9.000000,8.625000,9.000000,7.307682,33000
1997-04-14,9.000000,9.000000,8.578100,8.687500,7.053942,88000
1997-04-21,8.625000,9.250000,7.750000,8.875000,7.206186,193600
1997-04-28,9.000000,10.125000,8.812500,10.125000,8.221143,260800
1997-05-05,10.125000,10.875000,9.875000,10.500000,8.525629,84200
1997-05-12,10.375000,11.250000,10.125000,10.875000,8.830117,94600
1997-05-19,11.250000,13.125000,11.125000,13.000000,10.555542,259400
1997-05-26,13.125000,14.750000,12.875000,14.625000,11.874986,532400
1997-06-02,14.750000,16.437500,14.062500,15.250000,12.382463,258000
1997-06-09,15.250000,15.250000,13.125000,13.125000,10.657036,283000
1997-06-16,13.562500,14.812500,13.125000,14.562500,11.824236,219600
1997-06-23,14.812500,14.812500,14.375000,14.375000,11.671992,307400
1997-06-30,14.812500,14.812500,14.000000,14.000000,11.367504,326000
1997-07-07,14.000000,14.312500,13.750000,14.000000,11.367504,61400
1997-07-14,13.750000,16.125000,13.750000,15.625000,12.686946,228800
1997-07-21,16.062500,16.062500,14.500000,14.562500,11.824236,223200
1997-07-28,14.812500,14.875000,14.500000,14.625000,11.874986,31600
1997-08-04,14.500000,14.500000,13.625000,14.125000,11.469003,249200
1997-08-11,14.500000,14.625000,13.875000,14.125000,11.469003,581800
1997-08-18,14.625000,14.625000,14.062500,14.062500,11.418253,376000
1997-08-25,13.750000,14.125000,13.750000,13.750000,11.164513,74600
1997-09-01,14.000000,14.000000,13.187500,13.250000,10.758533,26200
1997-09-08,13.187500,13.625000,13.187500,13.562500,11.012271,60000
1997-09-15,13.312500,13.875000,13.312500,13.406250,10.885403,25200
1997-09-22,13.406250,13.875000,13.375000,13.437500,10.910775,543000
1997-09-29,13.375000,13.812500,13.375000,13.812500,11.215262,235200
1997-10-06,13.750000,13.875000,13.437500,13.500000,10.961521,165400
1997-10-13,13.500000,13.625000,13.312500,13.312500,10.809279,9600
1997-10-20,13.500000,13.750000,13.250000,13.250000,10.758533,365400
1997-10-27,13.750000,13.750000,12.000000,12.937500,10.504792,75400
1997-11-03,12.750000,13.062500,12.500000,12.687500,10.301805,289000
1997-11-10,12.812500,12.812500,11.375000,11.625000,9.439090,124600
1997-11-17,11.625000,11.625000,11.375000,11.375000,9.236098,20000
1997-11-24,11.375000,11.625000,11.375000,11.625000,9.439090,278000
1997-12-01,11.625000,11.625000,11.375000,11.468750,9.312220,276800
1997-12-08,11.625000,11.625000,11.375000,11.625000,9.439090,43200
1997-12-15,11.437500,11.750000,11.375000,11.375000,9.236098,598600
1997-12-22,11.375000,11.750000,11.375000,11.375000,9.236098,26400
1997-12-29,11.500000,11.750000,11.375000,11.562500,9.388343,7200
1998-01-05,11.625000,11.750000,10.781250,10.781250,8.753997,46000
1998-01-12,11.000000,11.000000,9.875000,10.375000,8.424137,143000
