Date,Open,High,Low,Close,Adj Close,Volume
2010-05-24,5.650000,6.000000,5.400000,5.400000,5.400000,516200
2010-05-31,5.190000,5.240000,4.640000,4.950000,4.950000,707800
2010-06-07,4.890000,5.250000,4.830000,4.860000,4.860000,261700
2010-06-14,4.950000,5.010000,4.420000,4.450000,4.450000,296700
2010-06-21,4.500000,4.650000,4.020000,4.220000,4.220000,101100
2010-06-28,4.230000,4.670000,4.220000,4.650000,4.650000,54000
2010-07-05,4.650000,4.950000,4.460000,4.750000,4.750000,54900
2010-07-12,4.850000,5.090000,4.360000,4.440000,4.440000,71900
2010-07-19,4.360000,4.600000,4.350000,4.500000,4.500000,54100
2010-07-26,4.470000,4.510000,4.240000,4.480000,4.480000,50000
2010-08-02,4.450000,4.510000,4.260000,4.500000,4.500000,35400
2010-08-09,4.500000,5.150000,4.410000,4.720000,4.720000,50800
2010-08-16,4.510000,4.510000,4.230000,4.480000,4.480000,27600
2010-08-23,4.480000,4.480000,4.060000,4.170000,4.170000,59200
2010-08-30,4.100000,4.160000,3.920000,4.140000,4.140000,98300
2010-09-06,4.140000,4.250000,3.820000,3.910000,3.910000,57500
2010-09-13,3.880000,4.000000,3.640000,3.640000,3.640000,66600
2010-09-20,3.670000,3.890000,3.270000,3.320000,3.320000,210300
2010-09-27,3.350000,3.500000,2.970000,3.410000,3.410000,674700
2010-10-04,3.250000,3.900000,3.250000,3.530000,3.530000,251700
2010-10-11,3.500000,3.700000,3.420000,3.420000,3.420000,52700
2010-10-18,3.530000,3.600000,3.370000,3.600000,3.600000,35800
2010-10-25,3.600000,4.900000,3.600000,4.900000,4.900000,52400
2010-11-01,5.000000,5.200000,3.560000,4.230000,4.230000,132300
2010-11-08,4.120000,4.470000,3.900000,3.970000,3.970000,31200
2010-11-15,3.920000,3.920000,3.350000,3.690000,3.690000,209400
2010-11-22,4.190000,4.250000,3.410000,4.050000,4.050000,25000
2010-11-29,4.000000,4.480000,3.550000,4.400000,4.400000,55000
2010-12-06,4.490000,4.490000,3.900000,3.900000,3.900000,21500
2010-12-13,3.920000,4.500000,3.920000,4.150000,4.150000,57000
2010-12-20,4.240000,4.250000,4.050000,4.050000,4.050000,46800
2010-12-27,4.040000,4.250000,4.010000,4.090000,4.090000,22100
2011-01-03,4.200000,5.290000,4.130000,4.550000,4.550000,91400
2011-01-10,4.460000,4.810000,4.410000,4.550000,4.550000,28700
2011-01-17,4.540000,5.340000,4.520000,4.940000,4.940000,40600
2011-01-24,5.100000,5.100000,4.520000,4.850000,4.850000,128000
2011-01-31,4.950000,4.950000,4.250000,4.380000,4.380000,237700
2011-02-07,4.400000,4.800000,3.900000,4.510000,4.510000,84400
2011-02-14,4.500000,4.510000,4.080000,4.220000,4.220000,43700
2011-02-21,4.250000,4.700000,3.670000,4.220000,4.220000,53000
2011-02-28,4.220000,4.580000,3.920000,3.920000,3.920000,60300
2011-03-07,4.100000,4.310000,3.800000,3.850000,3.850000,77300
2011-03-14,3.850000,4.270000,3.620000,3.950000,3.950000,113900
2011-03-21,4.010000,4.170000,3.710000,4.010000,4.010000,120400
2011-03-28,4.090000,4.200000,3.730000,4.000000,4.000000,68600
2011-04-04,4.100000,4.890000,3.830000,4.500000,4.500000,178100
2011-04-11,4.310000,5.170000,4.250000,4.830000,4.830000,63700
2011-04-18,4.810000,5.300000,4.650000,5.140000,5.140000,168000
2011-04-25,5.300000,5.500000,4.880000,5.020000,5.020000,102900
2011-05-02,5.300000,6.750000,5.050000,5.840000,5.840000,297800
2011-05-09,6.170000,6.480000,5.850000,5.920000,5.920000,194000
2011-05-16,5.920000,6.400000,5.500000,5.610000,5.610000,145200
2011-05-23,5.560000,6.330000,5.500000,5.790000,5.790000,125500
2011-05-30,6.240000,6.240000,5.150000,5.280000,5.280000,185900
2011-06-06,5.250000,6.200000,5.110000,5.300000,5.300000,100800
2011-06-13,5.200000,6.950000,4.000000,6.020000,6.020000,1803200
2011-06-20,6.030000,6.380000,5.550000,6.240000,6.240000,459200
2011-06-27,6.010000,6.040000,5.580000,5.850000,5.850000,185000
2011-07-04,5.830000,5.860000,5.410000,5.800000,5.800000,167200
2011-07-11,6.090000,6.090000,5.440000,5.640000,5.640000,149100
2011-07-18,5.640000,6.080000,5.470000,5.500000,5.500000,137500
2011-07-25,5.540000,5.540000,4.550000,4.970000,4.970000,484800
2011-08-01,4.970000,5.480000,4.350000,4.800000,4.800000,149000
2011-08-08,5.000000,5.420000,4.270000,4.630000,4.630000,275200
2011-08-15,4.780000,5.400000,4.310000,4.320000,4.320000,168900
2011-08-22,4.460000,5.330000,4.400000,5.080000,5.080000,297100
2011-08-29,5.300000,6.260000,5.300000,6.150000,6.150000,439200
2011-09-05,6.000000,6.180000,5.910000,6.160000,6.160000,175300
2011-09-12,6.170000,6.500000,5.900000,6.020000,6.020000,150200
2011-09-19,6.030000,6.030000,5.750000,6.000000,6.000000,110500
2011-09-26,5.980000,6.000000,5.340000,5.750000,5.750000,122300
2011-10-03,5.750000,5.900000,4.650000,5.240000,5.240000,154800
2011-10-10,5.440000,5.740000,5.220000,5.500000,5.500000,64200
2011-10-17,5.500000,5.770000,4.850000,5.300000,5.300000,56800
2011-10-24,5.340000,5.720000,5.040000,5.280000,5.280000,37700
2011-10-31,5.320000,5.460000,4.910000,5.200000,5.200000,118800
2011-11-07,5.250000,5.250000,4.860000,5.040000,5.040000,77800
2011-11-14,4.960000,5.100000,4.800000,4.910000,4.910000,62700
2011-11-21,4.790000,4.870000,4.450000,4.450000,4.450000,109400
2011-11-28,4.550000,4.590000,4.050000,4.540000,4.540000,129700
2011-12-05,4.520000,5.000000,4.000000,4.300000,4.300000,143200
2011-12-12,4.260000,4.630000,4.130000,4.160000,4.160000,100500
2011-12-19,4.300000,4.370000,4.050000,4.360000,4.360000,99000
2011-12-26,4.370000,4.370000,4.100000,4.120000,4.120000,72200
2012-01-02,4.180000,4.730000,4.100000,4.250000,4.250000,76900
2012-01-09,4.230000,4.510000,4.170000,4.500000,4.500000,76700
2012-01-16,4.430000,4.670000,4.420000,4.560000,4.560000,54700
2012-01-23,4.510000,4.580000,4.200000,4.340000,4.340000,52400
2012-01-30,4.330000,4.700000,4.320000,4.510000,4.510000,60200
2012-02-06,4.590000,4.610000,4.380000,4.390000,4.390000,141800
2012-02-13,4.320000,4.500000,4.220000,4.350000,4.350000,249300
2012-02-20,4.430000,4.540000,4.120000,4.450000,4.450000,99900
2012-02-27,4.400000,4.670000,4.070000,4.150000,4.150000,183000
2012-03-05,4.200000,4.380000,3.950000,4.060000,4.060000,105000
2012-03-12,4.060000,4.410000,3.630000,4.410000,4.410000,401100
2012-03-19,4.250000,4.250000,3.950000,4.230000,4.230000,230300
2012-03-26,4.250000,4.250000,4.010000,4.050000,4.050000,130200
2012-04-02,4.130000,4.250000,3.900000,3.900000,3.900000,80900
2012-04-09,3.860000,4.000000,3.750000,3.930000,3.930000,72800
2012-04-16,3.910000,4.280000,3.810000,4.160000,4.160000,97800
2012-04-23,4.150000,4.950000,4.000000,4.620000,4.620000,416100
2012-04-30,4.600000,5.050000,4.500000,4.730000,4.730000,98600
2012-05-07,4.800000,5.100000,4.740000,4.950000,4.950000,144800
2012-05-14,4.910000,5.100000,4.500000,4.540000,4.540000,93400
2012-05-21,4.560000,4.600000,4.210000,4.580000,4.580000,162300
2012-05-28,4.590000,4.650000,4.340000,4.370000,4.370000,39700
2012-06-04,4.420000,4.600000,4.010000,4.320000,4.320000,82700
2012-06-11,4.180000,4.880000,4.180000,4.570000,4.570000,377800
2012-06-18,4.530000,4.770000,4.020000,4.250000,4.250000,3086100
2012-06-25,4.210000,4.500000,4.080000,4.340000,4.340000,352100
2012-07-02,4.450000,4.920000,4.420000,4.770000,4.770000,453800
2012-07-09,4.800000,5.970000,4.550000,5.920000,5.920000,1786200
2012-07-16,5.950000,6.050000,5.550000,6.000000,6.000000,518500
2012-07-23,5.990000,5.990000,5.220000,5.650000,5.650000,292000
2012-07-30,5.680000,5.900000,5.070000,5.550000,5.550000,377300
2012-08-06,5.500000,7.350000,5.180000,7.230000,7.230000,1370900
2012-08-13,7.250000,7.650000,6.890000,7.550000,7.550000,561400
2012-08-20,7.620000,7.690000,6.830000,7.200000,7.200000,486800
2012-08-27,7.200000,7.830000,6.920000,7.530000,7.530000,265900
2012-09-03,7.530000,7.640000,7.320000,7.410000,7.410000,215400
2012-09-10,7.380000,8.400000,7.280000,8.270000,8.270000,508400
2012-09-17,8.000000,8.970000,7.530000,8.950000,8.950000,533800
2012-09-24,9.100000,9.500000,8.830000,9.210000,9.210000,451100
2012-10-01,9.300000,9.410000,8.150000,8.580000,8.580000,558100
2012-10-08,8.600000,8.750000,8.240000,8.610000,8.610000,209300
2012-10-15,8.600000,8.740000,7.550000,8.080000,8.080000,278100
2012-10-22,8.310000,8.750000,8.090000,8.540000,8.540000,471200
2012-10-29,8.740000,8.740000,8.360000,8.640000,8.640000,360400
2012-11-05,8.640000,8.790000,7.980000,8.650000,8.650000,532300
2012-11-12,8.700000,8.780000,7.970000,8.700000,8.700000,804800
2012-11-19,8.780000,9.530000,8.650000,9.480000,9.480000,644700
2012-11-26,9.530000,10.080000,8.910000,9.900000,9.900000,2957300
2012-12-03,10.140000,10.240000,9.250000,9.500000,9.500000,591000
2012-12-10,9.460000,9.970000,9.100000,9.440000,9.440000,688100
2012-12-17,9.450000,10.130000,9.010000,9.860000,9.860000,929300
2012-12-24,9.910000,10.100000,8.600000,8.710000,8.710000,504100
2012-12-31,8.660000,9.660000,8.510000,9.230000,9.230000,438200
2013-01-07,9.400000,10.860000,8.860000,10.830000,10.830000,1044800
2013-01-14,10.860000,11.560000,10.750000,11.140000,11.140000,1293400
2013-01-21,11.190000,11.450000,10.940000,11.320000,11.320000,291700
2013-01-28,11.360000,11.500000,10.500000,11.090000,11.090000,637600
2013-02-04,10.970000,11.300000,10.350000,10.580000,10.580000,379100
2013-02-11,10.720000,11.010000,10.350000,10.640000,10.640000,332500
2013-02-18,10.700000,11.040000,10.380000,10.520000,10.520000,412400
2013-02-25,10.540000,10.830000,10.040000,10.310000,10.310000,389400
2013-03-04,10.410000,11.030000,10.220000,10.910000,10.910000,235700
2013-03-11,10.890000,12.550000,10.790000,11.980000,11.980000,1453100
2013-03-18,11.730000,12.250000,11.250000,12.040000,12.040000,1291800
2013-03-25,12.120000,13.030000,11.820000,12.920000,12.920000,600000
2013-04-01,13.000000,14.200000,12.910000,13.620000,13.620000,1210100
2013-04-08,13.700000,14.180000,13.090000,13.980000,13.980000,693900
2013-04-15,14.050000,14.730000,13.500000,14.710000,14.710000,735100
2013-04-22,15.420000,15.420000,13.980000,15.080000,15.080000,824600
2013-04-29,15.210000,15.710000,14.780000,14.810000,14.810000,731800
2013-05-06,14.690000,16.000000,13.500000,14.850000,14.850000,1051700
2013-05-13,14.890000,15.490000,14.730000,15.200000,15.200000,465100
2013-05-20,15.080000,15.390000,13.750000,14.770000,14.770000,491400
2013-05-27,14.870000,15.190000,14.300000,14.900000,14.900000,389500
2013-06-03,14.860000,15.490000,14.310000,14.920000,14.920000,359400
2013-06-10,15.050000,15.160000,10.240000,11.970000,11.970000,7129500
2013-06-17,11.970000,12.180000,9.250000,9.870000,9.870000,3535900
2013-06-24,9.800000,10.510000,9.520000,10.350000,10.350000,5566600
2013-07-01,10.410000,10.710000,9.750000,10.130000,10.130000,929500
2013-07-08,10.190000,10.500000,9.880000,10.220000,10.220000,1100400
2013-07-15,10.260000,10.440000,9.850000,10.010000,10.010000,1015600
2013-07-22,9.980000,10.320000,9.750000,9.830000,9.830000,1021600
2013-07-29,9.800000,10.050000,9.270000,9.870000,9.870000,954700
2013-08-05,9.820000,10.170000,8.750000,10.030000,10.030000,1462600
2013-08-12,10.020000,10.460000,9.240000,10.160000,10.160000,5967600
2013-08-19,10.120000,10.760000,10.070000,10.700000,10.700000,1866200
2013-08-26,10.760000,11.850000,10.600000,11.500000,11.500000,2805700
2013-09-02,11.600000,11.740000,11.140000,11.640000,11.640000,1303000
2013-09-09,11.640000,11.950000,11.360000,11.890000,11.890000,1090900
2013-09-16,11.980000,12.590000,11.830000,12.100000,12.100000,1273800
2013-09-23,12.050000,12.160000,11.510000,11.640000,11.640000,1154500
2013-09-30,11.600000,12.620000,11.600000,12.520000,12.520000,1412100
2013-10-07,12.460000,12.550000,11.830000,12.380000,12.380000,1066500
2013-10-14,12.380000,12.840000,12.310000,12.690000,12.690000,823500
2013-10-21,12.750000,12.750000,12.160000,12.300000,12.300000,945000
2013-10-28,12.270000,12.400000,11.820000,12.070000,12.070000,847300
2013-11-04,12.070000,12.070000,11.560000,11.640000,11.640000,1040700
2013-11-11,11.590000,13.220000,11.400000,12.670000,12.670000,2453700
2013-11-18,12.700000,12.910000,11.950000,12.030000,12.030000,2056900
2013-11-25,12.050000,12.200000,11.530000,11.900000,11.900000,789900
2013-12-02,11.880000,12.050000,10.780000,11.330000,11.330000,839600
2013-12-09,11.310000,11.830000,11.120000,11.750000,11.750000,845300
2013-12-16,11.750000,12.580000,10.850000,12.500000,12.500000,1806300
2013-12-23,12.520000,13.240000,12.460000,13.080000,13.080000,380400
2013-12-30,13.040000,13.450000,12.780000,13.330000,13.330000,664600
2014-01-06,13.330000,13.910000,12.510000,13.750000,13.750000,760100
2014-01-13,13.500000,14.180000,12.960000,13.930000,13.930000,1397700
2014-01-20,13.930000,14.140000,13.160000,13.260000,13.260000,908200
2014-01-27,13.220000,13.400000,11.500000,12.920000,12.920000,828400
2014-02-03,12.880000,12.930000,11.730000,12.380000,12.380000,1019600
2014-02-10,12.330000,13.440000,12.100000,13.050000,13.050000,785800
2014-02-17,13.100000,13.210000,12.740000,12.860000,12.860000,598800
2014-02-24,12.830000,13.220000,12.290000,12.460000,12.460000,1083300
2014-03-03,12.330000,12.910000,11.890000,12.490000,12.490000,797300
2014-03-10,12.240000,12.460000,11.080000,11.540000,11.540000,1429200
2014-03-17,11.580000,11.660000,10.790000,10.810000,10.810000,770400
2014-03-24,10.880000,10.960000,9.280000,9.730000,9.730000,1481900
2014-03-31,9.820000,10.750000,9.550000,10.310000,10.310000,1547300
2014-04-07,10.230000,10.230000,9.350000,9.470000,9.470000,1416500
2014-04-14,9.590000,9.680000,9.210000,9.430000,9.430000,906300
2014-04-21,9.410000,9.640000,8.880000,8.980000,8.980000,782900
2014-04-28,9.030000,9.410000,8.480000,9.300000,9.300000,1135100
2014-05-05,9.190000,10.180000,8.610000,9.080000,9.080000,916700
2014-05-12,9.090000,9.550000,8.650000,8.890000,8.890000,702400
2014-05-19,8.890000,9.990000,8.480000,9.830000,9.830000,976800
2014-05-26,9.910000,11.250000,9.820000,11.010000,11.010000,1032800
2014-06-02,11.000000,11.200000,10.440000,11.140000,11.140000,988000
2014-06-09,11.090000,12.210000,11.090000,11.990000,11.990000,859900
2014-06-16,12.000000,13.530000,12.000000,13.480000,13.480000,794000
2014-06-23,13.480000,13.600000,12.520000,13.300000,13.300000,1579900
2014-06-30,13.320000,13.870000,13.210000,13.400000,13.400000,501500
2014-07-07,13.300000,13.300000,11.350000,11.600000,11.600000,1099300
2014-07-14,11.820000,11.820000,10.800000,11.000000,11.000000,699700
2014-07-21,10.900000,11.220000,10.630000,10.670000,10.670000,593100
2014-07-28,10.660000,11.070000,10.280000,11.020000,11.020000,825300
2014-08-04,11.030000,11.670000,10.760000,11.180000,11.180000,620300
2014-08-11,11.270000,11.750000,10.590000,10.800000,10.800000,750700
2014-08-18,10.950000,11.050000,10.500000,10.620000,10.620000,409800
2014-08-25,10.680000,10.980000,10.550000,10.750000,10.750000,816400
2014-09-01,10.750000,10.950000,9.870000,10.110000,10.110000,436000
2014-09-08,10.110000,10.390000,9.820000,9.960000,9.960000,712100
2014-09-15,9.950000,10.130000,9.300000,9.840000,9.840000,1866300
2014-09-22,9.770000,9.770000,8.640000,9.050000,9.050000,841500
2014-09-29,8.920000,9.570000,8.710000,9.410000,9.410000,760900
2014-10-06,9.410000,9.570000,8.980000,9.080000,9.080000,537200
2014-10-13,9.070000,9.750000,8.720000,9.000000,9.000000,829000
2014-10-20,8.850000,9.880000,8.620000,9.660000,9.660000,858400
2014-10-27,9.540000,11.570000,9.340000,11.400000,11.400000,1429300
2014-11-03,11.410000,11.590000,10.870000,11.330000,11.330000,803300
2014-11-10,11.350000,11.770000,10.930000,11.190000,11.190000,777900
2014-11-17,11.140000,11.620000,10.570000,10.600000,10.600000,786300
2014-11-24,10.650000,11.870000,10.370000,11.360000,11.360000,1497800
2014-12-01,11.370000,13.140000,11.020000,12.980000,12.980000,818100
2014-12-08,12.900000,13.730000,12.750000,13.160000,13.160000,926100
2014-12-15,13.240000,13.710000,12.120000,13.570000,13.570000,1035900
2014-12-22,13.570000,13.980000,13.410000,13.700000,13.700000,254600
2014-12-29,13.660000,14.180000,13.040000,13.870000,13.870000,973800
2015-01-05,13.800000,14.400000,12.800000,13.100000,13.100000,681800
2015-01-12,13.130000,14.000000,12.950000,13.400000,13.400000,678300
2015-01-19,13.400000,13.590000,12.540000,13.150000,13.150000,471100
2015-01-26,13.150000,13.730000,12.850000,12.880000,12.880000,643200
2015-02-02,12.980000,13.600000,12.570000,13.240000,13.240000,560800
2015-02-09,13.130000,13.680000,12.690000,13.510000,13.510000,416000
2015-02-16,13.490000,13.590000,12.850000,13.220000,13.220000,261400
2015-02-23,13.120000,13.570000,12.650000,12.710000,12.710000,677300
2015-03-02,12.710000,13.100000,12.330000,12.440000,12.440000,523900
2015-03-09,12.500000,12.730000,11.670000,12.600000,12.600000,687500
2015-03-16,12.670000,13.920000,12.530000,13.820000,13.820000,1353700
2015-03-23,13.750000,14.110000,12.810000,13.290000,13.290000,1080900
2015-03-30,13.230000,13.540000,12.010000,12.180000,12.180000,771200
2015-04-06,12.060000,12.270000,11.370000,11.800000,11.800000,647700
2015-04-13,11.870000,13.000000,10.580000,10.860000,10.860000,2022800
2015-04-20,10.750000,11.160000,10.420000,10.690000,10.690000,898400
2015-04-27,10.680000,10.840000,9.510000,10.110000,10.110000,1140900
2015-05-04,10.090000,10.450000,9.080000,9.520000,9.520000,1220300
2015-05-11,9.550000,9.700000,9.140000,9.400000,9.400000,605000
2015-05-18,9.340000,9.670000,8.970000,9.040000,9.040000,792400
2015-05-25,9.000000,9.410000,8.900000,9.170000,9.170000,708900
2015-06-01,9.260000,9.970000,9.120000,9.840000,9.840000,1086000
2015-06-08,9.840000,9.930000,9.170000,9.290000,9.290000,799600
2015-06-15,9.250000,10.840000,9.020000,10.400000,10.400000,1447900
2015-06-22,10.450000,10.540000,9.390000,9.490000,9.490000,813800
2015-06-29,9.340000,9.520000,8.660000,8.910000,8.910000,777900
2015-07-06,8.840000,9.150000,8.440000,8.690000,8.690000,623300
2015-07-13,8.730000,9.820000,8.620000,9.770000,9.770000,1165300
2015-07-20,9.750000,10.550000,9.570000,9.760000,9.760000,1362600
2015-07-27,9.600000,9.610000,8.280000,8.500000,8.500000,1006600
2015-08-03,8.530000,9.000000,7.570000,8.390000,8.390000,1078000
2015-08-10,8.460000,9.570000,8.460000,9.200000,9.200000,1016000
2015-08-17,9.110000,9.650000,8.980000,9.400000,9.400000,948200
2015-08-24,8.960000,10.100000,8.700000,10.020000,10.020000,1363100
2015-08-31,9.930000,10.500000,9.350000,9.580000,9.580000,834200
2015-09-07,9.740000,10.030000,9.490000,10.000000,10.000000,495100
2015-09-14,10.000000,10.420000,9.640000,10.370000,10.370000,795800
2015-09-21,10.400000,10.540000,8.180000,8.400000,8.400000,977300
2015-09-28,8.360000,8.360000,7.210000,7.920000,7.920000,1788800
2015-10-05,8.010000,9.740000,7.950000,9.360000,9.360000,1382800
2015-10-12,9.420000,9.610000,8.000000,8.470000,8.470000,1165700
2015-10-19,8.400000,8.590000,7.350000,7.650000,7.650000,1464500
2015-10-26,7.660000,8.110000,4.630000,6.360000,6.360000,6808900
2015-11-02,6.450000,7.270000,6.360000,7.160000,7.160000,3703200
2015-11-09,7.150000,8.150000,6.910000,7.160000,7.160000,1049700
2015-11-16,7.290000,7.780000,6.770000,7.080000,7.080000,1144900
2015-11-23,7.040000,7.730000,7.040000,7.650000,7.650000,447400
2015-11-30,7.670000,8.170000,7.480000,7.690000,7.690000,1055000
2015-12-07,7.640000,7.840000,7.170000,7.400000,7.400000,819500
2015-12-14,7.370000,8.200000,7.220000,7.840000,7.840000,1097900
2015-12-21,7.920000,8.180000,7.780000,8.000000,8.000000,554900
2015-12-28,7.950000,8.020000,7.360000,7.760000,7.760000,852000
2016-01-04,7.520000,7.730000,6.750000,6.800000,6.800000,916500
2016-01-11,6.820000,7.490000,6.060000,7.180000,7.180000,1674800
2016-01-18,7.260000,7.450000,6.190000,6.220000,6.220000,1206800
