Date,Open,High,Low,Close,Adj Close,Volume
1982-03-29,2.422481,2.691645,2.422481,2.476314,2.060714,44100
1982-04-05,2.476314,2.691645,2.476314,2.476314,2.060714,3000
1982-04-12,2.476314,2.745478,2.476314,2.583979,2.150310,20800
1982-04-19,2.583979,2.691645,2.583979,2.583979,2.150310,20700
1982-04-26,2.583979,2.853144,2.583979,2.691645,2.239907,21200
1982-05-03,2.691645,2.853144,2.691645,2.691645,2.239907,8900
1982-05-10,2.691645,2.853144,2.691645,2.691645,2.239907,11000
1982-05-17,2.691645,2.853144,2.691645,2.691645,2.239907,19900
1982-05-24,2.691645,2.853144,2.691645,2.691645,2.239907,10100
1982-05-31,2.691645,2.906977,2.691645,2.691645,2.239907,300300
1982-06-07,2.691645,2.853144,2.691645,2.691645,2.239907,22100
1982-06-14,2.691645,2.906977,2.691645,2.691645,2.239907,9700
1982-06-21,2.691645,2.906977,2.691645,2.691645,2.239907,22500
1982-06-28,2.691645,2.853144,2.691645,2.691645,2.239907,23300
1982-07-05,2.691645,2.853144,2.691645,2.691645,2.239907,15300
1982-07-12,2.691645,2.853144,2.691645,2.691645,2.239907,24400
1982-07-19,2.691645,2.853144,2.691645,2.691645,2.239907,11800
1982-07-26,2.691645,2.906977,2.691645,2.691645,2.239907,17700
1982-08-02,2.691645,2.906977,2.691645,2.745478,2.284705,26900
1982-08-09,2.745478,2.960810,2.745478,2.745478,2.284705,81800
1982-08-16,2.745478,2.906977,2.745478,2.745478,2.284705,29300
1982-08-23,2.853144,3.337640,2.853144,3.229974,2.687888,466500
1982-08-30,3.229974,3.391473,3.229974,3.229974,2.687888,56900
1982-09-06,3.229974,3.337640,3.176141,3.176141,2.643089,68300
1982-09-13,3.176141,3.283807,3.176141,3.176141,2.643089,13400
1982-09-20,3.176141,3.337640,3.176141,3.176141,2.643089,56200
1982-09-27,3.176141,3.660637,3.176141,3.445306,2.867080,45400
1982-10-04,3.445306,3.606804,3.445306,3.499139,2.911878,32000
1982-10-11,3.499139,3.714470,3.499139,3.606804,3.001474,32300
1982-10-18,3.606804,3.768303,3.606804,3.660637,3.046273,14400
1982-10-25,3.660637,3.768303,3.499139,3.499139,2.911878,59100
1982-11-01,3.499139,3.660637,3.499139,3.499139,2.911878,33500
1982-11-08,3.499139,3.552972,3.229974,3.283807,2.732686,215000
1982-11-15,3.337640,3.499139,3.337640,3.337640,2.777484,10800
1982-11-22,3.337640,3.445306,3.337640,3.337640,2.777484,18400
1982-11-29,3.337640,3.606804,3.337640,3.445306,2.867080,39100
1982-12-06,3.445306,3.606804,3.445306,3.445306,2.867080,39000
1982-12-13,3.445306,3.552972,3.229974,3.229974,2.687888,13700
1982-12-20,3.229974,3.283807,3.014642,3.014642,2.508695,43700
1982-12-27,3.014642,3.176141,3.014642,3.014642,2.508695,33300
1983-01-03,3.068475,3.229974,3.068475,3.068475,2.553493,8500
1983-01-10,3.122308,3.445306,3.122308,3.283807,2.732686,110300
1983-01-17,3.768303,3.983635,3.660637,3.660637,3.046273,79200
1983-01-24,3.660637,3.660637,3.499139,3.552972,2.956676,54100
1983-01-31,3.552972,3.714470,3.552972,3.606804,3.001474,12600
1983-02-07,3.606804,3.768303,3.606804,3.660637,3.046273,6200
1983-02-14,3.660637,3.768303,3.660637,3.660637,3.046273,7300
1983-02-21,3.660637,3.768303,3.552972,3.606804,3.001474,11600
1983-02-28,3.606804,3.768303,3.606804,3.660637,3.046273,49000
1983-03-07,3.660637,3.768303,3.660637,3.660637,3.046273,88500
1983-03-14,3.714470,4.198967,3.714470,4.091300,3.404658,30000
1983-03-21,4.306632,5.329457,4.306632,5.060293,4.211023,53200
1983-03-28,5.060293,5.114126,4.737296,4.952627,4.121428,32600
1983-04-04,5.114126,5.329457,5.060293,5.060293,4.211023,33000
1983-04-11,5.060293,5.437123,5.060293,5.275624,4.390217,27300
1983-04-18,5.275624,5.490956,5.275624,5.275624,4.390217,18000
1983-04-25,5.275624,5.706288,5.275624,5.490956,4.569409,21500
1983-05-02,5.490956,5.706288,5.490956,5.544789,4.614206,13300
1983-05-09,5.544789,6.136951,5.490956,5.975452,4.972592,26600
1983-05-16,5.975452,6.136951,5.813953,5.813953,4.838197,5300
1983-05-23,5.813953,6.029285,5.706288,5.706288,4.748601,10100
1983-05-30,5.706288,6.029285,5.706288,5.813953,4.838197,9200
1983-06-06,5.813953,6.352283,5.706288,6.136951,5.106985,29300
1983-06-13,6.244617,6.998277,6.244617,6.675280,5.554967,21300
1983-06-20,6.675280,7.428941,6.675280,7.213609,6.002948,21300
1983-06-27,7.213609,7.321275,6.890612,6.890612,5.734159,17300
1983-07-04,6.890612,6.998277,6.890612,6.890612,5.734159,7500
1983-07-11,6.890612,7.105943,6.675280,6.675280,5.554967,15700
1983-07-18,6.675280,6.890612,5.921619,5.921619,4.927794,51900
1983-07-25,5.921619,6.136951,5.383290,5.383290,4.479814,25600
1983-08-01,5.383290,5.598622,5.167959,5.275624,4.390217,14000
1983-08-08,5.275624,5.598622,5.275624,5.275624,4.390217,4200
1983-08-15,5.275624,5.598622,5.275624,5.275624,4.390217,3800
1983-08-22,5.275624,5.490956,5.275624,5.275624,4.390217,6900
1983-08-29,5.275624,5.490956,5.275624,5.275624,4.390217,9300
1983-09-05,5.275624,5.598622,5.275624,5.275624,4.390217,8300
1983-09-12,5.275624,5.598622,5.275624,5.275624,4.390217,35600
1983-09-19,5.275624,5.490956,5.275624,5.275624,4.390217,29200
1983-09-26,5.275624,5.490956,5.275624,5.275624,4.390217,19200
1983-10-03,5.275624,5.598622,5.275624,5.383290,4.479814,59900
1983-10-10,5.383290,5.598622,5.275624,5.275624,4.390217,11600
1983-10-17,5.383290,5.706288,5.383290,5.598622,4.659006,17200
1983-10-24,5.598622,5.813953,5.490956,5.490956,4.569409,19400
1983-10-31,6.029285,6.782946,6.029285,6.567614,5.465372,34400
1983-11-07,6.136951,6.459949,5.813953,6.352283,5.286177,61000
1983-11-14,6.352283,6.459949,6.029285,6.136951,5.106985,25300
1983-11-21,6.244617,6.459949,6.029285,6.029285,5.017390,13100
1983-11-28,6.029285,6.244617,5.706288,6.029285,5.017390,27400
1983-12-05,6.029285,6.244617,5.706288,5.706288,4.748601,13500
1983-12-12,5.706288,5.813953,5.275624,5.275624,4.390217,22500
1983-12-19,5.275624,5.490956,5.167959,5.167959,4.300620,33200
1983-12-26,5.167959,5.383290,5.167959,5.167959,4.300620,26600
1984-01-02,5.275624,5.921619,5.275624,5.813953,4.838197,24900
1984-01-09,5.921619,6.136951,5.706288,5.706288,4.748601,24700
1984-01-16,5.706288,6.029285,5.706288,5.813953,4.838197,31500
1984-01-23,5.813953,6.029285,5.383290,5.383290,4.479814,10500
1984-01-30,5.383290,5.706288,5.060293,5.060293,4.211023,20100
1984-02-06,5.060293,5.383290,5.060293,5.060293,4.211023,24000
1984-02-13,5.060293,5.275624,4.952627,5.060293,4.211023,18000
1984-02-20,5.060293,5.275624,4.844961,5.060293,4.211023,68500
1984-02-27,5.060293,5.167959,5.060293,5.060293,4.211023,32800
1984-03-05,5.060293,5.167959,4.952627,5.060293,4.211023,19300
1984-03-12,5.060293,5.275624,5.060293,5.060293,4.211023,32600
1984-03-19,5.060293,5.275624,5.060293,5.060293,4.211023,22300
1984-03-26,5.060293,5.275624,4.952627,5.060293,4.211023,3100
1984-04-02,5.060293,5.167959,4.844961,4.952627,4.121428,12700
1984-04-09,4.952627,5.167959,4.844961,4.844961,4.031831,17700
1984-04-16,4.844961,5.060293,4.737296,4.737296,3.942235,8600
1984-04-23,4.737296,4.952627,4.737296,4.737296,3.942235,9300
1984-04-30,4.737296,4.952627,4.629630,4.629630,3.852638,196300
1984-05-07,4.629630,4.952627,4.629630,4.629630,3.852638,7300
1984-05-14,4.629630,5.060293,4.629630,4.629630,3.852638,20700
1984-05-21,4.629630,4.844961,4.414298,4.414298,3.673445,14800
1984-05-28,4.414298,4.737296,4.414298,4.414298,3.673445,46700
1984-06-04,4.521964,4.737296,4.414298,4.414298,3.673445,8000
1984-06-11,4.414298,4.737296,4.414298,4.414298,3.673445,11000
1984-06-18,4.414298,4.737296,4.414298,4.414298,3.673445,800
1984-06-25,4.414298,4.737296,4.414298,4.414298,3.673445,6600
1984-07-02,4.414298,4.737296,4.414298,4.414298,3.673445,5400
1984-07-09,4.414298,4.737296,4.414298,4.414298,3.673445,15500
1984-07-16,4.414298,4.737296,4.414298,4.414298,3.673445,15100
1984-07-23,4.414298,4.737296,4.414298,4.414298,3.673445,5700
1984-07-30,4.414298,4.737296,4.414298,4.414298,3.673445,9800
1984-08-06,4.521964,4.844961,4.414298,4.414298,3.673445,28800
1984-08-13,4.414298,4.737296,4.414298,4.414298,3.673445,7700
1984-08-20,4.414298,4.737296,4.414298,4.414298,3.673445,20600
1984-08-27,4.414298,4.629630,4.414298,4.414298,3.673445,61500
1984-09-03,4.414298,4.629630,4.414298,4.414298,3.673445,12300
1984-09-10,4.414298,4.521964,4.414298,4.414298,3.673445,106100
1984-09-17,4.414298,4.521964,4.414298,4.414298,3.673445,3700
1984-09-24,4.414298,4.521964,4.414298,4.414298,3.673445,15600
1984-10-01,4.414298,4.521964,4.414298,4.414298,3.673445,23200
1984-10-08,4.414298,4.521964,4.360465,4.360465,3.628649,92000
1984-10-15,4.360465,4.521964,4.360465,4.360465,3.628649,14100
1984-10-22,4.360465,4.521964,4.360465,4.360465,3.628649,15700
1984-10-29,4.360465,4.521964,4.306632,4.306632,3.583849,47800
1984-11-05,4.306632,4.629630,4.306632,4.306632,3.583849,5900
1984-11-12,4.306632,4.629630,4.306632,4.306632,3.583849,8100
1984-11-19,4.306632,4.629630,4.306632,4.306632,3.583849,48700
1984-11-26,4.306632,4.629630,4.306632,4.306632,3.583849,14100
1984-12-03,4.306632,4.629630,4.306632,4.306632,3.583849,15300
1984-12-10,4.306632,4.629630,4.306632,4.306632,3.583849,7600
1984-12-17,4.306632,4.629630,4.306632,4.306632,3.583849,22300
1984-12-24,4.306632,4.629630,4.306632,4.306632,3.583849,9000
1984-12-31,4.306632,4.629630,4.306632,4.306632,3.583849,4900
1985-01-07,4.306632,4.629630,4.306632,4.306632,3.583849,7900
1985-01-14,4.306632,4.629630,4.306632,4.306632,3.583849,91200
1985-01-21,4.306632,4.737296,4.306632,4.414298,3.673445,20900
1985-01-28,4.414298,4.844961,4.414298,4.521964,3.763041,30100
1985-02-04,4.521964,4.844961,4.521964,4.521964,3.763041,29000
1985-02-11,4.521964,4.844961,4.521964,4.629630,3.852638,21500
1985-02-18,4.629630,4.952627,4.629630,4.629630,3.852638,10100
1985-02-25,4.629630,4.952627,4.629630,4.629630,3.852638,2600
1985-03-04,4.629630,4.952627,4.629630,4.629630,3.852638,10500
1985-03-11,4.629630,4.952627,4.629630,4.629630,3.852638,5800
1985-03-18,4.629630,4.952627,4.629630,4.629630,3.852638,5100
1985-03-25,4.629630,4.952627,4.629630,4.629630,3.852638,27200
1985-04-01,4.629630,4.952627,4.521964,4.629630,3.852638,90600
1985-04-08,4.629630,4.791128,4.575797,4.791128,3.987032,26700
1985-04-15,4.737296,4.844961,4.629630,4.629630,3.852638,8600
1985-04-22,4.629630,4.629630,4.629630,4.629630,3.852638,3400
1985-04-29,4.844961,4.844961,4.521964,4.521964,3.763041,11400
1985-05-06,4.521964,4.737296,4.414298,4.521964,3.763041,16800
1985-05-13,4.414298,4.737296,4.414298,4.737296,3.942235,20600
1985-05-20,4.844961,4.952627,4.521964,4.952627,4.121428,35000
1985-05-27,4.683463,4.952627,4.629630,4.952627,4.121428,21800
1985-06-03,4.952627,4.952627,4.683463,4.737296,3.942235,8300
1985-06-10,4.737296,5.114126,4.737296,4.737296,3.942235,3500
1985-06-17,4.737296,5.167959,4.737296,4.844961,4.031831,4800
