Date,Open,High,Low,Close,Adj Close,Volume
2011-11-07,23.000000,32.119999,22.000000,26.400000,26.400000,3876500
2011-11-14,27.000000,27.000000,24.440001,25.809999,25.809999,448600
2011-11-21,25.639999,26.850000,25.430000,26.049999,26.049999,238000
2011-11-28,26.580000,30.160000,25.620001,29.280001,29.280001,339900
2011-12-05,29.610001,30.680000,25.219999,27.100000,27.100000,506900
2011-12-12,26.950001,30.049999,24.510000,25.740000,25.740000,986900
2011-12-19,26.059999,33.240002,25.750000,32.540001,32.540001,830100
2011-12-26,32.340000,34.849998,32.119999,34.810001,34.810001,137900
2012-01-02,35.549999,35.590000,29.820000,30.010000,30.010000,283100
2012-01-09,30.240000,32.000000,29.780001,29.900000,29.900000,240100
2012-01-16,30.120001,31.900000,30.030001,31.900000,31.900000,169800
2012-01-23,31.940001,33.840000,31.940001,33.060001,33.060001,216800
2012-01-30,32.930000,34.189999,31.840000,33.000000,33.000000,223300
2012-02-06,32.970001,33.040001,31.209999,32.759998,32.759998,240600
2012-02-13,33.150002,33.950001,32.750000,33.369999,33.369999,291800
2012-02-20,33.439999,37.020000,33.439999,36.810001,36.810001,564200
2012-02-27,36.709999,37.889999,35.799999,36.139999,36.139999,490500
2012-03-05,36.080002,38.049999,34.849998,37.270000,37.270000,347600
2012-03-12,37.330002,39.730000,37.150002,38.150002,38.150002,278700
2012-03-19,38.029999,39.950001,37.000000,39.549999,39.549999,116400
2012-03-26,40.040001,41.049999,38.169998,39.150002,39.150002,272100
2012-04-02,39.220001,41.240002,38.110001,38.630001,38.630001,315400
2012-04-09,38.029999,39.939999,37.090000,38.740002,38.740002,226500
2012-04-16,39.150002,42.410000,38.520000,39.130001,39.130001,232900
2012-04-23,38.639999,38.639999,35.590000,36.189999,36.189999,542600
2012-04-30,36.070000,38.930000,33.180000,35.330002,35.330002,545500
2012-05-07,35.060001,36.660000,31.389999,32.080002,32.080002,687000
2012-05-14,31.600000,32.849998,28.469999,29.490000,29.490000,519800
2012-05-21,29.030001,29.030001,24.799999,26.430000,26.430000,3154600
2012-05-28,26.490000,27.580000,25.200001,26.280001,26.280001,1783900
2012-06-04,26.250000,28.370001,25.030001,27.700001,27.700001,1021400
2012-06-11,27.889999,29.980000,26.719999,29.420000,29.420000,1289700
2012-06-18,29.080000,30.299999,27.930000,30.270000,30.270000,1527700
2012-06-25,29.690001,30.340000,28.080000,28.820000,28.820000,1347900
2012-07-02,29.010000,29.379999,28.379999,28.940001,28.940001,1018000
2012-07-09,28.820000,29.559999,27.820000,28.480000,28.480000,1447100
2012-07-16,28.340000,28.790001,26.400000,27.190001,27.190001,814000
2012-07-23,26.700001,26.900000,26.040001,26.260000,26.260000,740400
2012-07-30,26.230000,26.629999,24.020000,24.740000,24.740000,738100
2012-08-06,24.920000,33.470001,24.540001,33.080002,33.080002,2011900
2012-08-13,33.189999,34.340000,29.000000,30.690001,30.690001,2060400
2012-08-20,30.610001,31.459999,28.940001,31.280001,31.280001,772500
2012-08-27,31.280001,31.730000,29.730000,30.290001,30.290001,608700
2012-09-03,30.400000,32.189999,29.900000,31.850000,31.850000,479200
2012-09-10,31.760000,35.419998,31.379999,35.410000,35.410000,714900
2012-09-17,35.380001,37.160000,34.919998,36.790001,36.790001,901800
2012-09-24,36.570000,37.709999,35.500000,36.990002,36.990002,658900
2012-10-01,37.189999,37.189999,32.500000,32.770000,32.770000,833300
2012-10-08,32.599998,36.860001,32.070000,36.389999,36.389999,839800
2012-10-15,36.369999,36.900002,30.910000,31.090000,31.090000,516600
2012-10-22,31.100000,32.000000,30.230000,31.540001,31.540001,615500
2012-10-29,31.590000,34.560001,31.000000,33.939999,33.939999,528400
2012-11-05,33.849998,33.900002,30.240000,30.799999,30.799999,2315100
2012-11-12,30.760000,30.910000,28.450001,28.910000,28.910000,921000
