Date,Open,High,Low,Close,Adj Close,Volume
1993-10-04,3.187500,3.281250,3.125000,3.187500,3.003931,32269600
1993-10-11,3.125000,3.218750,3.093750,3.156250,2.974480,4871200
1993-10-18,3.156250,3.437500,3.156250,3.281250,3.092282,5772800
1993-10-25,3.312500,3.406250,3.281250,3.281250,3.092282,2832000
1993-11-01,3.375000,3.656250,3.312500,3.562500,3.357334,8670400
1993-11-08,3.562500,4.031250,3.500000,3.953125,3.725463,3890400
1993-11-15,4.000000,4.125000,3.812500,3.812500,3.592937,3294400
1993-11-22,3.812500,3.812500,3.718750,3.781250,3.563486,1115200
1993-11-29,3.750000,3.968750,3.656250,3.921875,3.696013,1247200
1993-12-06,3.921875,3.968750,3.843750,3.906250,3.681288,742400
1993-12-13,3.843750,4.125000,3.812500,4.062500,3.828539,1915200
1993-12-20,4.062500,4.656250,4.062500,4.406250,4.152493,1589600
1993-12-27,4.406250,4.468750,4.250000,4.312500,4.064142,1638400
1994-01-03,4.250000,4.812500,4.250000,4.781250,4.505896,2466400
1994-01-10,4.718750,4.843750,4.468750,4.562500,4.299744,1280800
1994-01-17,4.500000,4.718750,4.468750,4.625000,4.358644,1015200
1994-01-24,4.750000,5.093750,4.593750,4.968750,4.682598,4418400
1994-01-31,5.000000,5.250000,4.718750,4.781250,4.505896,1683200
1994-02-07,4.718750,5.125000,4.718750,4.906250,4.623697,1492000
1994-02-14,4.906250,5.250000,4.812500,5.187500,4.888750,1536000
1994-02-21,5.125000,5.125000,4.812500,5.031250,4.741498,1504000
1994-02-28,5.031250,5.343750,4.937500,5.125000,4.829849,1147200
1994-03-07,5.171875,5.218750,4.937500,4.937500,4.653148,923200
1994-03-14,5.031250,5.031250,4.937500,4.937500,4.653148,1844800
1994-03-21,4.968750,5.000000,4.718750,4.718750,4.446995,534400
1994-03-28,4.718750,4.750000,4.000000,4.250000,4.005241,3017600
1994-04-04,4.187500,4.500000,4.000000,4.468750,4.211393,3724000
1994-04-11,4.468750,4.468750,4.187500,4.343750,4.093592,648000
1994-04-18,4.406250,4.406250,4.218750,4.359375,4.108317,574400
1994-04-25,4.375000,4.390625,4.312500,4.375000,4.123042,726400
1994-05-02,4.375000,4.437500,4.187500,4.312500,4.064142,2557600
