Date,Open,High,Low,Close,Adj Close,Volume
1993-05-03,0.937500,1.062500,0.906250,1.062500,0.856530,6436000
1993-05-10,1.062500,1.097650,0.996087,1.046875,0.843934,2704000
1993-05-17,1.046875,1.125000,1.000000,1.125000,0.906914,2257600
1993-05-24,1.078125,1.109375,0.968750,0.968750,0.780954,4132000
1993-05-31,1.000000,1.000000,0.781250,1.000000,0.806146,5131200
1993-06-07,1.031250,1.093750,0.937500,1.000000,0.806146,2528800
1993-06-14,1.062500,1.062500,0.937500,1.000000,0.806146,1296000
1993-06-21,1.031250,1.218750,0.937500,1.125000,0.906914,4741600
1993-06-28,1.125000,1.250000,1.125000,1.187500,0.957298,3279200
1993-07-05,1.250000,1.250000,1.078125,1.156250,0.932107,560800
1993-07-12,1.156250,1.187500,1.062500,1.062500,0.856530,617600
1993-07-19,1.062500,1.125000,1.000000,1.093750,0.881722,1328800
1993-07-26,1.046875,1.156250,0.812500,0.812500,0.654994,5434400
1993-08-02,0.843750,0.843750,0.750000,0.843750,0.680186,3861600
1993-08-09,0.781250,0.968750,0.781250,0.906250,0.730570,1898400
1993-08-16,0.875000,0.937500,0.875000,0.890625,0.717974,2839200
1993-08-23,0.875000,0.968750,0.875000,0.953125,0.768358,1038400
1993-08-30,0.968750,1.093750,0.937500,1.062500,0.856530,1607200
1993-09-06,1.062500,1.062500,0.968750,0.968750,0.780954,956800
1993-09-13,1.031250,1.031250,0.937500,1.031250,0.831338,1877600
1993-09-20,1.031250,1.031250,0.906250,1.000000,0.806146,2366400
1993-09-27,1.000000,1.062500,0.937500,1.000000,0.806146,2859200
1993-10-04,1.000000,1.125000,1.000000,1.062500,0.856530,1955200
1993-10-11,1.031250,1.125000,1.000000,1.031250,0.831338,1859200
1993-10-18,1.031250,1.093750,0.875000,0.984375,0.793550,2448800
1993-10-25,1.000000,1.062500,0.906250,1.062500,0.856530,1540000
1993-11-01,1.000000,1.125000,0.937500,1.031250,0.831338,1418400
1993-11-08,0.968750,1.031250,0.937500,0.937500,0.755762,1010400
1993-11-15,0.968750,1.000000,0.906250,0.906250,0.730570,585600
1993-11-22,0.906250,0.968750,0.843750,0.937500,0.755762,850400
1993-11-29,0.937500,0.968750,0.875000,0.875000,0.705378,577600
1993-12-06,0.937500,0.937500,0.843750,0.859375,0.692782,428000
1993-12-13,0.843750,0.875000,0.781250,0.812500,0.654994,754400
1993-12-20,0.781250,0.968750,0.718750,0.906250,0.730570,3288000
1993-12-27,0.921875,0.937500,0.875000,0.906250,0.730570,780000
1994-01-03,0.906250,0.937500,0.875000,0.906250,0.730570,875200
1994-01-10,0.875000,0.968750,0.843750,0.968750,0.780954,2905600
1994-01-17,0.968750,1.093750,0.937500,1.000000,0.806146,2762400
