Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,5.018518,5.222222,5.018518,5.222222,0.318124,282900
1980-03-24,5.185185,5.185185,4.925926,5.018518,0.305715,339900
1980-03-31,5.074074,5.555555,5.074074,5.500000,0.335045,550500
1980-04-07,5.500000,5.629630,5.259259,5.481482,0.333917,817800
1980-04-14,5.481482,5.481482,5.296296,5.296296,0.322636,183000
1980-04-21,5.277778,5.333333,5.111111,5.222222,0.318124,569400
1980-04-28,5.277778,5.592593,5.277778,5.555555,0.338430,369900
1980-05-05,5.629630,5.962963,5.629630,5.796296,0.353095,1309200
1980-05-12,5.796296,5.851852,5.648148,5.740741,0.349711,176700
1980-05-19,5.740741,5.925926,5.666667,5.851852,0.356479,434100
1980-05-26,5.851852,5.907407,5.685185,5.796296,0.353095,380400
1980-06-02,5.796296,6.222222,5.722222,6.222222,0.379041,652500
1980-06-09,6.055555,6.370370,5.870370,6.370370,0.388066,775800
1980-06-16,6.296296,6.296296,5.740741,5.777778,0.351967,1061700
1980-06-23,5.777778,5.962963,5.685185,5.944445,0.362120,1921500
1980-06-30,5.944445,5.962963,5.814815,5.962963,0.363248,813000
1980-07-07,5.962963,6.055555,5.907407,6.018518,0.366632,454500
1980-07-14,6.018518,6.333333,6.000000,6.333333,0.385810,669000
1980-07-21,6.333333,6.648148,6.166667,6.203704,0.377913,1408500
1980-07-28,6.203704,6.222222,6.148148,6.148148,0.374529,360900
1980-08-04,6.129630,6.222222,6.018518,6.111111,0.372272,422100
1980-08-11,6.074074,6.222222,5.981482,6.222222,0.379041,516000
1980-08-18,6.222222,6.222222,6.055555,6.148148,0.374529,346200
1980-08-25,6.148148,6.259259,6.000000,6.074074,0.370016,305400
1980-09-01,6.074074,6.388889,6.074074,6.277778,0.382426,284100
1980-09-08,6.277778,6.370370,6.166667,6.314815,0.384682,617100
1980-09-15,6.333333,6.388889,6.277778,6.333333,0.385810,1074900
1980-09-22,6.333333,6.388889,5.907407,5.907407,0.359864,2297700
1980-09-29,5.907407,6.055555,5.814815,6.018518,0.366632,341100
1980-10-06,6.037037,6.296296,6.037037,6.129630,0.373401,361200
1980-10-13,6.129630,6.222222,6.037037,6.111111,0.372272,455400
1980-10-20,6.111111,6.148148,6.000000,6.037037,0.367760,337500
1980-10-27,6.055555,6.148148,6.000000,6.092593,0.371144,506100
1980-11-03,6.092593,6.148148,5.833333,5.888889,0.358735,392400
1980-11-10,5.888889,6.333333,5.870370,6.240741,0.380169,413400
1980-11-17,6.240741,6.277778,5.777778,5.814815,0.354223,977700
1980-11-24,5.814815,5.944445,5.777778,5.833333,0.355351,225300
1980-12-01,5.833333,5.907407,5.722222,5.759259,0.350839,327600
1980-12-08,5.759259,5.814815,5.648148,5.722222,0.348583,550500
1980-12-15,5.722222,6.259259,5.722222,6.185185,0.376785,2217300
1980-12-22,6.203704,6.314815,6.129630,6.185185,0.376785,789300
1980-12-29,6.185185,6.388889,6.092593,6.351852,0.386938,869700
1981-01-05,6.407407,6.796296,6.222222,6.740741,0.410628,1560900
1981-01-12,6.796296,7.351852,6.796296,7.166667,0.436574,3283800
1981-01-19,7.166667,7.166667,6.814815,6.925926,0.421909,572400
1981-01-26,6.925926,6.944445,6.777778,6.796296,0.414012,1374300
1981-02-02,6.796296,7.129630,6.722222,6.925926,0.421909,1482900
1981-02-09,6.925926,7.351852,6.888889,7.240741,0.441087,2849700
1981-02-16,7.240741,7.314815,7.166667,7.259259,0.442215,1172700
1981-02-23,7.259259,7.555555,7.222222,7.481482,0.455752,2349900
1981-03-02,7.481482,7.500000,7.370370,7.444445,0.453496,1165800
1981-03-09,7.407407,7.629630,7.259259,7.629630,0.464777,1330200
1981-03-16,7.629630,8.074074,7.629630,7.925926,0.482826,3148500
1981-03-23,7.925926,7.962963,7.722222,7.722222,0.470417,1969800
1981-03-30,7.722222,8.037037,7.722222,7.851852,0.478314,1007400
1981-04-06,7.851852,8.092592,7.814815,8.000000,0.487339,1176600
1981-04-13,8.000000,8.148149,7.888889,8.111111,0.494107,926400
1981-04-20,8.129630,8.370370,8.129630,8.296296,0.505388,1138200
1981-04-27,8.296296,8.407408,7.944445,7.962963,0.485083,666300
1981-05-04,7.925926,7.925926,7.574074,7.796296,0.474930,1163100
1981-05-11,7.796296,7.833333,7.629630,7.777778,0.473802,885000
1981-05-18,7.777778,8.407408,7.740741,8.407408,0.512157,1681500
1981-05-25,8.407408,8.555555,8.370370,8.518518,0.518925,933600
1981-06-01,8.592592,8.666667,8.296296,8.462963,0.515541,920700
1981-06-08,8.462963,9.055555,8.259259,9.000000,0.548256,3201000
1981-06-15,9.074074,9.333333,8.703704,8.777778,0.534719,1075500
1981-06-22,8.777778,8.777778,8.462963,8.518518,0.518925,2323500
1981-06-29,8.518518,8.592592,8.462963,8.500000,0.517798,1056600
1981-07-06,8.425926,8.425926,8.000000,8.277778,0.504260,798000
1981-07-13,8.259259,8.259259,7.814815,8.000000,0.487339,1476600
1981-07-20,7.944445,7.981482,7.592593,7.888889,0.480570,789000
1981-07-27,7.888889,8.037037,7.814815,7.925926,0.482826,282000
1981-08-03,7.925926,7.925926,7.462963,7.833333,0.477186,852000
1981-08-10,7.833333,8.259259,7.814815,8.259259,0.503132,610800
1981-08-17,8.222222,8.222222,7.796296,7.888889,0.480570,405000
1981-08-24,7.888889,7.888889,7.407407,7.703704,0.469289,382800
