Date,Open,High,Low,Close,Adj Close,Volume
1986-07-28,6.000000,6.125000,6.000000,6.125000,1.791473,845000
1986-08-04,6.125000,6.125000,5.750000,6.000000,1.754912,508200
1986-08-11,6.000000,6.812500,5.937500,6.750000,1.974276,242000
1986-08-18,6.750000,6.750000,6.375000,6.687500,1.955996,180600
1986-08-25,6.562500,6.562500,6.187500,6.437500,1.882874,105200
1986-09-01,6.437500,6.437500,6.125000,6.250000,1.828033,211000
1986-09-08,6.125000,6.125000,5.187500,5.187500,1.517268,123600
1986-09-15,5.312500,5.875000,5.250000,5.875000,1.718351,33600
1986-09-22,6.000000,6.375000,5.812500,6.000000,1.754912,70400
1986-09-29,5.937500,6.250000,5.937500,6.125000,1.791473,35200
1986-10-06,6.125000,6.125000,5.750000,5.937500,1.736632,96600
1986-10-13,5.875000,6.000000,5.875000,6.000000,1.754912,16200
1986-10-20,5.875000,5.875000,5.375000,5.437500,1.590389,99400
1986-10-27,5.437500,5.750000,5.437500,5.750000,1.681792,118600
1986-11-03,5.875000,6.125000,5.875000,6.062500,1.773193,83000
1986-11-10,6.062500,6.125000,5.875000,5.875000,1.718351,63200
1986-11-17,5.875000,5.875000,5.187500,5.187500,1.517268,21400
1986-11-24,5.062500,5.062500,4.500000,4.750000,1.401908,31200
1986-12-01,4.750000,5.000000,4.750000,5.000000,1.475691,99200
1986-12-08,5.062500,6.000000,5.062500,5.812500,1.715492,136400
1986-12-15,5.750000,5.750000,5.375000,5.437500,1.604814,16000
1986-12-22,5.437500,5.500000,5.375000,5.437500,1.604814,21400
1986-12-29,5.375000,5.500000,5.375000,5.437500,1.604814,17000
1987-01-05,5.375000,5.375000,5.125000,5.125000,1.512584,48400
1987-01-12,5.125000,5.250000,5.000000,5.250000,1.549476,174400
1987-01-19,5.250000,5.875000,5.000000,5.875000,1.733938,101400
1987-01-26,5.875000,6.000000,5.500000,5.750000,1.697046,152200
1987-02-02,5.750000,5.937500,5.625000,5.937500,1.752385,62400
1987-02-09,5.937500,5.937500,5.625000,5.937500,1.752385,17000
1987-02-16,6.000000,6.437500,5.875000,6.437500,1.899952,88200
1987-02-23,6.250000,6.250000,5.937500,5.937500,1.752385,10600
1987-03-02,5.937500,6.750000,5.937500,6.687500,1.989187,75200
1987-03-09,6.687500,9.375000,6.687500,8.312500,2.472542,1422600
1987-03-16,8.312500,9.000000,8.312500,8.875000,2.639856,261200
1987-03-23,8.812500,8.875000,8.125000,8.375000,2.491133,330400
1987-03-30,8.125000,10.500000,7.687500,10.000000,2.974486,436600
1987-04-06,10.000000,10.000000,8.687500,8.875000,2.639856,289800
1987-04-13,8.812500,8.812500,7.375000,7.750000,2.305226,108400
1987-04-20,7.750000,7.875000,6.000000,6.062500,1.803281,174800
1987-04-27,6.062500,7.187500,6.062500,7.000000,2.082139,212600
1987-05-04,6.875000,7.000000,6.625000,6.625000,1.970597,70200
1987-05-11,6.625000,7.000000,4.750000,5.687500,1.691739,1109200
1987-05-18,5.625000,5.687500,5.187500,5.250000,1.561606,231800
1987-05-25,5.250000,5.875000,5.250000,5.875000,1.763729,114600
1987-06-01,5.875000,5.937500,5.375000,5.500000,1.651149,56800
1987-06-08,5.625000,5.937500,5.625000,5.875000,1.763729,83400
1987-06-15,5.875000,6.250000,5.625000,5.625000,1.688678,71800
1987-06-22,5.687500,6.312500,5.687500,6.000000,1.801255,119200
1987-06-29,6.000000,6.000000,5.750000,5.875000,1.763729,173000
1987-07-06,5.750000,5.750000,5.375000,5.562500,1.669914,56800
1987-07-13,5.625000,5.937500,5.625000,5.875000,1.763729,55800
1987-07-20,5.875000,5.937500,5.812500,5.875000,1.763729,34800
1987-07-27,5.875000,6.000000,5.812500,5.937500,1.782492,55400
1987-08-03,5.937500,6.500000,5.812500,6.250000,1.876307,108200
1987-08-10,6.250000,6.437500,6.062500,6.375000,1.913834,61400
1987-08-17,6.375000,7.062500,6.000000,7.000000,2.118411,229600
1987-08-24,7.000000,7.250000,6.375000,6.375000,1.929268,159400
1987-08-31,6.375000,6.500000,5.875000,5.875000,1.777953,48800
1987-09-07,5.875000,5.937500,5.500000,5.750000,1.740123,38800
1987-09-14,5.750000,5.812500,5.250000,5.250000,1.588809,60200
1987-09-21,5.250000,5.625000,5.250000,5.562500,1.683381,229800
1987-09-28,5.687500,6.687500,5.687500,6.500000,1.967098,140400
1987-10-05,6.500000,6.562500,5.875000,5.875000,1.777953,94600
1987-10-12,5.875000,5.937500,5.437500,5.500000,1.664465,345200
1987-10-19,5.500000,5.500000,4.375000,4.375000,1.324007,269200
1987-10-26,4.375000,4.500000,4.125000,4.125000,1.248349,253200
1987-11-02,4.187500,4.500000,4.062500,4.250000,1.286178,153800
1987-11-09,4.312500,4.312500,4.062500,4.187500,1.282813,160200
1987-11-16,4.187500,4.375000,3.875000,3.937500,1.206227,406600
1987-11-23,3.937500,4.437500,3.937500,4.250000,1.301959,34800
1987-11-30,4.125000,4.125000,3.875000,4.062500,1.244520,90600
1987-12-07,3.937500,4.187500,3.875000,4.187500,1.282813,107600
1987-12-14,4.000000,4.250000,3.875000,4.125000,1.263667,101000
1987-12-21,4.062500,4.125000,3.875000,4.062500,1.244520,112200
1987-12-28,4.062500,4.187500,3.937500,4.125000,1.263667,72400
1988-01-04,4.187500,4.937500,4.125000,4.687500,1.435985,53200
1988-01-11,4.562500,4.812500,4.562500,4.750000,1.455131,32200
1988-01-18,4.750000,4.875000,4.500000,4.625000,1.416838,50400
1988-01-25,4.562500,4.750000,4.375000,4.750000,1.455131,37400
1988-02-01,4.750000,5.562500,4.562500,5.250000,1.608303,106200
1988-02-08,5.125000,5.437500,5.000000,5.125000,1.570010,33400
1988-02-15,5.062500,5.625000,5.062500,5.562500,1.729344,56000
1988-02-22,5.500000,5.687500,5.000000,5.000000,1.554466,66200
1988-02-29,4.875000,5.000000,4.562500,4.625000,1.437880,102600
1988-03-07,4.500000,5.000000,4.500000,4.812500,1.496173,44000
1988-03-14,4.687500,4.875000,4.625000,4.750000,1.476742,30600
1988-03-21,4.750000,4.750000,4.500000,4.687500,1.457312,32400
1988-03-28,4.687500,4.812500,4.625000,4.750000,1.476742,58400
1988-04-04,4.625000,5.062500,4.625000,5.062500,1.573896,186200
1988-04-11,5.062500,5.500000,4.750000,4.812500,1.496173,64400
1988-04-18,4.750000,4.812500,4.687500,4.812500,1.496173,27000
1988-04-25,4.750000,5.125000,4.750000,5.000000,1.554466,24400
1988-05-02,4.875000,5.125000,4.812500,5.062500,1.573896,54400
