Date,Open,High,Low,Close,Adj Close,Volume
1999-02-08,14.125000,14.312500,11.000000,11.250000,10.781627,9050200
1999-02-15,12.000000,12.250000,11.500000,11.812500,11.320708,945000
1999-02-22,11.875000,11.875000,11.125000,11.375000,10.901423,970700
1999-03-01,11.375000,12.062500,11.375000,12.000000,11.500402,397600
1999-03-08,12.312500,12.937500,11.125000,12.812500,12.279076,1579500
1999-03-15,12.812500,13.437500,12.125000,12.500000,11.979584,897800
1999-03-22,12.625000,12.937500,11.250000,12.625000,12.099382,1677100
1999-03-29,12.625000,13.750000,12.375000,13.750000,13.177544,360300
1999-04-05,13.750000,14.000000,13.500000,13.750000,13.177544,685300
1999-04-12,13.812500,14.625000,13.687500,14.000000,13.417137,419100
1999-04-19,14.062500,14.437500,12.250000,12.250000,11.739992,385700
1999-04-26,12.250000,12.312500,11.687500,11.937500,11.440504,323100
1999-05-03,12.000000,12.312500,11.750000,12.000000,11.500402,306700
1999-05-10,11.750000,13.500000,11.750000,12.812500,12.279076,243600
1999-05-17,12.937500,13.937500,12.437500,13.875000,13.297338,157200
1999-05-24,13.750000,13.875000,13.000000,13.250000,12.698361,117000
1999-05-31,13.250000,15.000000,13.187500,15.000000,14.375503,189900
1999-06-07,15.000000,15.375000,14.687500,15.187500,14.555198,487200
1999-06-14,15.187500,16.000000,14.812500,15.000000,14.375503,297100
1999-06-21,15.000000,15.062500,14.687500,15.000000,14.375503,135200
1999-06-28,14.875000,17.000000,14.875000,16.500000,15.813051,603300
1999-07-05,16.500000,16.500000,15.187500,15.187500,14.555198,384600
1999-07-12,15.187500,15.250000,14.125000,14.375000,13.776523,116600
1999-07-19,14.437500,14.437500,13.875000,14.125000,13.536932,319800
1999-07-26,14.000000,14.000000,13.687500,13.687500,13.117644,74200
1999-08-02,13.687500,13.875000,12.500000,13.062500,12.518666,222000
1999-08-09,13.312500,14.125000,13.062500,14.125000,13.536932,70000
1999-08-16,14.000000,15.562500,14.000000,15.562500,14.914583,370800
1999-08-23,15.687500,16.437500,15.562500,16.187500,15.513563,110300
1999-08-30,16.250000,17.500000,16.250000,16.625000,15.932853,141500
1999-09-06,16.562500,19.687500,16.500000,19.375000,18.568359,1049400
1999-09-13,18.625000,19.000000,17.937500,18.000000,17.250603,308500
1999-09-20,17.937500,18.687500,17.500000,18.687500,17.909481,203700
1999-09-27,18.687500,24.375000,18.687500,24.250000,23.240396,467000
1999-10-04,24.125000,25.250000,23.687500,23.812500,22.821106,593100
1999-10-11,23.687500,23.812500,21.687500,21.875000,20.964273,106800
1999-10-18,21.875000,23.375000,21.375000,22.562500,21.623152,283000
1999-10-25,22.312500,22.687500,22.000000,22.250000,21.323660,481100
1999-11-01,22.375000,22.437500,21.750000,21.937500,21.024172,466000
1999-11-08,21.750000,22.375000,21.437500,22.062500,21.143967,89200
1999-11-15,22.000000,22.187500,21.562500,21.687500,20.784584,325700
1999-11-22,21.875000,21.937500,20.750000,21.437500,20.544987,350400
1999-11-29,21.625000,24.625000,21.625000,24.437500,23.420090,1088100
1999-12-06,24.687500,29.250000,23.687500,27.500000,26.355087,504300
1999-12-13,27.812500,35.250000,27.562500,34.187500,32.764168,389700
1999-12-20,34.375000,35.312500,33.875000,34.687500,33.243351,285800
1999-12-27,34.812500,36.625000,34.500000,36.375000,34.860596,238300
2000-01-03,36.375000,36.687500,33.500000,33.875000,32.464680,378300
2000-01-10,34.000000,34.500000,32.000000,32.687500,31.326622,353500
2000-01-17,32.687500,39.000000,32.687500,37.437500,35.878864,315400
2000-01-24,37.625000,37.875000,33.812500,34.125000,32.704269,153800
2000-01-31,34.000000,35.250000,33.375000,35.250000,33.782425,132700
2000-02-07,35.500000,37.750000,32.375000,34.062500,32.644371,618200
2000-02-14,34.062500,35.375000,33.875000,35.312500,33.842323,122800
2000-02-21,35.250000,35.250000,32.812500,33.562500,32.165184,92000
2000-02-28,33.625000,44.125000,33.187500,42.437500,40.670692,366700
2000-03-06,42.750000,42.875000,34.000000,34.562500,33.123554,922600
2000-03-13,33.750000,33.750000,28.812500,28.875000,27.672846,582400
2000-03-20,28.750000,32.000000,28.625000,31.562500,30.248455,686500
2000-03-27,31.625000,32.750000,28.437500,29.750000,28.511415,266600
2000-04-03,29.750000,29.750000,24.375000,24.375000,23.360193,448000
2000-04-10,24.500000,24.500000,21.500000,21.875000,20.964273,495600
2000-04-17,21.375000,26.250000,21.375000,25.750000,24.677944,710400
2000-04-24,25.750000,28.125000,25.750000,26.500000,25.396723,313300
2000-05-01,26.625000,28.187500,26.250000,27.125000,25.995701,153100
2000-05-08,26.875000,26.875000,22.500000,22.750000,21.802847,246900
2000-05-15,22.500000,23.375000,21.500000,22.625000,21.683052,153500
2000-05-22,22.250000,22.750000,21.437500,21.437500,20.544987,110900
2000-05-29,21.500000,22.000000,21.312500,21.750000,20.844477,137500
2000-06-05,21.687500,23.312500,21.625000,23.187500,22.222132,207200
2000-06-12,23.312500,27.125000,21.125000,22.500000,21.563253,1638500
2000-06-19,22.375000,25.000000,22.375000,24.187500,23.180500,517000
2000-06-26,24.312500,32.500000,24.312500,31.687500,30.368248,808600
2000-07-03,31.687500,34.437500,31.687500,34.125000,32.704269,429100
2000-07-10,34.125000,34.437500,32.375000,34.000000,32.584476,315800
2000-07-17,33.750000,36.625000,33.750000,35.000000,33.542835,292900
2000-07-24,34.875000,35.875000,33.375000,33.875000,32.464680,194300
2000-07-31,33.750000,34.250000,32.000000,32.375000,31.027126,312400
2000-08-07,32.500000,32.625000,30.375000,31.000000,29.709372,174500
2000-08-14,31.000000,31.437500,30.625000,31.375000,30.068756,82300
2000-08-21,31.250000,31.312500,29.937500,30.125000,28.870800,110000
2000-08-28,30.187500,31.125000,29.687500,31.125000,29.829166,138700
