Date,Open,High,Low,Close,Adj Close,Volume
2002-07-29,11.000000,11.100000,9.500000,10.000000,9.438833,769700
2002-08-05,10.000000,10.780000,9.500000,10.780000,10.175062,784500
2002-08-12,10.850000,14.300000,10.850000,14.030000,13.242682,1146400
2002-08-19,14.000000,15.850000,13.950000,15.370000,14.507486,930500
2002-08-26,15.240000,15.240000,14.150000,14.500000,13.686308,321000
2002-09-02,14.490000,14.500000,12.650000,14.200000,13.403143,108600
2002-09-09,14.310000,15.120000,14.310000,15.050000,14.205443,202800
2002-09-16,15.150000,15.300000,14.500000,15.030000,14.186565,215300
2002-09-23,15.010000,17.250000,14.800000,17.170000,16.206476,283700
2002-09-30,17.049999,17.100000,15.320000,15.500000,14.630191,527200
2002-10-07,15.750000,15.750000,14.960000,15.500000,14.630191,207300
2002-10-14,15.500000,16.740000,15.450000,16.400000,15.479686,289100
2002-10-21,16.600000,17.450001,16.100000,16.379999,15.460808,644800
2002-10-28,16.400000,17.549999,16.299999,17.459999,16.480202,548600
2002-11-04,17.500000,18.900000,16.270000,16.350000,15.432492,438400
2002-11-11,16.309999,17.980000,15.200000,17.820000,16.820000,220200
2002-11-18,17.969999,18.370001,15.940000,17.600000,16.612347,255200
2002-11-25,17.900000,17.900000,16.500000,16.889999,15.942188,147400
2002-12-02,16.990000,17.580000,14.640000,15.150000,14.299831,184200
2002-12-09,15.000000,16.080000,14.940000,15.600000,14.724580,378800
2002-12-16,15.650000,15.790000,10.070000,11.610000,10.958485,1620600
2002-12-23,11.350000,12.000000,10.790000,11.300000,10.665881,116200
2002-12-30,11.350000,11.640000,11.000000,11.520000,10.873536,286900
2003-01-06,11.380000,11.490000,9.890000,11.200000,10.571493,710300
2003-01-13,11.270000,11.900000,11.060000,11.450000,10.807464,266600
2003-01-20,11.750000,11.920000,11.510000,11.900000,11.232211,108100
2003-01-27,11.800000,11.910000,10.850000,11.600000,10.949047,637200
2003-02-03,11.550000,13.150000,11.450000,11.880000,11.213334,455700
2003-02-10,11.670000,11.980000,11.230000,11.700000,11.043434,199300
2003-02-17,11.690000,11.800000,10.220000,11.140000,10.514860,328300
2003-02-24,11.150000,11.240000,10.750000,10.900000,10.288327,101900
2003-03-03,10.780000,10.980000,10.410000,10.490000,9.901336,91400
2003-03-10,10.790000,11.500000,10.400000,11.230000,10.599809,424000
2003-03-17,11.250000,12.630000,11.250000,12.390000,11.694715,946500
2003-03-24,12.340000,12.500000,11.550000,12.400000,11.704152,568200
2003-03-31,12.500000,14.000000,12.320000,13.600000,12.836813,487700
2003-04-07,13.700000,14.150000,13.420000,13.800000,13.025590,311000
2003-04-14,13.920000,15.670000,13.900000,15.400000,14.535803,222800
2003-04-21,15.300000,15.480000,14.120000,15.000000,14.158250,192400
2003-04-28,14.780000,15.050000,14.020000,14.820000,13.988350,163200
2003-05-05,15.080000,16.400000,14.730000,15.440000,14.573558,465700
2003-05-12,15.310000,15.450000,14.130000,14.870000,14.035544,239200
2003-05-19,14.820000,15.110000,14.300000,14.580000,13.761819,198700
2003-05-26,14.350000,15.830000,13.750000,15.000000,14.158250,438700
2003-06-02,14.970000,15.710000,14.550000,15.700000,14.818968,633000
2003-06-09,15.690000,16.129999,14.560000,15.520000,14.649069,396800
2003-06-16,15.530000,17.559999,15.250000,17.020000,16.064894,477600
2003-06-23,16.940001,17.639999,16.549999,16.760000,15.819485,864300
2003-06-30,16.950001,17.290001,15.730000,16.400000,15.479686,715200
2003-07-07,16.639999,18.549999,16.260000,17.370001,16.395254,534100
2003-07-14,17.500000,17.600000,17.150000,17.250000,16.281986,267400
2003-07-21,17.260000,17.650000,16.700001,17.350000,16.376375,388500
2003-07-28,17.490000,17.620001,14.750000,14.900000,14.063861,497500
2003-08-04,15.390000,15.720000,12.920000,15.050000,14.205443,838000
2003-08-11,15.150000,16.379999,14.700000,16.129999,15.224837,290000
2003-08-18,16.230000,18.410000,15.400000,16.150000,15.243715,564600
2003-08-25,16.049999,20.750000,16.049999,18.370001,17.339136,844100
2003-09-01,18.350000,18.830000,17.870001,17.870001,16.867195,182300
2003-09-08,18.129999,18.990000,16.600000,16.700001,15.762852,314200
2003-09-15,16.670000,17.600000,16.670000,17.530001,16.546274,254000
2003-09-22,17.650000,17.650000,15.840000,16.879999,15.932750,311800
2003-09-29,16.850000,17.080000,15.860000,16.750000,15.810045,223100
2003-10-06,16.740000,17.820000,16.740000,17.750000,16.753929,307700
2003-10-13,17.620001,19.200001,17.620001,19.000000,17.933783,312700
2003-10-20,18.920000,19.990000,18.320000,19.730000,18.622818,481000
2003-10-27,19.360001,22.120001,19.350000,22.010000,20.774872,315400
2003-11-03,22.219999,22.400000,20.639999,20.799999,19.632772,292400
2003-11-10,20.650000,21.250000,19.900000,20.629999,19.472311,346400
2003-11-17,20.850000,21.400000,19.520000,20.900000,19.727161,215000
2003-11-24,20.950001,21.280001,20.799999,21.059999,19.878181,367800
2003-12-01,20.870001,21.500000,17.700001,21.049999,19.868742,676200
2003-12-08,20.799999,20.889999,19.590000,19.930000,18.811594,410700
2003-12-15,20.309999,20.400000,17.780001,18.100000,17.084288,388100
2003-12-22,17.910000,18.010000,17.510000,17.740000,16.744490,98800
2003-12-29,18.000000,18.200001,16.580000,16.690001,15.753413,292000
2004-01-05,16.680000,18.700001,16.250000,18.250000,17.225870,239200
2004-01-12,18.250000,19.299999,16.100000,16.879999,15.932750,576700
2004-01-19,17.190001,17.190001,15.350000,15.460000,14.592436,794600
2004-01-26,15.620000,15.900000,14.310000,14.830000,13.997789,592300
2004-02-02,15.100000,15.300000,14.220000,15.020000,14.177128,593400
2004-02-09,15.050000,15.150000,14.540000,14.610000,13.790134,145600
2004-02-16,14.610000,14.900000,14.300000,14.620000,13.799574,491400
2004-02-23,14.970000,14.970000,13.360000,14.700000,13.875084,348100
2004-03-01,14.760000,17.299999,14.520000,16.629999,15.696778,406200
2004-03-08,16.650000,16.820000,16.100000,16.600000,15.668463,185600
2004-03-15,16.590000,17.250000,16.200001,16.969999,16.017698,232500
2004-03-22,16.850000,17.209999,16.500000,16.610001,15.677902,730300
2004-03-29,16.510000,16.830000,15.630000,16.110001,15.205960,191600
2004-04-05,15.850000,17.080000,15.850000,17.040001,16.083773,291400
2004-04-12,17.090000,18.170000,16.639999,17.500000,16.517958,443700
2004-04-19,17.559999,17.750000,16.680000,17.160000,16.197037,236300
2004-04-26,17.170000,18.049999,16.760000,18.049999,17.037092,273700
2004-05-03,17.900000,19.150000,15.900000,15.900000,15.007744,930900
2004-05-10,15.880000,16.299999,14.750000,15.000000,14.158250,267100
2004-05-17,15.000000,15.810000,10.610000,11.550000,10.901853,2924900
2004-05-24,11.570000,11.980000,11.320000,11.750000,11.090629,1145900
2004-05-31,11.750000,11.770000,11.440000,11.770000,11.109507,335600
2004-06-07,11.730000,12.320000,11.700000,12.220000,11.534254,225200
2004-06-14,12.270000,12.270000,11.750000,12.000000,11.326599,385500
2004-06-21,12.000000,12.330000,11.900000,12.060000,11.383233,685700
2004-06-28,12.240000,12.240000,11.850000,11.950000,11.279406,324300
2004-07-05,12.050000,12.100000,11.660000,11.740000,11.081190,205600
2004-07-12,10.390000,10.860000,10.100000,10.270000,9.693682,670300
2004-07-19,10.420000,10.600000,10.200000,10.210000,9.637049,439300
2004-07-26,10.170000,10.620000,10.170000,10.510000,9.920214,389500
2004-08-02,10.370000,10.620000,10.370000,10.430000,9.844703,202300
2004-08-09,10.370000,10.570000,10.100000,10.180000,9.608732,300500
2004-08-16,10.230000,10.320000,9.870000,9.970000,9.410517,389100
2004-08-23,10.100000,10.100000,7.720000,7.750000,7.315095,1248300
2004-08-30,7.850000,8.450000,7.490000,7.620000,7.192390,869500
2004-09-06,7.580000,8.190000,7.460000,8.000000,7.551066,544100
2004-09-13,8.040000,8.840000,8.000000,8.500000,8.023008,260300
2004-09-20,8.500000,9.320000,8.440000,8.760000,8.268418,282700
2004-09-27,8.750000,9.800000,8.700000,9.580000,9.042402,260500
2004-10-04,9.670000,9.710000,8.840000,8.840000,8.343928,99700
2004-10-11,8.830000,9.120000,8.620000,8.800000,8.306173,92000
2004-10-18,8.750000,9.140000,8.340000,8.510000,8.032447,137600
2004-10-25,8.600000,8.870000,8.500000,8.720000,8.230662,170800
2004-11-01,8.800000,9.200000,8.510000,8.980000,8.476071,157200
2004-11-08,8.910000,9.620000,8.910000,9.610000,9.070718,238600
2004-11-15,9.610000,9.720000,9.330000,9.480000,8.948013,282700
2004-11-22,9.500000,9.770000,9.400000,9.610000,9.070718,182500
2004-11-29,9.750000,9.800000,8.860000,9.430000,8.900820,568300
2004-12-06,9.290000,10.150000,9.290000,9.970000,9.410517,449000
2004-12-13,10.000000,10.710000,9.750000,10.610000,10.014602,470000
2004-12-20,10.830000,12.120000,10.690000,12.060000,11.383233,641500
2004-12-27,12.190000,12.550000,11.820000,12.290000,11.600326,507500
2005-01-03,12.300000,12.650000,10.940000,11.050000,10.429911,527700
2005-01-10,10.890000,11.080000,10.400000,10.580000,9.986285,426300
2005-01-17,10.440000,10.530000,10.060000,10.150000,9.580415,237200
2005-01-24,10.270000,10.500000,9.950000,10.280000,9.703120,274200
2005-01-31,10.390000,11.320000,10.060000,11.280000,10.647003,277200
2005-02-07,11.250000,11.250000,10.620000,11.030000,10.411033,125500
2005-02-14,10.860000,11.040000,10.640000,10.710000,10.108990,215400
2005-02-21,10.630000,10.920000,10.190000,10.580000,9.986285,125200
2005-02-28,10.460000,11.520000,10.380000,11.190000,10.562054,149600
2005-03-07,11.290000,11.540000,10.750000,10.920000,10.307206,145700
2005-03-14,10.850000,11.240000,10.320000,10.850000,10.241134,624400
2005-03-21,10.920000,11.410000,10.650000,10.830000,10.222256,154100
2005-03-28,10.780000,11.340000,10.780000,11.060000,10.439350,232600
2005-04-04,11.060000,11.150000,10.720000,10.720000,10.118429,129500
2005-04-11,10.640000,11.050000,10.500000,10.500000,9.910774,417000
2005-04-18,10.650000,10.650000,9.860000,10.010000,9.448272,227300
2005-04-25,10.060000,10.060000,9.110000,9.180000,8.664849,201400
2005-05-02,9.040000,9.220000,8.880000,9.010000,8.504389,691100
2005-05-09,8.990000,9.680000,8.270000,8.320000,7.853109,287100
2005-05-16,8.420000,9.100000,8.260000,8.850000,8.353368,441700
2005-05-23,8.830000,9.100000,8.800000,8.920000,8.419439,225600
2005-05-30,8.940000,9.150000,8.860000,9.000000,8.494949,228100
2005-06-06,8.950000,9.400000,8.870000,9.340000,8.815870,163400
2005-06-13,9.180000,9.330000,8.480000,9.050000,8.542144,295300
2005-06-20,9.030000,9.400000,8.580000,8.730000,8.240101,773900
2005-06-27,8.710000,9.410000,8.710000,9.210000,8.693165,185900
2005-07-04,9.100000,9.300000,8.940000,9.150000,8.636532,130200
2005-07-11,9.060000,9.140000,7.900000,8.310000,7.843671,404400
2005-07-18,8.230000,8.490000,8.230000,8.350000,7.881426,188400
2005-07-25,8.380000,8.470000,8.190000,8.250000,7.787037,119900
2005-08-01,8.240000,8.510000,8.230000,8.400000,7.928619,136800
2005-08-08,8.410000,8.800000,8.400000,8.790000,8.296734,57600
2005-08-15,8.600000,8.750000,8.410000,8.500000,8.023008,138100
2005-08-22,8.620000,8.800000,8.370000,8.550000,8.070203,176400
2005-08-29,8.600000,9.830000,8.540000,9.540000,9.004646,180700
2005-09-05,9.510000,9.700000,9.090000,9.590000,9.051841,161600
2005-09-12,9.550000,9.950000,9.480000,9.690000,9.146229,169000
2005-09-19,9.700000,9.770000,8.440000,8.450000,7.975814,766900
2005-09-26,8.490000,8.510000,7.460000,7.610000,7.182952,266600
2005-10-03,7.650000,8.040000,7.150000,7.570000,7.145197,424800
2005-10-10,7.630000,7.740000,7.310000,7.530000,7.107441,170700
2005-10-17,7.640000,7.830000,7.330000,7.510000,7.088564,241000
2005-10-24,7.400000,7.890000,7.050000,7.050000,6.654377,270200
2005-10-31,7.080000,7.400000,6.440000,6.630000,6.257946,82200
2005-11-07,6.540000,7.110000,6.540000,6.990000,6.597744,98400
2005-11-14,6.930000,7.150000,6.740000,7.030000,6.635500,145600
2005-11-21,7.010000,7.050000,6.690000,6.690000,6.314579,168000
2005-11-28,6.700000,6.910000,6.360000,6.750000,6.371212,266200
2005-12-05,6.750000,6.950000,6.180000,6.480000,6.116364,119800
2005-12-12,6.620000,6.710000,6.220000,6.220000,5.870954,78700
2005-12-19,6.200000,6.250000,5.810000,6.200000,5.852076,228800
2005-12-26,6.230000,6.250000,5.700000,5.970000,5.634983,192700
2006-01-02,6.050000,6.130000,5.730000,5.990000,5.653861,41700
2006-01-09,5.880000,6.050000,5.760000,5.780000,5.455646,190200
2006-01-16,5.760000,5.810000,5.700000,5.810000,5.483962,47900
2006-01-23,5.820000,5.960000,5.770000,5.800000,5.474524,101600
2006-01-30,5.930000,5.930000,5.310000,5.340000,5.040337,74700
2006-02-06,5.350000,5.520000,4.920000,5.030000,4.747733,399100
2006-02-13,5.020000,5.340000,4.870000,5.090000,4.804366,187900
2006-02-20,5.010000,5.450000,4.860000,4.950000,4.672222,92500
2006-02-27,5.030000,5.500000,4.950000,5.420000,5.115848,42100
2006-03-06,5.400000,6.350000,5.400000,6.160000,5.814321,204200
2006-03-13,6.910000,7.030000,6.400000,6.900000,6.512795,197300
2006-03-20,6.950000,7.880000,6.590000,7.740000,7.305656,190700
2006-03-27,7.950000,7.950000,6.890000,7.030000,6.635500,116000
2006-04-03,6.930000,7.220000,6.710000,6.710000,6.333457,75100
2006-04-10,6.740000,6.790000,6.250000,6.680000,6.305140,107900
2006-04-17,6.340000,6.750000,6.300000,6.380000,6.021976,124500
2006-04-24,6.400000,6.700000,6.340000,6.530000,6.163558,97900
2006-05-01,6.450000,7.200000,6.450000,6.750000,6.371212,97600
2006-05-08,6.670000,6.690000,6.000000,6.070000,5.729372,132500
2006-05-15,6.150000,6.270000,5.830000,6.140000,5.795444,94300
2006-05-22,6.040000,6.250000,5.800000,6.040000,5.701055,30600
2006-05-29,5.900000,6.440000,5.860000,6.180000,5.833199,52700
2006-06-05,6.200000,6.700000,6.170000,6.430000,6.069170,102600
2006-06-12,6.450000,6.550000,6.000000,6.000000,5.663300,28100
2006-06-19,5.980000,6.000000,5.020000,5.210000,4.917632,137100
2006-06-26,5.150000,5.750000,5.000000,5.230000,4.936510,75800
2006-07-03,5.220000,5.600000,5.050000,5.510000,5.200797,35900
2006-07-10,5.580000,6.390000,5.530000,5.700000,5.380135,88500
2006-07-17,5.760000,6.300000,5.440000,5.650000,5.332941,55000
2006-07-24,5.660000,6.040000,5.070000,5.360000,5.059215,60300
2006-07-31,5.360000,5.360000,5.000000,5.030000,4.747733,115400
2006-08-07,5.040000,5.260000,4.920000,5.000000,4.719417,169500
2006-08-14,5.020000,5.310000,4.710000,5.210000,4.917632,64400
2006-08-21,5.210000,5.390000,4.940000,4.980000,4.700539,169800
2006-08-28,5.160000,5.160000,4.100000,4.250000,4.011504,416900
2006-09-04,4.190000,4.470000,4.110000,4.270000,4.030382,113500
2006-09-11,4.330000,4.850000,4.330000,4.820000,4.549518,168400
2006-09-18,4.750000,5.100000,4.750000,5.000000,4.719417,223800
2006-09-25,5.000000,5.000000,4.850000,4.890000,4.615589,94900
