Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.402790,2.498902,2.389060,2.402790,0.709779,839100
1980-03-24,2.389060,2.389060,2.169376,2.224297,0.657053,864500
1980-03-31,2.238027,2.320409,2.238027,2.306678,0.681388,493300
1980-04-07,2.306678,2.526362,2.292948,2.471441,0.730059,244600
1980-04-14,2.471441,2.512632,2.361599,2.375329,0.701668,2096300
1980-04-21,2.375329,2.402790,2.334139,2.389060,0.705724,581400
1980-04-28,2.389060,2.443981,2.375329,2.375329,0.701668,709000
1980-05-05,2.375329,2.773506,2.375329,2.746046,0.811177,1033000
1980-05-12,2.746046,2.746046,2.553823,2.608743,0.770618,1020300
1980-05-19,2.608743,2.828427,2.595013,2.814697,0.831456,654300
1980-05-26,2.814697,2.897078,2.732316,2.897078,0.855791,924700
1980-06-02,2.897078,3.130492,2.869618,3.034380,0.896350,1320700
1980-06-09,3.048111,3.075571,2.965729,2.993190,0.884183,3438300
1980-06-16,2.993190,2.993190,2.814697,2.855887,0.843624,1040400
1980-06-23,2.855887,2.993190,2.842157,2.979460,0.880127,619700
1980-06-30,2.965729,3.061841,2.910808,3.048111,0.900406,1294400
1980-07-07,3.048111,3.089301,3.006920,3.061841,0.904461,878300
1980-07-14,3.061841,3.254064,3.061841,3.240334,0.957188,967500
1980-07-21,3.240334,3.487478,3.199143,3.295255,0.973412,1014800
1980-07-28,3.295255,3.569860,3.281525,3.556129,1.050474,1733100
1980-08-04,3.556129,3.611050,3.377636,3.405097,1.005858,1052100
1980-08-11,3.405097,3.418827,3.295255,3.295255,0.973412,984000
1980-08-18,3.281525,3.281525,3.144222,3.185413,0.940965,1390900
1980-08-25,3.185413,3.185413,3.020650,3.116762,0.920685,1293400
1980-09-01,3.116762,3.295255,3.103032,3.267794,0.965300,584400
1980-09-08,3.240334,3.501208,3.212873,3.487478,1.030194,1090400
1980-09-15,3.487478,3.720892,3.460018,3.679701,1.086977,1877900
1980-09-22,3.679701,3.679701,3.391366,3.391366,1.001803,774500
1980-09-29,3.391366,3.501208,3.116762,3.501208,1.034250,979300
1980-10-06,3.501208,3.569860,3.418827,3.514939,1.038306,1155000
1980-10-13,3.514939,3.542399,3.405097,3.473748,1.026138,592400
1980-10-20,3.460018,3.460018,3.267794,3.350176,0.989635,660700
1980-10-27,3.350176,3.487478,3.322715,3.432557,1.013971,1044800
1980-11-03,3.432557,3.556129,3.391366,3.446287,1.018027,484200
1980-11-10,3.446287,3.597320,3.405097,3.569860,1.054529,1033900
1980-11-17,3.556129,3.789543,3.528669,3.734622,1.103200,1084000
1980-11-24,3.734622,3.789543,3.707162,3.707162,1.095088,678000
1980-12-01,3.679701,3.679701,3.432557,3.432557,1.013971,240100
1980-12-08,3.432557,3.460018,3.336446,3.336446,0.985579,1237900
1980-12-15,3.308985,3.363906,3.212873,3.295255,0.973412,681700
1980-12-22,3.295255,3.377636,3.254064,3.350176,0.989635,102700
1980-12-29,3.350176,3.377636,3.295255,3.308985,0.977468,157300
1981-01-05,3.322715,3.391366,3.226604,3.267794,0.965300,907500
1981-01-12,3.267794,3.295255,3.226604,3.226604,0.953132,391200
1981-01-19,3.226604,3.226604,3.075571,3.226604,0.953132,2490500
1981-01-26,3.254064,3.295255,3.212873,3.281525,0.969356,1156000
1981-02-02,3.267794,3.460018,3.240334,3.446287,1.018027,2050900
1981-02-09,3.446287,3.446287,3.363906,3.405097,1.005858,778100
1981-02-16,3.405097,3.556129,3.363906,3.473748,1.026138,668900
1981-02-23,3.487478,3.803273,3.487478,3.789543,1.119423,2674600
1981-03-02,3.789543,4.064147,3.734622,4.050417,1.196486,2533400
1981-03-09,4.050417,4.077878,3.968036,4.036687,1.192430,2234800
1981-03-16,4.036687,4.064147,3.940576,4.050417,1.196486,902800
1981-03-23,4.050417,4.256371,4.022957,4.228910,1.249212,1580300
1981-03-30,4.228910,4.270101,4.201450,4.228910,1.249212,804600
1981-04-06,4.228910,4.228910,4.119069,4.215180,1.245156,2817400
1981-04-13,4.215180,4.434864,4.201450,4.407403,1.301939,695300
1981-04-20,4.407403,4.585896,4.366213,4.572166,1.350609,1827900
1981-04-27,4.572166,4.640817,4.270101,4.325022,1.277602,506800
1981-05-04,4.270101,4.393673,4.119069,4.325022,1.277602,1396300
1981-05-11,4.297562,4.297562,3.995497,4.119069,1.216765,1361600
1981-05-18,4.119069,4.393673,4.064147,4.325022,1.277602,2165400
1981-05-25,4.325022,4.421134,4.283831,4.421134,1.305994,520600
1981-06-01,4.421134,4.640817,4.407403,4.627087,1.366832,692500
1981-06-08,4.627087,4.627087,4.489785,4.530975,1.338441,605100
1981-06-15,4.530975,4.572166,4.448594,4.462324,1.318161,2974100
1981-06-22,4.448594,4.476055,4.352482,4.407403,1.301939,1999000
1981-06-29,4.407403,4.434864,4.132799,4.146529,1.224877,2525200
1981-07-06,4.146529,4.160259,3.913115,4.009227,1.184318,867400
1981-07-13,4.009227,4.022957,3.899385,3.940576,1.164039,1167800
1981-07-20,3.940576,3.981766,3.885655,3.968036,1.172150,490400
1981-07-27,3.968036,4.050417,3.954306,3.981766,1.176206,1571200
1981-08-03,3.981766,4.036687,3.926845,4.009227,1.184318,2457900
1981-08-10,4.009227,4.009227,3.899385,3.954306,1.168094,831800
1981-08-17,3.940576,3.940576,3.817003,3.844464,1.135647,567000
1981-08-24,3.830734,3.830734,3.624780,3.707162,1.095088,861000
1981-08-31,3.707162,3.762083,3.665971,3.707162,1.095088,798100
1981-09-07,3.693431,3.775813,3.652241,3.720892,1.099145,383100
1981-09-14,3.734622,3.871924,3.734622,3.762083,1.111312,385800
1981-09-21,3.762083,3.968036,3.748352,3.844464,1.135647,1163300
1981-09-28,3.844464,3.954306,3.734622,3.871924,1.143759,2097300
1981-10-05,3.871924,4.036687,3.817003,4.009227,1.184318,646000
1981-10-12,4.036687,4.338752,4.036687,4.119069,1.216765,532400
1981-10-19,4.146529,4.325022,4.146529,4.173989,1.232989,864600
1981-10-26,4.173989,4.297562,4.119069,4.228910,1.249212,1061200
1981-11-02,4.256371,4.338752,4.256371,4.325022,1.277602,498600
1981-11-09,4.325022,4.421134,4.173989,4.201450,1.241100,978500
1981-11-16,4.201450,4.215180,4.105338,4.146529,1.224877,558700
1981-11-23,4.146529,4.215180,4.119069,4.187720,1.237044,1202400
1981-11-30,4.187720,4.256371,4.077878,4.256371,1.257324,709900
1981-12-07,4.256371,4.270101,4.173989,4.256371,1.257324,921000
1981-12-14,4.256371,4.393673,4.173989,4.393673,1.297882,658000
1981-12-21,4.366213,4.366213,4.064147,4.146529,1.224877,1249800
1981-12-28,4.146529,4.160259,4.022957,4.064147,1.200540,372100
1982-01-04,4.064147,4.160259,3.913115,4.050417,1.196486,1228000
1982-01-11,4.050417,4.077878,3.899385,4.036687,1.192430,996600
1982-01-18,4.036687,4.146529,4.009227,4.022957,1.188373,1480100
1982-01-25,3.968036,3.981766,3.899385,3.926845,1.159982,1166000
1982-02-01,3.926845,3.926845,3.789543,3.844464,1.135647,1175000
1982-02-08,3.830734,3.830734,3.707162,3.789543,1.119423,957400
1982-02-15,3.789543,3.830734,3.734622,3.817003,1.127535,567900
1982-02-22,3.817003,3.940576,3.514939,3.542399,1.046417,1108500
1982-03-01,3.542399,3.624780,3.212873,3.240334,0.957188,3498500
1982-03-08,3.240334,3.322715,2.951999,3.185413,0.940965,5976500
1982-03-15,3.171683,3.597320,3.144222,3.597320,1.062641,899200
1982-03-22,3.652241,3.762083,3.652241,3.679701,1.086977,958400
1982-03-29,3.679701,3.775813,3.652241,3.748352,1.107255,2598000
1982-04-05,3.748352,3.803273,3.569860,3.597320,1.062641,929300
1982-04-12,3.597320,3.665971,3.542399,3.624780,1.070753,1223400
1982-04-19,3.638510,3.926845,3.638510,3.858194,1.139703,1184200
1982-04-26,3.858194,3.885655,3.707162,3.789543,1.119423,2110100
1982-05-03,3.789543,3.803273,3.707162,3.762083,1.111312,511400
1982-05-10,3.762083,3.762083,3.652241,3.679701,1.086977,755400
1982-05-17,3.679701,3.899385,3.679701,3.775813,1.115368,1310800
1982-05-24,3.775813,3.775813,3.514939,3.556129,1.050474,953900
1982-05-31,3.556129,3.556129,3.405097,3.405097,1.005858,836400
1982-06-07,3.405097,3.487478,3.267794,3.418827,1.009915,1348000
1982-06-14,3.391366,3.432557,3.267794,3.405097,1.005858,4963300
1982-06-21,3.405097,3.652241,3.295255,3.611050,1.066697,1338000
1982-06-28,3.611050,3.638510,3.514939,3.542399,1.046417,1326300
1982-07-05,3.542399,3.665971,3.501208,3.665971,1.082921,1187000
1982-07-12,3.679701,3.899385,3.679701,3.775813,1.115368,1598400
1982-07-19,3.775813,3.913115,3.720892,3.858194,1.139703,1603800
1982-07-26,3.858194,3.899385,3.405097,3.432557,1.013971,2295800
1982-08-02,3.473748,3.611050,3.377636,3.405097,1.005858,1386300
1982-08-09,3.363906,3.583590,3.308985,3.569860,1.054529,1308900
1982-08-16,3.597320,3.844464,3.597320,3.844464,1.135647,3744200
1982-08-23,3.844464,3.926845,3.817003,3.817003,1.127535,3320700
1982-08-30,3.817003,4.201450,3.775813,4.173989,1.232989,5139900
1982-09-06,4.173989,4.434864,4.105338,4.393673,1.297882,1452800
1982-09-13,4.379943,4.393673,4.201450,4.228910,1.249212,1413600
1982-09-20,4.228910,4.393673,4.119069,4.187720,1.237044,2784700
1982-09-27,4.187720,4.201450,3.981766,4.036687,1.192430,2236600
1982-10-04,4.036687,4.434864,4.022957,4.434864,1.310050,4459000
1982-10-11,4.448594,5.066454,4.448594,4.901691,1.447950,2561700
1982-10-18,4.901691,5.423440,4.874231,5.382249,1.589906,3755200
1982-10-25,5.382249,5.395980,5.190026,5.313599,1.569626,2061800
1982-11-01,5.313599,5.533282,5.299868,5.478361,1.618297,2748200
1982-11-08,5.478361,5.821617,5.450901,5.533282,1.634522,2015300
1982-11-15,5.492091,5.519552,5.217487,5.478361,1.618297,1269800
1982-11-22,5.478361,5.492091,5.327329,5.409710,1.598017,1963600
1982-11-29,5.409710,5.931458,5.409710,5.876538,1.735918,4268800
1982-12-06,5.876538,5.917728,5.533282,5.629394,1.662911,3446500
1982-12-13,5.629394,5.725505,5.464631,5.656854,1.671024,6000200
1982-12-20,5.670584,5.849077,5.643124,5.821617,1.719693,1759600
1982-12-27,5.821617,6.260984,5.766696,6.233524,1.841371,1480000
1983-01-03,6.233524,7.084798,5.986380,6.837654,2.019830,1401300
1983-01-10,6.837654,6.837654,6.260984,6.315905,1.865706,3208500
1983-01-17,6.315905,6.425747,5.849077,6.013840,1.776476,2183800
1983-01-24,5.766696,6.260984,5.437171,6.068761,1.792700,1640800
1983-01-31,6.068761,6.260984,5.656854,6.260984,1.849483,1991700
