Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.048000,2.252800,1.911467,2.150400,0.978658,733700
1980-03-24,2.150400,2.184533,1.740800,1.979733,0.900986,1006400
1980-03-31,1.979733,2.150400,1.911467,2.013867,0.916521,475100
1980-04-07,2.013867,2.082133,1.945600,2.013867,0.916521,286700
1980-04-14,1.979733,1.979733,1.774933,1.809067,0.823315,460100
1980-04-21,1.809067,2.048000,1.774933,1.945600,0.885452,527200
1980-04-28,1.945600,2.013867,1.945600,1.945600,0.885452,348100
1980-05-05,1.945600,2.218667,1.945600,2.116267,0.963123,643300
1980-05-12,2.116267,2.218667,2.013867,2.184533,0.994192,372400
1980-05-19,2.184533,2.321067,2.150400,2.286933,1.040795,555300
1980-05-26,2.321067,2.389333,2.184533,2.286933,1.040795,510500
1980-06-02,2.286933,2.321067,2.116267,2.286933,1.040795,617500
1980-06-09,2.286933,2.423467,2.252800,2.286933,1.040795,840700
1980-06-16,2.286933,2.286933,2.082133,2.150400,0.978658,1184500
1980-06-23,2.150400,2.252800,2.116267,2.184533,0.994192,969300
1980-06-30,2.150400,2.184533,2.082133,2.184533,0.994192,494000
1980-07-07,2.218667,2.286933,2.150400,2.218667,1.009726,1026800
1980-07-14,2.218667,2.628267,2.184533,2.525867,1.149535,2066700
1980-07-21,2.525867,2.696533,2.457600,2.662400,1.211671,2255700
1980-07-28,2.628267,3.242667,2.560000,3.072000,1.398083,4900700
1980-08-04,3.072000,3.242667,2.867200,3.106133,1.413616,6998000
1980-08-11,3.106133,3.208533,2.833067,3.072000,1.398083,3618000
1980-08-18,3.003733,3.140267,2.901333,3.037867,1.382548,1673800
1980-08-25,3.037867,3.413333,2.969600,3.413333,1.553425,3640200
1980-09-01,3.413333,3.515733,3.242667,3.310933,1.506822,2291600
1980-09-08,3.310933,3.925333,3.140267,3.686400,1.677699,8903900
1980-09-15,3.686400,4.130133,3.584000,3.925333,1.786438,4429900
1980-09-22,3.959467,4.027733,3.618133,3.652267,1.662164,3990100
1980-09-29,3.618133,3.993600,3.481600,3.993600,1.817507,2140700
1980-10-06,3.993600,4.061867,3.584000,3.618133,1.646630,1715300
1980-10-13,3.618133,4.061867,3.618133,3.720533,1.693233,2371000
1980-10-20,3.720533,3.788800,3.618133,3.754667,1.708768,1221800
1980-10-27,3.686400,3.686400,3.515733,3.515733,1.600028,891800
1980-11-03,3.481600,3.686400,3.276800,3.310933,1.506822,916600
1980-11-10,3.310933,4.334933,3.276800,4.232533,1.926247,4468600
1980-11-17,4.232533,4.573867,4.096000,4.300800,1.957316,5030300
1980-11-24,3.481600,3.481600,2.901333,3.003733,1.367014,6398600
1980-12-01,2.969600,3.242667,2.730667,3.106133,1.413616,2921900
1980-12-08,3.072000,3.072000,2.662400,2.833067,1.289342,1426100
1980-12-15,2.833067,2.833067,2.525867,2.730667,1.242740,969300
1980-12-22,2.764800,2.969600,2.764800,2.901333,1.320411,723400
1980-12-29,2.901333,2.969600,2.628267,2.833067,1.289342,1524900
1981-01-05,2.833067,2.901333,2.560000,2.833067,1.289342,3474600
1981-01-12,2.833067,2.867200,2.628267,2.764800,1.258274,619800
1981-01-19,2.764800,2.833067,2.662400,2.730667,1.242740,568100
1981-01-26,2.730667,2.730667,2.628267,2.628267,1.196137,574200
1981-02-02,2.628267,2.628267,2.423467,2.491733,1.134000,614400
1981-02-09,2.491733,2.525867,2.389333,2.423467,1.102932,469600
1981-02-16,2.423467,2.696533,2.423467,2.594133,1.180603,1174100
1981-02-23,2.594133,2.798933,2.252800,2.798933,1.273808,1837100
1981-03-02,2.798933,2.833067,2.491733,2.662400,1.211671,1271400
1981-03-09,2.662400,2.764800,2.525867,2.696533,1.227205,1772900
1981-03-16,2.696533,2.833067,2.286933,2.321067,1.056329,2822500
1981-03-23,2.321067,2.525867,2.252800,2.389333,1.087397,4213000
1981-03-30,2.389333,2.457600,2.355200,2.389333,1.087397,844000
1981-04-06,2.389333,2.560000,2.286933,2.457600,1.118466,3128700
1981-04-13,2.457600,2.628267,2.457600,2.525867,1.149535,1111100
1981-04-20,2.525867,2.560000,2.286933,2.457600,1.118466,533200
1981-04-27,2.457600,2.491733,2.355200,2.389333,1.087397,756800
1981-05-04,2.321067,2.355200,2.252800,2.286933,1.040795,732900
1981-05-11,2.286933,2.389333,2.150400,2.184533,0.994192,1180900
1981-05-18,2.184533,2.321067,2.048000,2.321067,1.056329,3406500
1981-05-25,2.321067,2.594133,2.321067,2.491733,1.134000,2466000
1981-06-01,2.491733,2.525867,2.389333,2.457600,1.118466,1203500
1981-06-08,2.457600,2.491733,2.355200,2.355200,1.071863,621800
1981-06-15,2.355200,2.730667,2.355200,2.560000,1.165069,2942700
1981-06-22,2.560000,2.594133,2.355200,2.389333,1.087397,1341500
1981-06-29,2.389333,2.423467,2.184533,2.218667,1.009726,1550500
1981-07-06,2.218667,2.218667,2.082133,2.184533,0.994192,641200
1981-07-13,2.184533,2.286933,2.184533,2.184533,0.994192,527500
1981-07-20,2.184533,2.321067,2.082133,2.116267,0.963123,1364200
1981-07-27,2.116267,2.355200,2.116267,2.286933,1.040795,1084800
1981-08-03,2.286933,2.525867,2.252800,2.423467,1.102932,1591000
1981-08-10,2.389333,2.389333,2.252800,2.252800,1.025261,460500
1981-08-17,2.252800,2.286933,2.150400,2.184533,0.994192,835800
1981-08-24,2.150400,2.184533,2.082133,2.116267,0.963123,1133900
1981-08-31,2.116267,2.184533,2.082133,2.116267,0.963123,950000
1981-09-07,2.116267,2.116267,1.945600,2.013867,0.916521,1205600
1981-09-14,2.013867,2.048000,1.911467,1.945600,0.885452,1073300
1981-09-21,1.911467,1.911467,1.740800,1.740800,0.792247,930300
1981-09-28,1.740800,1.979733,1.638400,1.979733,0.900986,1370800
1981-10-05,2.013867,2.321067,1.979733,2.252800,1.025261,1894900
1981-10-12,2.252800,2.252800,2.048000,2.116267,0.963123,1254400
1981-10-19,2.116267,2.150400,2.048000,2.082133,0.947589,386400
1981-10-26,2.082133,2.150400,2.013867,2.150400,0.978658,949800
1981-11-02,2.150400,2.560000,2.150400,2.525867,1.149535,5387000
1981-11-09,2.525867,2.628267,2.355200,2.389333,1.087397,2397500
1981-11-16,2.389333,2.457600,2.252800,2.423467,1.102932,1311900
1981-11-23,2.423467,2.730667,2.423467,2.662400,1.211671,2356200
1981-11-30,2.662400,2.969600,2.628267,2.935467,1.335945,3978700
1981-12-07,2.935467,3.310933,2.867200,3.276800,1.491288,8351600
1981-12-14,3.208533,3.413333,3.003733,3.345067,1.522357,3984500
1981-12-21,3.345067,3.345067,3.003733,3.106133,1.413616,1732800
1981-12-28,3.106133,3.140267,2.935467,3.003733,1.367014,1531800
1982-01-04,2.969600,3.276800,2.764800,3.276800,1.491288,2790500
1982-01-11,3.174400,3.379200,3.072000,3.379200,1.537891,3747300
1982-01-18,3.481600,3.652267,3.310933,3.515733,1.600028,4469900
1982-01-25,3.447467,3.754667,3.345067,3.618133,1.646630,3787400
1982-02-01,3.515733,3.959467,3.447467,3.925333,1.786438,3105800
1982-02-08,3.788800,3.925333,3.481600,3.720533,1.693233,2555600
1982-02-15,3.788800,4.300800,3.652267,3.925333,1.786438,5864100
1982-02-22,3.993600,4.437333,3.754667,4.403200,2.003918,6587300
1982-03-01,4.403200,4.471467,4.198400,4.300800,1.957316,4891300
1982-03-08,4.334933,4.471467,3.788800,3.822933,1.739836,5622700
1982-03-15,3.857067,4.676267,3.754667,4.608000,2.097123,5923400
1982-03-22,4.642133,4.676267,4.334933,4.403200,2.003918,4748100
1982-03-29,4.437333,4.744534,4.300800,4.539733,2.066055,4440000
1982-04-05,4.471467,4.676267,4.369067,4.642133,2.122306,2722600
1982-04-12,4.608000,4.676267,4.369067,4.573867,2.091094,2450600
1982-04-19,4.744534,5.188267,4.573867,5.051733,2.309567,6648300
1982-04-26,5.154133,5.256533,4.983467,5.051733,2.309567,3181500
1982-05-03,5.154133,5.529600,5.051733,5.324800,2.434409,7406500
1982-05-10,5.256533,5.393067,5.154133,5.324800,2.434409,4445100
1982-05-17,5.290667,5.358933,4.949333,5.051733,2.309567,3050700
1982-05-24,5.017600,5.120000,4.300800,4.403200,2.013068,6979600
1982-05-31,4.300800,4.812800,4.164267,4.573867,2.091094,5144200
1982-06-07,4.608000,4.778666,4.437333,4.642133,2.122306,4688600
1982-06-14,4.573867,4.642133,3.959467,4.027733,1.841412,2296000
1982-06-21,4.061867,4.539733,3.959467,4.369067,1.997463,3545500
1982-06-28,4.437333,4.505600,3.993600,3.993600,1.825806,1166400
1982-07-05,3.959467,4.130133,3.618133,4.130133,1.896983,4335100
1982-07-12,4.198400,4.403200,4.096000,4.334933,1.991047,3573400
1982-07-19,4.369067,4.437333,3.857067,3.925333,1.802917,3172400
1982-07-26,3.891200,3.925333,3.310933,3.618133,1.661819,5093000
1982-08-02,3.754667,3.822933,3.140267,3.345067,1.536399,7441900
1982-08-09,3.345067,3.652267,3.242667,3.652267,1.677496,3891700
1982-08-16,3.720533,3.857067,3.208533,3.481600,1.599109,5056500
1982-08-23,3.413333,3.891200,3.106133,3.720533,1.708852,5796500
1982-08-30,3.720533,4.061867,3.618133,3.788800,1.740207,4845000
1982-09-06,3.618133,3.925333,3.481600,3.754667,1.724530,4436300
1982-09-13,3.686400,3.857067,3.584000,3.652267,1.677496,4026200
1982-09-20,3.652267,3.993600,3.584000,3.925333,1.802917,3570600
1982-09-27,4.027733,4.232533,3.754667,3.925333,1.802917,2670600
1982-10-04,3.891200,4.608000,3.822933,4.539733,2.095590,7257100
1982-10-11,4.676267,5.017600,4.369067,4.983467,2.300422,8276000
1982-10-18,5.017600,6.178133,4.846933,5.905066,2.725844,12519700
1982-10-25,5.427200,5.802667,5.017600,5.666133,2.615548,10648000
1982-11-01,5.666133,6.656000,5.427200,6.451200,2.977943,10663300
1982-11-08,6.348800,8.601600,6.212266,8.294400,3.828786,16959600
1982-11-15,7.611733,7.748267,6.894933,7.270400,3.356097,16175400
1982-11-22,7.031466,7.680000,6.724267,7.577600,3.497903,7124600
1982-11-29,7.441067,8.362667,7.236267,7.680000,3.545171,10645600
1982-12-06,7.543467,7.782400,4.096000,4.573867,2.111347,23817100
1982-12-13,4.881067,5.358933,4.334933,4.744534,2.190130,14838300
1982-12-20,4.676267,4.744534,4.403200,4.471467,2.064078,2728100
1982-12-27,4.539733,4.778666,4.403200,4.539733,2.095590,3249700
1983-01-03,4.437333,4.608000,3.925333,3.993600,1.851781,13146900
1983-01-10,3.857067,4.334933,3.652267,4.096000,1.899263,8811700
1983-01-17,4.096000,4.232533,3.720533,3.720533,1.725163,5450900
1983-01-24,3.618133,4.130133,3.515733,3.993600,1.851781,5356200
1983-01-31,3.993600,4.334933,3.891200,4.232533,1.962571,4737800
1983-02-07,4.130133,4.266667,3.720533,3.720533,1.725163,3326100
1983-02-14,3.822933,4.130133,3.720533,3.788800,1.756818,6960100
1983-02-21,3.720533,3.788800,3.584000,3.618133,1.677682,3666700
1983-02-28,3.652267,3.720533,3.618133,3.686400,1.709337,2872700
1983-03-07,3.754667,3.822933,3.584000,3.618133,1.677682,4020200
1983-03-14,3.618133,3.652267,3.037867,3.276800,1.519410,4459800
1983-03-21,3.310933,3.413333,3.242667,3.276800,1.519410,4127500
1983-03-28,3.208533,3.242667,3.106133,3.106133,1.440274,1810100
1983-04-04,3.106133,3.208533,3.037867,3.106133,1.474011,1721000
1983-04-11,3.072000,3.174400,2.901333,3.174400,1.506408,5001400
1983-04-18,3.276800,3.584000,3.106133,3.584000,1.700783,4414800
1983-04-25,3.549867,3.618133,3.310933,3.310933,1.571199,2425800
1983-05-02,3.310933,3.345067,3.140267,3.276800,1.555001,4335300
1983-05-09,3.345067,3.754667,3.276800,3.618133,1.716981,4556500
1983-05-16,3.549867,3.618133,3.345067,3.481600,1.652189,2693400
1983-05-23,3.413333,3.822933,3.379200,3.686400,1.749377,3614000
1983-05-30,3.481600,3.686400,3.379200,3.618133,1.716981,3506500
1983-06-06,3.652267,3.686400,3.072000,3.140267,1.490210,4102100
1983-06-13,3.140267,3.242667,3.106133,3.140267,1.490210,2804200
1983-06-20,3.174400,3.208533,3.072000,3.072000,1.457814,2299100
1983-06-27,3.072000,3.242667,3.003733,3.174400,1.506408,2301600
1983-07-04,3.106133,3.208533,3.072000,3.072000,1.470213,902700
1983-07-11,3.140267,3.140267,2.935467,2.969600,1.421206,2342500
1983-07-18,2.935467,3.003733,2.628267,2.628267,1.257849,2496400
1983-07-25,2.594133,2.594133,2.389333,2.491733,1.192506,5244100
1983-08-01,2.491733,2.560000,2.389333,2.423467,1.159835,2682600
1983-08-08,2.423467,2.457600,2.389333,2.423467,1.159835,1477300
1983-08-15,2.457600,2.457600,2.389333,2.457600,1.176170,1504400
1983-08-22,2.389333,2.457600,2.389333,2.457600,1.176170,1467300
1983-08-29,2.457600,2.457600,2.389333,2.457600,1.176170,1225800
1983-09-05,2.457600,2.662400,2.184533,2.218667,1.061820,3806600
1983-09-12,2.252800,2.321067,2.218667,2.252800,1.078157,2048900
1983-09-19,2.286933,2.286933,1.945600,2.013867,0.963806,2298300
1983-09-26,2.013867,2.184533,1.774933,2.184533,1.045485,3846400
1983-10-03,2.184533,2.286933,2.048000,2.116267,1.012814,2461800
1983-10-10,2.116267,2.218667,2.082133,2.150400,1.029149,1179100
1983-10-17,2.116267,2.150400,1.945600,1.945600,0.931135,1296100
1983-10-24,1.911467,1.945600,1.433600,1.774933,0.849456,6532000
1983-10-31,1.843200,1.843200,1.638400,1.706667,0.816785,2083100
1983-11-07,1.706667,1.740800,1.638400,1.706667,0.816785,1524300
1983-11-14,1.706667,1.774933,1.638400,1.740800,0.833121,2129100
1983-11-21,1.706667,1.740800,1.638400,1.706667,0.816785,1221500
1983-11-28,1.706667,1.706667,1.501867,1.536000,0.735106,2350600
1983-12-05,1.570133,1.638400,1.433600,1.467733,0.702435,2527000
1983-12-12,1.433600,1.501867,1.365333,1.399467,0.669764,2842300
1983-12-19,1.399467,1.433600,1.365333,1.365333,0.653428,2780000
1983-12-26,1.365333,1.433600,1.331200,1.365333,0.653428,3988300
1984-01-02,1.365333,1.843200,1.331200,1.809067,0.865792,3765700
1984-01-09,1.843200,2.013867,1.809067,1.877333,0.898463,3614000
1984-01-16,1.877333,1.877333,1.809067,1.809067,0.865792,1410000
1984-01-23,1.774933,1.877333,1.706667,1.877333,0.898463,1525800
1984-01-30,1.877333,2.116267,1.774933,1.979733,0.947471,3137800
1984-02-06,1.979733,2.218667,1.945600,2.218667,1.061820,4944100
1984-02-13,2.321067,2.594133,2.082133,2.218667,1.061820,5753100
1984-02-20,2.252800,2.525867,2.218667,2.491733,1.192506,2613400
1984-02-27,2.491733,2.696533,2.321067,2.491733,1.192506,2968100
1984-03-05,2.491733,2.525867,2.355200,2.457600,1.176170,1946300
1984-03-12,2.491733,2.525867,2.082133,2.184533,1.045485,2846700
1984-03-19,2.184533,2.286933,2.048000,2.218667,1.061820,2254700
1984-03-26,2.286933,2.423467,2.184533,2.184533,1.045485,1216200
1984-04-02,2.218667,2.423467,2.218667,2.321067,1.110828,1919800
1984-04-09,2.286933,2.389333,2.013867,2.013867,0.963806,1718000
1984-04-16,1.979733,2.116267,1.979733,2.048000,0.980142,891700
1984-04-23,2.048000,2.048000,1.877333,1.979733,0.947471,1203200
1984-04-30,1.979733,2.321067,1.911467,2.150400,1.029149,2802600
1984-05-07,2.184533,2.184533,1.877333,1.911467,0.914799,1510100
1984-05-14,1.911467,1.911467,1.809067,1.843200,0.882128,1065600
1984-05-21,1.843200,1.911467,1.774933,1.843200,0.882128,849400
1984-05-28,1.843200,1.911467,1.809067,1.877333,0.898463,639800
1984-06-04,1.911467,2.321067,1.911467,2.184533,1.045485,3708000
1984-06-11,2.218667,2.218667,2.116267,2.150400,1.029149,1304100
1984-06-18,2.184533,2.286933,2.150400,2.218667,1.061820,1337900
1984-06-25,2.218667,2.252800,2.150400,2.184533,1.045485,957000
1984-07-02,2.184533,2.491733,2.184533,2.491733,1.192506,4086800
1984-07-09,2.457600,2.457600,2.355200,2.389333,1.143499,2830600
1984-07-16,2.355200,2.389333,2.150400,2.150400,1.029149,1344500
1984-07-23,2.150400,2.321067,2.116267,2.286933,1.094492,1201100
1984-07-30,2.252800,2.628267,2.252800,2.594133,1.241513,4458900
1984-08-06,2.594133,2.798933,2.525867,2.696533,1.290520,3860000
1984-08-13,2.730667,2.867200,2.628267,2.764800,1.323191,3829600
1984-08-20,2.764800,3.652267,2.696533,3.515733,1.682577,9937800
1984-08-27,3.549867,3.720533,3.106133,3.413333,1.633569,8359000
1984-09-03,3.379200,3.549867,3.345067,3.379200,1.617234,3737200
1984-09-10,3.345067,3.447467,3.242667,3.379200,1.617234,3469600
1984-09-17,3.276800,3.276800,3.106133,3.208533,1.535556,4719800
1984-09-24,3.208533,3.242667,3.003733,3.037867,1.453877,2916000
1984-10-01,3.037867,3.242667,3.003733,3.242667,1.551891,3405800
1984-10-08,3.242667,3.276800,3.072000,3.242667,1.551891,3125400
1984-10-15,3.242667,3.447467,3.208533,3.379200,1.617234,3990900
1984-10-22,3.379200,3.618133,3.345067,3.413333,1.633569,2672300
1984-10-29,3.413333,3.584000,3.413333,3.549867,1.698913,2140600
1984-11-05,3.515733,3.584000,3.413333,3.481600,1.666241,2043100
1984-11-12,3.515733,3.515733,3.379200,3.379200,1.617234,1592600
1984-11-19,3.379200,3.379200,3.106133,3.276800,1.568227,2432700
1984-11-26,3.310933,3.310933,3.072000,3.140267,1.502884,869200
1984-12-03,3.106133,3.276800,2.867200,3.072000,1.470213,4413700
1984-12-10,3.037867,3.208533,2.935467,3.174400,1.519221,1224100
1984-12-17,3.140267,3.310933,3.003733,3.072000,1.470213,2522800
1984-12-24,3.072000,3.140267,2.662400,2.935467,1.404870,1907200
1984-12-31,2.833067,2.867200,2.696533,2.730667,1.306856,2122700
1985-01-07,2.730667,3.106133,2.730667,3.072000,1.470213,1554100
1985-01-14,3.072000,3.242667,3.072000,3.208533,1.535556,2276000
1985-01-21,3.208533,3.447467,3.140267,3.345067,1.600899,3136100
1985-01-28,3.345067,3.413333,3.242667,3.413333,1.633569,3875000
1985-02-04,3.413333,3.822933,3.379200,3.720533,1.780591,6769100
1985-02-11,3.754667,3.788800,3.549867,3.618133,1.731584,3314400
1985-02-18,3.584000,3.652267,3.310933,3.618133,1.731584,1154700
1985-02-25,3.549867,3.618133,3.481600,3.618133,1.731584,3204200
1985-03-04,3.549867,3.618133,3.379200,3.481600,1.666241,2452100
1985-03-11,3.447467,3.515733,3.447467,3.481600,1.666241,1661000
1985-03-18,3.447467,3.788800,3.447467,3.720533,1.780591,4073900
1985-03-25,3.720533,3.891200,3.584000,3.754667,1.796927,3935100
1985-04-01,3.788800,3.822933,3.618133,3.618133,1.731584,832100
1985-04-08,3.618133,3.754667,3.549867,3.686400,1.764256,1429500
1985-04-15,3.652267,3.891200,3.618133,3.754667,1.796927,1876600
1985-04-22,3.754667,3.754667,3.549867,3.686400,1.764256,1215000
1985-04-29,3.652267,3.686400,3.345067,3.345067,1.600899,1757700
1985-05-06,3.345067,3.822933,3.276800,3.652267,1.747920,6278800
1985-05-13,3.686400,4.027733,3.652267,3.959467,1.894941,8230500
1985-05-20,4.027733,4.061867,3.788800,3.857067,1.845934,3313800
1985-05-27,3.891200,3.925333,3.720533,3.822933,1.829598,2776100
1985-06-03,3.822933,3.959467,3.788800,3.925333,1.878605,5776900
1985-06-10,3.891200,4.130133,3.857067,4.061867,1.943948,5534700
1985-06-17,4.061867,4.437333,4.061867,4.300800,2.058299,10906700
1985-06-24,4.232533,4.676267,4.198400,4.573867,2.188984,8319500
1985-07-01,4.539733,4.642133,4.403200,4.573867,2.188984,1992000
1985-07-08,4.573867,4.642133,4.198400,4.232533,2.025627,3435300
1985-07-15,4.232533,4.437333,4.232533,4.300800,2.058299,3250700
1985-07-22,4.266667,4.471467,4.164267,4.232533,2.025627,1875600
