Date,Open,High,Low,Close,Adj Close,Volume
2014-04-14,27.000000,27.219999,25.959999,26.090000,18.698374,4741100
2014-04-21,26.139999,27.799999,25.750000,26.959999,19.321884,911600
2014-04-28,26.870001,27.424999,26.356001,26.870001,19.257385,733000
2014-05-05,26.930000,28.139999,26.000000,27.549999,19.744734,423700
2014-05-12,27.660000,29.730000,26.870001,29.250000,20.963100,642700
2014-05-19,29.080000,30.510000,29.010000,30.240000,21.672623,422500
2014-05-26,30.260000,31.730000,30.059999,31.459999,22.546982,293700
2014-06-02,31.670000,33.410000,30.889999,32.759998,23.478670,699600
2014-06-09,32.810001,34.790001,32.750000,34.099998,24.439032,746300
2014-06-16,34.060001,34.680000,33.299999,34.330002,24.603872,1127400
2014-06-23,34.189999,35.849998,33.200001,33.200001,23.794020,1140900
2014-06-30,33.340000,34.201000,32.189999,33.630001,24.102194,457000
2014-07-07,33.560001,33.685001,29.660000,30.320000,21.729959,603700
2014-07-14,30.549999,31.670000,29.889999,31.469999,22.554146,764600
2014-07-21,31.500000,35.000000,31.299999,33.810001,24.231192,602300
2014-07-28,33.380001,36.009998,32.459999,34.049999,24.403196,613700
2014-08-04,34.310001,34.599998,33.320000,34.009998,24.374531,377100
2014-08-11,34.639999,35.349998,33.709999,34.959999,25.055387,521900
2014-08-18,35.080002,35.639999,32.235001,34.070000,24.417532,352200
2014-08-25,34.230000,36.740002,33.880001,36.290001,26.164837,223200
2014-09-01,36.560001,37.368000,34.203999,35.119999,25.321274,303900
2014-09-08,35.000000,35.320000,33.700001,34.830002,25.112186,247300
2014-09-15,34.372002,36.900002,33.689999,35.049999,25.270798,213300
2014-09-22,34.849998,34.849998,33.654999,34.240002,24.686802,216600
2014-09-29,33.820000,34.889999,33.150002,34.360001,24.773319,210600
2014-10-06,34.580002,34.580002,31.030001,31.040001,22.379620,225800
2014-10-13,31.100000,31.799999,30.270000,30.709999,22.141691,228100
2014-10-20,30.389999,31.309999,29.760000,31.270000,22.545450,500000
2014-10-27,31.170000,34.889999,30.020000,34.160000,24.629116,361000
2014-11-03,34.150002,35.169998,33.020000,34.349998,24.766108,404200
2014-11-10,33.970001,36.220001,33.410000,35.009998,26.161245,419600
2014-11-17,34.939999,35.785000,31.020000,31.840000,23.792463,4332600
2014-11-24,31.930000,32.840000,31.730000,32.230000,24.083889,671200
2014-12-01,32.250000,34.240002,31.049999,34.040001,25.436413,1359400
2014-12-08,34.060001,35.139999,32.950001,33.020000,24.674215,961100
2014-12-15,33.279999,34.500000,32.560001,34.360001,25.675535,683100
2014-12-22,34.299999,35.619999,34.060001,35.040001,26.183661,272500
2014-12-29,35.150002,35.369999,33.799999,35.279999,26.363001,263100
2015-01-05,35.130001,35.259998,32.500000,33.490002,25.025423,743000
2015-01-12,33.349998,34.049999,30.910000,31.500000,23.538393,692600
2015-01-19,31.440001,33.160000,30.302000,33.130001,24.756414,433100
2015-01-26,32.990002,34.189999,30.820000,31.000000,23.164768,473400
2015-02-02,30.420000,32.537998,28.799999,29.740000,22.223230,1124500
2015-02-09,29.700001,30.910000,29.680000,30.790001,23.007849,490400
2015-02-16,30.760000,31.889999,30.309999,31.670000,23.665428,283900
2015-02-23,31.469999,32.549999,31.040001,32.180000,24.205355,414000
2015-03-02,32.130001,32.299999,30.379999,30.840000,23.197424,451600
2015-03-09,31.180000,32.029999,29.660000,30.809999,23.174862,540500
2015-03-16,31.090000,31.940001,30.430000,30.549999,22.979290,538400
2015-03-23,30.400000,31.080000,29.379999,29.980000,22.550545,638900
2015-03-30,30.000000,30.798000,29.610001,29.840000,22.445238,462500
2015-04-06,29.820000,30.180000,29.320000,29.780001,22.400106,508000
2015-04-13,29.299999,30.120001,29.000000,29.459999,22.159407,666600
2015-04-20,29.430000,30.350000,28.900000,29.540001,22.219584,980000
2015-04-27,29.400000,30.100000,26.030001,27.150000,20.421858,1356000
2015-05-04,27.410000,29.309999,27.000000,28.379999,21.347044,1080400
2015-05-11,28.280001,28.879999,27.870001,28.709999,21.595268,624800
2015-05-18,28.750000,28.990000,28.230000,28.639999,21.542616,562200
2015-05-25,28.520000,29.410000,28.190001,28.860001,21.859951,701900
2015-06-01,28.900000,30.230000,28.540001,30.059999,22.768890,999600
2015-06-08,29.910000,30.860001,29.320000,30.219999,22.890085,1170900
2015-06-15,29.000000,30.520000,28.860001,30.420000,23.041573,900600
