Date,Open,High,Low,Close,Adj Close,Volume
2015-06-22,19.500000,20.440001,19.059999,19.990000,19.990000,9049300
2015-06-29,19.360001,21.299999,19.299999,20.600000,20.600000,1316600
2015-07-06,20.400000,20.410000,18.490000,19.760000,19.760000,584300
2015-07-13,19.799999,20.290001,19.639999,20.000000,20.000000,373300
2015-07-20,19.850000,20.280001,19.730000,20.030001,20.030001,1683400
2015-07-27,19.900000,19.905001,17.000000,17.370001,17.370001,1717100
2015-08-03,17.450001,17.735001,15.060000,15.460000,15.460000,1812200
2015-08-10,15.670000,17.780001,14.280000,17.299999,17.299999,1817900
2015-08-17,17.070000,18.850000,16.700001,17.900000,17.900000,1164100
2015-08-24,16.879999,19.930000,16.500000,19.440001,19.440001,1635700
2015-08-31,19.340000,20.080000,18.809999,19.700001,19.700001,928400
2015-09-07,19.660000,20.570000,19.549999,20.549999,20.549999,922500
2015-09-14,20.350000,21.459999,19.110001,19.110001,19.110001,2314200
2015-09-21,19.280001,20.270000,18.740000,19.440001,19.440001,1071400
2015-09-28,19.290001,19.340000,16.620001,17.070000,17.070000,4599100
2015-10-05,17.370001,18.420000,16.410000,18.330000,18.330000,1065500
2015-10-12,18.320000,18.320000,16.730000,16.809999,16.809999,489200
2015-10-19,16.709999,19.070000,16.070000,18.770000,18.770000,832200
2015-10-26,18.740000,18.879999,16.459999,17.070000,17.070000,1088200
2015-11-02,17.139999,18.270000,16.070000,16.370001,16.370001,692600
2015-11-09,16.139999,16.809999,14.330000,14.440000,14.440000,1000300
2015-11-16,14.490000,15.160000,14.000000,15.030000,15.030000,639600
2015-11-23,15.050000,15.230000,14.540000,14.970000,14.970000,399100
2015-11-30,15.020000,15.110000,13.620000,13.920000,13.920000,1226300
2015-12-07,13.820000,13.820000,12.410000,12.910000,12.910000,1563800
2015-12-14,12.810000,13.200000,12.340000,12.750000,12.750000,967900
2015-12-21,12.840000,13.020000,12.520000,12.680000,12.680000,718100
2015-12-28,12.620000,12.915000,12.330000,12.510000,12.510000,397000
2016-01-04,12.450000,15.660000,12.420000,14.370000,14.370000,2844600
2016-01-11,14.490000,14.769000,12.730000,13.210000,13.210000,1925700
2016-01-18,13.380000,13.582000,12.520000,12.730000,12.730000,837200
2016-01-25,12.800000,13.280000,12.500000,12.750000,12.750000,991500
2016-02-01,12.720000,13.530000,11.560000,12.560000,12.560000,1215000
2016-02-08,12.440000,12.550000,11.570000,12.390000,12.390000,472900
2016-02-15,12.580000,13.670000,12.150000,13.240000,13.240000,613600
2016-02-22,13.310000,14.095000,12.590000,13.480000,13.480000,508700
2016-02-29,13.540000,14.810000,13.230000,14.690000,14.690000,1039100
2016-03-07,14.700000,15.720000,14.110000,15.660000,15.660000,2176800
2016-03-14,15.580000,16.129999,15.180000,16.059999,16.059999,806200
2016-03-21,16.160000,16.540001,15.760000,16.400000,16.400000,561200
2016-03-28,16.480000,17.000000,16.000000,16.570000,16.570000,805100
2016-04-04,16.590000,16.650000,15.810000,16.040001,16.040001,719100
2016-04-11,16.059999,16.500000,16.059999,16.420000,16.420000,935200
2016-04-18,16.309999,17.950001,16.170000,17.709999,17.709999,889600
2016-04-25,17.650000,18.500000,16.910000,17.129999,17.129999,783600
2016-05-02,17.260000,17.400000,13.850000,15.960000,15.960000,2422200
2016-05-09,15.980000,16.250000,15.280000,15.410000,15.410000,668700
2016-05-16,15.500000,15.940000,14.720000,15.190000,15.190000,407200
2016-05-23,15.160000,16.610001,15.100000,16.219999,16.219999,528200
2016-05-30,16.299999,17.139999,16.129999,16.280001,16.280001,325800
