Date,Open,High,Low,Close,Adj Close,Volume
1981-12-28,0.596680,0.599609,0.593750,0.599609,0.004257,563200
1982-01-04,0.601563,0.605469,0.578125,0.582031,0.004132,7456000
1982-01-11,0.582031,0.585938,0.542969,0.558594,0.003981,13273600
1982-01-18,0.570313,0.580078,0.558594,0.566406,0.004036,2419200
1982-01-25,0.564453,0.585938,0.556641,0.574219,0.004092,8646400
1982-02-01,0.580078,0.603516,0.560547,0.599609,0.004273,9318400
1982-02-08,0.607422,0.619141,0.560547,0.562500,0.004008,8569600
1982-02-15,0.562500,0.585938,0.558594,0.574219,0.004092,3635200
1982-02-22,0.580078,0.601563,0.554688,0.593750,0.004231,9689600
1982-03-01,0.595703,0.605469,0.578125,0.578125,0.004120,7820800
1982-03-08,0.568359,0.589844,0.539063,0.562500,0.004008,7251200
1982-03-15,0.542969,0.550781,0.519531,0.542969,0.003869,8832000
1982-03-22,0.541016,0.562500,0.535156,0.552734,0.003939,6547200
1982-03-29,0.552734,0.566406,0.537109,0.566406,0.004036,8320000
1982-04-05,0.568359,0.613281,0.562500,0.607422,0.004346,17024000
1982-04-12,0.611328,0.617188,0.593750,0.595703,0.004262,9644800
1982-04-19,0.607422,0.671875,0.599609,0.671875,0.004807,32710400
1982-04-26,0.673828,0.679688,0.644531,0.658203,0.004709,16000000
1982-05-03,0.660156,0.720703,0.654297,0.712891,0.005100,20985600
1982-05-10,0.707031,0.714844,0.671875,0.679688,0.004863,14342400
1982-05-17,0.683594,0.722656,0.677734,0.722656,0.005170,15001600
1982-05-24,0.718750,0.726563,0.671875,0.683594,0.004891,14739200
1982-05-31,0.677734,0.695313,0.669922,0.679688,0.004863,12396800
1982-06-07,0.675781,0.728516,0.658203,0.714844,0.005114,10873600
1982-06-14,0.722656,0.734375,0.708984,0.708984,0.005072,12300800
1982-06-21,0.703125,0.738281,0.693359,0.734375,0.005254,15552000
1982-06-28,0.736328,0.746094,0.710938,0.718750,0.005142,15059200
1982-07-05,0.707031,0.718750,0.632813,0.640625,0.004599,38982400
1982-07-12,0.652344,0.691406,0.640625,0.683594,0.004908,27219200
1982-07-19,0.677734,0.693359,0.644531,0.648438,0.004655,20403200
1982-07-26,0.625000,0.644531,0.601563,0.609375,0.004375,19859200
1982-08-02,0.615234,0.625000,0.542969,0.546875,0.003926,27500800
1982-08-09,0.542969,0.568359,0.533203,0.558594,0.004010,12691200
1982-08-16,0.564453,0.623047,0.558594,0.613281,0.004403,27776000
1982-08-23,0.611328,0.662109,0.574219,0.636719,0.004571,33856000
1982-08-30,0.634766,0.697266,0.619141,0.693359,0.004978,33644800
1982-09-06,0.664063,0.691406,0.589844,0.603516,0.004333,47782400
1982-09-13,0.607422,0.638672,0.599609,0.630859,0.004529,19411200
1982-09-20,0.632813,0.671875,0.628906,0.671875,0.004824,9184000
1982-09-27,0.664063,0.669922,0.621094,0.628906,0.004515,14598400
1982-10-04,0.617188,0.703125,0.609375,0.675781,0.004852,30400000
1982-10-11,0.669922,0.691406,0.634766,0.689453,0.004970,17939200
1982-10-18,0.703125,0.732422,0.656250,0.699219,0.005040,27321600
1982-10-25,0.685547,0.710938,0.664063,0.703125,0.005068,10956800
1982-11-01,0.718750,0.746094,0.666016,0.685547,0.004941,67654400
1982-11-08,0.675781,0.730469,0.666016,0.703125,0.005068,32358400
1982-11-15,0.693359,0.779297,0.664063,0.750000,0.005406,53094400
1982-11-22,0.736328,0.796875,0.718750,0.769531,0.005547,15360000
1982-11-29,0.763672,0.820313,0.757813,0.814453,0.005871,24281600
1982-12-06,0.845703,0.871094,0.820313,0.826172,0.005955,10809600
1982-12-13,0.826172,0.839844,0.781250,0.832031,0.005997,10316800
1982-12-20,0.837891,0.857422,0.828125,0.847656,0.006110,10240000
1982-12-27,0.865234,0.878906,0.837891,0.837891,0.006040,10534400
1983-01-03,0.841797,0.871094,0.832031,0.855469,0.006166,10380800
1983-01-10,0.867188,0.878906,0.837891,0.851563,0.006156,11532800
1983-01-17,0.859375,0.871094,0.835938,0.835938,0.006043,8102400
1983-01-24,0.800781,0.820313,0.781250,0.800781,0.005789,16614400
1983-01-31,0.796875,0.800781,0.751953,0.763672,0.005521,15980800
1983-02-07,0.767578,0.771484,0.734375,0.763672,0.005521,15308800
1983-02-14,0.761719,0.779297,0.750000,0.765625,0.005535,15257600
1983-02-21,0.761719,0.816406,0.750000,0.796875,0.005761,18131200
1983-02-28,0.792969,0.859375,0.773438,0.843750,0.006100,13952000
1983-03-07,0.832031,0.839844,0.791016,0.828125,0.005987,21868800
1983-03-14,0.824219,0.830078,0.789063,0.789063,0.005705,6611200
1983-03-21,0.775391,0.781250,0.755859,0.757813,0.005479,17158400
