Date,Open,High,Low,Close,Adj Close,Volume
1998-04-13,9.250000,9.312500,9.000000,9.062500,0.926597,62700
1998-04-20,9.250000,9.812500,9.062500,9.625000,0.984110,149100
1998-04-27,9.750000,9.875000,9.375000,9.625000,0.984110,66400
1998-05-04,9.562500,9.687500,9.000000,9.500000,0.971329,81300
1998-05-11,9.500000,9.625000,9.062500,9.437500,0.964939,96800
1998-05-18,9.375000,9.937500,9.000000,9.125000,0.932987,108200
1998-05-25,9.250000,9.750000,9.062500,9.187500,0.939377,79300
1998-06-01,9.250000,9.437500,9.062500,9.062500,0.926597,28700
1998-06-08,9.000000,9.062500,8.750000,8.750000,0.894645,81300
1998-06-15,8.750000,8.750000,7.500000,7.500000,0.766839,144100
1998-06-22,7.625000,8.125000,7.250000,7.500000,0.766839,146600
1998-06-29,7.562500,8.000000,7.562500,7.750000,0.819330,40000
1998-07-06,7.812500,7.812500,7.062500,7.500000,0.792900,106700
1998-07-13,7.375000,7.750000,7.187500,7.437500,0.786292,91500
1998-07-20,7.375000,7.500000,7.000000,7.375000,0.779685,124500
1998-07-27,7.312500,7.500000,7.187500,7.500000,0.792900,56300
1998-08-03,7.500000,7.875000,7.250000,7.750000,0.819330,43200
1998-08-10,7.750000,7.750000,6.437500,6.625000,0.700395,105900
1998-08-17,6.500000,6.875000,6.250000,6.625000,0.700395,73100
1998-08-24,6.625000,7.125000,6.437500,6.812500,0.720218,45600
1998-08-31,6.687500,6.750000,6.000000,6.187500,0.654142,78200
1998-09-07,6.187500,6.187500,5.937500,5.937500,0.627712,64100
1998-09-14,5.937500,6.250000,5.687500,6.125000,0.647535,75100
1998-09-21,6.125000,6.437500,6.000000,6.250000,0.660750,94100
1998-09-28,5.875000,5.937500,5.375000,5.375000,0.568245,71200
1998-10-05,5.375000,5.500000,5.062500,5.062500,0.558905,52900
1998-10-12,5.062500,5.437500,4.750000,5.000000,0.552005,117300
1998-10-19,5.000000,5.312500,4.750000,5.000000,0.552005,102000
1998-10-26,5.000000,5.062500,4.875000,5.000000,0.552005,68800
1998-11-02,4.937500,5.000000,4.750000,4.875000,0.538205,82600
1998-11-09,4.812500,4.937500,4.500000,4.875000,0.538205,111500
1998-11-16,4.937500,5.000000,4.750000,5.000000,0.552005,138800
1998-11-23,4.937500,5.125000,4.625000,4.812500,0.531305,95700
1998-11-30,4.937500,5.062500,4.750000,4.875000,0.538205,175100
1998-12-07,4.937500,5.000000,4.625000,4.937500,0.545105,85500
1998-12-14,4.937500,4.937500,4.687500,4.750000,0.524405,110700
1998-12-21,4.812500,4.937500,4.625000,4.750000,0.524405,56100
1998-12-28,4.875000,4.937500,4.312500,4.562500,0.503704,124100
1999-01-04,4.687500,4.687500,4.375000,4.375000,0.510398,54800
1999-01-11,4.375000,4.750000,4.312500,4.562500,0.532272,70900
1999-01-18,4.875000,5.125000,4.750000,5.062500,0.590603,82400
1999-01-25,5.062500,5.625000,5.062500,5.562500,0.648934,51300
1999-02-01,5.625000,5.625000,5.062500,5.437500,0.634351,35800
1999-02-08,5.437500,5.437500,4.562500,4.750000,0.554146,40000
1999-02-15,4.750000,5.000000,4.562500,4.687500,0.546855,58700
1999-02-22,5.000000,5.312500,4.937500,5.125000,0.597895,42400
1999-03-01,5.125000,5.812500,5.062500,5.187500,0.605186,74800
1999-03-08,5.125000,5.250000,4.750000,4.875000,0.568729,55400
1999-03-15,4.812500,5.000000,4.812500,4.812500,0.561437,26900
1999-03-22,4.812500,4.937500,4.562500,4.625000,0.539563,59400
1999-03-29,4.687500,4.875000,4.250000,4.437500,0.517689,126900
1999-04-05,4.375000,4.500000,4.062500,4.312500,0.532027,101800
1999-04-12,4.187500,4.375000,4.000000,4.125000,0.508895,108500
1999-04-19,4.125000,4.562500,4.125000,4.250000,0.524316,60800
1999-04-26,4.250000,4.437500,4.250000,4.312500,0.532027,28400
1999-05-03,4.250000,4.750000,4.187500,4.562500,0.562869,89100
1999-05-10,4.562500,4.625000,4.437500,4.562500,0.562869,57700
1999-05-17,4.437500,4.937500,4.375000,4.812500,0.593711,71700
1999-05-24,4.812500,4.812500,4.437500,4.750000,0.586001,48200
1999-05-31,4.687500,4.750000,4.375000,4.562500,0.562869,37200
1999-06-07,4.500000,4.687500,4.500000,4.625000,0.570579,39600
1999-06-14,4.687500,5.187500,4.625000,5.187500,0.639974,156200
1999-06-21,5.250000,5.375000,4.812500,5.062500,0.624553,77800
1999-06-28,5.062500,5.187500,4.812500,4.875000,0.601421,52400
1999-07-05,4.875000,5.000000,4.750000,4.937500,0.624553,37700
1999-07-12,4.875000,4.937500,4.750000,4.750000,0.600836,19100
1999-07-19,4.812500,4.937500,4.687500,4.937500,0.624553,34300
1999-07-26,4.875000,5.000000,4.562500,4.562500,0.577119,32300
1999-08-02,4.562500,4.937500,4.500000,4.812500,0.608742,25600
1999-08-09,4.875000,5.000000,4.812500,4.875000,0.616648,40600
1999-08-16,4.937500,5.000000,4.750000,4.937500,0.624553,49800
1999-08-23,5.000000,5.000000,4.687500,4.875000,0.616648,42400
1999-08-30,4.812500,5.000000,4.437500,4.687500,0.592930,43600
1999-09-06,4.562500,4.812500,4.312500,4.625000,0.585024,38900
1999-09-13,4.562500,5.062500,4.500000,4.875000,0.616648,16400
1999-09-20,4.875000,5.125000,4.875000,5.000000,0.632459,35900
1999-09-27,4.937500,5.125000,4.812500,4.875000,0.616648,64500
1999-10-04,4.875000,4.937500,4.687500,4.937500,0.642316,53600
1999-10-11,4.937500,5.000000,4.625000,4.812500,0.626055,48100
1999-10-18,4.812500,5.062500,4.625000,4.812500,0.626055,44500
1999-10-25,4.812500,5.000000,4.500000,4.562500,0.593533,46100
1999-11-01,4.687500,5.187500,4.625000,5.062500,0.658577,51500
1999-11-08,4.937500,5.375000,4.875000,5.250000,0.682969,97500
1999-11-15,5.312500,5.375000,4.875000,5.000000,0.650447,47800
1999-11-22,5.062500,5.062500,4.250000,4.437500,0.577271,66600
1999-11-29,4.375000,4.812500,4.312500,4.812500,0.626055,43500
1999-12-06,4.750000,5.000000,4.625000,4.937500,0.642316,41300
1999-12-13,5.062500,5.062500,4.625000,4.750000,0.617924,59800
1999-12-20,4.750000,4.875000,4.500000,4.812500,0.626055,43600
1999-12-27,4.687500,4.875000,4.562500,4.562500,0.593533,55400
2000-01-03,4.562500,4.875000,4.562500,4.687500,0.627823,38000
2000-01-10,4.750000,4.812500,4.562500,4.625000,0.619452,52800
2000-01-17,4.875000,5.000000,4.750000,4.875000,0.652937,41500
2000-01-24,4.875000,4.937500,4.625000,4.750000,0.636194,43600
2000-01-31,4.687500,4.750000,4.500000,4.625000,0.619452,59400
2000-02-07,4.625000,5.000000,4.625000,4.937500,0.661307,40300
2000-02-14,4.937500,5.125000,4.812500,5.062500,0.678050,46100
2000-02-21,5.375000,5.812500,5.250000,5.375000,0.719905,82700
2000-02-28,5.250000,5.562500,5.062500,5.312500,0.711533,69400
2000-03-06,5.312500,5.375000,4.750000,5.000000,0.669678,44700
2000-03-13,5.000000,5.250000,4.625000,4.937500,0.661307,93200
2000-03-20,5.000000,5.437500,5.000000,5.375000,0.719905,44200
2000-03-27,5.437500,5.625000,5.125000,5.437500,0.728275,64900
2000-04-03,5.312500,5.375000,4.937500,5.125000,0.686421,37100
2000-04-10,5.000000,5.250000,4.750000,4.937500,0.661307,58000
2000-04-17,4.875000,4.875000,4.500000,4.687500,0.665007,48700
2000-04-24,4.812500,5.250000,4.812500,5.187500,0.735940,32400
2000-05-01,5.125000,5.437500,5.000000,5.375000,0.762541,46300
2000-05-08,5.187500,5.250000,4.750000,5.000000,0.709340,38900
2000-05-15,5.000000,5.250000,4.937500,4.937500,0.700473,54100
2000-05-22,4.875000,5.250000,4.750000,5.125000,0.727074,54200
2000-05-29,5.062500,5.125000,4.937500,5.000000,0.709340,19200
2000-06-05,5.125000,5.500000,5.062500,5.437500,0.771408,35700
