Date,Open,High,Low,Close,Adj Close,Volume
1999-12-27,9.937500,10.000000,9.375000,9.750000,5.823928,722600
2000-01-03,10.000000,10.000000,9.375000,9.437500,5.637265,370000
2000-01-10,9.500000,9.500000,8.937500,9.375000,5.599930,336000
2000-01-17,9.375000,9.375000,9.125000,9.125000,5.450597,71000
2000-01-24,9.125000,9.250000,9.000000,9.187500,5.487929,121900
2000-01-31,9.125000,9.312500,9.125000,9.125000,5.450597,146500
2000-02-07,9.250000,9.250000,9.062500,9.250000,5.525265,183900
2000-02-14,9.062500,9.187500,9.000000,9.125000,5.450597,232500
2000-02-21,9.125000,9.187500,9.062500,9.125000,5.450597,94400
2000-02-28,9.187500,9.187500,9.000000,9.125000,5.450597,130700
2000-03-06,9.062500,9.125000,8.687500,8.750000,5.226601,461500
2000-03-13,8.750000,9.000000,8.687500,9.000000,5.417779,307700
2000-03-20,8.906200,9.375000,8.750000,9.375000,5.643521,118400
2000-03-27,9.187500,9.312500,8.812500,8.812500,5.304909,55800
2000-04-03,8.875000,9.375000,8.875000,9.375000,5.643521,134900
2000-04-10,9.312500,9.375000,9.125000,9.125000,5.493026,127700
2000-04-17,9.125000,9.250000,8.875000,9.000000,5.417779,16100
2000-04-24,9.125000,9.500000,9.125000,9.437500,5.681147,82700
2000-05-01,9.250000,9.562500,9.250000,9.500000,5.718766,125300
2000-05-08,9.562500,9.750000,9.500000,9.625000,5.794015,97400
2000-05-15,9.812500,10.000000,9.812500,9.875000,5.944509,374700
2000-05-22,9.937500,10.125000,9.750000,10.062500,6.057379,850100
2000-05-29,10.062500,11.125000,10.000000,10.937500,6.584110,503000
2000-06-05,10.875000,11.000000,9.875000,10.687500,6.433613,80100
2000-06-12,10.750000,12.187500,10.687500,11.625000,7.043303,759000
2000-06-19,11.625000,12.062500,11.375000,11.875000,7.194770,203200
2000-06-26,11.625000,11.750000,11.562500,11.750000,7.119034,71600
2000-07-03,11.562500,11.750000,11.250000,11.250000,6.816097,101000
2000-07-10,11.437500,11.625000,11.187500,11.625000,7.043303,93700
2000-07-17,11.625000,11.875000,11.500000,11.875000,7.194770,142600
2000-07-24,11.875000,12.000000,11.875000,11.875000,7.194770,53200
2000-07-31,11.937500,12.062500,11.875000,12.000000,7.270508,102700
2000-08-07,12.000000,13.125000,12.000000,12.812500,7.762778,603100
2000-08-14,12.750000,13.312500,12.750000,13.187500,7.989982,267300
2000-08-21,13.375000,13.687500,13.250000,13.687500,8.292923,299900
2000-08-28,13.500000,13.687500,13.500000,13.625000,8.255055,104000
2000-09-04,13.687500,13.750000,13.375000,13.437500,8.141448,169100
2000-09-11,13.375000,13.500000,13.250000,13.312500,8.106983,44700
2000-09-18,13.375000,13.375000,13.062500,13.062500,7.954746,28700
2000-09-25,13.187500,13.437500,13.062500,13.375000,8.145048,280100
2000-10-02,13.312500,13.500000,13.312500,13.375000,8.145048,164100
2000-10-09,13.500000,13.500000,12.875000,13.000000,7.916685,91700
2000-10-16,12.875000,13.250000,12.875000,13.000000,7.916685,59800
2000-10-23,13.000000,13.125000,12.812500,12.812500,7.802499,203100
2000-10-30,13.062500,13.125000,12.875000,13.000000,7.916685,133000
2000-11-06,13.000000,13.125000,13.000000,13.000000,7.916685,49700
2000-11-13,13.000000,13.125000,12.937500,13.000000,7.916685,133300
2000-11-20,13.000000,13.000000,12.875000,12.875000,7.883010,46500
2000-11-27,12.812500,13.062500,12.812500,12.875000,7.883010,82700
2000-12-04,12.812500,13.375000,12.750000,13.250000,8.112610,98800
2000-12-11,13.375000,14.687500,13.375000,14.187500,8.686617,187000
2000-12-18,14.062500,14.375000,14.062500,14.375000,8.801419,161500
2000-12-25,14.500000,14.875000,14.312500,14.750000,9.031019,95300
2001-01-01,14.687500,14.812500,14.375000,14.375000,8.801419,186000
2001-01-08,14.375000,14.562500,14.375000,14.500000,8.877949,33500
2001-01-15,14.500000,14.687500,14.437500,14.625000,8.954486,214800
2001-01-22,14.625000,14.625000,14.375000,14.375000,8.801419,117800
2001-01-29,14.375000,14.625000,14.375000,14.625000,8.954486,121300
2001-02-05,14.562500,14.625000,14.500000,14.625000,8.954486,72800
2001-02-12,14.625000,15.125000,14.500000,14.625000,8.954486,379500
2001-02-19,14.578100,14.625000,14.250000,14.250000,8.724886,323100
2001-02-26,14.312500,14.750000,14.312500,14.562500,8.916221,855200
2001-03-05,14.625000,14.687500,14.437500,14.437500,8.839685,315800
2001-03-12,14.437500,14.500000,14.375000,14.437500,8.888513,45800
2001-03-19,14.375000,14.500000,14.125000,14.187500,8.734599,62400
2001-03-26,14.375000,14.375000,13.875000,13.875000,8.542209,15600
2001-04-02,13.875000,14.187500,13.875000,14.062500,8.657648,56300
2001-04-09,14.000000,14.100000,13.930000,14.000000,8.619164,52900
2001-04-16,14.000000,14.250000,13.950000,14.150000,8.711515,101000
2001-04-23,14.160000,14.250000,14.000000,14.100000,8.680734,45600
2001-04-30,14.100000,14.490000,14.100000,14.410000,8.871586,126800
2001-05-07,14.410000,14.630000,14.390000,14.600000,8.988562,117400
2001-05-14,14.600000,14.670000,14.420000,14.570000,8.970087,67800
2001-05-21,14.450000,14.600000,14.450000,14.580000,8.976246,63300
2001-05-28,14.510000,14.540000,14.400000,14.460000,8.902368,47000
2001-06-04,14.460000,14.590000,14.400000,14.530000,8.945461,248300
2001-06-11,14.510000,14.570000,14.500000,14.510000,8.982815,27700
