Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.592592,3.777778,3.592592,3.629630,0.163055,28800
1980-03-24,3.629630,3.777778,3.444444,3.481482,0.156400,55800
1980-03-31,3.518518,3.777778,3.518518,3.629630,0.163055,40700
1980-04-07,3.666667,4.148148,3.666667,4.000000,0.179693,93000
1980-04-14,4.000000,4.333333,4.000000,4.185185,0.188012,119400
1980-04-21,4.185185,4.518518,4.185185,4.370370,0.196331,114700
1980-04-28,4.370370,4.592593,4.370370,4.444445,0.199659,59500
1980-05-05,4.444445,4.703704,4.444445,4.518518,0.202987,70400
1980-05-12,4.518518,4.666667,4.407407,4.444445,0.199659,84800
1980-05-19,4.444445,4.592593,4.407407,4.444445,0.199659,51600
1980-05-26,4.444445,4.555555,4.370370,4.370370,0.196331,41300
1980-06-02,4.407407,4.629630,4.407407,4.481482,0.201323,59500
1980-06-09,4.481482,4.666667,4.481482,4.518518,0.202987,106200
1980-06-16,4.518518,4.740741,4.518518,4.592593,0.206314,78400
1980-06-23,4.592593,4.777778,4.592593,4.592593,0.206314,70100
1980-06-30,4.592593,4.666667,4.518518,4.518518,0.202987,52000
1980-07-07,4.592593,4.629630,4.555555,4.555555,0.204651,39600
1980-07-14,4.555555,4.592593,4.555555,4.555555,0.204651,71700
1980-07-21,4.555555,4.592593,4.407407,4.407407,0.197995,53600
1980-07-28,4.407407,4.481482,4.148148,4.148148,0.186349,93500
1980-08-04,4.148148,4.296296,4.111111,4.259259,0.191340,63900
1980-08-11,4.259259,4.333333,4.259259,4.259259,0.191340,43200
1980-08-18,4.259259,4.333333,4.185185,4.185185,0.188012,76900
1980-08-25,4.185185,4.259259,4.037037,4.037037,0.181357,77200
1980-09-01,4.037037,4.222222,4.037037,4.074074,0.183021,90500
1980-09-08,4.074074,4.148148,4.000000,4.074074,0.183021,66900
1980-09-15,4.074074,4.185185,4.074074,4.111111,0.184685,59200
1980-09-22,4.111111,4.111111,4.037037,4.037037,0.181357,51500
1980-09-29,4.037037,4.074074,4.000000,4.000000,0.179693,64300
1980-10-06,4.111111,4.370370,4.111111,4.259259,0.191340,63700
1980-10-13,4.259259,4.370370,4.259259,4.259259,0.191340,38800
1980-10-20,4.259259,4.296296,4.074074,4.074074,0.183021,51600
1980-10-27,4.074074,4.148148,4.000000,4.000000,0.179693,32100
1980-11-03,4.000000,4.074074,3.962963,3.962963,0.178030,51500
1980-11-10,3.962963,4.074074,3.925926,4.037037,0.181357,77400
