Date,Open,High,Low,Close,Adj Close,Volume
1984-11-12,0.750000,0.828125,0.750000,0.781250,0.138855,991200
1984-11-19,0.781250,0.828125,0.781250,0.796875,0.141632,364000
1984-11-26,0.781250,0.781250,0.734375,0.734375,0.130524,410400
1984-12-03,0.718750,0.718750,0.687500,0.687500,0.122192,149600
1984-12-10,0.687500,0.750000,0.687500,0.687500,0.122192,400800
1984-12-17,0.687500,0.750000,0.687500,0.703125,0.124969,124800
1984-12-24,0.703125,0.750000,0.703125,0.703125,0.124969,6400
1984-12-31,0.718750,0.750000,0.718750,0.718750,0.127746,11200
1985-01-07,0.718750,0.812500,0.718750,0.750000,0.133301,111200
1985-01-14,0.781250,0.875000,0.781250,0.781250,0.138855,307200
1985-01-21,0.812500,0.875000,0.812500,0.812500,0.144409,240800
1985-01-28,0.812500,0.937500,0.812500,0.875000,0.155518,324000
1985-02-04,0.937500,1.000000,0.937500,0.937500,0.166626,448000
1985-02-11,0.937500,1.000000,0.937500,0.937500,0.166626,260000
1985-02-18,0.937500,1.000000,0.937500,0.968750,0.172180,423200
1985-02-25,0.968750,1.062500,0.968750,0.968750,0.172180,229600
1985-03-04,1.000000,1.187500,1.000000,1.125000,0.199951,646400
1985-03-11,1.125000,1.187500,1.125000,1.125000,0.199951,564800
1985-03-18,1.125000,1.156250,1.062500,1.062500,0.188843,390400
1985-03-25,1.062500,1.156250,1.062500,1.093750,0.194397,95200
1985-04-01,1.093750,1.187500,1.093750,1.140625,0.202728,501600
1985-04-08,1.140625,1.156250,1.125000,1.125000,0.199951,140800
1985-04-15,1.125000,1.203125,1.125000,1.171875,0.208283,385600
1985-04-22,1.203125,1.250000,1.187500,1.187500,0.211060,152000
1985-04-29,1.187500,1.218750,1.125000,1.156250,0.205505,158400
1985-05-06,1.156250,1.171875,1.140625,1.140625,0.202728,72800
1985-05-13,1.140625,1.156250,1.093750,1.093750,0.194397,186400
1985-05-20,1.093750,1.140625,1.093750,1.109375,0.197174,320800
1985-05-27,1.109375,1.140625,1.109375,1.125000,0.199951,260000
