Date,Open,High,Low,Close,Adj Close,Volume
1995-05-22,1.171880,1.171880,1.125000,1.125000,1.125000,8500
1995-05-29,1.250000,1.250000,1.125000,1.125000,1.125000,3100
1995-06-05,1.125000,1.250000,1.125000,1.125000,1.125000,400
1995-06-12,1.125000,1.171880,1.046880,1.171880,1.171880,54300
1995-06-19,1.046880,1.171880,1.046880,1.125000,1.125000,24900
1995-06-26,1.125000,1.250000,1.125000,1.203120,1.203120,39900
1995-07-03,1.203120,1.375000,1.125000,1.375000,1.375000,49400
1995-07-10,1.296880,1.421880,1.250000,1.250000,1.250000,28500
1995-07-17,1.250000,1.296880,1.171880,1.171880,1.171880,65200
1995-07-24,1.046880,1.296880,1.046880,1.265620,1.265620,18000
1995-07-31,1.296880,1.296880,1.171880,1.171880,1.171880,19800
1995-08-07,1.171880,1.250000,1.125000,1.125000,1.125000,1900
1995-08-14,1.125000,1.250000,1.046880,1.046880,1.046880,86400
1995-08-21,1.046880,1.250000,1.046880,1.250000,1.250000,4000
1995-08-28,1.125000,1.375000,1.046880,1.375000,1.375000,68300
1995-09-04,1.296880,1.500000,1.296880,1.421880,1.421880,60800
1995-09-11,1.500000,1.796880,1.375000,1.671880,1.671880,169900
1995-09-18,1.671880,1.750000,1.546880,1.750000,1.750000,51900
1995-09-25,1.625000,1.671880,1.421880,1.421880,1.421880,122200
1995-10-02,1.421880,1.546880,1.375000,1.375000,1.375000,18600
1995-10-09,1.500000,1.546880,1.375000,1.375000,1.375000,24200
1995-10-16,1.546880,1.546880,1.296880,1.375000,1.375000,39800
1995-10-23,1.375000,1.421880,1.296880,1.296880,1.296880,16700
1995-10-30,1.296880,1.375000,1.250000,1.375000,1.375000,20600
1995-11-06,1.250000,1.375000,1.046880,1.296880,1.296880,83800
1995-11-13,1.296880,1.500000,1.296880,1.500000,1.500000,33600
1995-11-20,1.500000,1.750000,1.421880,1.750000,1.750000,64900
1995-11-27,1.625000,1.750000,1.500000,1.500000,1.500000,17400
1995-12-04,1.500000,1.625000,1.500000,1.546880,1.546880,12700
1995-12-11,1.546880,1.625000,1.421880,1.625000,1.625000,102700
1995-12-18,1.625000,1.625000,1.296880,1.375000,1.375000,41900
1995-12-25,1.375000,1.375000,1.375000,1.375000,1.375000,22100
1996-01-01,1.375000,1.421880,1.375000,1.375000,1.375000,22000
1996-01-08,1.500000,1.625000,1.375000,1.546880,1.546880,63200
1996-01-15,1.625000,1.671880,1.421880,1.625000,1.625000,88000
1996-01-22,1.625000,1.921880,1.625000,1.875000,1.875000,111300
1996-01-29,1.921880,2.375000,1.796880,2.171880,2.171880,259700
1996-02-05,2.171880,2.375000,2.125000,2.265620,2.265620,199900
1996-02-12,2.265620,2.546880,2.250000,2.546880,2.546880,323100
1996-02-19,2.546880,2.546880,2.171880,2.296880,2.296880,119500
1996-02-26,2.125000,2.250000,2.000000,2.171880,2.171880,72100
1996-03-04,2.046880,2.171880,2.000000,2.125000,2.125000,62000
1996-03-11,2.125000,2.125000,2.000000,2.046880,2.046880,25700
1996-03-18,2.000000,2.140620,1.796880,1.953120,1.953120,103300
1996-03-25,1.921880,2.671880,1.875000,2.546880,2.546880,145200
1996-04-01,2.625000,2.750000,2.500000,2.546880,2.546880,133000
1996-04-08,2.625000,2.625000,2.375000,2.375000,2.375000,107400
1996-04-15,2.250000,2.375000,2.000000,2.000000,2.000000,106600
1996-04-22,2.171880,2.796880,2.000000,2.421880,2.421880,447100
1996-04-29,2.500000,2.671880,2.421880,2.546880,2.546880,179500
1996-05-06,2.625000,2.875000,2.500000,2.796880,2.796880,390200
1996-05-13,2.875000,4.046880,2.750000,3.500000,3.500000,722500
1996-05-20,3.421880,4.250000,3.171880,4.078120,4.078120,512100
1996-05-27,4.000000,5.375000,3.875000,5.046880,5.046880,648200
1996-06-03,4.921880,5.125000,4.250000,4.625000,4.625000,300400
1996-06-10,4.671880,5.125000,4.546880,4.875000,4.875000,349200
1996-06-17,4.625000,4.875000,4.375000,4.875000,4.875000,338900
1996-06-24,4.875000,6.125000,4.687500,5.875000,5.875000,932100
1996-07-01,5.875000,5.875000,4.875000,5.125000,5.125000,266300
1996-07-08,5.250000,5.312500,3.875000,3.937500,3.937500,414000
1996-07-15,4.062500,5.000000,3.500000,4.687500,4.687500,370700
1996-07-22,4.687500,4.687500,3.812500,3.812500,3.812500,193100
1996-07-29,3.937500,3.937500,3.625000,3.812500,3.812500,36800
1996-08-05,3.687500,3.812500,3.562500,3.750000,3.750000,30600
1996-08-12,3.625000,3.875000,3.562500,3.812500,3.812500,47800
1996-08-19,3.812500,3.875000,3.625000,3.750000,3.750000,68200
1996-08-26,3.750000,3.875000,3.625000,3.750000,3.750000,67100
1996-09-02,3.562500,3.687500,3.562500,3.562500,3.562500,78200
1996-09-09,3.562500,4.125000,3.562500,3.875000,3.875000,69200
1996-09-16,4.125000,4.125000,3.875000,4.125000,4.125000,9400
1996-09-23,4.125000,4.125000,3.875000,3.875000,3.875000,12900
1996-09-30,4.000000,4.218750,3.937500,4.000000,4.000000,103500
1996-10-07,3.875000,4.062500,3.375000,3.375000,3.375000,54600
1996-10-14,3.375000,3.625000,3.250000,3.625000,3.625000,97900
1996-10-21,3.437500,3.437500,3.250000,3.250000,3.250000,164800
1996-10-28,3.187500,3.375000,3.125000,3.250000,3.250000,32900
1996-11-04,3.125000,3.375000,3.125000,3.250000,3.250000,17400
1996-11-11,3.375000,3.500000,3.125000,3.125000,3.125000,127500
1996-11-18,3.250000,3.437500,2.250000,2.312500,2.312500,1862100
1996-11-25,2.312500,2.625000,2.281250,2.500000,2.500000,828200
1996-12-02,2.500000,2.562500,2.250000,2.250000,2.250000,571900
1996-12-09,2.250000,2.375000,2.000000,2.125000,2.125000,673000
1996-12-16,2.000000,2.125000,2.000000,2.125000,2.125000,321500
1996-12-23,2.000000,2.062500,1.500000,1.750000,1.750000,522400
1996-12-30,1.812500,1.812500,1.468750,1.500000,1.500000,943100
1997-01-06,1.562500,2.125000,1.500000,1.687500,1.687500,789100
1997-01-13,1.750000,2.250000,1.687500,2.125000,2.125000,1584600
1997-01-20,2.125000,2.187500,1.875000,2.000000,2.000000,273900
1997-01-27,1.937500,2.062500,1.875000,2.000000,2.000000,458600
1997-02-03,1.937500,2.062500,1.875000,1.968750,1.968750,288800
1997-02-10,2.000000,2.187500,1.875000,2.062500,2.062500,870000
1997-02-17,2.062500,2.171880,2.031250,2.125000,2.125000,556500
1997-02-24,2.125000,2.125000,1.968750,2.062500,2.062500,469400
1997-03-03,2.062500,2.437500,2.062500,2.312500,2.312500,366700
1997-03-10,2.250000,2.687500,2.250000,2.281250,2.281250,512000
1997-03-17,2.375000,2.375000,2.000000,2.062500,2.062500,216200
1997-03-24,1.937500,2.187500,1.937500,1.937500,1.937500,80100
1997-03-31,2.000000,2.000000,1.687500,1.937500,1.937500,254000
1997-04-07,1.937500,1.937500,1.750000,1.843750,1.843750,95000
1997-04-14,1.843750,2.093750,1.750000,2.000000,2.000000,204700
1997-04-21,2.000000,2.000000,1.750000,1.750000,1.750000,153900
1997-04-28,1.750000,1.796880,1.437500,1.500000,1.500000,162000
1997-05-05,1.500000,1.562500,1.125000,1.375000,1.375000,311400
1997-05-12,1.312500,1.312500,1.187500,1.312500,1.312500,48400
1997-05-19,1.312500,1.375000,1.218750,1.250000,1.250000,124700
1997-05-26,1.328120,1.500000,1.312500,1.406250,1.406250,73100
1997-06-02,1.468750,2.000000,1.406250,1.843750,1.843750,186800
1997-06-09,1.843750,1.906250,1.656250,1.718750,1.718750,226500
1997-06-16,1.750000,1.843750,1.468750,1.468750,1.468750,155600
1997-06-23,1.468750,1.562500,1.375000,1.468750,1.468750,104300
1997-06-30,1.562500,1.562500,1.062500,1.218750,1.218750,436800
1997-07-07,1.250000,1.250000,1.125000,1.156250,1.156250,294400
1997-07-14,1.218750,1.218750,1.125000,1.187500,1.187500,172600
1997-07-21,1.218750,1.218750,0.968750,0.968750,0.968750,203100
1997-07-28,0.968750,1.093750,0.968750,1.093750,1.093750,99600
1997-08-04,1.000000,1.093750,1.000000,1.062500,1.062500,107600
1997-08-11,1.015620,1.062500,0.968750,1.062500,1.062500,44800
1997-08-18,1.125000,1.156250,1.000000,1.093750,1.093750,156200
1997-08-25,1.093750,1.093750,1.000000,1.093750,1.093750,79100
1997-09-01,1.062500,1.218750,1.062500,1.125000,1.125000,267300
1997-09-08,1.093750,1.125000,1.000000,1.000000,1.000000,267100
1997-09-15,1.031250,1.031250,0.906250,0.968750,0.968750,354000
1997-09-22,1.000000,1.000000,0.843750,0.875000,0.875000,250700
1997-09-29,0.875000,1.000000,0.843750,1.000000,1.000000,294900
1997-10-06,1.000000,1.125000,1.000000,1.125000,1.125000,340600
1997-10-13,1.125000,1.500000,1.125000,1.375000,1.375000,488000
1997-10-20,1.312500,1.437500,1.125000,1.343750,1.343750,271100
1997-10-27,1.437500,1.625000,1.125000,1.500000,1.500000,313200
1997-11-03,1.500000,1.750000,1.312500,1.625000,1.625000,226200
1997-11-10,1.750000,1.750000,1.312500,1.437500,1.437500,165500
1997-11-17,1.437500,1.687500,1.437500,1.625000,1.625000,238400
