Date,Open,High,Low,Close,Adj Close,Volume
1994-03-21,6.500000,9.250000,6.500000,8.625000,8.625000,1546500
1994-03-28,8.250000,8.875000,7.500000,8.500000,8.500000,322900
1994-04-04,7.625000,9.000000,7.000000,8.375000,8.375000,248000
1994-04-11,8.375000,9.000000,8.000000,8.500000,8.500000,78600
1994-04-18,8.250000,8.750000,8.125000,8.750000,8.750000,48800
1994-04-25,8.750000,8.750000,8.125000,8.750000,8.750000,46500
1994-05-02,8.250000,9.125000,8.250000,8.500000,8.500000,62700
1994-05-09,8.500000,9.000000,8.250000,8.500000,8.500000,121900
1994-05-16,8.250000,8.750000,8.250000,8.500000,8.500000,39700
1994-05-23,8.250000,9.000000,8.250000,8.531200,8.531200,48400
1994-05-30,8.500000,9.000000,8.500000,8.750000,8.750000,116700
1994-06-06,9.000000,9.000000,7.750000,8.250000,8.250000,39700
1994-06-13,8.250000,8.750000,7.750000,8.750000,8.750000,66500
1994-06-20,8.750000,8.750000,8.000000,8.000000,8.000000,61300
1994-06-27,8.000000,8.500000,8.000000,8.000000,8.000000,56300
1994-07-04,8.500000,8.500000,8.000000,8.000000,8.000000,19600
1994-07-11,8.000000,8.500000,8.000000,8.125000,8.125000,40200
1994-07-18,8.125000,8.500000,8.000000,8.000000,8.000000,32300
1994-07-25,8.000000,8.125000,7.500000,7.625000,7.625000,77300
1994-08-01,7.500000,8.500000,7.500000,8.250000,8.250000,84500
1994-08-08,8.500000,8.500000,8.250000,8.375000,8.375000,27200
1994-08-15,8.500000,8.500000,8.250000,8.500000,8.500000,47300
1994-08-22,8.250000,8.500000,7.750000,8.000000,8.000000,62700
1994-08-29,8.000000,8.000000,8.000000,8.000000,8.000000,29700
1994-09-05,8.000000,8.250000,7.750000,8.250000,8.250000,9000
1994-09-12,7.750000,8.250000,7.750000,8.000000,8.000000,80100
1994-09-19,8.000000,8.000000,8.000000,8.000000,8.000000,28200
1994-09-26,8.250000,8.250000,8.000000,8.125000,8.125000,15100
1994-10-03,8.125000,8.250000,8.000000,8.250000,8.250000,16600
1994-10-10,8.250000,8.375000,7.750000,8.000000,8.000000,113300
1994-10-17,8.000000,8.000000,7.750000,7.750000,7.750000,26300
1994-10-24,7.750000,8.125000,7.625000,7.625000,7.625000,17400
1994-10-31,8.000000,8.000000,7.500000,7.875000,7.875000,7700
1994-11-07,7.500000,8.500000,7.000000,8.375000,8.375000,61300
1994-11-14,8.500000,9.000000,8.125000,8.500000,8.500000,133800
1994-11-21,9.000000,9.000000,8.500000,8.500000,8.500000,26300
1994-11-28,8.500000,8.875000,8.500000,8.875000,8.875000,9000
1994-12-05,9.000000,9.375000,8.500000,8.875000,8.875000,45200
1994-12-12,9.250000,9.250000,8.875000,8.875000,8.875000,17100
