Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,4.222222,4.388889,4.111111,4.111111,3.676256,276800
1980-03-24,3.944444,3.944444,3.000000,3.555556,3.179465,427800
1980-03-31,3.777778,4.000000,3.722222,3.722222,3.328502,276600
1980-04-07,3.722222,3.833333,3.555556,3.666667,3.278823,234100
1980-04-14,3.666667,3.722222,3.277778,3.277778,2.931069,207800
1980-04-21,3.277778,3.777778,3.166667,3.555556,3.179465,443200
1980-04-28,3.777778,4.111111,3.777778,3.944444,3.527219,418400
1980-05-05,4.055555,4.222222,3.944444,3.944444,3.527219,378500
1980-05-12,4.000000,4.388889,4.000000,4.222222,3.775615,307100
1980-05-19,4.222222,4.333333,3.944444,3.944444,3.527219,299200
1980-05-26,3.944444,4.222222,3.944444,3.944444,3.527219,192100
1980-06-02,3.944444,4.000000,3.777778,3.777778,3.378181,210600
1980-06-09,3.777778,4.555555,3.777778,4.388889,3.924652,449600
1980-06-16,4.388889,4.444445,3.944444,3.944444,3.527219,305500
1980-06-23,4.111111,4.555555,4.111111,4.222222,3.775615,319500
1980-06-30,4.222222,4.277778,4.055555,4.111111,3.676256,112600
1980-07-07,4.333333,4.500000,4.222222,4.388889,3.924652,356500
1980-07-14,4.555555,4.666667,4.500000,4.611111,4.123369,338000
1980-07-21,4.611111,4.833333,4.611111,4.611111,4.123369,308000
1980-07-28,4.611111,4.722222,4.611111,4.666667,4.173048,271000
1980-08-04,4.666667,5.722222,4.611111,5.666667,5.067272,1075200
1980-08-11,5.777778,6.500000,5.722222,6.333333,5.890632,1003700
1980-08-18,5.777778,6.333333,5.722222,6.222222,5.787287,811700
1980-08-25,6.388889,6.611111,6.222222,6.388889,5.942304,773700
1980-09-01,6.611111,6.833333,6.611111,6.777778,6.304009,451200
1980-09-08,6.444445,6.500000,6.277778,6.444445,5.993976,400800
1980-09-15,6.611111,6.777778,6.611111,6.666667,6.200665,486700
1980-09-22,6.611111,6.611111,5.833333,5.833333,5.425582,429000
1980-09-29,5.666667,6.388889,5.611111,6.333333,5.890632,509200
1980-10-06,6.500000,6.555555,6.388889,6.500000,6.045648,364500
1980-10-13,6.500000,6.500000,6.055555,6.055555,5.632270,256300
