Date,Open,High,Low,Close,Adj Close,Volume
1994-05-02,3.812500,4.000000,3.750000,3.750000,3.750000,1237400
1994-05-09,3.750000,4.000000,3.734350,3.734350,3.734350,519600
1994-05-16,4.000000,4.000000,3.734350,3.750000,3.750000,414400
1994-05-23,3.750000,4.000000,3.750000,3.750000,3.750000,379200
1994-05-30,3.750000,3.875000,3.750000,3.750000,3.750000,427600
1994-06-06,3.750000,3.750000,3.000000,3.375000,3.375000,182400
1994-06-13,3.375000,3.375000,3.125000,3.125000,3.125000,102000
1994-06-20,3.125000,3.250000,2.562500,2.875000,2.875000,66400
1994-06-27,2.875000,2.875000,2.750000,2.875000,2.875000,90800
1994-07-04,2.875000,2.875000,2.750000,2.812500,2.812500,17200
1994-07-11,2.812500,2.875000,2.750000,2.875000,2.875000,46200
1994-07-18,2.875000,2.875000,2.625000,2.750000,2.750000,255400
1994-07-25,2.750000,2.875000,2.750000,2.875000,2.875000,200
1994-08-01,2.875000,3.000000,2.625000,3.000000,3.000000,66400
1994-08-08,3.125000,3.375000,2.750000,3.375000,3.375000,38200
1994-08-15,3.375000,3.625000,3.125000,3.437500,3.437500,43400
1994-08-22,3.750000,3.875000,3.500000,3.875000,3.875000,35800
1994-08-29,4.125000,4.250000,3.875000,3.875000,3.875000,117400
1994-09-05,3.875000,5.000000,3.875000,5.000000,5.000000,60400
1994-09-12,5.000000,5.500000,4.750000,5.000000,5.000000,61400
1994-09-19,5.000000,5.000000,4.750000,4.750000,4.750000,4200
1994-09-26,4.750000,4.875000,4.625000,4.875000,4.875000,14800
1994-10-03,4.625000,4.875000,4.500000,4.875000,4.875000,13800
1994-10-10,4.875000,5.750000,4.875000,5.625000,5.625000,73400
1994-10-17,5.625000,5.625000,4.218750,4.375000,4.375000,141800
1994-10-24,4.500000,4.625000,4.125000,4.125000,4.125000,27200
1994-10-31,4.250000,4.375000,3.625000,4.375000,4.375000,59400
1994-11-07,4.375000,5.500000,4.125000,5.312500,5.312500,89000
1994-11-14,5.500000,5.625000,4.625000,5.000000,5.000000,73800
1994-11-21,4.500000,4.625000,4.250000,4.437500,4.437500,22800
1994-11-28,4.625000,4.625000,4.500000,4.625000,4.625000,86000
1994-12-05,4.625000,4.625000,4.250000,4.625000,4.625000,15400
1994-12-12,4.250000,4.625000,4.250000,4.625000,4.625000,14000
1994-12-19,4.625000,4.625000,3.812500,3.875000,3.875000,43400
1994-12-26,4.000000,4.750000,3.875000,4.625000,4.625000,76400
1995-01-02,4.750000,4.750000,4.375000,4.625000,4.625000,15800
1995-01-09,4.625000,4.625000,4.375000,4.437500,4.437500,404000
1995-01-16,4.625000,5.687500,4.562500,5.500000,5.500000,110000
1995-01-23,5.500000,5.500000,4.875000,5.000000,5.000000,53000
1995-01-30,4.875000,5.125000,4.875000,4.875000,4.875000,8000
1995-02-06,4.750000,5.000000,4.750000,5.000000,5.000000,7000
