Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,8.277778,8.611111,8.222222,8.444445,3.048015,19500
1980-03-24,8.333333,8.333333,7.333333,7.666667,2.767277,58900
1980-03-31,7.666667,8.055555,7.611111,8.000000,2.887594,19700
1980-04-07,7.888889,8.277778,7.777778,8.277778,2.987858,17000
1980-04-14,8.388889,8.388889,7.888889,8.055555,2.907645,16900
1980-04-21,8.055555,8.777778,8.055555,8.555555,3.088121,28500
1980-04-28,8.555555,8.555555,8.277778,8.444445,3.048015,16600
1980-05-05,8.444445,8.777778,8.444445,8.666667,3.128225,53900
1980-05-12,8.666667,9.555555,8.555555,9.500000,3.429017,36900
1980-05-19,9.500000,9.722222,9.166667,9.666667,3.489176,41200
1980-05-26,9.666667,9.722222,9.111111,9.666667,3.489176,26000
1980-06-02,9.388889,9.388889,8.833333,9.111111,3.288646,19600
1980-06-09,9.055555,9.055555,8.777778,9.000000,3.248544,32200
1980-06-16,9.000000,9.222222,8.888889,9.111111,3.288646,33500
1980-06-23,9.111111,9.444445,8.888889,9.111111,3.288646,26300
1980-06-30,9.111111,9.333333,8.777778,9.333333,3.368859,21300
1980-07-07,9.333333,9.777778,9.222222,9.777778,3.529281,44200
1980-07-14,9.777778,9.944445,9.388889,9.777778,3.529281,49300
1980-07-21,9.833333,10.000000,9.722222,9.944445,3.589439,45100
1980-07-28,9.944445,10.444445,9.777778,10.222222,3.689703,65800
1980-08-04,10.222222,10.444445,10.000000,10.222222,3.689703,52200
1980-08-11,10.222222,10.333333,9.833333,10.166667,3.669650,38600
1980-08-18,10.166667,11.000000,9.944445,10.777778,3.890230,87300
1980-08-25,10.777778,11.000000,10.388889,10.444445,3.769914,64900
1980-09-01,10.444445,11.000000,10.333333,10.888889,3.930335,53200
1980-09-08,10.888889,10.888889,10.500000,10.722222,3.870177,43800
1980-09-15,10.666667,10.666667,10.166667,10.666667,3.850124,54300
1980-09-22,10.666667,10.666667,9.666667,9.888889,3.569386,62200
1980-09-29,9.777778,10.833333,9.444445,10.611111,3.830072,39100
1980-10-06,10.611111,10.722222,10.111111,10.166667,3.669650,97400
1980-10-13,10.166667,10.500000,10.111111,10.333333,3.729810,26200
1980-10-20,10.222222,10.333333,10.111111,10.277778,3.709756,20000
1980-10-27,10.277778,10.277778,9.333333,9.611111,3.469122,54200
1980-11-03,10.055555,11.222222,10.055555,10.777778,3.890230,121000
1980-11-10,10.777778,11.388889,10.666667,11.277778,4.070704,62400
1980-11-17,11.277778,11.444445,11.111111,11.444445,4.130863,62900
1980-11-24,11.444445,11.722222,11.277778,11.722222,4.231127,45800
1980-12-01,11.666667,11.666667,10.944445,11.000000,3.970440,46600
1980-12-08,10.888889,10.888889,10.000000,10.388889,3.749861,51300
