Date,Open,High,Low,Close,Adj Close,Volume
2007-12-24,29.840000,30.070000,29.420000,29.469999,18.812004,133000
2007-12-31,29.340000,30.100000,28.250000,28.450001,18.160892,925500
2008-01-07,28.530001,29.500000,28.350000,28.879999,18.435375,1228200
2008-01-14,29.100000,29.379999,28.090000,28.400000,18.128971,2309700
2008-01-21,27.559999,28.410000,26.860001,27.840000,17.771498,1780700
2008-01-28,27.760000,29.100000,27.510000,29.000000,18.511980,1122100
2008-02-04,28.889999,29.700001,28.490000,28.990000,18.505594,946100
2008-02-11,29.070000,29.070000,27.299999,27.540001,17.580000,1191800
2008-02-18,27.850000,28.190001,27.299999,27.690001,17.675749,654600
2008-02-25,27.760000,27.990000,25.670000,25.790001,16.462896,1418100
2008-03-03,25.760000,26.280001,25.160000,25.549999,16.309689,1119500
2008-03-10,25.639999,26.330000,24.750000,24.959999,15.933068,1189200
2008-03-17,24.760000,25.049999,24.040001,24.260000,15.689348,1633200
2008-03-24,24.370001,24.920000,24.090000,24.420000,15.792821,1183600
2008-03-31,24.500000,25.809999,24.219999,25.410000,16.433069,1258500
2008-04-07,25.540001,26.049999,24.059999,25.650000,16.588289,1054000
2008-04-14,25.590000,26.129999,25.360001,25.920000,16.762905,796400
2008-04-21,25.740000,25.830000,24.820000,25.320000,16.374868,801700
2008-04-28,25.209999,25.780001,24.389999,24.690001,15.967431,1288800
2008-05-05,24.290001,25.000000,23.709999,23.780001,15.378925,3801100
2008-05-12,23.940001,25.129999,23.850000,24.139999,15.611739,1391700
2008-05-19,24.170000,26.549999,24.020000,26.030001,16.834038,1365900
2008-05-26,26.030001,26.670000,25.870001,26.510000,17.144459,906700
2008-06-02,26.410000,26.790001,25.990000,26.000000,16.814632,696500
2008-06-09,26.020000,26.799999,25.900000,26.650000,17.234997,772100
2008-06-16,26.650000,26.650000,26.150000,26.299999,17.221338,689700
2008-06-23,26.580000,26.750000,25.260000,25.260000,16.540344,860400
2008-06-30,25.260000,25.639999,24.590000,24.650000,16.140915,865000
2008-07-07,24.680000,25.299999,23.980000,25.000000,16.370090,971500
2008-07-14,25.139999,25.200001,24.200001,24.469999,16.023048,798800
2008-07-21,24.610001,25.110001,24.320000,24.360001,15.951017,1296200
2008-07-28,24.230000,28.500000,23.780001,24.370001,15.957568,1221400
2008-08-04,24.299999,24.450001,23.690001,24.049999,15.748031,2152200
2008-08-11,24.040001,25.680000,23.959999,25.440001,16.658207,2187400
2008-08-18,25.600000,25.700001,24.969999,25.150000,16.468315,1164600
2008-08-25,25.129999,26.389999,24.950001,26.299999,17.221338,1137800
2008-09-01,26.540001,26.690001,25.080000,25.360001,16.605818,1025500
2008-09-08,25.490000,26.200001,24.879999,26.139999,17.116564,2768300
2008-09-15,26.000000,26.299999,21.790001,26.219999,17.393433,2836200
2008-09-22,26.280001,26.549999,25.799999,26.040001,17.274021,1475400
2008-09-29,25.799999,26.059999,24.260000,24.570000,16.298880,1579200
2008-10-06,24.350000,24.570000,16.469999,18.709999,12.411561,2983400
2008-10-13,19.070000,21.170000,18.799999,20.080000,13.320363,1709600
2008-10-20,20.180000,21.670000,17.430000,17.790001,11.801262,2200500
2008-10-27,17.600000,19.900000,17.010000,19.540001,12.962151,2936300
