Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,4.543210,4.543210,4.320988,4.345679,0.422817,54700
1980-03-24,4.345679,4.345679,3.753086,3.950617,0.384379,42400
1980-03-31,3.950617,4.148148,3.851852,4.074074,0.396391,73500
1980-04-07,4.049383,4.049383,3.851852,3.876543,0.377172,43700
1980-04-14,3.876543,3.901235,3.604938,3.901235,0.379575,91600
1980-04-21,3.851852,3.851852,3.654321,3.753086,0.365161,45400
1980-04-28,3.703704,4.123457,3.703704,4.098765,0.398794,25800
1980-05-05,4.172840,4.419753,4.172840,4.345679,0.422817,36100
1980-05-12,4.296296,4.691358,4.222222,4.691358,0.456451,120700
1980-05-19,4.691358,4.716049,4.345679,4.716049,0.458853,52000
1980-05-26,4.666667,4.740741,4.395061,4.740741,0.461256,44300
1980-06-02,4.740741,4.790123,4.395061,4.419753,0.430024,45200
1980-06-09,4.469136,4.592593,4.246913,4.345679,0.422817,75100
1980-06-16,4.345679,4.419753,4.246913,4.296296,0.418013,33300
1980-06-23,4.271605,4.469136,4.049383,4.370370,0.425220,89600
1980-06-30,4.370370,4.395061,4.246913,4.345679,0.422817,33800
1980-07-07,4.345679,4.543210,4.197531,4.518518,0.439634,74000
1980-07-14,4.518518,4.691358,4.493827,4.543210,0.442037,114400
1980-07-21,4.592593,4.765432,4.469136,4.493827,0.437232,94500
1980-07-28,4.469136,4.740741,4.395061,4.740741,0.461256,70300
1980-08-04,4.790123,5.283951,4.790123,4.987654,0.485279,183500
1980-08-11,4.938272,5.333333,4.790123,5.111111,0.497291,207200
1980-08-18,5.111111,5.234568,4.790123,5.234568,0.509303,215800
1980-08-25,5.234568,5.580247,5.135802,5.382716,0.523717,232000
1980-09-01,5.382716,5.876543,5.259259,5.753087,0.559753,228800
1980-09-08,5.753087,5.827160,5.481482,5.777778,0.562155,198100
1980-09-15,5.777778,6.617284,5.777778,6.617284,0.643836,499200
1980-09-22,6.617284,6.888889,6.222222,6.345679,0.617409,798200
1980-09-29,6.222222,6.617284,5.876543,6.469136,0.629422,161300
1980-10-06,6.469136,6.716049,6.419753,6.419753,0.624617,187900
1980-10-13,6.419753,7.604939,6.419753,7.111111,0.691883,466800
1980-10-20,7.086420,7.234568,6.938272,6.938272,0.675067,259500
1980-10-27,6.864198,7.481482,6.518518,7.259259,0.706297,283400
1980-11-03,7.308642,7.950617,7.308642,7.407407,0.720712,412400
1980-11-10,7.407407,7.851852,7.259259,7.728395,0.751943,394700
1980-11-17,7.728395,8.197531,7.555555,7.901235,0.768759,255000
1980-11-24,7.901235,8.074074,7.753087,7.901235,0.768759,92100
1980-12-01,7.851852,8.320988,7.456790,8.049383,0.783174,218400
1980-12-08,7.901235,7.901235,6.814815,6.962963,0.677469,277600
1980-12-15,6.962963,7.456790,6.913580,7.382716,0.718309,135500
1980-12-22,7.432099,7.802469,7.432099,7.777778,0.756747,67100
1980-12-29,7.777778,7.827160,7.679012,7.679012,0.747138,48500
1981-01-05,7.679012,7.876543,6.962963,7.111111,0.691883,149900
1981-01-12,7.111111,7.407407,6.666667,7.000000,0.681073,644600
1981-01-19,7.000000,7.074074,6.000000,6.851852,0.666658,280500
1981-01-26,6.851852,7.185185,6.740741,7.111111,0.691883,140200
1981-02-02,7.111111,7.333333,6.703704,7.333333,0.713504,175500
1981-02-09,7.333333,8.074074,7.185185,7.777778,0.756747,373200
1981-02-16,7.851852,8.444445,7.777778,8.222222,0.799990,389300
1981-02-23,8.222222,10.370370,8.222222,10.037037,0.976564,928800
1981-03-02,10.037037,10.296296,9.407408,9.481482,0.922511,611900
1981-03-09,9.481482,10.000000,9.481482,9.851851,0.958547,257800
1981-03-16,9.851851,10.000000,9.259259,9.814815,0.954943,273500
1981-03-23,9.814815,9.925926,9.370370,9.592592,0.933322,164900
1981-03-30,9.592592,10.074074,9.555555,9.814815,0.954943,210300
1981-04-06,9.814815,9.814815,9.407408,9.703704,0.944132,146600
1981-04-13,9.703704,9.814815,9.185185,9.407408,0.915304,167800
1981-04-20,9.407408,9.925926,9.185185,9.629630,0.936925,447400
1981-04-27,9.629630,11.666667,9.481482,11.259259,1.095482,406500
1981-05-04,11.148149,11.629630,10.592592,11.407408,1.109896,444700
1981-05-11,11.407408,11.555555,11.037037,11.481482,1.117104,395200
1981-05-18,11.481482,11.555555,11.111111,11.481482,1.117104,232400
1981-05-25,11.481482,13.111111,11.259259,12.814815,1.246831,247300
1981-06-01,12.666667,12.666667,11.111111,11.851851,1.153139,201300
1981-06-08,11.851851,12.296296,11.481482,12.000000,1.167553,242500
1981-06-15,12.000000,12.074074,11.629630,11.629630,1.131518,329100
1981-06-22,11.703704,11.851851,11.333333,11.333333,1.102689,126300
1981-06-29,10.962963,11.037037,10.666667,11.037037,1.073860,145400
1981-07-06,11.111111,11.407408,11.111111,11.370370,1.106292,177400
1981-07-13,11.407408,11.703704,11.259259,11.666667,1.135121,102900
1981-07-20,11.592592,12.000000,11.444445,12.000000,1.167553,116100
1981-07-27,12.000000,12.222222,11.333333,12.148149,1.181967,71600
1981-08-03,12.148149,12.370370,11.814815,11.851851,1.153139,46700
1981-08-10,11.851851,12.074074,11.592592,11.925926,1.160345,84100
1981-08-17,11.962963,12.592592,11.851851,12.555555,1.221605,205900
1981-08-24,12.555555,12.592592,11.037037,11.407408,1.109896,340900
1981-08-31,11.407408,11.518518,10.814815,10.851851,1.055843,196000
1981-09-07,10.777778,10.962963,10.222222,10.814815,1.052238,296400
1981-09-14,10.740741,10.814815,9.481482,9.703704,0.944132,104300
1981-09-21,9.703704,10.333333,9.111111,9.166667,0.891881,131300
1981-09-28,9.166667,11.111111,8.888889,10.555555,1.027014,212100
1981-10-05,10.555555,10.944445,10.277778,10.777778,1.048636,81700
1981-10-12,10.777778,10.888889,10.333333,10.444445,1.016204,129300
1981-10-19,10.555555,10.944445,10.555555,10.777778,1.048636,56800
1981-10-26,10.777778,12.777778,10.666667,12.777778,1.243228,216200
1981-11-02,12.777778,12.944445,11.888889,12.000000,1.167553,277600
1981-11-09,12.000000,12.222222,11.000000,11.111111,1.081068,52300
1981-11-16,11.111111,11.555555,9.777778,10.722222,1.043230,173900
1981-11-23,10.722222,10.944445,10.333333,10.555555,1.027014,185300
1981-11-30,10.555555,10.888889,10.388889,10.388889,1.010798,170400
1981-12-07,10.388889,10.555555,9.666667,10.388889,1.010798,175000
1981-12-14,10.166667,10.166667,9.166667,9.277778,0.902692,162400
1981-12-21,9.277778,9.444445,9.166667,9.222222,0.897286,101000
1981-12-28,9.222222,9.444445,8.944445,9.111111,0.886476,103800
1982-01-04,9.111111,9.555555,7.888889,8.111111,0.789179,234200
1982-01-11,8.111111,8.111111,7.333333,8.000000,0.778368,233600
1982-01-18,8.000000,8.222222,6.444445,6.777778,0.659451,281600
1982-01-25,6.777778,7.555555,6.222222,7.055555,0.686478,272600
1982-02-01,7.055555,7.388889,6.277778,6.666667,0.648640,257600
1982-02-08,6.666667,6.666667,5.222222,5.333333,0.518912,365100
1982-02-15,5.388889,5.944445,5.388889,5.611111,0.545939,283000
1982-02-22,5.611111,6.000000,5.000000,5.666667,0.551344,275200
1982-03-01,5.666667,6.000000,5.666667,5.777778,0.562155,137500
1982-03-08,5.777778,5.944445,5.166667,5.277778,0.513507,162400
1982-03-15,5.277778,5.333333,5.055555,5.055555,0.491885,109300
1982-03-22,5.111111,5.333333,4.666667,4.777778,0.464859,158500
1982-03-29,4.777778,5.166667,4.777778,5.055555,0.491885,128500
1982-04-05,5.055555,5.111111,4.833333,4.944445,0.481075,195700
1982-04-12,4.944445,5.000000,4.500000,4.555555,0.443238,213700
1982-04-19,4.555555,4.722222,4.166667,4.277778,0.416211,359100
1982-04-26,4.333333,4.444445,4.277778,4.444445,0.432427,183300
1982-05-03,4.444445,4.444445,4.333333,4.388889,0.427022,129900
1982-05-10,4.388889,4.444445,4.000000,4.055555,0.394590,241200
1982-05-17,4.055555,4.222222,3.833333,3.888889,0.378374,190000
1982-05-24,3.888889,4.000000,3.111111,3.388889,0.329726,385200
1982-05-31,3.500000,4.055555,3.500000,3.944444,0.383779,171200
1982-06-07,3.944444,4.000000,3.833333,3.944444,0.383779,99400
1982-06-14,3.944444,4.000000,3.555556,3.666667,0.356752,143700
1982-06-21,3.666667,3.944444,3.666667,3.722222,0.362158,76100
1982-06-28,3.777778,3.944444,3.611111,3.666667,0.356752,133700
1982-07-05,3.666667,3.666667,3.500000,3.666667,0.356752,93900
1982-07-12,3.666667,3.666667,3.222222,3.222222,0.313510,205200
1982-07-19,3.222222,3.277778,3.166667,3.277778,0.318915,236400
1982-07-26,3.277778,3.333333,2.888889,2.944444,0.286483,503400
1982-08-02,2.944444,3.111111,2.944444,3.000000,0.291888,124000
1982-08-09,3.000000,3.055556,2.666667,2.777778,0.270267,492300
1982-08-16,2.777778,3.833333,2.722222,3.666667,0.356752,399500
1982-08-23,3.833333,4.222222,3.555556,3.611111,0.351347,313100
1982-08-30,3.611111,4.055555,3.500000,3.944444,0.383779,203600
1982-09-06,3.944444,3.944444,3.500000,3.500000,0.340536,155500
1982-09-13,3.500000,3.722222,3.222222,3.333333,0.324320,319100
1982-09-20,3.333333,3.500000,3.222222,3.333333,0.324320,130300
1982-09-27,3.333333,3.444444,3.333333,3.333333,0.324320,115500
1982-10-04,3.333333,3.722222,3.166667,3.666667,0.356752,511300
1982-10-11,3.666667,4.555555,3.611111,4.333333,0.421616,612200
1982-10-18,4.333333,4.333333,3.833333,3.944444,0.383779,234500
1982-10-25,3.888889,4.055555,3.666667,3.833333,0.372968,149800
1982-11-01,3.833333,4.055555,3.555556,3.888889,0.378374,572200
1982-11-08,3.888889,3.888889,3.333333,3.611111,0.351347,810800
1982-11-15,3.500000,3.500000,3.111111,3.333333,0.324320,614200
1982-11-22,3.333333,3.444444,2.611111,3.000000,0.291888,582000
1982-11-29,3.000000,3.055556,2.833333,3.000000,0.291888,400500
1982-12-06,3.000000,3.500000,2.944444,3.333333,0.324320,412900
1982-12-13,3.333333,3.388889,3.000000,3.055556,0.297294,426300
1982-12-20,3.055556,3.277778,2.944444,3.111111,0.302699,193000
1982-12-27,3.111111,3.166667,2.944444,3.055556,0.297294,368300
1983-01-03,3.055556,3.666667,3.055556,3.500000,0.340536,373900
1983-01-10,3.500000,4.166667,3.500000,3.611111,0.351347,841300
1983-01-17,3.611111,3.666667,3.500000,3.555556,0.345942,162700
1983-01-24,3.555556,3.555556,3.000000,3.111111,0.302699,334100
1983-01-31,3.111111,3.222222,3.055556,3.055556,0.297294,282900
1983-02-07,3.055556,3.222222,2.555556,2.666667,0.259456,1281300
1983-02-14,2.666667,3.055556,2.666667,3.055556,0.297294,513600
1983-02-21,3.055556,3.055556,2.888889,2.944444,0.286483,192100
1983-02-28,2.944444,3.000000,2.722222,2.888889,0.281077,223100
1983-03-07,2.888889,2.888889,2.722222,2.722222,0.264862,194800
1983-03-14,2.722222,2.833333,2.611111,2.611111,0.254051,163800
1983-03-21,2.611111,2.888889,2.611111,2.833333,0.275672,290700
1983-03-28,2.833333,3.000000,2.722222,3.000000,0.291888,166900
1983-04-04,3.000000,3.444444,3.000000,3.388889,0.329726,690100
1983-04-11,3.388889,3.555556,3.277778,3.444444,0.335131,255500
1983-04-18,3.444444,3.777778,3.388889,3.777778,0.367563,409000
1983-04-25,3.777778,4.500000,3.611111,4.500000,0.437833,656000
1983-05-02,4.500000,4.722222,4.000000,4.111111,0.399995,557500
1983-05-09,4.111111,4.222222,3.666667,4.000000,0.389184,280800
1983-05-16,4.000000,4.444445,3.888889,4.000000,0.389184,287600
1983-05-23,4.000000,4.277778,3.833333,3.944444,0.383779,199400
1983-05-30,3.944444,4.111111,3.888889,3.888889,0.378374,123000
1983-06-06,3.888889,3.944444,3.555556,3.722222,0.362158,162000
1983-06-13,3.722222,3.888889,3.666667,3.722222,0.362158,165200
1983-06-20,3.722222,3.833333,3.611111,3.611111,0.351347,123600
1983-06-27,3.611111,3.666667,3.333333,3.500000,0.340536,201000
1983-07-04,3.555556,4.111111,3.555556,3.888889,0.378374,214300
1983-07-11,3.944444,4.166667,3.666667,4.055555,0.394590,209500
1983-07-18,4.000000,4.055555,3.833333,4.000000,0.389184,136100
1983-07-25,3.944444,4.000000,3.722222,3.833333,0.372968,241900
1983-08-01,3.833333,3.833333,3.500000,3.555556,0.345942,89900
1983-08-08,3.555556,3.722222,3.444444,3.611111,0.351347,257700
1983-08-15,3.611111,3.777778,3.500000,3.666667,0.356752,138600
1983-08-22,3.722222,3.944444,3.722222,3.722222,0.362158,131900
1983-08-29,3.722222,3.944444,3.666667,3.833333,0.372968,102200
1983-09-05,3.833333,4.000000,3.833333,3.888889,0.378374,178200
1983-09-12,3.888889,4.055555,3.888889,4.000000,0.389184,183600
1983-09-19,4.000000,4.333333,4.000000,4.277778,0.416211,447000
1983-09-26,4.277778,4.388889,3.833333,4.000000,0.389184,168600
1983-10-03,4.000000,4.111111,3.833333,3.833333,0.372968,112200
1983-10-10,3.833333,4.000000,3.777778,4.000000,0.389184,160900
1983-10-17,4.000000,4.111111,3.777778,4.055555,0.394590,111300
1983-10-24,4.055555,4.111111,3.777778,3.888889,0.378374,127000
1983-10-31,3.888889,3.888889,3.611111,3.611111,0.351347,124500
1983-11-07,3.611111,3.611111,3.444444,3.555556,0.345942,134900
1983-11-14,3.555556,3.666667,3.555556,3.555556,0.345942,1205300
1983-11-21,3.555556,4.000000,3.555556,3.722222,0.362158,188900
1983-11-28,3.777778,4.388889,3.777778,4.222222,0.410806,484700
1983-12-05,4.222222,4.277778,4.166667,4.277778,0.416211,160100
1983-12-12,4.277778,4.277778,4.166667,4.222222,0.410806,131500
1983-12-19,4.222222,4.444445,4.166667,4.444445,0.432427,221700
1983-12-26,4.444445,4.777778,4.444445,4.500000,0.437833,401400
1984-01-02,4.555555,5.111111,4.555555,4.888889,0.475670,761900
1984-01-09,4.888889,5.555555,4.888889,5.166667,0.502696,682600
1984-01-16,5.166667,5.444445,5.055555,5.277778,0.513507,251600
1984-01-23,5.333333,5.500000,5.166667,5.222222,0.508102,241000
1984-01-30,5.277778,5.500000,5.000000,5.000000,0.486481,217900
1984-02-06,4.944445,5.055555,4.277778,4.333333,0.421616,401400
1984-02-13,4.333333,4.500000,4.000000,4.055555,0.394590,132900
1984-02-20,4.055555,4.444445,4.055555,4.444445,0.432427,142000
1984-02-27,4.444445,4.777778,4.333333,4.777778,0.464859,82400
1984-03-05,4.777778,4.944445,4.277778,4.388889,0.427022,164400
1984-03-12,4.388889,4.944445,4.333333,4.777778,0.464859,178400
1984-03-19,4.777778,4.777778,4.444445,4.444445,0.432427,223300
1984-03-26,4.555555,4.833333,4.444445,4.555555,0.443238,94900
1984-04-02,4.555555,4.611111,4.333333,4.555555,0.443238,91100
1984-04-09,4.555555,4.666667,4.500000,4.611111,0.448643,199800
1984-04-16,4.611111,4.777778,4.611111,4.611111,0.448643,75600
1984-04-23,4.611111,5.111111,4.611111,4.888889,0.475670,189800
1984-04-30,4.888889,4.944445,4.833333,4.833333,0.470264,141700
1984-05-07,4.833333,5.055555,4.833333,5.000000,0.486481,128800
1984-05-14,5.000000,5.000000,4.500000,4.555555,0.443238,306700
1984-05-21,4.555555,4.666667,4.055555,4.111111,0.399995,167300
1984-05-28,4.222222,4.777778,4.055555,4.777778,0.464859,141700
1984-06-04,4.777778,4.888889,4.666667,4.833333,0.470264,189800
1984-06-11,4.833333,5.000000,4.666667,4.888889,0.475670,161700
