Date,Open,High,Low,Close,Adj Close,Volume
1980-09-29,3.775609,4.350158,3.775609,4.281759,0.005141,817600
1980-10-06,4.281759,4.391197,4.035523,4.309118,0.005174,818400
1980-10-13,4.309118,4.596393,4.281759,4.596393,0.005519,484000
1980-10-20,4.610073,4.787910,4.377517,4.569034,0.005486,1095300
1980-10-27,4.555354,4.569034,4.254399,4.377517,0.005256,536100
1980-11-03,4.350158,4.445916,4.021844,4.090242,0.004911,409200
1980-11-10,4.090242,4.664792,4.076563,4.637432,0.005568,1302800
1980-11-17,4.637432,4.911027,4.569034,4.651112,0.005585,1629900
1980-11-24,4.651112,4.692151,4.486955,4.555354,0.005470,1343900
1980-12-01,4.555354,4.678472,4.500635,4.514315,0.005420,315900
1980-12-08,4.459596,4.459596,3.885046,3.926086,0.004714,267300
1980-12-15,3.926086,4.268079,3.926086,4.199680,0.005043,273800
1980-12-22,4.199680,4.254399,4.076563,4.103922,0.004928,207200
1980-12-29,4.144961,4.213360,4.090242,4.186001,0.005026,232900
1981-01-05,4.186001,4.486955,4.103922,4.336478,0.005207,626500
1981-01-12,4.336478,4.445916,4.254399,4.336478,0.005207,457500
1981-01-19,4.309118,4.322798,4.090242,4.131282,0.004960,276600
1981-01-26,4.131282,4.295439,4.049203,4.268079,0.005125,287600
1981-02-02,4.240720,4.240720,3.980805,4.131282,0.004960,453000
1981-02-09,4.131282,4.144961,3.748249,3.816648,0.004583,325000
1981-02-16,3.816648,3.912406,3.720890,3.775609,0.004533,263900
1981-02-23,3.775609,3.830328,3.611452,3.707210,0.004451,388100
1981-03-02,3.707210,3.926086,3.693530,3.720890,0.004468,305000
1981-03-09,3.720890,3.980805,3.556733,3.953445,0.004747,318700
1981-03-16,3.939765,3.994484,3.816648,3.871367,0.004648,234500
1981-03-23,3.871367,3.871367,3.570412,3.734569,0.004484,355200
1981-03-30,3.734569,4.021844,3.720890,3.967125,0.004763,317800
1981-04-06,3.953445,4.021844,3.898726,3.953445,0.004747,255700
1981-04-13,3.967125,3.994484,3.830328,3.830328,0.004599,215400
1981-04-20,3.816648,3.816648,3.543053,3.597772,0.004320,461200
1981-04-27,3.597772,3.597772,3.502014,3.570412,0.004287,264700
1981-05-04,3.570412,3.597772,3.502014,3.597772,0.004320,238200
1981-05-11,3.597772,3.666171,3.502014,3.666171,0.004402,496800
1981-05-18,3.666171,3.707210,3.570412,3.666171,0.004402,189800
