Date,Open,High,Low,Close,Adj Close,Volume
1987-12-28,5.000000,5.500000,5.000000,5.500000,1.255450,26000
1988-01-04,5.375000,5.500000,5.062500,5.062500,1.155585,56600
1988-01-11,5.000000,5.125000,4.875000,5.000000,1.141319,64000
1988-01-18,5.000000,5.000000,4.750000,4.812500,1.098519,109800
1988-01-25,4.812500,4.812500,4.625000,4.625000,1.055720,50600
1988-02-01,4.625000,4.812500,4.562500,4.750000,1.084253,54400
1988-02-08,4.687500,5.312500,4.687500,5.250000,1.198385,119400
1988-02-15,5.250000,5.437500,5.250000,5.375000,1.260077,29400
1988-02-22,5.375000,5.812500,5.375000,5.750000,1.347990,85800
1988-02-29,5.750000,6.062500,5.750000,5.937500,1.391946,88800
1988-03-07,6.000000,6.312500,6.000000,6.062500,1.421250,75000
1988-03-14,6.000000,6.250000,5.937500,6.125000,1.435903,88000
1988-03-21,6.125000,6.375000,5.875000,5.937500,1.391946,233200
1988-03-28,5.937500,6.187500,5.875000,6.187500,1.450553,97400
1988-04-04,6.125000,6.125000,5.562500,5.812500,1.362642,612000
1988-04-11,5.750000,5.750000,5.375000,5.437500,1.274729,86800
1988-04-18,5.375000,5.437500,5.187500,5.250000,1.230773,68200
1988-04-25,5.312500,5.312500,5.062500,5.250000,1.230773,122800
1988-05-02,5.312500,5.375000,5.250000,5.250000,1.230773,10600
1988-05-09,5.187500,5.437500,5.062500,5.375000,1.260077,65000
1988-05-16,5.375000,5.375000,5.000000,5.000000,1.200755,364200
1988-05-23,5.000000,5.062500,4.937500,4.937500,1.185745,95400
1988-05-30,5.000000,5.062500,4.875000,4.937500,1.185745,24600
1988-06-06,4.937500,5.187500,4.937500,5.062500,1.215764,19000
1988-06-13,5.062500,5.375000,5.062500,5.125000,1.230773,50200
1988-06-20,5.250000,5.375000,5.125000,5.312500,1.275802,36600
1988-06-27,5.312500,5.375000,5.312500,5.312500,1.275802,16000
1988-07-04,5.250000,5.312500,5.187500,5.187500,1.245783,155400
1988-07-11,5.187500,5.312500,5.187500,5.187500,1.245783,10200
1988-07-18,5.187500,5.250000,5.062500,5.062500,1.215764,76200
1988-07-25,5.062500,5.125000,5.000000,5.062500,1.215764,29000
1988-08-01,5.062500,5.125000,4.937500,4.937500,1.185745,56400
1988-08-08,5.062500,5.125000,4.812500,4.875000,1.170736,16800
1988-08-15,4.812500,4.875000,4.687500,4.875000,1.200754,26800
1988-08-22,4.812500,4.937500,4.812500,4.812500,1.185360,9400
1988-08-29,4.812500,4.937500,4.812500,4.812500,1.185360,19000
1988-09-05,4.812500,4.875000,4.750000,4.812500,1.185360,22800
1988-09-12,4.812500,4.875000,4.625000,4.687500,1.154572,33400
1988-09-19,4.750000,4.750000,4.625000,4.687500,1.154572,12200
1988-09-26,4.750000,5.125000,4.750000,5.062500,1.246937,308200
1988-10-03,5.062500,5.375000,4.937500,5.375000,1.323908,130400
1988-10-10,5.437500,5.875000,5.375000,5.750000,1.416275,25000
1988-10-17,5.687500,5.812500,5.437500,5.500000,1.354697,65000
1988-10-24,5.500000,5.625000,5.437500,5.500000,1.354697,30600
1988-10-31,5.500000,5.625000,5.500000,5.562500,1.370092,32400
1988-11-07,5.562500,5.562500,5.250000,5.250000,1.293120,84600
1988-11-14,5.187500,5.187500,5.000000,5.125000,1.291350,18000
1988-11-21,5.187500,5.250000,5.125000,5.125000,1.291350,27000
1988-11-28,5.125000,5.312500,5.125000,5.187500,1.307100,41200
1988-12-05,5.187500,5.312500,5.187500,5.187500,1.307100,14800
1988-12-12,5.125000,5.250000,5.125000,5.125000,1.291350,22600
1988-12-19,5.250000,5.312500,5.125000,5.250000,1.322847,84200
