Date,Open,High,Low,Close,Adj Close,Volume
2017-04-17,15.800000,16.639999,15.760000,16.459999,16.435480,4725234
2017-04-24,16.500000,16.799999,16.110001,16.309999,16.285704,1593100
2017-05-01,16.309999,16.490000,16.107000,16.459999,16.435480,1129400
2017-05-08,16.490000,16.639999,16.299999,16.580000,16.555304,522500
2017-05-15,16.500000,16.590000,16.000000,16.360001,16.335630,579400
2017-05-22,16.440001,16.740000,16.320000,16.650000,16.625198,501100
2017-05-29,16.600000,17.000000,16.420000,17.000000,16.974678,451700
2017-06-05,17.000000,17.450001,16.920000,17.340000,17.314171,593800
2017-06-12,17.350000,17.950001,17.350000,17.879999,17.853365,1716900
2017-06-19,17.879999,17.950001,16.580000,17.059999,17.034588,2986300
2017-06-26,16.959999,17.559999,16.934999,17.059999,17.034588,632900
2017-07-03,17.149000,17.299999,16.889999,17.200001,17.174379,238200
2017-07-10,17.090000,17.440001,16.934999,17.389999,17.364096,405200
2017-07-17,17.280001,17.340000,16.900000,17.190001,17.164394,275600
2017-07-24,17.230000,17.389999,17.110001,17.219999,17.194349,267000
2017-07-31,17.209999,17.450001,17.110001,17.420000,17.394053,277100
2017-08-07,17.420000,17.420000,16.990000,17.209999,17.184364,269500
2017-08-14,17.299999,17.559999,17.030001,17.260000,17.234289,496200
2017-08-21,17.150000,17.389999,17.080000,17.200001,17.174379,306200
2017-08-28,17.250000,17.250000,16.900000,17.180000,17.154409,310600
2017-09-04,17.110001,17.299999,16.500000,17.120001,17.094500,423500
2017-09-11,17.150000,17.645000,17.150000,17.580000,17.553814,406800
2017-09-18,17.610001,18.250000,17.370001,18.160000,18.132950,285800
2017-09-25,18.190001,19.200001,18.170000,18.860001,18.831907,270700
2017-10-02,18.860001,19.120001,18.559999,18.969999,18.941742,214800
2017-10-09,19.000000,19.150000,18.660000,18.860001,18.831907,119700
2017-10-16,18.770000,19.160000,18.725000,18.980000,18.951727,154600
2017-10-23,19.100000,19.100000,18.600000,18.799999,18.771996,140400
2017-10-30,18.900000,19.340000,18.580000,19.309999,19.281235,153900
2017-11-06,19.340000,19.680000,18.139999,18.320000,18.292711,167300
2017-11-13,18.280001,19.299999,18.270000,18.940001,18.911787,154100
2017-11-20,18.969999,19.410000,18.889999,19.150000,19.121473,109100
2017-11-27,19.320000,20.469999,19.150000,19.830000,19.800461,235400
2017-12-04,20.150000,20.290001,19.260000,19.520000,19.490923,231400
2017-12-11,19.540001,20.205000,19.514999,19.959999,19.930267,309500
2017-12-18,20.000000,20.290001,19.500000,19.850000,19.820433,126800
2017-12-25,19.799999,19.879999,18.920000,19.049999,19.021624,83100
2018-01-01,19.059999,19.500000,18.750000,18.920000,18.891817,141600
2018-01-08,18.910000,19.840000,18.770000,19.790001,19.760523,91300
2018-01-15,19.840000,19.920000,19.559999,19.900000,19.870358,136300
2018-01-22,19.860001,20.299999,19.705000,19.980000,19.950237,154400
2018-01-29,19.969999,20.299999,19.879999,20.190001,20.159925,208300
2018-02-05,20.010000,20.459999,19.510000,19.809999,19.780491,261600
2018-02-12,19.889999,20.100000,19.340000,19.870001,19.840403,403500
2018-02-19,19.840000,19.940001,19.475000,19.540001,19.510895,75200
2018-02-26,19.549999,19.590000,19.120001,19.250000,19.221325,185600
2018-03-05,19.190001,20.830000,19.110001,20.600000,20.569315,373900
2018-03-12,20.610001,21.240000,19.990000,21.070000,21.038614,196900
2018-03-19,21.080000,21.750000,20.730000,21.090000,21.058584,269300
2018-03-26,21.350000,22.340000,20.950001,20.980000,20.948748,213600
2018-04-02,21.030001,21.129999,20.219999,20.670000,20.639210,230800
2018-04-09,20.760000,21.200001,20.190001,20.740000,20.709106,125800
2018-04-16,20.809999,21.799999,20.160000,21.200001,21.168421,134600
2018-04-23,20.799999,20.840000,19.980000,20.450001,20.419538,465800
2018-04-30,20.450001,20.500000,19.450001,20.290001,20.259777,351700
2018-05-07,20.290001,20.719999,20.000000,20.150000,20.119984,472200
2018-05-14,20.094999,20.200001,19.570000,20.049999,20.049999,337500
2018-05-21,20.110001,20.600000,20.080000,20.290001,20.290001,207400
2018-05-28,20.270000,20.549999,20.160000,20.480000,20.480000,179100
2018-06-04,20.530001,20.540001,20.070000,20.370001,20.370001,291400
2018-06-11,20.340000,20.340000,19.590000,19.760000,19.760000,213800
2018-06-18,19.740000,20.490000,19.570000,20.219999,20.219999,504000
2018-06-25,20.190001,20.490000,19.629999,19.870001,19.870001,245900
2018-07-02,19.840000,20.049999,19.695000,19.920000,19.920000,89000
2018-07-09,19.920000,19.990000,19.670000,19.700001,19.700001,111500
2018-07-16,19.719999,20.200001,19.500000,20.150000,20.150000,156100
2018-07-23,20.070000,20.290001,19.990000,20.020000,20.020000,141400
2018-07-30,20.020000,20.180000,19.049999,19.920000,19.920000,209000
2018-08-06,19.910000,20.450001,19.900000,20.180000,20.180000,247200
2018-08-13,20.250000,20.440001,20.065001,20.400000,20.400000,84400
