Date,Open,High,Low,Close,Adj Close,Volume
1993-02-08,6.190479,7.005015,6.190479,7.005015,2.116067,4000
1993-02-15,7.330830,8.634089,6.842108,8.471182,2.558965,67600
1993-02-22,8.104640,8.796996,8.104640,8.145367,2.460544,8500
1993-03-01,8.145367,8.511909,8.145367,8.511909,2.571269,10300
1993-03-08,8.511909,8.511909,7.330830,8.145367,2.460544,14700
1993-03-15,8.145367,8.145367,7.330830,7.330830,2.277807,3300
1993-03-22,7.330830,7.330830,6.658837,6.658837,2.069006,0
1993-03-29,6.658837,7.330830,6.658837,6.679201,2.075335,44300
1993-04-05,6.679201,6.842108,6.679201,6.679201,2.075335,28200
1993-04-12,6.679201,6.842108,6.679201,6.842108,2.125952,19800
1993-04-19,6.842108,6.842108,6.516294,6.516294,2.024717,2600
1993-04-26,6.516294,6.516294,6.353386,6.353386,1.974098,4200
1993-05-03,6.516294,6.638474,5.701757,6.638474,2.062681,23700
1993-05-10,6.638474,7.005015,6.394113,7.005015,2.176571,61300
1993-05-17,6.312659,6.394113,5.701757,5.701757,1.771628,6400
1993-05-24,5.701757,6.516294,5.701757,6.516294,2.024717,10100
1993-05-31,6.516294,6.679201,6.109025,6.679201,2.075335,3900
1993-06-07,6.679201,6.842108,6.516294,6.842108,2.125952,2000
1993-06-14,6.842108,6.842108,6.353386,6.353386,2.056155,3600
1993-06-21,6.679201,7.005015,6.394113,7.005015,2.267042,900
1993-06-28,7.005015,7.005015,6.475567,7.005015,2.267042,900
1993-07-05,7.005015,7.330830,6.679201,6.679201,2.161600,12000
1993-07-12,6.679201,7.005015,6.679201,6.679201,2.161600,6600
1993-07-19,6.679201,7.005015,6.679201,6.842108,2.214321,6500
1993-07-26,6.842108,6.842108,6.760654,6.760654,2.187960,300
1993-08-02,6.679201,7.575191,6.679201,7.005015,2.267042,21800
1993-08-09,7.005015,7.005015,6.760654,6.760654,2.187960,900
1993-08-16,6.760654,7.005015,6.760654,6.923562,2.240683,61500
1993-08-23,6.923562,7.167923,6.516294,6.516294,2.108877,16100
1993-08-30,6.516294,6.801382,6.516294,6.801382,2.201141,1700
1993-09-06,6.801382,6.801382,6.801382,6.801382,2.201141,0
1993-09-13,6.801382,6.801382,6.271933,6.271933,2.110489,7300
1993-09-20,6.516294,6.842108,6.271933,6.475567,2.179011,23300
1993-09-27,6.271933,7.330830,6.190479,7.330830,2.466805,19800
1993-10-04,7.330830,7.330830,6.353386,6.842108,2.302351,4400
1993-10-11,6.842108,7.167923,6.597747,7.167923,2.411987,22800
1993-10-18,7.167923,7.167923,7.167923,7.167923,2.411987,0
1993-10-25,6.842108,7.167923,6.394113,7.167923,2.411987,6700
1993-11-01,7.167923,7.167923,6.679201,6.679201,2.247534,1700
1993-11-08,6.394113,6.679201,6.394113,6.394113,2.151603,6500
1993-11-15,6.394113,6.394113,6.394113,6.394113,2.151603,0
1993-11-22,6.394113,6.394113,6.394113,6.394113,2.151603,0
1993-11-29,6.394113,6.923562,6.394113,6.394113,2.151603,4200
1993-12-06,6.394113,6.638474,6.394113,6.638474,2.233829,21000
1993-12-13,6.353386,6.760654,6.353386,6.353386,2.235651,29000
1993-12-20,6.597747,7.167923,6.516294,7.167923,2.522273,9700
1993-12-27,7.167923,7.167923,6.801382,6.801382,2.393292,600
1994-01-03,6.801382,6.801382,6.353386,6.353386,2.235651,5700
1994-01-10,6.842108,7.167923,6.353386,6.394113,2.249983,8300
1994-01-17,6.394113,7.167923,6.394113,7.167923,2.522273,6600
1994-01-24,6.516294,7.167923,6.434840,6.679201,2.350299,17900
1994-01-31,6.679201,7.167923,6.516294,6.760654,2.378962,36200
1994-02-07,6.801382,6.801382,6.190479,6.190479,2.178327,7500
1994-02-14,6.353386,7.167923,6.353386,6.516294,2.292975,37000
1994-02-21,6.516294,7.167923,6.516294,7.167923,2.522273,2100
1994-02-28,7.167923,7.167923,7.005015,7.005015,2.464947,900
1994-03-07,6.516294,6.964289,6.516294,6.964289,2.450617,11100
1994-03-14,6.516294,7.330830,6.516294,6.679201,2.455657,3600
1994-03-21,6.679201,6.842108,6.516294,6.516294,2.395765,17800
1994-03-28,6.516294,6.964289,6.516294,6.842108,2.515554,18500
1994-04-04,6.842108,7.330830,6.516294,6.923562,2.545500,8400
1994-04-11,6.923562,7.005015,6.923562,7.005015,2.575447,2300
1994-04-18,7.005015,7.005015,6.597747,6.679201,2.455657,1200
1994-04-25,6.679201,6.679201,6.679201,6.679201,2.455657,0
1994-05-02,6.679201,7.330830,6.679201,7.330830,2.695235,3400
1994-05-09,6.842108,7.493738,6.842108,7.412284,2.725181,5200
1994-05-16,6.842108,7.330830,6.842108,6.842108,2.515554,2100
1994-05-23,6.842108,7.412284,6.842108,6.842108,2.515554,7300
1994-05-30,6.842108,7.493738,6.842108,7.167923,2.635340,19200
1994-06-06,6.842108,7.493738,6.842108,7.493738,2.755131,9200
1994-06-13,7.493738,7.493738,7.167923,7.167923,2.687759,14200
1994-06-20,7.167923,7.656645,7.167923,7.656645,2.871014,2800
1994-06-27,7.819552,7.819552,7.167923,7.167923,2.687759,58500
1994-07-04,7.167923,7.167923,7.167923,7.167923,2.687759,0
1994-07-11,7.167923,7.575191,7.167923,7.575191,2.840471,20600
1994-07-18,7.575191,7.575191,7.167923,7.167923,2.687759,1600
1994-07-25,7.167923,7.167923,7.167923,7.167923,2.687759,0
1994-08-01,7.167923,7.167923,7.167923,7.167923,2.687759,0
1994-08-08,7.575191,7.819552,7.330830,7.575191,2.840471,2700
1994-08-15,7.330830,7.819552,7.330830,7.575191,2.840471,4000
1994-08-22,7.167923,7.819552,7.167923,7.819552,2.932101,1400
1994-08-29,7.819552,7.819552,7.167923,7.167923,2.687759,6900
1994-09-05,7.167923,7.819552,7.167923,7.493738,2.809929,1200
1994-09-12,7.738099,7.819552,7.493738,7.575191,2.898422,18400
1994-09-19,7.493738,7.941733,7.493738,7.941733,3.038668,13700
1994-09-26,7.982460,7.982460,7.493738,7.575191,2.898422,5200
1994-10-03,7.982460,8.145367,7.738099,8.145367,3.116583,8100
1994-10-10,8.145367,8.145367,7.656645,7.738099,2.960754,8400
1994-10-17,7.738099,7.901006,7.656645,7.778825,2.976338,3000
1994-10-24,7.778825,8.308274,7.656645,7.656645,2.929588,1300
1994-10-31,7.982460,8.308274,7.738099,7.738099,2.960754,1000
1994-11-07,7.738099,8.145367,7.575191,7.819552,2.991921,281500
1994-11-14,7.819552,7.982460,7.656645,7.738099,2.960754,4400
1994-11-21,7.982460,7.982460,7.656645,7.656645,2.929588,6500
1994-11-28,7.656645,7.656645,7.656645,7.656645,2.929588,2000
1994-12-05,7.982460,7.982460,7.656645,7.941733,3.038668,9700
1994-12-12,7.656645,7.656645,7.656645,7.656645,2.986929,3600
1994-12-19,7.656645,7.982460,7.656645,7.656645,2.986929,2100
1994-12-26,7.656645,7.819552,7.656645,7.819552,3.050480,3700
1995-01-02,7.819552,8.145367,7.575191,7.575191,2.955152,13800
1995-01-09,7.575191,8.063913,7.493738,7.819552,3.050480,49300
1995-01-16,7.778825,7.819552,7.493738,7.493738,2.923376,9000
1995-01-23,7.493738,7.575191,7.493738,7.575191,2.955152,6900
1995-01-30,7.575191,8.145367,7.493738,7.493738,2.923376,15200
1995-02-06,7.493738,8.145367,7.493738,8.145367,3.177583,5900
1995-02-13,7.615918,7.860279,7.493738,7.534464,2.939263,21600
1995-02-20,7.656645,8.145367,7.493738,8.145367,3.177583,12300
1995-02-27,7.493738,7.819552,7.493738,7.819552,3.050480,4800
