Date,Open,High,Low,Close,Adj Close,Volume
2003-06-23,4.260824,4.363083,4.209694,4.226737,3.823553,72900
2003-06-30,4.226737,4.397170,4.209694,4.397170,3.977726,27200
2003-07-07,4.397170,4.761897,4.393762,4.738036,4.286078,64100
2003-07-14,4.659637,4.738036,4.550560,4.686906,4.239826,30000
2003-07-21,4.635776,4.738036,4.605098,4.720993,4.270661,60700
2003-07-28,4.731219,4.772122,4.686906,4.755079,4.301497,30500
2003-08-04,4.755079,4.755079,4.533516,4.567603,4.131903,41700
2003-08-11,4.605098,4.686906,4.567603,4.598281,4.159655,24400
2003-08-18,4.598281,4.601690,4.567603,4.584646,4.147321,12600
2003-08-25,4.584646,4.768714,4.499430,4.649411,4.205906,22400
2003-09-01,4.652820,4.686906,4.550560,4.598281,4.159655,19200
2003-09-08,4.584646,4.697132,4.581238,4.588055,4.150404,16100
2003-09-15,4.615324,4.686906,4.588055,4.635776,4.193573,16400
2003-09-22,4.533516,4.625550,4.516473,4.516473,4.085651,14000
2003-09-29,4.564194,4.615324,4.533516,4.567603,4.131903,31400
2003-10-06,4.567603,4.594872,4.567603,4.574420,4.138070,3700
2003-10-13,4.601690,4.738036,4.594872,4.738036,4.286078,11500
2003-10-20,4.724401,4.857339,4.686906,4.857339,4.394002,38100
2003-10-27,4.860748,5.303874,4.772122,5.283422,4.779440,215500
2003-11-03,5.385681,5.508393,5.249335,5.484532,4.961368,66100
2003-11-10,5.392498,5.658374,5.392498,5.658374,5.118626,50200
2003-11-17,5.672009,6.203759,5.668600,6.186716,5.596569,78200
2003-11-24,6.186716,6.925373,6.186716,6.842883,6.190145,144300
2003-12-01,6.824135,6.824135,6.374192,6.392940,5.783122,99400
2003-12-08,6.377942,6.467930,6.272955,6.411687,5.800081,85900
2003-12-15,6.302951,6.411687,6.302951,6.407938,5.796690,88600
2003-12-22,6.392940,6.449183,6.321699,6.321699,5.718678,5500
2003-12-29,6.411687,6.445433,6.355445,6.374192,5.766163,15000
2004-01-05,6.374192,6.411687,6.336697,6.374192,5.766163,30000
2004-01-12,6.374192,6.445433,6.347946,6.347946,5.742419,6600
2004-01-19,6.374192,6.430435,6.359194,6.411687,5.800081,26300
2004-01-26,6.411687,6.430435,6.340446,6.389190,5.779729,26400
2004-02-02,6.336697,6.411687,6.265456,6.321699,5.718678,20000
2004-02-09,6.370443,6.407938,6.344196,6.392940,5.783122,15800
2004-02-16,6.392940,6.599164,6.351695,6.486678,5.867918,38900
2004-02-23,6.374192,6.557919,6.374192,6.542921,5.918796,5300
2004-03-01,6.411687,6.482929,6.265456,6.374192,5.766163,28800
2004-03-08,6.299202,6.411687,6.295452,6.299202,5.698326,4900
2004-03-15,6.299202,6.505426,6.299202,6.467930,5.850959,16000
2004-03-22,6.524173,6.524173,6.317949,6.340446,5.735636,41700
2004-03-29,6.340446,6.374192,6.299202,6.299202,5.698326,30700
2004-04-05,6.299202,6.332948,6.242959,6.242959,5.647448,16200
2004-04-12,6.261706,6.332948,6.224211,6.224211,5.630489,12400
2004-04-19,6.261706,6.261706,6.186716,6.246708,5.650840,18000
2004-04-26,6.280454,6.329198,6.104227,6.224211,5.630489,48800
2004-05-03,6.164219,6.261706,5.999240,6.017987,5.443937,26000
2004-05-10,6.182967,6.182967,5.927999,5.980492,5.410017,280700
2004-05-17,5.980492,6.021737,5.950496,6.017987,5.443937,205400
2004-05-24,6.017987,6.111726,6.017987,6.025486,5.450719,1900
2004-05-31,6.074230,6.299202,5.999240,6.299202,5.698326,15800
2004-06-07,6.299202,6.299202,6.137972,6.257957,5.661014,39400
2004-06-14,6.257957,6.374192,6.186716,6.374192,5.766163,124900
2004-06-21,6.374192,6.392940,6.186716,6.392940,5.783122,2100
2004-06-28,6.385441,6.449183,6.167968,6.374192,5.766163,8000
2004-07-05,6.374192,6.374192,6.130473,6.156720,5.569436,6200
2004-07-12,6.156720,6.246708,6.149221,6.224211,5.630489,4300
2004-07-19,6.224211,6.224211,6.164219,6.164219,5.576219,4800
2004-07-26,6.149221,6.224211,6.149221,6.167968,5.579609,15300
2004-08-02,6.167968,6.167968,6.044234,6.107976,5.525342,142200
2004-08-09,6.130473,6.224211,6.059232,6.167968,5.579609,25400
2004-08-16,6.167968,6.167968,6.149221,6.149221,5.562651,7600
2004-08-23,6.149221,6.445433,6.149221,6.336697,5.732244,15500
2004-08-30,6.336697,6.486678,6.336697,6.467930,5.850959,2300
2004-09-06,6.197965,6.524173,6.197965,6.449183,5.834000,3000
2004-09-13,6.209213,6.449183,6.209213,6.449183,5.834000,3900
2004-09-20,6.374192,6.576667,6.374192,6.561668,5.935757,27900
2004-09-27,6.565418,6.632910,6.336697,6.336697,5.732244,49400
2004-10-04,6.299202,6.486678,6.299202,6.392940,5.783122,64200
2004-10-11,6.392940,6.486678,6.374192,6.482929,5.864528,4800
2004-10-18,6.467930,6.760394,6.467930,6.524173,5.901838,11500
2004-10-25,6.524173,6.820386,6.524173,6.749145,6.105350,23400
2004-11-01,6.820386,7.007862,6.805387,7.007862,6.339388,30500
2004-11-08,7.011611,7.577790,6.996614,7.457805,6.746410,57600
2004-11-15,7.570291,8.905122,7.570291,8.511421,7.699524,80400
2004-11-22,8.368939,8.368939,8.200211,8.211459,7.428175,10300
2004-11-29,8.312696,8.623907,8.211459,8.413934,7.611334,59900
2004-12-06,8.537668,8.683900,8.398935,8.652404,7.827057,92300
2004-12-13,8.638906,8.751391,8.152966,8.481425,7.672388,23300
2004-12-20,8.481425,8.535419,8.391437,8.458928,7.652039,17900
2004-12-27,8.512921,8.539918,8.404935,8.539918,7.725303,15000
2005-01-03,8.535419,8.571414,8.391437,8.436431,7.631686,22300
2005-01-10,8.436431,8.773889,8.404935,8.665902,7.839269,37300
2005-01-17,8.818883,8.818883,8.553416,8.553416,7.737512,12900
2005-01-24,8.548917,8.548917,8.323945,8.368939,7.570632,19600
2005-01-31,8.368939,8.368939,7.874002,7.963991,7.204312,22300
2005-02-07,8.211459,8.211459,7.829008,7.829008,7.082205,7000
2005-02-14,7.874002,7.874002,7.698524,7.761517,7.021151,13400
2005-02-21,7.761517,7.766016,7.694025,7.694025,6.960099,3800
2005-02-28,7.761517,7.972990,7.671528,7.716522,6.980450,20800
2005-03-07,7.707523,7.977489,7.671528,7.824509,7.078134,15600
2005-03-14,7.874002,7.874002,7.536545,7.536545,6.817640,9000
2005-03-21,7.649031,7.649031,7.509549,7.509549,6.793218,1800
2005-03-28,7.509549,7.509549,7.491551,7.491551,6.776937,200
2005-04-04,7.604036,7.649031,7.379065,7.514048,6.797289,37400
2005-04-11,7.469054,7.505049,7.230584,7.311574,6.614128,5300
2005-04-18,7.221585,7.761517,7.221585,7.334071,6.634480,55800
2005-04-25,7.550043,7.581539,7.244082,7.514048,6.797289,44800
2005-05-02,7.536545,7.536545,7.064105,7.194588,6.508302,62800
2005-05-09,7.194588,7.257580,6.587165,7.149594,6.467600,31800
2005-05-16,7.176590,7.194588,7.019111,7.019111,6.349563,17800
2005-05-23,7.019111,7.257580,7.019111,7.257580,6.565285,6900
2005-05-30,7.194588,7.194588,7.064105,7.095601,6.418757,6700
2005-06-06,7.190089,7.194588,7.064105,7.194588,6.508302,2500
2005-06-13,7.113599,7.194588,6.848132,6.965117,6.300720,15000
2005-06-20,6.965117,6.965117,6.839133,6.839133,6.186754,3300
2005-06-27,6.906625,7.149594,6.861630,6.861630,6.207104,6800
2005-07-04,7.136096,7.149594,6.888627,7.149594,6.467600,4400
2005-07-11,7.019111,7.874002,7.019111,7.761517,7.021151,18200
2005-07-18,7.824509,8.139468,7.649031,8.139468,7.363050,6700
2005-07-25,8.143968,8.661403,8.089975,8.661403,7.835199,19800
2005-08-01,8.683900,8.827882,8.683900,8.773889,7.936954,27000
2005-08-08,8.751391,8.769389,8.251954,8.481425,7.672388,6700
2005-08-15,8.368939,8.476926,8.323945,8.458928,7.652039,3800
2005-08-22,8.368939,8.368939,8.368939,8.368939,7.570632,6000
2005-08-29,8.580413,8.976362,8.580413,8.773889,7.936954,13200
2005-09-05,8.773889,8.773889,8.553416,8.553416,7.737512,4000
2005-09-12,8.994360,8.994360,8.548917,8.548917,7.733443,1400
2005-09-19,8.548917,8.548917,8.143968,8.148467,7.371190,16300
2005-09-26,8.148467,8.661403,8.148467,8.598411,7.778216,5700
2005-10-03,8.526420,8.562415,8.359941,8.359941,7.562491,5600
2005-10-10,8.359941,8.359941,8.098974,8.098974,7.326419,8600
2005-10-17,8.098974,8.548917,8.098974,8.323945,7.529931,32800
2005-10-24,8.323945,8.647904,8.323945,8.368939,7.570632,16100
2005-10-31,8.535419,8.818883,8.391437,8.553416,7.737512,8500
2005-11-07,8.872876,9.921243,8.638906,9.898746,8.954512,30600
2005-11-14,9.966237,9.966237,9.403809,9.403809,8.506786,28200
2005-11-21,9.291323,9.448803,9.291323,9.336317,8.445734,4600
2005-11-28,9.336317,9.673774,9.336317,9.673774,8.750999,5500
2005-12-05,10.024730,10.024730,9.565788,9.565788,8.653316,4300
2005-12-12,9.565788,9.786260,9.345316,9.561289,8.649246,20300
2005-12-19,9.561289,9.561289,9.448803,9.448803,8.547490,300
2005-12-26,9.448803,9.448803,9.007858,9.088848,8.221871,3000
2006-01-02,8.962864,8.962864,8.638906,8.661403,7.835199,10100
2006-01-09,8.661403,9.039354,8.661403,9.039354,8.177097,1100
2006-01-16,9.039354,9.039354,8.773889,8.994360,8.136395,500
2006-01-23,8.823382,9.133842,8.823382,8.976362,8.120112,15000
2006-01-30,9.111345,9.111345,9.066351,9.111345,8.242222,4400
2006-02-06,9.066351,9.106846,8.886374,9.106846,8.238151,3600
2006-02-13,8.931368,9.367813,8.931368,9.268826,8.384679,1600
2006-02-20,9.120344,9.552290,9.115845,9.331818,8.441662,10500
2006-02-27,9.592785,11.554536,9.592785,11.554536,10.452357,55300
2006-03-06,11.127090,11.622027,11.068598,11.226077,10.155231,16300
2006-03-13,11.226077,11.451049,11.032602,11.374558,10.289547,17800
2006-03-20,11.406054,11.473546,11.199081,11.199081,10.130811,11300
2006-03-27,11.239575,13.012351,11.226077,12.643398,11.437356,56200
2006-04-03,12.818875,13.487491,12.409428,13.487491,12.200930,56000
2006-04-10,13.444297,13.444297,13.012351,13.012351,11.771111,19400
2006-04-17,12.796378,12.952959,11.025403,11.025403,9.973699,27200
2006-04-24,10.901218,10.960611,10.598857,10.690645,9.670872,32300
2006-05-01,11.603129,11.603129,10.561062,10.777035,9.749023,62500
2006-05-08,10.793232,11.181983,10.771635,10.960611,9.915088,49600
2006-05-15,11.144188,11.144188,10.609655,10.728440,9.705064,19400
2006-05-22,10.728440,10.960611,10.652850,10.663649,9.646452,19700
2006-05-29,10.582659,10.939013,10.582659,10.777035,9.749023,19700
2006-06-05,10.663649,10.679847,10.571860,10.582659,9.573188,11700
2006-06-12,10.571860,11.073997,10.571860,11.073997,10.017655,22100
2006-06-19,10.679847,10.933615,10.555662,10.663649,9.646452,31700
2006-06-26,10.663649,11.203581,10.582659,11.095594,10.037193,4800
2006-07-03,11.095594,11.122591,10.933615,10.933615,9.890665,2200
2006-07-10,11.068598,11.068598,10.528666,10.528666,9.524343,18400
2006-07-17,10.480072,11.068598,9.340816,9.707970,8.781936,81500
2006-07-24,9.729568,11.241376,9.718768,10.820229,9.788096,21600
2006-07-31,10.123717,10.528666,10.123717,10.193909,9.221519,17700
2006-08-07,10.112919,10.771635,10.112919,10.463874,9.465732,11700
2006-08-14,10.150714,10.404482,10.075124,10.210106,9.236171,8300
